PHYLUM,LINEAGE,CLASS,ORDER,FAMILY,COMMON NAME,CODE (5 letter code),SCIENTIFIC NAME,TAXON ID (see NCBI),GENOME OR TRANSCRIPTOME?,TECHNOLOGY,SOURCE,ACCESSION NUMBER,REFERENCE,EXTRA INFO,C (ASSEMBLY),S (ASSEMBLY),D (ASSEMBLY),F (ASSEMBLY),M (ASSEMBLY),C+F (GOOD if >85*),Busco database,No. ISOFORMS,C (LONGEST),S (LONGEST),D (LONGEST),F (LONGEST),M (LONGEST),C+F (GOOD if >85*),Busco database,No. GENES,EggNOG-mapper,FANTASIA
ANNELIDA,Palaeoannelida,Polychaeta/Sedentaria,-,Oweniidae,,OFUS1,Owenia fusiformis,6347,Genome,,,,https://www.biorxiv.org/content/10.1101/2022.02.05.479245v1.full,Chromosome level,-,-,-,-,-,-,-,-,92.5,83.6,8.9,1.7,5.8,94.2,metazoa_odb10,27037,20049,26595
ANNELIDA,Pleistoannelida,Clitellata,-,-,,HRPE1,Hrabeiella periglandulata,152469,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997424,,,82.7,23.3,59.4,6.4,10.9,89.1,metazoa_odb10,,77.3,72.9,4.4,6.7,16,84,metazoa_odb10,24662,17485,24338
ANNELIDA,Pleistoannelida,Clitellata,-,Aeolosomatidae,,AEOL1,Aeolosoma sp.,55817,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR11559519,,,93.6,16.9,76.7,3.7,2.7,97.3,metazoa_odb10,,87.4,77.4,10,3.6,9,91,metazoa_odb10,26458,19195,25917
ANNELIDA,Pleistoannelida,Clitellata,Crassiclitellata,Hormogastridae,,CMAT1,Carpetania elisae,452200,Genome,,,,,Chromosome level,-,-,-,-,-,-,-,-,87.9,85.4,2.5,2.4,9.7,90.3,metazoa_odb10,37980,22724,37908
ANNELIDA,Pleistoannelida,Clitellata,Crassiclitellata,Hormogastridae,,NNAJ1,Norana najaformis,991102,Genome,,,,,Chromosome level,-,-,-,-,-,-,-,-,91.3,87.5,3.8,4.4,4.3,95.7,metazoa_odb10,46842,27128,46681
ANNELIDA,Pleistoannelida,Clitellata,Crassiclitellata,Lumbricidae,,EAND1,Eisenia andrei,168636,Genome,,Genome Warehouse,PRJCA002327,https://www.nature.com/articles/s41467-020-16454-8,Chromosome level,-,-,-,-,-,-,-,-,89.9,82.8,7.1,2,8.1,91.9,metazoa_odb10,31817,24046,30721
ANNELIDA,Pleistoannelida,Clitellata,Crassiclitellata,Megascolecidae,,MVUL1,Metaphire vulgaris,1196096,Genome,,,,,Chromosome level,-,-,-,-,-,-,-,-,82.2,75.1,7.1,9.2,8.6,91.4,metazoa_odb10,50239,30811,49514
ANNELIDA,Pleistoannelida,Clitellata,Enchytraeida,Enchytraeidae,,ECRY2,Enchytraeus crypticus,913645,Genome,PacBio + Illumina,ENA,GCA_905160935.1,https://www.nature.com/articles/s41684-021-00831-x,,,,,,,0,metazoa_odb10,,66.3,64.3,2,15.8,17.9,82.1,metazoa_odb10,16424,13594,16242
ANNELIDA,Pleistoannelida,Clitellata,Enchytraeida,Propappidae,,PVOL1,Propappus volki,251477,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR5353250,,,69.7,40,29.7,13.6,16.7,83.3,metazoa_odb10,,67,65.7,1.3,12.3,20.7,79.3,metazoa_odb10,23557,16001,23486
ANNELIDA,Pleistoannelida,Clitellata,Haplotaxida,Haplotaxidae,,DLER1,Delaya leruthi,1963245,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR5353271,,,66,18.1,47.9,13.2,20.8,79.2,metazoa_odb10,,60,53.8,6.2,13.5,26.5,73.5,metazoa_odb10,19553,12433,19155
ANNELIDA,Pleistoannelida,Clitellata,Haplotaxida,Haplotaxidae,,PELO1,Pelodrilus sp. HAPS2,1963180,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR5353269,,,70.5,44.9,25.6,16.1,13.4,86.6,metazoa_odb10,,66.8,65,1.8,15.1,18.1,81.9,metazoa_odb10,21991,15433,21861
ANNELIDA,Pleistoannelida,Clitellata,Hirudinea/Acanthobdellidea,Cylicobdellidae,,CYCO1,Cylicobdellidae sp. DSW-2020,2705382,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997418,,,87,28.8,58.2,5.7,7.3,92.7,metazoa_odb10,,81.7,48.4,33.3,6.6,11.7,88.3,metazoa_odb10,18796,14389,16713
ANNELIDA,Pleistoannelida,Clitellata,Hirudinea/Acanthobdellidea,Glossiphoniidae,,HROB1,Helobdella robusta,6412,Genome,,Uniprot,UP000015101,,,-,-,-,-,-,-,-,-,90.2,89.2,1,4.6,5.2,94.8,metazoa_odb10,23426,17852,23254
ANNELIDA,Pleistoannelida,Clitellata,Hirudinea/Acanthobdellidea,Haemopidae,,WPIG1,Whitmania pigra,486152,Genome,,,,,,-,-,-,-,-,-,-,-,94.7,89.1,5.6,1.8,3.5,96.5,metazoa_odb10,26744,20874,26520
ANNELIDA,Pleistoannelida,Clitellata,Hirudinea/Acanthobdellidea,Hirudinidae,,HMED1,Hirudo medicinalis ,6421,Transcriptome,,Sequenced by us,-,,,96.1,9.3,86.8,1.5,2.4,97.6,metazoa_odb10,,70.7,65.8,4.9,4,25.3,74.7,metazoa_odb10,24106,14902,24026
ANNELIDA,Pleistoannelida,Clitellata,Lumbriculida,Lumbriculidae,,PHAG1,Phagodrilus sp. DSW-2020,2705235,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997438,,,56.1,44,12.1,19.3,24.6,75.4,metazoa_odb10,,54.1,52.9,1.2,16.8,29.1,70.9,metazoa_odb10,18456,13021,18439
ANNELIDA,Pleistoannelida,Clitellata,Lumbriculida,Lumbriculidae,,SHER1,Stylodrilus heringianus,77571,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997430,,,56,27.3,28.7,22.6,21.4,78.6,metazoa_odb10,,53.3,48.6,4.7,20.9,25.8,74.2,metazoa_odb10,33925,21137,33889
ANNELIDA,Pleistoannelida,Clitellata,Lumbriculida,Lumbriculidae,,TSTR1,Trichodrilus strandi,1736119,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997427,,,75.7,32.7,43,13.8,10.5,89.5,metazoa_odb10,,70.6,67.9,2.7,11.9,17.5,82.5,metazoa_odb10,25795,17460,25634
ANNELIDA,Pleistoannelida,Clitellata,Moniligastrida,Moniligastridae,,DRAW1,Drawida sp. KH-2017,1963188,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR5353252,,,65.5,29.7,35.8,16.1,18.4,81.6,metazoa_odb10,,63.5,61.5,2,13.2,23.3,76.7,metazoa_odb10,23116,15415,23022
ANNELIDA,Pleistoannelida,Clitellata,Parvidrilida,Parvidrilidae,,PMEY1,Parvidrilus meyssonnieri,1171980,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR8799336,,,83,19.9,63.1,6.3,10.7,89.3,metazoa_odb10,,75.3,70.2,5.1,7.4,17.3,82.7,metazoa_odb10,20341,14544,19864
ANNELIDA,Pleistoannelida,Clitellata,Randiellida,Randiellidae,,RAND1,Randiella sp. DSW-2020,2705241,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997431,,,87.3,20.6,66.7,4.8,7.9,92.1,metazoa_odb10,,84.9,33.4,51.5,5.9,9.2,90.8,metazoa_odb10,39892,29744,39026
ANNELIDA,Pleistoannelida,Clitellata,Tubificida,Naididae,,AUJA1,Aulodrilus japonicus,2020002,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997429,,,92.1,26.2,65.9,3.8,4.1,95.9,metazoa_odb10,,87,81.3,5.7,4,9,91,metazoa_odb10,20452,14355,20170
ANNELIDA,Pleistoannelida,Clitellata,Tubificida,Naididae,,BASP1,Bathydrilus sp. DSW-2020,2705229,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997421,,,75.9,21.5,54.4,10.7,13.4,86.6,metazoa_odb10,,71.8,62.7,9.1,11.3,16.9,83.1,metazoa_odb10,24209,16273,23870
ANNELIDA,Pleistoannelida,Clitellata,Tubificida,Naididae,,BVEJ1,Bothrioneurum vejdovskyanum,188204,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR8799331,,,73.9,20.9,53,13.5,12.6,87.4,metazoa_odb10,,71.5,69.9,1.6,12.4,16.1,83.9,metazoa_odb10,28187,17659,28164
ANNELIDA,Pleistoannelida,Clitellata,Tubificida,Naididae,,CDIA1,Chaetogaster diaphanus,212246,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997419,,,85.7,54.3,31.4,8.2,6.1,93.9,metazoa_odb10,,82.2,80.9,1.3,7.7,10.1,89.9,metazoa_odb10,20635,14712,20613
ANNELIDA,Pleistoannelida,Clitellata,Tubificida,Naididae,,OLAV1,Olavius sp. CE14538,2562122,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR8799329,,,86.6,27.1,59.5,6.1,7.3,92.7,metazoa_odb10,,81,74.3,6.7,6.7,12.3,87.7,metazoa_odb10,20813,15204,20356
ANNELIDA,Pleistoannelida,Clitellata,Tubificida,Naididae,,PASP1,Paranais sp. DSW-2020,2705234,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997439,,,91.7,29.6,62.1,4.8,3.5,96.5,metazoa_odb10,,85.5,81.4,4.1,4.6,9.9,90.1,metazoa_odb10,19659,14300,19468
ANNELIDA,Pleistoannelida,Clitellata,Tubificida,Naididae,,RPIG1,Rhyacodrilus pigueti,1348610,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR8799325 ,,,78.2,23.5,54.7,10.3,11.5,88.5,metazoa_odb10,,75.9,74.2,1.7,10.2,13.9,86.1,metazoa_odb10,21800,14923,21681
ANNELIDA,Pleistoannelida,Clitellata,Tubificida,Naididae,,TJUG1,Troglodrilus jugeti,2507403,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR8799323,,,81.2,18.4,62.8,10,8.8,91.2,metazoa_odb10,,77.3,74.3,3,10.2,12.5,87.5,metazoa_odb10,22802,15029,22580
ANNELIDA,Pleistoannelida,Clitellata,Tubificida,Phreodrilidae,,PHRC1,Phreodrilidae sp. C DSW-2020,2705238,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997435,,,74.5,35,39.5,10,15.5,84.5,metazoa_odb10,,68.2,65.2,3,10.4,21.4,78.6,metazoa_odb10,21612,14745,21309
ANNELIDA,Pleistoannelida,Clitellata,Tubificida,Phreodrilidae,,PHRE1,Phreodrilidae sp. A DSW-2020,2705236,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR10997437 ,,,78.8,30.7,48.1,11.8,9.4,90.6,metazoa_odb10,,76,73.4,2.6,10.8,13.2,86.8,metazoa_odb10,26799,18911,26631
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,-,Protodrilidae,,MEGA1,Megadrilus sp. A5911,1654982,Transcriptome,Illumina HiSeq 2500,NCBI SRA,SRR2020581,,,52.1,19.6,32.5,30.4,17.5,82.5,metazoa_odb10,,51.2,47.8,3.4,26.8,22,78,metazoa_odb10,25319,17399,25254
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,-,Protodrilidae,,PCHA1,Protodriloides chaetifer,254032,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR2016233,,,44.1,22.3,21.8,32.1,23.8,76.2,metazoa_odb10,,42.5,38.9,3.6,28.7,28.8,71.2,metazoa_odb10,23441,16202,23403
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,-,Protodrilidae,,PSYM1,Protodriloides symbioticus,205111,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR2124791,,,48.5,28.9,19.6,26.6,24.9,75.1,metazoa_odb10,,47,39.6,7.4,23.9,29.1,70.9,metazoa_odb10,21673,15023,20529
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Eunicida,Dorvilleidae,,OXIA1,Ophryotrocha xiamen,2741705,Transcriptome,Illumina NovaSeq 6000,NCBI SRA,SRR12074689,,,97.7,54.6,43.1,1.3,1,99,metazoa_odb10,,93.6,90.1,3.5,1.2,5.2,94.8,metazoa_odb10,27464,17799,27386
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Eunicida,Histriobdellidae,,HIST1,Histriobdella sp. ET-2021,2863089,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277957,https://www.sciencedirect.com/science/article/pii/S1055790321002724#f0010,,98,20.4,77.6,0.3,1.7,98.3,metazoa_odb10,,84.9,70.1,14.8,2.6,12.5,87.5,metazoa_odb10,31009,15030,30969
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Eunicida,Lumbrineridae,,NNIG1,Ninoe nigripes,318790,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR2040483,,,68.2,32.9,35.3,17.5,14.3,85.7,metazoa_odb10,,66,64.3,1.7,15.4,18.6,81.4,metazoa_odb10,22603,16105,22466
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Aphroditidae,,LIOC1,Laetmonice cf. iocasica ET-2021,2863094,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277959,https://www.sciencedirect.com/science/article/pii/S1055790321002724#f0010,,95.2,60.2,35,4.1,0.7,99.3,metazoa_odb10,,90.6,90.1,0.5,4.3,5.1,94.9,metazoa_odb10,20243,14495,20220
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Chrysopetalidae,,COCC1,Chrysopetalum occidentale,2859446,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277964,https://www.sciencedirect.com/science/article/pii/S1055790321002724#f0010,,91.4,57,34.4,5.7,2.9,97.1,metazoa_odb10,,88.1,85.1,3,4.6,7.3,92.7,metazoa_odb10,27042,19010,27022
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Hesionidae,,AFUS1,Amphiduros fuscescens,1209993,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277965,https://www.sciencedirect.com/science/article/pii/S1055790321002724#f0010,,96.6,34.2,62.4,2.8,0.6,99.4,metazoa_odb10,,91.2,88.3,2.9,3.1,5.7,94.3,metazoa_odb10,29914,20211,29876
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Lacydoniidae,,LACY1,Lacydonia sp. ET-2021,2863088,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277960,https://www.sciencedirect.com/science/article/pii/S1055790321002724#f0010,,69.7,57,12.7,10.9,19.4,80.6,metazoa_odb10,,68.9,68.3,0.6,10,21.1,78.9,metazoa_odb10,15352,10001,15323
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Lopadorrhynchidae,,LOPA1,Lopadorrhynchus sp. ET-2021,2863092,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277961,https://www.sciencedirect.com/science/article/pii/S1055790321002724#f0010,,69.5,43.2,26.3,14.8,15.7,84.3,metazoa_odb10,,69.2,59,10.2,12.1,18.7,81.3,metazoa_odb10,26989,17368,26947
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Microphthalmidae,,SCAM1,Struwela camposi ,2859449,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277962,,,99.5,27.4,72.1,0.2,0.3,99.7,metazoa_odb10,,79.7,76.7,3,1.2,19.1,80.9,metazoa_odb10,17814,13242,17749
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Nephtyidae,,NEPH1,Nephtys sp. ET-2021,2863093,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277958,https://www.sciencedirect.com/science/article/pii/S1055790321002724#f0010,,80.6,57.4,23.2,11.3,8.1,91.9,metazoa_odb10,,78.2,77.3,0.9,10.8,11,89,metazoa_odb10,29667,18759,29639
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Nereididae,,AVIR1,Alitta virens,880429,Transcriptome,Illumina HiSeq 2000,NCBI SRA,SRR11586567,,,99.2,37.4,61.8,0.2,0.6,99.4,metazoa_odb10,,93.2,70.2,23,2.1,4.7,95.3,metazoa_odb10,36610,26340,36488
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Nereididae,,PAIB1,Perinereis aibuhitensis,126650,Transcriptome,Illumina HiScanSQ,NCBI SRA,SRR1943295,,,92.3,57.9,34.4,6.6,1.1,98.9,metazoa_odb10,,88.2,84.4,3.8,7,4.8,95.2,metazoa_odb10,33572,22784,33427
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Nereididae,,PDUM1,Platynereis dumerilii,6359,Transcriptome,Illumina HiSeq 2000,NCBI SRA,ERR2672663,,,85.1,36,49.1,11.9,3,97,metazoa_odb10,,81.3,79.2,2.1,12.3,6.4,93.6,metazoa_odb10,32514,22060,32380
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Phyllodocidae,,PMED1,Phyllodoce medipapillata,868040,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR2016923,,,82.1,29.5,52.6,12.9,5,95,metazoa_odb10,,79.1,77.1,2,12.9,8,92,metazoa_odb10,34181,21524,33912
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Pilargidae,,PVER1,Pilargis verrucosa,1818081,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277955,https://www.sciencedirect.com/science/article/pii/S1055790321002724#f0010,,60.4,28.4,32,23,16.6,83.4,metazoa_odb10,,59.6,57.5,2.1,19.9,20.5,79.5,metazoa_odb10,21808,13927,21789
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Polynoidae,,LEYZ1,Lepidonotopodium sp. YZ-2016,1899226,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR4419843,,,95.5,54.4,41.1,3.6,0.9,99.1,metazoa_odb10,,90.5,89.7,0.8,4.7,4.8,95.2,metazoa_odb10,26564,16373,26523
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Sigalionidae,,PHBA1,Pholoe baltica,318818,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277956,https://www.sciencedirect.com/science/article/pii/S1055790321002724#f0010,,91.9,48.1,43.8,5.5,2.6,97.4,metazoa_odb10,,82.3,82,0.3,6,11.7,88.3,metazoa_odb10,26310,17716,26278
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Sphaerodoridae,,SGRA1,Sphaerodorum gracilis,2576333,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR15277954,https://www.sciencedirect.com/science/article/pii/S1055790321002724#f0010,https://www.gov.scot/publications/wild-seaweed-harvesting-strategic-environmental-assessment-environmental-report/pages/6/,69.2,35,34.2,12.6,18.2,81.8,metazoa_odb10,,68.4,64.7,3.7,11.2,20.4,79.6,metazoa_odb10,17701,10780,17679
ANNELIDA,Pleistoannelida,Polychaeta/Errantia,Phyllodocida,Syllidae,,SYGR1,Syllis gracilis,418370,Transcriptome,Illumina HiSeq 4000,NCBI SRA,SRR8510622,,,96.8,9.7,87.1,2,1.2,98.8,metazoa_odb10,,91.6,90.7,0.9,2.8,5.6,94.4,metazoa_odb10,43214,24538,43077
