caves_id,Family,Genus,Species,LambdaMax,refid
55,Centrarchidae,Lepomis,macrochirus,538,[26]
56,Characidae,Astyanax,fasciatus,520,[48] ; [31]
57,Characidae,Paracheirodon,innesi,523,[42] ; [51]
58,Serrasalmidae,Metynnis,argenteus,533,[31]
59,Cichlidae,Aequidens,pulcher,507,[38]
60,Cichlidae,Aequidens,pulcher,501,[36]
61,Cichlidae,Amphilophus,longimanus,525,[38]
62,Cichlidae,Astatotilapia,burtoni,500,[15]
63,Cichlidae,Aulonocara,hueseri,496,[30]
64,Cichlidae,Copadichromis,borleyi,494,[30]
65,Cichlidae,Crenicichla,frenata,520,[69]
66,Cichlidae,Cynotilapia,afra,496,[30]
67,Cichlidae,Dimidiochromis,compressiceps,498,[30]
68,Cichlidae,Haplochromis,azurea,503,[9]
69,Cichlidae,Haplochromis,ishmaeli,507,[66]
70,Cichlidae,Haplochromis,nyererei,505,[9]
71,Cichlidae,Haplochromis,piceatus,503,[66]
72,Cichlidae,Haplochromis,pyrrhocephalus,519,[66]
73,Cichlidae,Lethrinops,parvidens,489,[30]
74,Cichlidae,Melanochromis,auratus,497,[30]
75,Cichlidae,Melanochromis,vermivorus,505,[49]
76,Cichlidae,Metriaclima,barlowi,491,[30]
77,Cichlidae,Metriaclima,livingstonii,495,[30]
78,Cichlidae,Metriaclima,melabranchion,491,[30]
79,Cichlidae,Mylochromis,lateristriga,496,[30]
80,Cichlidae,Protomelas,taeniolatus,496,[30]
81,Cichlidae,Pseudotropheus,acei,505,[49]
82,Cichlidae,Pseudotropheus,tropheops,510,[30]
83,Cichlidae,Pundamilia,luanso,505,[9]
84,Cichlidae,Pundamilia,pundamilia,506,[9]
85,Cichlidae,Tramitichromis,intermedius,505,[49]
86,Cichlidae,Tyrannochromis,macrostoma,494,[30]
87,Chimaeridae,Chimaera,monstrosa,485,[14]
88,Chimaeridae,Hydrolagus,mirabilis,475,[14]
89,Rhinochimaeridae,Hariotta,raleighana,481,[51]
90,Clupeidae,Clupea,harengus,503,[29]
91,Clupeidae,Clupea,pallasii,501,[7]
92,Clupeidae,Sardinops,sagax,502,[46]
93,Cyprinidae,Abramis,brama,537,[29]
94,Engraulidae,Engraulis,japonicus,502,[33]
95,Engraulidae,Engraulis,mordax,498,[7]
96,Anablepidae,Anableps,anableps,506,[3]
97,Cyprinidae,Alburnus,alburnus,515,[29]
98,Cyprinidae,Ballerus,ballerus,518,[29]
99,Cyprinidae,Blicca,bjoerkna,539,[29]
100,Cyprinidae,Carassius,auratus,522,[38]
101,Cyprinidae,Carassius,carassius,526,[29]
102,Cyprinidae,Cyprinus,carpio,525,[24]
103,Cyprinidae,Danio,malabaricus,505,[31]
104,Cyprinidae,Puntigrus,tetrazona,504,[42] ; [51]
105,Cyprinidae,Scardinius,erythrophthalmus,537,[29]
106,Cyprinidae,Scardinius,erythrophthalmus,515,[70]
107,Cyprinidae,Tinca,tinca,533,[38]
108,Cyprinidae,Tribolodon,hakonensis,522,[23]
109,Cyprinodontidae,Cyprinodon,variegatus,506,[42]
110,Cyprinodontidae,Jordanella,floridae,511,[42] ; [51]
111,Elopidae,Elops ,saurus,518,[63]
112,Fundulidae,Fundulus,heteroclitus,503,[18]
113,Poeciliidae,Micropoecilia,parae,503,[28]
114,Poeciliidae,Poecilia,formosa,504,[35]
115,Poeciliidae,Poecilia,latipinna,503,[35]
116,Poeciliidae,Poecilia,mexicana,504,[35]
117,Poeciliidae,Poecilia,reticulata,503,[2]
118,Esocidae,Esox,lucius,521,[29]
119,Megalopidae,Megalops,atlanticus,500,[62]
120,Aulorhynchidae,Aulorhynchus,flavidus,499,[7]
121,Gadidae,Gaidropsarus,mediterraneus,512,[38]
122,Gadidae,Microgadus,proximus,497,[7]
123,Gadidae,Pollachius,pollachius,498,[56]
124,Gadidae,Theragra,chalcogramma,500,[7]
125,Macrouridae,Caelorhinchus,labiatus,479,[14]
126,Macrouridae,Coryphaenoides,armatus,483,[14]
127,Macrouridae,Coryphaenoides,carapinus,484,[14]
128,Macrouridae,Coryphaenoides,carapinus,482,[52]
129,Macrouridae,Coryphaenoides,leptolepis,482,[14]
130,Macrouridae,Coryphaenoides,profundicolus,483,[14]
131,Macrouridae,Coryphaenoides,profundicolus,482,[52]
132,Macrouridae,Echinomacrurus,mollis,478,[13]
133,Macrouridae,Malacocephalus,laevis,486,[14]
134,Melanonidae,Melanonus,zugmayeri,490,[52] ; [14]
135,Merlucciidae,Merluccius,productus,495,[7]
136,Moridae,Antimora ,rostrata,483,[14]
137,Moridae,Halargyreus,johnsonii,490,[14]
138,Moridae,Lepidion ,eques,486,[14]
139,Moridae,Mora,moro,488,[14] ; [50]
140,Gasterosteidae,Gasterosteus,aculeatus,509,[29] ; [7]
141,Gasterosteidae,Spinachia,spinachia,510,[38]
142,Gobiesocidae,Gobiesox,maeandricus,500,[7]
143,Gobiidae,Asterropteryx,semipunctata,498,[41]
144,Gobiidae,Clevelandia,ios,520,[7]
145,Gobiidae,Gobius,paganellus,512,[38]
146,Gobiidae,Gobiusculus,flavescens,508,[65]
147,Gobiidae,Pomatoschistus,minutus,508,[29]
148,Holocentridae,Myripristis,berndti,495,[41]
149,Holocentridae,Myripristis,berndti,506,[32]
150,Holocentridae,Neoniphon,sammara,502,[41]
151,Holocentridae,Sargocentron,xantherythrum,490,[41]
152,Istiophoridae,Istiophorus, platypterus,484,[19]
153,Lepisostedidae,Lepisosteus,platostomus,529,[8]
154,Myctophidae,Benthosema,suborbitale,487,[13]
155,Myctophidae,Diaphus,holti,491,[50]
156,Myctophidae,Diaphus,rafinesquei,488,[16]
157,Myctophidae,Electrona,risso,482,[52]
158,Myctophidae,Lampanyctus,crocodilus,487,[13]
159,Myctophidae,Lampanyctus,festivus,489,[52]
160,Myctophidae,Lobianchia,gemellarii,485,[50]
161,Myctophidae,Nannobrachium,atrum,483,[51]
162,Myctophidae,Notoscopelus,resplendens,486,[13]
163,Myctophidae,Taaningichthys,bathyphilus,487,[51]
164,Halosauridae,Halosauropsis,macrochir,481,[14]
165,Notacanthidae,Notacanthus,bonapartei,481,[51]
166,Ophidiidae,Dicrolene,intronigra,479,[51]
167,Bathylagidae,Bathylagus,greyae,488,[51]
168,Bathylagidae,Bathylagus,longirostris,474,[51]
169,Microstomatidae,Microstoma,microstoma,479,[50]
170,Microstomatidae,Nansenia,longicauda,479,[50]
171,Osmeridae,Hypomesus,pretiosus,500,[7]
172,Osmeridae,Osmerus,dentex,516,[34]
173,Osmeridae,Osmerus,eperlanus,518,[29]
174,Osmeridae,Spirinchus,thaleichthys,499,[7]
175,Acanthuridae,Acanthurus,achilles,496,[41]
176,Acanthuridae,Acanthurus,nigroris,494,[41]
177,Acanthuridae,Acanthurus,triostegus,493,[41]
178,Acanthuridae,Ctenochaetus,strigosus,486,[41]
179,Acanthuridae,Naso,lituratus,497,[41]
180,Acanthuridae,Naso,unicornis,494,[41]
181,Acanthuridae,Zebrasoma,flavescens,494,[41]
182,Acanthuridae,Zebrasoma,velifer,494,[41]
183,Ammodytidae,Ammodytes,hexapterus,470,[7]
184,Ammodytidae,Hyperoplus,lanceolatus,486,[29]
185,Apogonidae,Pristiapogon,kallopterus,492,[41]
186,Bathymasteridae,Ronquilus,jordani,492,[7]
187,Carangidae,Trachurus,mediterraneus,502,[21]
188,Centracanthidae,Micropterus,salmoides,528,[45]
189,Centracanthidae,Spicara,smaris,502,[21]
190,Chaetodontidae,Chaetodon,kleinii,496,[41]
191,Chaetodontidae,Chaetodon,unimaculatus,496,[41]
192,Chaetodontidae,Forcipiger,flavissimus,488,[41]
193,Chiasmodontidae,Chiasmodon,niger,483,[50]
194,Embiotocidae,Cymatogaster,aggregata,500,[7]
195,Embiotocidae,Embiotoca,jacksoni,505,[12]
196,Embiotocidae,Embiotoca,lateralis,499,[7]
197,Embiotocidae,Hypsurus,caryi,506,[12]
198,Embiotocidae,Micrometrus,aurora,519,[12]
199,Embiotocidae,Micrometrus,minimus,518,[12]
200,Embiotocidae,Rhacochilus,vacca,507,[7]
201,Embiotocidae,Zalembius,rosaceus,494,[12]
202,Epigonidae,Epigonus, telescopus,492,[14]
203,Helostomatidae,Helostoma,temminkii,523,[31]
204,Howellidae,Howella,sherborni,463,[51]
205,Istiophoridae,Makaira,nigricans,484,[19]
206,Kuhliidae,Kuhlia,sandvicensis,491,[41]
207,Labridae,Bodianus,bilunnulatus,485,[41]
208,Labridae,Cirrhilabrus,solorensis,497,[20]
209,Labridae,Symphodus,melops,520,[38]
210,Latidae,Lates,calcarifer,516,[64]
211,Lutjanidae,Lutjanus,adetii,496,[43]
212,Lutjanidae,Lutjanus,bohar,497,[43]
213,Lutjanidae,Lutjanus,carponotatus,499,[43]
214,Lutjanidae,Lutjanus,erythropterus,496,[43]
215,Lutjanidae,Lutjanus,fulviflamma,505,[43]
216,Lutjanidae,Lutjanus,johnii,498,[43]
217,Lutjanidae,Lutjanus,malabaricus,494,[43]
218,Lutjanidae,Lutjanus,quinquelineatus,499,[43]
219,Lutjanidae,Lutjanus,russellii,499,[43]
220,Lutjanidae,Lutjanus,sebae,494,[43]
221,Mullidae,Mulloidichthys,flavolineatus,486,[41]
222,Mullidae,Mullus,barbatus,497,[21]
223,Mullidae,Parupeneus,multifasceatus,494,[41]
224,Mullidae,Upeneus,tragula,498,[55]
225,Nototheniidae,Dissostichus,mawsoni,504,[53]
226,Nototheniidae,Pagothenia,borchgrevinki,499,[53]
227,Nototheniidae,Trematomus,bernacchii,502,[53]
228,Nototheniidae,Trematomus,hansoni,501,[53]
229,Nototheniidae,Trematomus,loennbergii,500,[53]
230,Paralichthyidae,Citharichthys,sordidus,489,[7]
231,Percidae,Perca,fluviatilis,540,[38]
232,Percidae,Perca ,flavescens,550,[1]
233,Percidae,Sander,lucioperca,524,[29]
234,Pholidae,Apodichthys,flavidus,504,[7]
235,Pholidae,Pholis,laeta,504,[7]
236,Pholidae,Pholis,omata,498,[7]
237,Pomacentridae,Abudefduf,abdominalis,492,[41]
238,Pomacentridae,Chromis,hanui,477,[41]
239,Pomacentridae,Chromis,ovalis,492,[41]
240,Pomacentridae,Chromis,punctipinnis,498,[44]
241,Pomacentridae,Chromis,vanderbilti,498,[41]
242,Pomacentridae,Chromis,verater,480,[41]
243,Pomacentridae,Dascyllus,albisella,490,[41]
244,Pomacentridae,Dascyllus,trimaculatus,491,[44]
245,Pomacentridae,Plectroglyphidodon,johnstonianus,495,[41]
246,Pomacentridae,Pomacentrus,melanochir,501,[38]
247,Pomacentridae,Stegastes,fasciolatus,495,[41]
248,Ptilichthyidae,Ptilichthys,goodei,497,[7]
249,Serranidae,Centropristis,striata,498,[61]
250,Sparidae,Acanthopagrus,butcheri,509,[57]
251,Sparidae,Diplodus,annularis,505,[21]
252,Sphyraenidae,Sphyraena,barracuda,498,[41]
253,Stichaeidae,Acantholumpenus,mackayi,502,[32]
254,Stichaeidae,Anoplarchus,purpurescens,502,[7]
255,Stichaeidae,Chirolophis,japonicus,502,[32]
256,Stichaeidae,Ernogrammus,hexagrammus,506,[32]
257,Stichaeidae,Lumpenus,sagitta,496,[7]
258,Stichaeidae,Opisthocentrus,ocellatus,504,[32]
259,Stichaeidae,Pholidapus,dybowsky,522,[32]
260,Stichaeidae,Phytichthys ,chirus,522,[7]
261,Stichaeidae,Stichaeopsis,nana,522,[32]
262,Stichaeidae,Stichaeus,grigorjevi,502,[32]
263,Stichaeidae,Stichaeus,nozawae,502,[32]
264,Stichaeidae,Xiphister,mucosus,504,[7]
265,Stichaeidae,Xiphister ,atropurpureus,503,[7]
266,Trichodontidae,Trichodon,trichodon,503,[7]
267,Zanclidae,Zanclus,cornutus,492,[41]
268,Zoarcidae,Lycodes,pacificus,483,[7]
269,Zoarcidae,Zoarces,viviparus,513,[29]
270,Eurypharyngidae,Eurypharynx,pelecanoides,474,[51]
271,Pleuronectidae,Cleisthenes,herzensteini,500,[32]
272,Pleuronectidae,Isopsetta,isolepis,492,[7]
273,Pleuronectidae,Lepidopsetta,bilineata,492,[7]
274,Pleuronectidae,Lepidopsetta,polyxystra,493,[7]
275,Pleuronectidae,Limanda,aspera,503,[32]
276,Pleuronectidae,Limanda,limanda,502,[38]
277,Pleuronectidae,Lyopsetta,exilis,482,[7]
278,Pleuronectidae,Microstomus,kitt,502,[38]
279,Pleuronectidae,Microstomus,pacificus,505,[7]
280,Pleuronectidae,Parophrys,vetulus,498,[7]
281,Pleuronectidae,Platichthys,flesus,510,[29]
282,Pleuronectidae,Platichthys,stellatus,508,[7]
283,Pleuronectidae,Pleuronectes,platessa,515,[38]
284,Pleuronectidae,Psettichthys,melanostictus,497,[7]
285,Pleuronectidae,Pseudopleuronectes,americanus,506,[42]
286,Pleuronectidae,Pseudopleuronectes,herzensteini,500,[32]
287,Pleuronectidae,Pseudopleuronectes,obscurus,525,[32]
288,Scopthalmidae,Lepidorhombus,boscii,489,[14]
289,Salmonidae,Oncorhynchus,gorbuscha,506,[10]
290,Abyssocottidae,Abyssocottus,korotneffi,481,[6]
291,Salmonidae,Oncorhynchus,keta,524,[17]
292,Salmonidae,Oncorhynchus,keta,505,[10]
293,Salmonidae,Oncorhynchus,kisutch,531,[17]
294,Salmonidae,Oncorhynchus,kisutch,505,[10]
295,Salmonidae,Oncorhynchus,mykiss,521,[25]
296,Salmonidae,Oncorhynchus,tshawytscha,524,[17]
297,Salmonidae,Oncorhynchus,tshawytscha,508,[10]
298,Salmonidae,Salmo,salar,515,[10]
299,Salmonidae,Salmo,trutta trutta,532,[4]
300,Scombridae,Thunnus,albacares,483,[40]
301,Stromateidae,Peprilus,stimillimus,496,[7]
302,Trichiuridae,Aphanopus ,carbo,477,[14]
303,Abyssocottidae,Asprocottus,herzensteini,488,[6]
304,Abyssocottidae,Cottinella,boulengeri,482,[6]
305,Abyssocottidae,Cyphocottus,eurystomus,489,[6]
306,Abyssocottidae,Limnocottus,bergianus,490,[6]
307,Abyssocottidae,Limnocottus,griseus,485,[6]
308,Abyssocottidae,Limnocottus,pallidus,488,[6]
309,Abyssocottidae,Procottus,jettelesii,505,[6]
310,Agonidae,Bothragonus ,swani,500,[7]
311,Agonidae,Podothecus,acipenserinus,500,[7]
312,Comephoridae,Comephorus,baicalensis,501,[6]
313,Comephoridae,Comephorus,dybowskii,498,[6]
314,Cottidae,Artedius,fenestralis,498,[7]
315,Cottidae,Artedius,harringtoni,501,[7]
316,Cottidae,Ascelichthys,rhodorus,501,[7]
317,Cottidae,Bero,elegance,507,[32]
318,Cottidae,Clinocottus,globiceps,523,[7]
319,Cottidae,Enophrys,bison,501,[7]
320,Cottidae,Enophrys,diceraus,500,[32]
321,Cottidae,Gymnocanthus,intermedius,504,[32]
322,Cottidae,Gymnocanthus,pistilliger,501,[32]
323,Cottidae,Hemilepidotus,hemilepidotus,501,[7]
324,Cottidae,Icelinus,borealis,495,[7]
325,Cottidae,Jordania,zonope,500,[7]
326,Cottidae,Leptocottus,armatus,509,[7]
327,Cottidae,Megalocottus ,platycephalus,514,[32]
328,Cottidae,Microcottus,sellaris,505,[32]
329,Cottidae,Myoxocephalus,jaok,507,[32]
330,Cottidae,Myoxocephalus,potyacanthocephalus,500,[7]
331,Cottidae,Myoxocephalus,scorpius,506,[6]
332,Cottidae,Myoxocephalus,stelleri,506,[32]
333,Cottidae,Oligocottus,maculosus,520,[7]
334,Cottidae,Ruscarius,meanyi,496,[7]
335,Cottidae,Scorpaenichthys,marmoratus,500,[7]
336,Cottidae,Taurulus,bubalis,507,[6]
337,Cottidae,Triglopsis,quadricornis,512,[29]
338,Cottocomephoridae,Batrachocottus,baicalensis,509,[6]
339,Cottocomephoridae,Batrachocottus,multiradiatus,489,[6]
340,Cottocomephoridae,Batrachocottus,nikolskii,488,[6]
341,Cottocomephoridae,Cottocomephorus,grewingkii,503,[6]
342,Cottocomephoridae,Cottocomephorus,inermis,494,[6]
343,Cottocomephoridae,Leocottus,kesslerii,516,[6]
344,Cottocomephoridae,Paracottus,knerii,520,[6]
345,Cyclopteridae,Eumicrotremus,orbis,494,[7]
346,Hemiramphidae,Dermogenys,pusilla,507,[54]
347,Hemitripteridae,Blepsias,cirrhosus,500,[32]
348,Hemitripteridae,Hemitripterus,americanus,505,[11]
349,Hemitripteridae,Hemitripterus,villosus,503,[32]
350,Hemitripteridae,Nautichthys,oculofasciatus,501,[7]
351,Hexagrammidae,Hexagrammos,decagrammus,497,[7]
352,Hexagrammidae,Hexagrammos,octogrammus,523,[32]
353,Hexagrammidae,Hexagrammos,stelleri,496,[7]
354,Hexagrammidae,Ophiodon,elongatus,499,[7]
355,Hexagrammidae,Pleurogrammus ,azonus,504,[32]
356,Ictaluridae,Ameiurus,catus,541,[58]
357,Liparidae,Liparis,dennyi,494,[7]
358,Liparidae,Liparis,florae,495,[7]
359,Liparidae,Liparis,pulchellus,490,[7]
360,Liparidae,Liparis ,greeni,495,[7]
361,Psychrolutidae,Cottunculus,thomsonii,486,[14]
362,Psychrolutidae,Dasycottus,setiger,485,[7]
363,Psychrolutidae,Gilbertidia,sigalutes,496,[7]
364,Psychrolutidae,Psychrolutes,paradoxus,483,[7]
365,Rhamphocottidae,Rhamphocottus,richardsonii,493,[7]
366,Scorpaenidae,Dendrochirus,zebra,501,[38]
367,Scorpaenidae,Scorpaena,porcus,506,[21]
368,Sebastidae,Sebastes,auriculatus,498,[7]
369,Sebastidae,Sebastes,caurinus,496,[7]
370,Sebastidae,Sebastes,empaeus,493,[7]
371,Sebastidae,Sebastes,flavidus,497,[7]
372,Sebastidae,Trachyscorpia,cristulata,485,[14]
373,Triglidae,Chelidonichthys,lucerna,502,[38]
374,Triglidae,Eutrigla,gurnardus,502,[38]
375,Gonostomatidae,Gonostoma,atlanticum,484,[52]
376,Ictaluridae,Ameiurus,melas,541,[58]
377,Ictaluridae,Ictalurus,punctatus,542,[58]
378,Aulostomidae,Aulostomus,chinensis,494,[41]
379,Gonostomatidae,Gonostoma,denudatum,482,[50]
380,Gonostomatidae,Sigmops,bathyphilus,481,[51]
381,Gonostomatidae,Sigmops,elongatus,484,[50]
382,Phosichthyidae,Ichthyococcus,ovatus,487,[52]
383,Sternoptychidae,Argyropelecus,aculeatus,475,[50]
384,Sternoptychidae,Argyropelecus,gigas,477,[51]
385,Sternoptychidae,Polyipnus,polli,483,[13]
386,Sternoptychidae,Sternoptyx,diaphana,478,[51]
387,Sternoptychidae,Sternoptyx,pseudobscura,479,[51]
388,Sternoptychidae,Valenciennellus,tripunctulatus,480,[51]
389,Stomiidae,Bathophilus,brevis,483,[52]
390,Stomiidae,Borostomias,elucens,482,[52]
391,Stomiidae,Chauliodus,danae,484,[51]
392,Stomiidae,Echiostoma,barbatum,483,[51]
393,Stomiidae,Eustomias,obscurus,485,[51]
394,Stomiidae,Idiacanthus,fasciola,483,[51]
395,Stomiidae,Malacosteus,niger,522,[5] ; [51]
396,Stomiidae,Melanostomias,niger,483,[51]
397,Stomiidae,Neonesthes,capensis,483,[51]
398,Stomiidae,Pachystomias,microdon,522,[51]
399,Stomiidae,Photonectes,braueri,483,[51]
400,Stomiidae,Rhadinesthes,decimus,480,[51]
401,Stylephoridae,Stylephorus,chordatus,470,[52]
402,Balistidae,Canthidermis,maculata,486,[41]
403,Syngnathidae,Hippocampus,angustus,500,[47]
404,Syngnathidae,Hippocampus,barbouri,499,[47]
405,Syngnathidae,Nerophis,ophidion,500,[29]
406,Syngnathidae,Stigmatopora,argus,502,[47]
407,Syngnathidae,Syngnathus,leptorhynchus,499,[7]
408,Balistidae,Sufflamen,bursa,487,[41]
409,Monacanthidae,Pergavor,aspricaudus,492,[41]
410,Monacanthidae,Pergavor,spilosoma,494,[41]
411,Ostraciidae,Ostracion,meleagris,495,[41]
412,Tetraodontidae,Arothron,meleagris,493,[41]
413,Anoplogastridae,Anoplogaster,cornuta,482,[50]
414,Trachichthyidae,Hoplostethus,atlanticus,482,[14]
415,Trachichthyidae,Hoplostethus,mediterraneus mediterraneus,483,[14]
416,Parazenidae,Cyttopsis,roseus,478,[13]
