Name	!color
AAT91644.1	#8fff00
AAT91643.1	#00d1ff
XP_074033217.1	#610061
XP_074027146.1	#0fff00
XP_074027145.1	#0fff00
XP_074036764.1	#0029ff
XP_023018922.2	#610061
APY20620.1	#16ff00
APY20619.1	#610061
ACB99465.1	#66ff00
ACB99463.1	#27ff00
AQZ42275.1	#2aff00
AQZ42175.1	#00ff85
XP_052329676.1	#00c9ff
XP_052329675.1	#00f8ff
XP_035633247.2	#8bff00
XP_052363545.1	#beff00
XP_035597251.1	#0bff00
XP_035594035.1	#00ff6f
XP_035653299.1	#00ffe5
XP_035633248.1	#3800e6
XP_035633246.1	#beff00
AAP58335.1	#3800e6
AAP58334.1	#610061
AAP58333.1	#03ff00
AAP58331.1	#c3ff00
QPZ85632.1	#33ff00
QPZ85628.1	#30ff00
QPZ85623.1	#1700f8
QPZ85611.1	#00ffeb
AAU93395.1	#b1ff00
AAY16525.1	#610061
AAY16526.1	#0070ff
AGL76522.1	#caff00
AGL76521.1	#aeff00
AGL76520.1	#caff00
AGL76517.1	#caff00
AGL76516.1	#00ff32
AGL76515.1	#00ff38
AGL76514.1	#00ff36
XP_074882855.1	#70008f
XP_074882852.1	#700090
XP_074912215.1	#00ff71
XP_074909660.1	#00ff88
AAY26033.1	#00ff95
AAX11207.1	#a1ff00
AAY26070.1	#2eff00
ADA77665.1	#00dfff
ADA77649.1	#4aff00
XP_059188698.1	#00ff9c
XP_059185641.1	#007eff
XP_059184870.1	#2700f0
XP_059184869.1	#0075ff
XP_059184646.1	#00daff
XP_059184645.1	#00ff61
XP_059184526.1	#2fff00
XP_059184525.1	#10ff00
ANV21068.1	#c4ff00
ANV21066.1	#610061
ANV21063.1	#0f00fb
ANV21062.1	#00ffe5
ANV21058.1	#00ffb4
AAR14684.1	#610061
AAR14683.1	#00ffe5
AAR14682.1	#00ffb5
AAR14681.1	#0f00fb
XP_029725914.2	#009aff
XP_062708568.1	#610061
AFC36363.1	#53ff00
XP_061760219.1	#00ffb4
XP_061730826.1	#007aff
XP_061730825.1	#3a00e5
XP_061730824.1	#b9ff00
XP_061730401.1	#00dfff
XP_061730400.1	#36ff00
ABF66146.1	#78ff00
ABF66143.1	#00ffd2
ABF66140.1	#00ff2c
ABF66137.1	#610061
XP_035858407.1	#abff00
XP_035858406.1	#afff00
XP_031143585.1	#00ffbe
XP_031172674.1	#00fcff
XP_031172275.1	#00ff60
XP_031162516.1	#00fbff
XP_031157338.1	#00ff3c
XP_031135373.1	#abff00
BBI55013.1	#00ff95
BBI55012.1	#00d4ff
BBI55007.1	#5200d2
BBI55005.1	#00ff58
ACS49827.1	#00ffab
NP_571394.2	#610061
NP_571159.2	#00ff88
Q9W6A9.2	#610061
Q9W6A5.2	#0097ff
Q8AYN0.1	#a4ff00
Q8AYM8.1	#00c5ff
Q9W6A8.1	#5c00c7
Q9W6A7.1	#bfff00
XP_073772120.1	#00ffbb
NP_001002443.1	#a7ff00
NP_001103501.1	#00ffbb
ALG92537.1	#00ff5c
ALG92536.1	#00f1ff
ALG92535.1	#00c5ff
AAI64171.1	#00ff88
AAH67683.1	#610061
AAD24756.1	#610061
AAD24753.1	#00ff6a
AAD24752.1	#0097ff
AAD20549.1	#bfff00
AAD14679.1	#00ffa0
CAE30416.1	#bfff00
P22269.1	#00ff55
XP_065361768.1	#610061
XP_065358973.1	#610061
XP_065356544.1	#008aff
XP_065355107.1	#00ff64
XP_065371719.1	#00daff
XP_065369707.1	#31ff00
CAI47590.1	#31ff00
CAI47589.1	#00a7ff
CAI47588.1	#610061
XP_033778260.1	#abff00
XP_033782390.1	#00efff
XP_061128212.1	#00ffbc
XP_061149618.1	#00ff61
XP_061148305.1	#bcff00
XP_061148188.1	#5e00c4
XP_061148187.1	#0079ff
XP_061147195.1	#1fff00
XP_071893658.1	#6d00a7
XP_027300704.1	#00ff2c
XP_005012111.1	#00ff82
XP_006088441.1	#610061
XP_006087726.1	#aaff00
XP_006083873.1	#00ffaf
AVR48116.1	#00ff77
XP_007541295.1	#610061
XP_007565702.1	#0b00fc
XP_007565700.1	#6600b8
XP_007565691.1	#b2ff00
XP_007562353.1	#00ff85
XP_007569901.1	#00f4ff
XP_007551436.1	#00d8ff
XP_007551425.1	#2dff00
XP_007545513.1	#2eff00
AEQ53953.1	#2dff00
AEQ53949.1	#a5ff00
AEQ53948.1	#27ff00
AEQ53947.1	#2eff00
AEQ53946.1	#aeff00
AEQ53945.1	#8cff00
AEQ53943.1	#4aff00
AEQ53942.1	#60ff00
UUJ34164.1	#00ff9c
UUJ34163.1	#00bbff
UAY98677.1	#3bff00
UAY98676.1	#15ff00
UAY98675.1	#00f5ff
UAY98674.1	#00c8ff
UAY98672.1	#0044ff
UAY98671.1	#002eff
UAY98670.1	#5f00c4
UAY98669.1	#caff00
UAY98665.1	#00ffd4
UAY98647.1	#610061
XP_014088321.1	#67006c
XP_014088320.1	#610061
XP_014087806.1	#74ff00
XP_014085801.1	#00ffd1
XP_014103404.1	#00e7ff
APY20602.1	#67ff00
XP_071869867.1	#6d00a7
XP_071865952.1	#9bff00
XP_071865949.1	#4cff00
XP_071859181.1	#00c0ff
XP_071859180.1	#00c5ff
XP_071857606.1	#610061
NP_001267052.1	#610061
XP_003494923.1	#6800b5
XP_012237087.1	#8cff00
XP_012237085.1	#4cff00
XP_022175109.1	#00c1ff
XP_022162222.1	#2500f1
XP_022162214.1	#3e00e3
AVR48187.1	#00ff41
AAT72126.1	#8fff00
AAT72125.1	#0092ff
AAT72124.1	#32ff00
XP_047439382.1	#00fcff
XP_047439381.1	#34ff00
XP_047439380.1	#34ff00
XP_047439379.1	#30ff00
XP_047439079.1	#caff00
XP_047440995.1	#00ff9f
CAA77250.1	#00ff9f
AAY16528.1	#85ff00
AAY16527.1	#2600f1
NP_001284385.1	#0a00fc
XP_008422777.1	#00ffce
NP_001315989.1	#28ff00
NP_001315988.1	#8eff00
NP_001284381.1	#c9ff00
NP_001284379.1	#79ff00
NP_001299581.1	#00ff84
NP_001284419.1	#610061
ACB99445.1	#cbff00
ACB99436.1	#79ff00
ACB99435.1	#79ff00
ACB99434.1	#79ff00
ACB99432.1	#79ff00
NP_001284387.1	#2dff00
NP_001284383.1	#6f009a
NP_001284389.1	#00beff
CAA72034.1	#00ff85
AQZ42172.1	#00ff84
BAU59423.1	#610061
BAU59422.1	#6b00ad
BAU59421.1	#0f00fb
BAU59417.1	#4eff00
BAM74446.1	#6b00ad
BAM74443.1	#5cff00
BAM74442.1	#2eff00
BAM74441.1	#d1ff00
AEL89379.1	#79ff00
ABI33106.1	#00ff84
ABA56304.1	#caff00
ABA56303.1	#4fff00
ABA56302.1	#caff00
XP_074133748.1	#64ff00
XP_074124098.1	#610061
XP_074139959.1	#00ff95
AAN86046.2	#00ff95
AFP97566.1	#00ffa9
AFP97565.1	#d0ff00
CAA44275.1	#00ffa0
CAZ86757.1	#00ffad
CAZ86755.1	#00ffad
CAZ86750.1	#00ffa0
CAZ86749.1	#00ffab
CAZ86748.1	#00ffa0
CAZ86747.1	#00ffa0
CAZ86746.1	#00ffa0
CAZ86744.1	#00ffa2
CAZ86743.1	#00ffa0
AAU29518.2	#610061
AAW69833.1	#aeff00
XP_053173467.1	#00fffc
XP_053172453.1	#c7ff00
XP_053172165.1	#4600dd
XP_053172162.1	#2c00ed
XP_053172031.1	#00f5ff
XP_053172030.1	#0097ff
XP_053172029.1	#0097ff
XP_053172028.1	#28ff00
BAD02410.1	#00ff81
XP_076963770.1	#28ff00
XP_076962366.1	#00ff66
XP_076718396.1	#0600fe
AVR48112.1	#00ffc3
AVR48109.1	#00ffc3
XP_044762149.1	#1500f9
XP_044762148.1	#005eff
XP_044752860.1	#3bff00
XP_044756378.1	#610061
XP_044753272.1	#610061
APY20584.1	#610061
ABC75819.1	#610061
ABC75817.1	#acff00
Q95YI3.1	#7aff00
XP_031353294.1	#620062
XP_031335339.1	#00ffcb
APY20649.1	#4eff00
APY20648.1	#620062
APY20647.1	#64ff00
APY20564.1	#610061
APY20563.1	#7fff00
AXY64822.1	#620062
AXY64804.1	#620062
AXY64777.1	#620062
AXY64749.1	#610061
AXY64727.1	#620062
AXY64724.1	#620062
AXY64715.1	#620062
AXY64697.1	#620062
AXY64664.1	#620062
AXY64659.1	#620062
AXY64578.1	#4eff00
AXY64576.1	#4eff00
AXY64503.1	#4eff00
ALB48854.1	#620062
ALB48826.1	#4eff00
BAM72016.1	#00ff90
BAM72015.1	#bcff00
BAM72014.1	#00f3ff
BAM72013.1	#00ff15
WIF22033.1	#610061
AGL76522.1	#caff00
AGL76521.1	#aeff00
AGL76520.1	#caff00
AGL76517.1	#caff00
AGL76516.1	#00ff32
AGL76515.1	#00ff38
AGL76514.1	#00ff36
XP_056462871.1	#4c00d7
XP_056461797.1	#00ff22
XP_056461796.1	#2fff00
XP_056461340.1	#0f00fb
XP_056461146.1	#06ff00
XP_056448229.1	#00ff99
AJD38793.1	#4c00d7
XP_005175090.2	#00b5ff
XP_019891233.2	#34ff00
XP_058986187.1	#00fcff
XP_005190072.1	#610061
XP_005186097.1	#3aff00
XP_005182995.1	#00caff
XP_005182983.1	#20ff00
AFP62392.1	#0056ff
AFP60345.1	#24ff00
ACC77721.1	#610061
ABI97876.1	#b1ff00
XP_060148294.1	#57ff00
XP_030709585.2	#4a00d9
XP_030696821.1	#00f1ff
AAP13015.1	#59ff00
AAC12762.1	#00f1ff
NP_001009871.1	#aaff00
NP_001009242.1	#00ff8d
XP_019678889.1	#adff00
XP_019678887.1	#2000f4
XP_003983068.1	#4200e0
XP_035239401.1	#00ff84
XP_035237351.1	#00deff
XP_035237343.1	#00ff59
ACT34385.1	#4900da
ACT34384.1	#00ff59
2206482A	#00ff84
XP_004548807.3	#4aff00
XP_004571970.3	#0046ff
XP_004571972.3	#a1ff00
XP_004546142.2	#00ffa4
XP_004548809.1	#2eff00
XP_004548806.1	#00dfff
XP_004538122.1	#0bff00
NP_001297003.1	#610061
NP_001297001.1	#4c00d8
ADJ54173.1	#610061
AAY26029.1	#00ff95
ADI72254.1	#2fff00
ADI72253.1	#31ff00
ADI72141.1	#004cff
ADW80533.1	#2eff00
ADW80522.1	#c3ff00
ADW80520.1	#004cff
XP_045760260.1	#00efff
XP_045728166.1	#a3ff00
AAP13021.1	#00efff
ACC77722.1	#610061
ABI97877.1	#aeff00
XP_018545448.2	#610061
XP_018553461.1	#00ff73
XP_018542041.1	#32ff00
XP_018541506.1	#00f8ff
XP_018541321.1	#00f1ff
XP_018541320.1	#00d0ff
XP_018540731.1	#00e4ff
XP_018535504.1	#0039ff
XP_018535500.1	#0300ff
XP_018535499.1	#5a00c9
XP_018535498.1	#c9ff00
XP_018535497.1	#d6ff00
ABY84501.1	#3a00e5
QGW08860.1	#c0ff00
QGW08849.1	#008dff
QGW08839.1	#00ff94
XP_040594855.1	#00ff85
XP_040584564.1	#610061
XP_021080461.1	#00ff85
XP_005086977.1	#00ff98
XP_005066157.1	#00ff72
XP_061718855.1	#00ffeb
XP_061707777.1	#1d00f5
AVR48193.1	#00ff2a
XP_060619190.2	#002bff
XP_060619192.2	#b8ff00
XP_060632340.1	#610061
XP_060629110.1	#00ff72
XP_060622239.1	#00fffa
ADJ54167.1	#610061
ADJ54166.1	#610061
ADJ54165.1	#610061
ADI72248.1	#2eff00
XP_046197189.1	#00f5ff
XP_046197184.1	#00ffbb
XP_046197169.1	#00ffe7
XP_046169133.1	#beff00
XP_046152762.1	#bfff00
XP_046221086.1	#00ff6f
AAP58345.1	#3800e6
AAP58344.1	#610061
AAP58343.1	#06ff00
AAP58341.1	#beff00
CCO61975.1	#5f00c3
CCO61974.1	#64ff00
CCO61973.1	#30ff00
CCP46950.1	#4aff00
XP_021702394.1	#004bff
XP_021698798.1	#610061
XP_001652725.2	#60ff00
XP_023797951.1	#00ff55
XP_023790816.1	#00ff79
CAD23111.1	#0081ff
XP_032746333.1	#00ff57
XP_032763313.1	#00ff91
XP_032761131.1	#610061
XP_014748884.1	#0040ff
XP_014748882.1	#b4ff00
XP_014746281.1	#610061
XP_014746280.1	#610061
XP_014728099.1	#00ff55
XP_014729568.1	#00ff79
XP_074706113.1	#00ff51
XP_074692878.1	#00ff85
ABP88810.1	#00ffe2
ABP88809.1	#00ceff
ABP88808.1	#00eeff
BAO03865.1	#0c00fc
BAO03864.1	#9bff00
XP_045137882.1	#3bff00
XP_045137354.1	#009cff
XP_045137353.1	#00d0ff
XP_045137352.1	#00cdff
XP_045137350.1	#00ffd2
XP_045137349.1	#00d0ff
XP_045136029.1	#15ff00
XP_045136024.1	#2e00ed
XP_045136020.1	#2300f2
XP_045120280.1	#610061
XP_045110164.1	#610061
XP_045112673.1	#610061
XP_045111199.1	#00f4ff
XP_012612642.1	#a9ff00
XP_012644610.1	#5b00c9
XP_012640760.1	#00ff81
AGI97271.1	#5b00c8
AGI97267.1	#5b00c8
AGI97266.1	#5b00c8
NP_001138556.1	#610061
NP_001138553.1	#abff00
XP_056660668.1	#00ff9b
XP_001366225.1	#00ff9b
Q25158.1	#00d0ff
Q25157.1	#00fffb
QGW08861.1	#beff00
QGW08850.1	#00a6ff
QGW08840.1	#00ff96
XP_050348207.1	#00ffe8
KAK2096575.1	#6200bf
XP_045556165.1	#beff00
XP_013988742.2	#8bff00
XP_013988558.2	#b1ff00
XP_014023318.1	#00ffbb
XP_014023316.1	#04ff00
XP_014021930.1	#bbff00
NP_001117180.1	#610061
NP_001117179.1	#09ff00
NP_001117178.1	#3d00e3
NP_001117177.1	#b1ff00
UVF22963.1	#c0ff00
UVF22960.1	#8dff00
UVF22958.1	#09ff00
UVF22957.1	#00ffeb
UVF22955.1	#3700e7
UVF22954.1	#610061
UVF22953.1	#00ff55
NP_001117009.1	#00ff55
NP_001117008.1	#1aff00
XP_044736045.1	#610061
XP_044727952.1	#56ff00
XP_044733194.1	#00fff3
XP_063052651.1	#00ff38
XP_063056615.1	#00ffe5
XP_063072848.1	#610061
XP_063071576.1	#80ff00
XP_063071569.1	#c4ff00
XP_063071568.1	#7fff00
XP_063071555.1	#37ff00
XP_063071554.1	#3aff00
XP_063071553.1	#37ff00
XP_063071550.1	#0089ff
XP_063071549.1	#00b4ff
XP_063071547.1	#00c3ff
XP_063071546.1	#00ff2c
XP_063071545.1	#00ff20
XP_063071004.1	#00ffa2
XP_063064870.1	#00ff9c
AJD38755.1	#3c00e4
AJD38754.1	#2000f4
XP_050840470.1	#c4ff00
XP_018779998.1	#00ff79
XP_009097607.1	#00ff79
XP_009096609.1	#00ff55
NP_001289029.1	#610061
XP_024083078.1	#610061
XP_024081978.1	#0061ff
XP_014244895.1	#5600cd
XP_014244894.1	#0002ff
XP_058873367.1	#afff00
XP_033858485.3	#0a00fd
XP_034767254.2	#00ff72
XP_033911878.3	#00ffae
XP_058844578.1	#00ff2c
XP_058841824.1	#610061
XP_033888787.2	#610061
RXM92748.1	#00a0ff
RXM91125.1	#00ff2c
RXM31678.1	#00ff7c
RXM30475.1	#610061
XP_072438886.1	#00ffb1
XP_072423692.1	#84ff00
XP_055852478.1	#5300d1
XP_055849681.1	#27ff00
XP_055846891.1	#700097
XP_055845990.1	#00e7ff
XP_055845989.1	#00fdff
XP_055840463.1	#610061
XP_055840462.1	#610061
XP_055840461.1	#630064
XP_055840460.1	#6300bd
XP_055839925.1	#5cff00
XP_055839716.1	#00ff0d
XP_055839715.1	#00ff32
XP_055839710.1	#00ff11
XP_055839709.1	#00f1ff
XP_055839708.1	#00fbff
QGW08865.1	#ddff00
QGW08854.1	#0094ff
QGW08843.1	#00ff8a
UJY64326.1	#610061
QIW86051.1	#2eff00
QIW86050.1	#45ff00
QIW86049.1	#77ff00
QIW86048.1	#58ff00
QIW86047.1	#ff9900
QIW86046.1	#fff000
QIW86045.1	#41ff00
QIW86043.1	#46ff00
QIW86042.1	#9aff00
QIW86041.1	#7dff00
QIW86037.1	#a8ff00
QIW86036.1	#70ff00
QIW86035.1	#5eff00
QIW86034.1	#00aaff
QIW86033.1	#00a7ff
QIW86032.1	#47ff00
QIW86031.1	#00b9ff
QIW86030.1	#00e1ff
QIW86029.1	#69ff00
QIW86028.1	#00fff3
QIW86027.1	#00eeff
QIW86026.1	#00aaff
QIW86025.1	#17ff00
QIW86023.1	#7cff00
AUC64078.1	#0085ff
AUC64077.1	#ff9800
ABG37007.1	#7bff00
ABG37009.1	#c5ff00
ABG37008.1	#ffb500
GLG99913.1	#60ff00
GLH14972.1	#610061
BAR40297.1	#60ff00
BAR40296.1	#4700db
AEG78683.1	#8bff00
XP_029630658.1	#2700f0
XP_029630657.1	#8bff00
XP_029630656.1	#b1ff00
XP_029579610.1	#00ff55
XP_029550432.1	#b9ff00
XP_029549395.1	#00ffb8
XP_029549394.1	#00ffeb
XP_029549393.1	#08ff00
XP_029549391.1	#00ff1b
XP_029576112.1	#1aff00
XP_029604100.1	#beff00
XP_029604099.1	#beff00
AVR48106.1	#00ffc3
BAM66995.1	#1200fa
BAH57295.1	#99ff00
BAH57294.1	#2b00ee
BAH57293.1	#0051ff
BAH57292.1	#67006c
BAJ22054.1	#a8ff00
BAJ22053.1	#a3ff00
BAJ22052.1	#2e00ed
BAJ22051.1	#610061
XP_025762987.1	#4fff00
XP_003448804.1	#610061
XP_003448394.1	#00baff
XP_003448392.1	#36ff00
XP_003442679.1	#005fff
XP_003442678.1	#4b00d8
XP_003442677.1	#baff00
XP_003439053.1	#00ff7c
ADW80529.1	#4b00d8
ADW80526.1	#2dff00
ADW80524.1	#00faff
QTX16876.1	#00ff11
QTX16875.1	#00ffe5
QTX16874.1	#d3ff00
XP_042242670.1	#00eaff
XP_042242661.1	#00eaff
XP_042242633.1	#009fff
XP_042233138.1	#0012ff
XP_042222541.1	#4bff00
XP_042222540.1	#4eff00
KAG7175957.1	#00fbff
KAG7168715.1	#62ff00
KAG7157296.1	#73ff00
KAG7154882.1	#00ddff
AAU29518.2	#610061
AAW69833.1	#aeff00
XP_004018583.1	#00ff97
XP_004008096.1	#3600e7
NP_663358.1	#00ff89
NP_032132.1	#00ff57
P51491.1	#610061
XP_017176982.1	#00ff89
XP_006505924.1	#00ff90
XP_006505923.1	#00ff44
AAA63392.1	#00ff89
EDK99546.1	#00a5ff
AAR08201.1	#00ffe7
XP_062315134.1	#05ff00
XP_062303476.1	#98ff00
XP_062324816.1	#0062ff
XP_062319026.1	#baff00
XP_062319013.1	#b8ff00
AKG27054.1	#b9ff00
AAY26034.1	#00ff8e
AAX11208.1	#c3ff00
ADB98062.1	#4aff00
ADA77646.1	#00d8ff
AAY26071.1	#2eff00
XP_059926110.1	#4f00d5
XP_059926109.1	#4f00d5
XP_059926108.1	#0c00fc
XP_059924912.1	#00ff22
XP_059924911.1	#2aff00
XP_059924910.1	#2aff00
XP_059902151.1	#00ffba
XP_014984036.2	#c4ff00
XP_001094250.1	#00ff8d
XP_001091869.1	#5d00c5
XCG46322.1	#19ff00
XCG46316.1	#00ff85
XP_044207687.1	#00feff
XP_044204674.1	#5500cf
XP_044203741.1	#0099ff
XP_044203739.1	#00f2ff
XP_044203738.1	#00ffa3
XP_044203737.1	#00fff5
XP_044203734.1	#34ff00
XP_044190493.1	#00faff
XP_046836017.1	#32ff00
XP_046827432.1	#2f00ec
XP_046837746.1	#610061
CAA30644.1	#00ff25
BBA85529.1	#6d007d
BBA85528.1	#00ffc2
BBA85527.1	#00fffa
BBA85526.1	#0eff00
BBA85525.1	#a0ff00
BBA85524.1	#00ff9f
BBA85523.1	#00ffc2
BBA85521.1	#0eff00
BBA85441.1	#a0ff00
ACC77715.1	#610061
ABY84502.1	#0f00fb
ABY84496.1	#beff00
NP_001298010.1	#610061
XP_033927774.1	#008eff
XP_033927629.1	#b4ff00
XP_012983668.1	#00ff5f
XP_005145855.1	#00ff5f
XP_005142888.1	#00ff79
BFM47289.1	#00ffac
P22269.1	#00ff55
XP_065361768.1	#610061
XP_065358973.1	#610061
XP_065356544.1	#008aff
XP_065355107.1	#00ff64
XP_065371719.1	#00daff
XP_065369707.1	#31ff00
CAI47590.1	#31ff00
CAI47589.1	#00a7ff
CAI47588.1	#610061
ART29976.1	#610061
ART29975.1	#0900fd
ART29974.1	#8bff00
CAD23114.1	#0047ff
AZT81967.1	#aeff00
AZT81921.1	#00ff8f
UJY64326.1	#610061
QIW86051.1	#2eff00
QIW86050.1	#45ff00
QIW86049.1	#77ff00
QIW86048.1	#58ff00
QIW86047.1	#ff9900
QIW86046.1	#fff000
QIW86045.1	#41ff00
QIW86043.1	#46ff00
QIW86042.1	#9aff00
QIW86041.1	#7dff00
QIW86037.1	#a8ff00
QIW86036.1	#70ff00
QIW86035.1	#5eff00
QIW86034.1	#00aaff
QIW86033.1	#00a7ff
QIW86032.1	#47ff00
QIW86031.1	#00b9ff
QIW86030.1	#00e1ff
QIW86029.1	#69ff00
QIW86028.1	#00fff3
QIW86027.1	#00eeff
QIW86026.1	#00aaff
QIW86025.1	#17ff00
QIW86023.1	#7cff00
AUC64078.1	#0085ff
AUC64077.1	#ff9800
ABG37007.1	#7bff00
ABG37009.1	#c5ff00
ABG37008.1	#ffb500
XP_025908924.1	#26ff00
XP_025908923.1	#00ff87
