comp_db_id	Full_Species	Accession	maxid	longcore_id	murwes_id	caves_id	porter2005_id	porter2006_id	LambdaMax	Column1
73	Daphnia magna						1		434	
74	Daphnia magna						1		525	
75	Daphnia magna						1		608	
76	Acipenser transmontanus		3						531	
77	Argiope amoena			2					540	
78	Alima pacifica				2				467	
79	Acipenser ruthenus					2			545	
80	Acartia tonsa						2		485	
81	Acipenser transmontanus		4						605	
82	Argiope bruennichi			3					360	
83	Antheraea polyphemus				3				355	
84	Balanus amphitrite						3		532	
85	Acipenser medirostris		5						540	
86	Argiope bruennichi			4					490	
87	Apodemia mormo				4				556	
88	Scaphirhynchus albus					4			538	
89	Acipenser medirostris		6						465	
90	Argiope bruennichi			5					540	
91	Archaeomysis grebnitzkii				5				496	
92	Scaphirhynchus platorynchus					5			534	
93	Balanus balanoides						5		520	
94	Acipenser medirostris		7						538	
95	Cupiennius salei			6					340	
96	Archaeopropona demophon				6				554	
97	Polyodon spathula					6			540	
98	Balanus eburneus						6		532	
99	Acipenser medirostris		8						614	
100	Cupiennius salei			7					480	
101	Asterocampa leilia				7				555	
102	Albula vulpes					7			500	
103	Cymatogaster aggregata		9						500	
104	Cupiennius salei			8					520	
105	Balanus amphitrite				8				495	
106	Bellocia  koefoedi					8			477	
107	Coronis scolopendra						8		494	
108	Coronis scolopendra						8		407	
109	Coronis scolopendra						8		436	
110	Coronis scolopendra						8		489	
111	Coronis scolopendra						8		518	
112	Coronis scolopendra						8		529	
113	Coronis scolopendra						8		533	
114	Coronis scolopendra						8		441	
115	Coronis scolopendra						8		468	
116	Coronis scolopendra						8		517	
117	Cymatogaster aggregata		10						455	
118	Menemerus confusus			9					360	
119	Balanus eburneus				9				495	
120	Conocara macroptera					9			478	
121	Lysiosqullia sulcata						9		499	
122	Lysiosqullia sulcata						9		397	
123	Lysiosqullia sulcata						9		434	
124	Lysiosqullia sulcata						9		492	
125	Lysiosqullia sulcata						9		516	
126	Lysiosqullia sulcata						9		517	
127	Lysiosqullia sulcata						9		538	
128	Lysiosqullia sulcata						9		416	
129	Lysiosqullia sulcata						9		461	
130	Lysiosqullia sulcata						9		500	
131	Cymatogaster aggregata		11						528	
132	Menemerus confusus			10					490	
133	Bombus terrestris				10				346.86	
134	Conocara macroptera					10			476	
135	Pullosquilla litoralis						10		509	
136	Pullosquilla litoralis						10		404	
137	Pullosquilla litoralis						10		425	
138	Pullosquilla litoralis						10		469	
139	Pullosquilla litoralis						10		509	
140	Pullosquilla litoralis						10		527	
141	Pullosquilla litoralis						10		540	
142	Pullosquilla litoralis						10		446	
143	Pullosquilla litoralis						10		455	
144	Pullosquilla litoralis						10		482	
145	Cymatogaster aggregata		12						532	
146	Menemerus confusus			11					530	
147	Bombyx mori				11				350	
148	Conocara salmonea					11			476	
149	Pullosquilla litoralis						11		446	
150	Amia calva		13						527	
151	Menemerus confusus			12					538	
152	Calappa flammea				12				485.2	
153	Rouleina attrita					12			485	
154	Pullosquilla thomassini						12		467	
155	Pullosquilla thomassini						12		405	
156	Amia calva		14						457	
157	Menemerus confusus			13					580	
158	Callinectes ornatus				13				498.5	
159	Rouleina maderensis					13			477	
160	Pullosquilla thomassini						13		447	
161	Amia calva		15						556	
162	Phidippus regius			14					370	
163	Callinectes sapidus				14				477	
164	Talismania antillarum					14			476	
165	Gonodactylellus affinis						14		500	
166	Gonodactylellus affinis						14		400	
167	Gonodactylellus affinis						14		424	
168	Gonodactylellus affinis						14		496	
169	Gonodactylellus affinis						14		521	
170	Gonodactylellus affinis						14		546	
171	Gonodactylellus affinis						14		541	
172	Gonodactylellus affinis						14		454	
173	Gonodactylellus affinis						14		474	
174	Gonodactylellus affinis						14		509	
175	Amia calva		16						624	
176	Phidippus regius			15					532	
177	Cambarellus shufeldtii				15				526	
178	Xenodermichthys  copei					15			478	
179	Gonodactylaceus falcatus						15		510	
180	Gonodactylaceus falcatus						15		400	
181	Gonodactylaceus falcatus						15		443	
182	Gonodactylaceus falcatus						15		513	
183	Gonodactylaceus falcatus						15		527	
184	Gonodactylaceus falcatus						15		532	
185	Gonodactylaceus falcatus						15		553	
186	Gonodactylaceus falcatus						15		443	
187	Gonodactylaceus falcatus						15		475	
188	Gonodactylaceus falcatus						15		518	
189	Plexippus validus			16					360	
190	Cambarus ludovicianus				16				528	
191	Barbantus curvifrons					16			478	
192	Gonodactylaceus falcatus						16		499	
193	Plexippus validus			17					520	
194	Cataglyphis bicolor				17				347	
195	Platytroctes apus					17			475	
196	Gonodactylus smithii						17		517	
197	Gonodactylus smithii						17		400	
198	Gonodactylus smithii						17		440	
199	Gonodactylus smithii						17		505	
200	Gonodactylus smithii						17		528	
201	Gonodactylus smithii						17		536	
202	Gonodactylus smithii						17		552	
203	Gonodactylus smithii						17		436	
204	Gonodactylus smithii						17		469	
205	Gonodactylus smithii						17		512	
206	Gymnothorax favagineus		19						487	
207	Daphnia magna			18					348	
208	Clibanarius vittatus				18				509.6	
209	Searsia koefoedi					18			476	
210	Gonodactylopsis spongicola						18		506	
211	Gonodactylopsis spongicola						18		401	
212	Gonodactylopsis spongicola						18		444	
213	Gonodactylopsis spongicola						18		505	
214	Gonodactylopsis spongicola						18		525	
215	Gonodactylopsis spongicola						18		536	
216	Gonodactylopsis spongicola						18		474	
217	Gonodactylopsis spongicola						18		507	
218	Gonodactylopsis spongicola						18		448	
219	Gymnothorax favagineus		20						501	
220	Daphnia magna			19					434	
221	Coenobita clypeatus				19				506.2	
222	Searsia koefoedi					19			480	
223	Neogonodactylus curacaoensis						19		467	
224	Neogonodactylus curacaoensis						19		400	
225	Gymnothorax reticularis		21						486	
226	Daphnia magna			20					525	
227	Coenobita rugosa				20				489.5	
228	Neogonodactylus oertstedii						20		528	
229	Neogonodactylus oertstedii						20		400	
230	Neogonodactylus oertstedii						20		525	
231	Neogonodactylus oertstedii						20		520	
232	Neogonodactylus oertstedii						20		551	
233	Neogonodactylus oertstedii						20		429	
234	Neogonodactylus oertstedii						20		460	
235	Neogonodactylus oertstedii						20		489	
236	Gymnothorax reticularis		22						494	
237	Daphnia magna			21					608	
238	Colias erate				21				352	
239	Anguilla anguilla					21			482	
240	Hemisquilla ensigera						21		501	
241	Hemisquilla ensigera						21		414	
242	Hemisquilla ensigera						21		451	
243	Hemisquilla ensigera						21		499	
244	Hemisquilla ensigera						21		510	
245	Hemisquilla ensigera						21		535	
246	Hemisquilla ensigera						21		443	
247	Hemisquilla ensigera						21		473	
248	Hemisquilla ensigera						21		500	
249	Rhinomuraena quaesita		23						498	
250	Periplaneta americana			22					365	
251	Deilephila elpenor				22				440	
252	Anguilla bicolor					22			494	
253	Haptosquilla trispinosa						22		499	
254	Haptosquilla trispinosa						22		400	
255	Haptosquilla trispinosa						22		433	
256	Haptosquilla trispinosa						22		508	
257	Haptosquilla trispinosa						22		537	
258	Haptosquilla trispinosa						22		539	
259	Haptosquilla trispinosa						22		558	
260	Haptosquilla trispinosa						22		422	
261	Haptosquilla trispinosa						22		462	
262	Haptosquilla trispinosa						22		510	
263	Rhinomuraena quaesita		24						493	
264	Periplaneta americana			23					505	
265	Engaeus cunicularius				23				526	
266	Anguilla japonica					23			497	
267	Pseudosquilla ciliata						23		498	
268	Pseudosquilla ciliata						23		400	
269	Pseudosquilla ciliata						23		433	
270	Pseudosquilla ciliata						23		498	
271	Pseudosquilla ciliata						23		517	
272	Pseudosquilla ciliata						23		535	
273	Pseudosquilla ciliata						23		539	
274	Pseudosquilla ciliata						23		425	
275	Pseudosquilla ciliata						23		452	
276	Pseudosquilla ciliata						23		510	
277	Strophidon sathete		25						487	
278	Carabus auratus			24					348	
279	Euphausia superba				24				485	
280	Derichthys serpentinus					24			489	
281	Odontodactylus brevirostris						24		490	
282	Odontodactylus brevirostris						24		402	
283	Odontodactylus brevirostris						24		457	
284	Odontodactylus brevirostris						24		495	
285	Odontodactylus brevirostris						24		524	
286	Odontodactylus brevirostris						24		511	
287	Odontodactylus brevirostris						24		535	
288	Odontodactylus brevirostris						24		452	
289	Odontodactylus brevirostris						24		460	
290	Odontodactylus brevirostris						24		589	
291	Strophidon sathete		26						509	
292	Carabus auratus			25					430	
293	Euphydryas chalcedona				25				370	
294	Odontodactylus havanensis						25		475	
295	Odontodactylus havanensis						25		407	
296	Atherina boyeri		27						511	
297	Carabus auratus			26					500	
298	Eurypanopeus depressus				26				490.1	
299	Odontodactylus scyllarus						26		503	
300	Odontodactylus scyllarus						26		400	
301	Odontodactylus scyllarus						26		430	
302	Odontodactylus scyllarus						26		487	
303	Odontodactylus scyllarus						26		509	
304	Odontodactylus scyllarus						26		528	
305	Odontodactylus scyllarus						26		546	
306	Odontodactylus scyllarus						26		429	
307	Odontodactylus scyllarus						26		451	
308	Odontodactylus scyllarus						26		506	
309	Atherina boyeri		28						570	
310	Carabus auratus			27					620	
311	Funchalia villosa				27				489	
312	Squilla empusa						27		517	
313	Atherina boyeri		29						435	
314	Carabus nemoralis			28					348	
315	Gecarcinus lateralis				28				485.2	
316	Squilla empusa						28		507	
317	Atherina boyeri		30						530	
318	Carabus nemoralis			29					430	
319	Gonodactylellus affinis				29				445	
320	Histiobranchus bathybius					29			477	
321	Squilla empusa						29		509	
322	Melanotaenia maccullochi		31						509	
323	Carabus nemoralis			30					500	
324	Gonodactylus oerstedii				30				345	
325	Histiobranchus bathybius					30			476	
326	Cloridopsis dubia						30		510	
327	Melanotaenia maccullochi		32						377	
328	Carabus nemoralis			31					620	
329	Gonostoma bathyphilum				31				481	
330	Gnathophausia ingens						31		490	
331	Gnathophausia ingens						31		520	
332	Melanotaenia maccullochi		33						409	
333	Coccinella septempunctata			32					360	
334	Gonostoma elongatum				32				483	
335	Synaphobranchus kaupii					32			478	
336	Melanotaenia maccullochi		34						443	
337	Coccinella septempunctata			33					520	
338	Gryllus bimaculatus				33				348	
339	Argentina silus					33			483	
340	Bowmaniella sp.						33		502	
341	Melanotaenia maccullochi		35						495	
342	Coccinella septempunctata			34					420	
343	Heliconius charithonia				34				549	
344	Opisthoproctus grimaldii					34			480	
345	Hemimysis anomala						34		393	
346	Hemimysis anomala						34		500	
347	Melanotaenia maccullochi		36						528	
348	Bicellonycha wickershamorum			35					400	
349	Heliconius erato				35				551	
350	Heteromysis formosa						35		499	
351	Bicellonycha wickershamorum			36					560	
352	Heliconius hecale				36				396	
353	Atherina boyeri					36			509	
354	Photinus collustrans			37					425	
355	Heliconius melpomene				37				557	
356	Melanotaenia maccullochi		39						578	
357	Photinus collustrans			38					560	
358	Heliconius numata				38				400	
359	Marosatherina ladigesi					38			507	
360	Neomysis integer						38		530	
361	Photinus macdermotti			39					400	
362	Hemicordulia tau				39				220	
363	Bathysaurus ferox					39			478	
364	Neomysis mercedis						39		521	
365	Marosatherina ladigesi		41						368	
366	Photinus macdermotti			40					575	
367	Hemigraspus edwardsi				40				513	
368	Bathysaurus mollis					40			477	
369	Mysis mixta						40		512.5	
370	Marosatherina ladigesi		42						452	
371	Photinus marginellus			41					375	
372	Hemigraspus sanguineus				41				480	
373	Ahliesaurus berryi					41			487	
374	Mysis relicta sp.I						41		560	
375	Marosatherina ladigesi		43						461	
376	Photinus marginellus			42					565	
377	Hemisquilla ensigera				42				414	
378	Benthalbella  infans					42			451	
379	Mysis relicta sp.II						42		512.5	
380	Marosatherina ladigesi		44						481	
381	Photinus pyralis			43					375	
382	Hepatus epheliticus				43				486.6	
383	Scopelarchus analis					43			507	
384	Mysis relicta sp.IV						43		520	
385	Marosatherina ladigesi		45						531	
386	Photinus pyralis			44					570	
387	Hermeuptychia hermes				44				515	
388	Scopelarchus analis					44			445	
389	Mysis relicta sp.IV						44		505	
390	Mysis relicta sp.IV						44		520	
391	Marosatherina ladigesi		46						557	
392	Photinus scintillans			45					450	
393	Holmesimysis costata				45				512	
394	Scopelarchus analis					45			503	
395	Praunus inermis						45		525	
396	Photinus scintillans			46					580	
397	Homarus americanus				46				515	
398	Scopelarchus analis					46			479	
399	Praunus flexuosus						46		510	
400	Photuris frontalis			47					350	
401	Inachis io				47				530	
402	Synodus variegatus					47			493	
403	Phronima sedenteria						47		470	
404	Photuris frontalis			48					560	
405	Ischnura heterosticta				48				360	
406	Opsanus tau					48			503	
407	Ligia exotica						48		340	
408	Ligia exotica						48		460	
409	Ligia exotica						48		520	
410	Photuris lucicrescens			49					350	
411	Janicella spinacauda				49				500	
412	Belone belone					49			509	
413	Talitrus saltator						49		450	
414	Photuris lucicrescens			50					440	
415	Junonia coenia				50				510	
416	Melamphaes suborbitalis					50			482	
417	Synodus variegatus		52						368	
418	Photuris lucicrescens			51					550	
419	Leptograspus variegatus				51				513	
420	Poromitra capito					51			481	
421	Euphausia superba						51		485	
422	Synodus variegatus		53						482	
423	Photuris potomaca			52					375	
424	Libinia dubia				52				488.7	
425	Poromitra megalops					52			487	
426	Euphausia pacifica						52		462	
427	Synodus variegatus		54						503	
428	Photuris potomaca			53					560	
429	Libinia emarginata				53				493	
430	Scopelogadus beanii					53			482	
431	Meganyctiphanes norvegica						53		490	
432	Drosophila melanogaster			54					345	
433	Limenitis archippus				54				514	
434	Lipophrys pholis					54			515	
435	Meganyctiphanes norvegica						54		462.5	
436	Belone belone		56						422	
437	Drosophila melanogaster			55					370	
438	Limenitis lorquini				55				530	
439	Lepomis macrochirus					55			538	
440	Meganyctiphanes norvegica						55		462	
441	Belone belone		57						508	
442	Drosophila melanogaster			56					440	
443	Limenitis weidemeyerii				56				530	
444	Astyanax fasciatus					56			520	
445	Meganyctiphanes norvegica						56		460	
446	Meganyctiphanes norvegica						56		490	
447	Meganyctiphanes norvegica						56		515	
448	Drosophila melanogaster			57					480	
449	Limulus polyphemus				57				520	
450	Paracheirodon innesi					57			523	
451	Meganyctiphanes norvegica						57		488	
452	Dermogenys pusilla		59						507	
453	Drosophila melanogaster			58					520	
454	Lycaena rubidus				58				360	
455	Metynnis argenteus					58			533	
456	Nematobrachion boopis						58		488	
457	Dermogenys pusilla		60						377	
458	Musca domestica			59					335	
459	Lysiosquillina maculate				59				501	
460	Aequidens pulcher					59			507	
461	Nematobrachion sexspinosus						59		478	
462	Dermogenys pusilla		61						526	
463	Musca domestica			60					355	
464	Malacosteus niger				60				425	
465	Aequidens pulcher					60			501	
466	Stylocheiron maximum						60		479	
467	Dermogenys pusilla		62						572	
468	Musca domestica			61					460	
469	Mamestra brassicae				61				350	
470	Amphilophus longimanus					61			525	
471	Stylocheiron maximum						61		470	
472	Dermogenys pusilla		63						483	
473	Musca domestica			62					490	
474	Meganyctiphanes norvegica				62				488	
475	Astatotilapia burtoni					62			500	
476	Nematoscelis megalops						62		465	
477	Musca domestica			63					530	
478	Aulonocara hueseri					63			496	
479	Thysanopoda acutifrons						63		480	
480	Eristalis tenax			64					350	
481	Myrmecia croslandi				64				370	
482	Copadichromis borleyi					64			494	
483	Thysanopoda orientalis						64		478	
484	Dermogenys pusilla		66						545	
485	Eristalis tenax			65					450	
486	Myrmecia vindex				65				370	
487	Crenicichla frenata					65			520	
488	Thysanoessa raschii						65		462.5	
489	Myripristis berndti		67						495	
490	Eristalis tenax			66					520	
491	Mysis diluviana				66				503	
492	Cynotilapia afra					66			496	
493	Plesiopenaeus armatus						66		493	
494	Myripristis berndti		68						514	
495	Notonecta glauca			67					350	
496	Mysis relicta				67				520	
497	Dimidiochromis compressiceps					67			498	
498	Bentheogennema intermedia						67		494	
499	Myripristis berndti		69						506	
500	Notonecta glauca			68					420	
501	Mysis salemaai				68				521.2	
502	Haplochromis azurea					68			503	
503	Bentheogennema pasithea						68		500	
504	Neoniphon sammara		70						502	
505	Notonecta glauca			69					567	
506	Nematobrachion boopis				69				487	
507	Haplochromis ishmaeli					69			507	
508	Gennadas sp.						69		495	
509	Neoniphon sammara		71						446	
510	Notonecta insulata			70					375	
511	Nematobrachion sexpinosum				70				478	
512	Haplochromis nyererei					70			505	
513	Gennadas valens						70		495	
514	Neoniphon sammara		72						512	
515	Notonecta insulata			71					475	
516	Neogonodactylus oerstedii				71				208	
517	Haplochromis piceatus					71			503	
518	Funchalia villosa						71		489	
519	Sargocentron xantherythrum		73						490	
520	Notonecta insulata			72					520	
521	Neominois ridingsii				72				531	
522	Haplochromis pyrrhocephalus					72			519	
523	Penaeus duororum						72		516	
524	Sargocentron xantherythrum		74						447	
525	Notonecta irrorata			73					375	
526	Neomysis americana				73				520	
527	Lethrinops parvidens					73			489	
528	Penaeus penicillatus						73		480	
529	Penaeus penicillatus						73		570	
530	Sargocentron xantherythrum		75						516	
531	Notonecta irrorata			74					475	
532	Notostomus elegans				74				490	
533	Melanochromis auratus					74			497	
534	Sergestes arcticus						74		495	
535	Sargocentron xantherythrum		76						509	
536	Notonecta irrorata			75					520	
537	Notostomus gibbosus				75				490	
538	Melanochromis vermivorus					75			505	
539	Sergestes arcticus						75		475	
540	Neoceratodus forsteri		77						540	
541	Notonecta undulata			76					375	
542	Nymphalis antiopa				76				382	
543	Metriaclima barlowi					76			491	
544	Sergestes corniculum						76		500	
545	Neoceratodus forsteri		78						479	
546	Notonecta undulata			77					475	
547	Odontodactylus brevirostris				77				402	
548	Metriaclima livingstonii					77			495	
549	Sergestes curvatus						77		493	
550	Neoceratodus forsteri		79						558	
551	Notonecta undulata			78					520	
552	Odontodactylus scyllarus				78				400	
553	Metriaclima melabranchion					78			491	
554	Sergestes similis						78		495	
555	Neoceratodus forsteri		80						623	
556	Andrena florea			79					340	
557	Oeneis chryxus				79				531	
558	Mylochromis lateristriga					79			496	
559	Andrena florea			80					412	
560	Oplophorus sp.				80				405	
561	Protomelas taeniolatus					80			496	
562	Sergestes tenuiremis						80		495	
563	Astyanax fasciatus		82						449	
564	Andrena florea			81					536	
565	Orconectes virilis				81				510	
566	Pseudotropheus acei					81			505	
567	Sergia grandis						81		500	
568	Astyanax fasciatus		83						547	
569	Anthophora acervorum			82					348	
570	Pagurus annulipes				82				492.7	
571	Pseudotropheus tropheops					82			510	
572	Sergia maximus						82		495	
573	Astyanax fasciatus		84						572	
574	Anthophora acervorum			83					428	
575	Pagurus longicarpus				83				513.9	
576	Pundamilia luanso					83			505	
577	Sergia phorcus						83		495	
578	Anthophora acervorum			84					528	
579	Pandalus borealis				84				475	
580	Pundamilia pundamilia					84			506	
581	Sergia robustus						84		496	
582	Callonychium petuniae			85					360	
583	Panopeus herbstii				85				493	
584	Tramitichromis intermedius					85			505	
585	Sergia splendens						85		497	
586	Alosa kessleri		87						510	
587	Callonychium petuniae			86					404	
588	Panopeus obesus				86				493.5	
589	Tyrannochromis macrostoma					86			494	
590	Rimicaris exoculata						86		500	
591	Alosa kessleri		88						509	
592	Callonychium petuniae			87					536	
593	Papilio xuthus				87				360	
594	Chimaera monstrosa					87			485	
595	Alosa kessleri		89						557	
596	Callonychium petuniae			88					600	
597	Pasiphaea multidentata				88				497	
598	Hydrolagus mirabilis					88			475	
599	Crangon allmani						88		415	
600	Crangon allmani						88		525	
601	Oxea flavescens			89					370	
602	Photinus versicolor				89				380	
603	Hariotta raleighana					89			481	
604	Palaemonetes paladosus						89		539	
605	Oxea flavescens			90					435	
606	Phronima sedenteria				90				470	
607	Clupea harengus					90			503	
608	Palaemonetes vulgaris						90		390	
609	Palaemonetes vulgaris						90		540	
610	Oxea flavescens			91					536	
611	Pieris brassicae				91				360	
612	Clupea pallasii					91			501	
613	Palaemonetes vulgaris						91		496	
614	Palaemonetes vulgaris						91		555	
615	Apis mellifera			92					344	
616	Pieris rapae				92				340	
617	Sardinops sagax					92			502	
618	Pandalus montagui						92		515	
619	Clupea pallasii		94						514	
620	Apis mellifera			93					436	
621	Pilumnus sayi				93				489.1	
622	Abramis brama					93			537	
623	Plesionika martia						93		499	
624	Clupea pallasii		95						515	
625	Apis mellifera			94					544	
626	Platyberyx opalescens				94				474	
627	Engraulis japonicus					94			502	
628	Stylopandalus richardi						94		491	
629	Clupea pallasii		96						534	
630	Bombus distinguendis			95					350	
631	Pleuroncodes planipes				95				503	
632	Engraulis mordax					95			498	
633	Parapasiphaea sulcatifrons						95		501	
634	Clupea pallasii		97						529	
635	Bombus distinguendis			96					440	
636	Procambarus clarkii				96				556	
637	Anableps anableps					96			506	
638	Pasiphaea chacei						96		509	
639	Sardinops melanostictus		98						502	
640	Bombus distinguendis			97					540	
641	Procambarus milleri				97				522	
642	Alburnus alburnus					97			515	
643	Pasiphaea emarginata						97		497	
644	Sardinops melanostictus		99						393	
645	Bombus fervidus			98					350	
646	Pseudosquilla ciliata				98				403.17	
647	Ballerus ballerus					98			518	
648	Pasiphaea multidentata						98		497	
649	Sardinops melanostictus		100						493	
650	Bombus fervidus			99					450	
651	Pullosquilla litoralis				99				446	
652	Blicca bjoerkna					99			539	
653	Pasiphaea suspirosum						99		501	
654	Sardinops melanostictus		101						522	
655	Bombus hortorum			100					353	
656	Pullosquilla thomassini				100				447	
657	Carassius auratus					100			522	
658	Acanthephyra curtirostris						100		510	
659	Sardinops melanostictus		102						542	
660	Bombus hortorum			101					436	
661	Rhithropanopeus harrisii				101				495.2	
662	Carassius carassius					101			526	
663	Acanthephyra curtirostris						101		485	
664	Bombus hortorum			102					544	
665	Rynchophorus ferrugineus				102				366	
666	Cyprinus carpio					102			525	
667	Engraulis mordax		104						530	
668	Bombus hypnorum			103					524	
669	Schistocerca gregaria				103				441	
670	Danio malabaricus					103			505	
671	Acanthephyra microphthalma						103		482	
672	Engraulis mordax		105						532	
673	Bombus impatiens			104					352	
674	Sergestes arcticus				104				495	
675	Puntigrus tetrazona					104			504	
676	Acanthephyra purpurea						104		492	
677	Engraulis encrasicolus		106						500	
678	Bombus impatiens			105					450	
679	Sergestes corniculum				105				500	
680	Scardinius erythrophthalmus					105			537	
681	Acanthephyra smithi						105		510	
682	Engraulis encrasicolus		107						492	
683	Bombus jonellus			106					336	
684	Sergia grandis				106				500	
685	Scardinius erythrophthalmus					106			515	
686	Acanthephyra smithi						106		491	
687	Bombus jonellus			107					432	
688	Sesarma cinereum				107				491.1	
689	Tinca tinca					107			533	
690	Acanthephyra stylorostratis						107		489	
691	Engraulis encrasicolus		109						474	
692	Bombus jonellus			108					544	
693	Sesarma reticulatum				108				492.4	
694	Tribolodon hakonensis					108			522	
695	Hymenodora frontalis						108		495	
696	Bombus lapidarius			109					332	
697	Siproeta stelenes				109				522	
698	Cyprinodon variegatus					109			506	
699	Hymenodora glacialis						109		500	
700	Bombus lapidarius			110					432	
701	Speyeria leto				110				551	
702	Jordanella floridae					110			511	
703	Janicella spinacauda						110		400	
704	Janicella spinacauda						110		500	
705	Engraulis japonicus		112						492	
706	Bombus lapidarius			111					544	
707	Stylocheiron maximum				111				479	
708	Elops  saurus					111			518	
709	Meningodora miccyla						111		486	
710	Bombus monticola			112					336	
711	Sympetrum sp.				112				420	
712	Fundulus heteroclitus					112			503	
713	Meningodora vesca						112		487	
714	Engraulis japonicus		114						478	
715	Bombus monticola			113					440	
716	Systellaspis debilis				113				400	
717	Micropoecilia parae					113			503	
718	Notostomus elegans						113		490	
719	Bombus monticola			114					544	
720	Thysanopoda orientalis				114				478	
721	Poecilia formosa					114			504	
722	Notostomus gibbosus						114		480	
723	Abramis ballerus		116						518	
724	Bombus morio			115					352	
725	Uca pugilator				115				508	
726	Poecilia latipinna					115			503	
727	Oplophorus gracilirostris						115		400	
728	Oplophorus gracilirostris						115		500	
729	Abramis ballerus		117						451	
730	Bombus morio			116					428	
731	Uca pugnax				116				508	
732	Poecilia mexicana					116			504	
733	Oplophorus spinosus						116		400	
734	Oplophorus spinosus						116		500	
735	Abramis ballerus		118						537	
736	Bombus morio			117					548	
737	Xenos peckii				117				345.9	
738	Poecilia reticulata					117			503	
739	Oplophorus spinosus						117		492	
740	Abramis ballerus		119						620	
741	Bombus terrestris			118					328	
742	Abramis brama				118				537.2	
743	Esox lucius					118			521	
744	Systellaspis braueri						118		411	
745	Systellaspis braueri						118		500	
746	Bombus terrestris			119					428	
747	Abudefduf abdominalis				119				347	
748	Megalops atlanticus					119			500	
749	Systellaspis cristata						119		414	
750	Systellaspis cristata						119		498	
751	Bombus terrestris			120					536	
752	Abyssocottus korotneffi				120				481.3	
753	Aulorhynchus flavidus					120			499	
754	Systellaspis debilis						120		400	
755	Systellaspis debilis						120		498	
756	Colletes fulgidus			121					340	
757	Acanthephyra curtirostris				121				510	
758	Gaidropsarus mediterraneus					121			512	
759	Systellaspis debilis						121		400	
760	Systellaspis debilis						121		500	
761	Abramis brama		123						451	
762	Colletes fulgidus			122					532	
763	Acanthephyra smithi				122				510	
764	Microgadus proximus					122			497	
765	Systellaspis debilis						122		493	
766	Lestrimelitta limao			123					536	
