comp_db_id,Full_Species,LambdaMax,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id
179,Derichthys serpentinus,489.0,,,,,24,,
180,Odontodactylus brevirostris,"490, 402, 457, 495, 524, 511, 535, 452, 460, 589",,,,,,24,
181,Strophidon sathete,509.0,,26,,,,,
182,Carabus auratus,430.0,,,25,,,,
183,Euphydryas chalcedona,370.0,,,,25,,,
184,Odontodactylus havanensis,"475, 407",,,,,,25,
185,Atherina boyeri,511.0,,27,,,,,
186,Carabus auratus,500.0,,,26,,,,
187,Eurypanopeus depressus,490.1,,,,26,,,
188,Odontodactylus scyllarus,"503, 400, 430, 487, 509, 528, 546, 429, 451, 506 ",,,,,,26,
189,Atherina boyeri,570.0,,28,,,,,
190,Carabus auratus,620.0,,,27,,,,
191,Funchalia villosa,489.0,,,,27,,,
192,Squilla empusa,517,,,,,,27,
193,Atherina boyeri,435.0,,29,,,,,
194,Carabus nemoralis,348.0,,,28,,,,
195,Gecarcinus lateralis,485.2,,,,28,,,
196,Squilla empusa,507,,,,,,28,
197,Atherina boyeri,530.0,,30,,,,,
198,Carabus nemoralis,430.0,,,29,,,,
199,Gonodactylellus affinis,445.0,,,,29,,,
200,Histiobranchus bathybius,477.0,,,,,29,,
201,Squilla empusa,509,,,,,,29,
202,Melanotaenia maccullochi,509.0,,31,,,,,
203,Carabus nemoralis,500.0,,,30,,,,
204,Gonodactylus oerstedii,345.0,,,,30,,,
205,Histiobranchus bathybius,476.0,,,,,30,,
206,Cloridopsis dubia,510,,,,,,30,
207,Melanotaenia maccullochi,377.0,,32,,,,,
208,Carabus nemoralis,620.0,,,31,,,,
209,Gonostoma bathyphilum,481.0,,,,31,,,
210,Gnathophausia ingens,"490, 520",,,,,,31,
211,Melanotaenia maccullochi,409.0,,33,,,,,
212,Coccinella septempunctata,360.0,,,32,,,,
213,Gonostoma elongatum,483.0,,,,32,,,
214,Synaphobranchus kaupii,478.0,,,,,32,,
215,Melanotaenia maccullochi,443.0,,34,,,,,
216,Coccinella septempunctata,520.0,,,33,,,,
217,Gryllus bimaculatus,348.0,,,,33,,,
218,Argentina silus,483.0,,,,,33,,
219,Bowmaniella sp.,502,,,,,,33,
220,Melanotaenia maccullochi,495.0,,35,,,,,
221,Coccinella septempunctata,420.0,,,34,,,,
222,Heliconius charithonia,549.0,,,,34,,,
223,Opisthoproctus grimaldii,480.0,,,,,34,,
224,Hemimysis anomala,"393, 500",,,,,,34,
225,Melanotaenia maccullochi,528.0,,36,,,,,
226,Bicellonycha wickershamorum,400.0,,,35,,,,
227,Heliconius erato,551.0,,,,35,,,
228,Heteromysis formosa,499,,,,,,35,
229,Bicellonycha wickershamorum,560.0,,,36,,,,
230,Heliconius hecale,396.0,,,,36,,,
231,Atherina boyeri,509.0,,,,,36,,
232,Photinus collustrans,425.0,,,37,,,,
233,Heliconius melpomene,557.0,,,,37,,,
234,Melanotaenia maccullochi,578.0,,39,,,,,
235,Photinus collustrans,560.0,,,38,,,,
236,Heliconius numata,400.0,,,,38,,,
237,Marosatherina ladigesi,507.0,,,,,38,,
238,Neomysis integer,525-535,,,,,,38,
239,Photinus macdermotti,400.0,,,39,,,,
240,Hemicordulia tau,220.0,,,,39,,,
241,Bathysaurus ferox,478.0,,,,,39,,
242,Neomysis mercedis,521,,,,,,39,
243,Marosatherina ladigesi,368.0,,41,,,,,
244,Photinus macdermotti,575.0,,,40,,,,
245,Hemigraspus edwardsi,513.0,,,,40,,,
246,Bathysaurus mollis,477.0,,,,,40,,
247,Mysis mixta,505-520,,,,,,40,
248,Marosatherina ladigesi,452.0,,42,,,,,
249,Photinus marginellus,375.0,,,41,,,,
250,Hemigraspus sanguineus,480.0,,,,41,,,
251,Ahliesaurus berryi,487.0,,,,,41,,
252,Mysis relicta sp.I,550-570,,,,,,41,
253,Marosatherina ladigesi,461.0,,43,,,,,
254,Photinus marginellus,565.0,,,42,,,,
255,Hemisquilla ensigera,414.0,,,,42,,,
256,Benthalbella  infans,451.0,,,,,42,,
257,Mysis relicta sp.II,505-520,,,,,,42,
258,Marosatherina ladigesi,481.0,,44,,,,,
259,Photinus pyralis,375.0,,,43,,,,
260,Hepatus epheliticus,486.6,,,,43,,,
261,Scopelarchus analis,507.0,,,,,43,,
262,Mysis relicta sp.IV,520,,,,,,43,
263,Marosatherina ladigesi,531.0,,45,,,,,
264,Photinus pyralis,570.0,,,44,,,,
265,Hermeuptychia hermes,515.0,,,,44,,,
266,Scopelarchus analis,445.0,,,,,44,,
267,Mysis relicta sp.IV,"505, 520",,,,,,44,
268,Marosatherina ladigesi,557.0,,46,,,,,
269,Photinus scintillans,450.0,,,45,,,,
270,Holmesimysis costata,512.0,,,,45,,,
271,Scopelarchus analis,503.0,,,,,45,,
272,Praunus inermis,520-530,,,,,,45,
273,Photinus scintillans,580.0,,,46,,,,
274,Homarus americanus,515.0,,,,46,,,
275,Scopelarchus analis,479.0,,,,,46,,
276,Praunus flexuosus,505-515,,,,,,46,
277,Photuris frontalis,350.0,,,47,,,,
278,Inachis io,530.0,,,,47,,,
279,Synodus variegatus,493.0,,,,,47,,
280,Phronima sedenteria,470,,,,,,47,
281,Photuris frontalis,560.0,,,48,,,,
282,Ischnura heterosticta,360.0,,,,48,,,
283,Opsanus tau,503.0,,,,,48,,
284,Ligia exotica,"340, 460, 520",,,,,,48,
285,Photuris lucicrescens,350.0,,,49,,,,
286,Janicella spinacauda,500.0,,,,49,,,
287,Belone belone,509.0,,,,,49,,
288,Talitrus saltator,450,,,,,,49,
289,Photuris lucicrescens,440.0,,,50,,,,
290,Junonia coenia,510.0,,,,50,,,
291,Melamphaes suborbitalis,482.0,,,,,50,,
292,Synodus variegatus,368.0,,52,,,,,
293,Photuris lucicrescens,550.0,,,51,,,,
294,Leptograspus variegatus,513.0,,,,51,,,
295,Poromitra capito,481.0,,,,,51,,
296,Euphausia superba,485,,,,,,51,
297,Synodus variegatus,482.0,,53,,,,,
298,Photuris potomaca,375.0,,,52,,,,
299,Libinia dubia,488.7,,,,52,,,
300,Poromitra megalops,487.0,,,,,52,,
301,Euphausia pacifica,462,,,,,,52,
302,Synodus variegatus,503.0,,54,,,,,
303,Photuris potomaca,560.0,,,53,,,,
304,Libinia emarginata,493.0,,,,53,,,
305,Scopelogadus beanii,482.0,,,,,53,,
306,Meganyctiphanes norvegica,490,,,,,,53,
307,Drosophila melanogaster,345.0,,,54,,,,
308,Limenitis archippus,514.0,,,,54,,,
309,Lipophrys pholis,515.0,,,,,54,,
310,Meganyctiphanes norvegica,460-465,,,,,,54,
311,Belone belone,422.0,,56,,,,,
312,Drosophila melanogaster,370.0,,,55,,,,
313,Limenitis lorquini,530.0,,,,55,,,
314,Lepomis macrochirus,538.0,,,,,55,,
315,Meganyctiphanes norvegica,462,,,,,,55,
316,Belone belone,508.0,,57,,,,,
317,Drosophila melanogaster,440.0,,,56,,,,
318,Limenitis weidemeyerii,530.0,,,,56,,,
319,Astyanax fasciatus,520.0,,,,,56,,
320,Meganyctiphanes norvegica,"460, 490, 515",,,,,,56,
321,Drosophila melanogaster,480.0,,,57,,,,
322,Limulus polyphemus,520.0,,,,57,,,
323,Paracheirodon innesi,523.0,,,,,57,,
324,Meganyctiphanes norvegica,488,,,,,,57,
325,Dermogenys pusilla,507.0,,59,,,,,
326,Drosophila melanogaster,520.0,,,58,,,,
327,Lycaena rubidus,360.0,,,,58,,,
328,Metynnis argenteus,533.0,,,,,58,,
329,Nematobrachion boopis,488,,,,,,58,
330,Dermogenys pusilla,377.0,,60,,,,,
331,Musca domestica,335.0,,,59,,,,
332,Lysiosquillina maculate,501.0,,,,59,,,
333,Aequidens pulcher,507.0,,,,,59,,
334,Nematobrachion sexspinosus,478,,,,,,59,
335,Dermogenys pusilla,526.0,,61,,,,,
336,Musca domestica,355.0,,,60,,,,
337,Malacosteus niger,425.0,,,,60,,,
338,Aequidens pulcher,501.0,,,,,60,,
339,Stylocheiron maximum,479,,,,,,60,
340,Dermogenys pusilla,572.0,,62,,,,,
341,Musca domestica,460.0,,,61,,,,
342,Mamestra brassicae,350.0,,,,61,,,
343,Amphilophus longimanus,525.0,,,,,61,,
344,Stylocheiron maximum,470,,,,,,61,
345,Dermogenys pusilla,483.0,,63,,,,,
346,Musca domestica,490.0,,,62,,,,
347,Meganyctiphanes norvegica,488.0,,,,62,,,
348,Astatotilapia burtoni,500.0,,,,,62,,
349,Nematoscelis megalops,465,,,,,,62,
350,Musca domestica,530.0,,,63,,,,
351,Aulonocara hueseri,496.0,,,,,63,,
352,Thysanopoda acutifrons,480,,,,,,63,
353,Eristalis tenax,350.0,,,64,,,,
354,Myrmecia croslandi,370.0,,,,64,,,
355,Copadichromis borleyi,494.0,,,,,64,,
356,Thysanopoda orientalis,478,,,,,,64,
357,Dermogenys pusilla,545.0,,66,,,,,
358,Eristalis tenax,450.0,,,65,,,,
359,Myrmecia vindex,370.0,,,,65,,,
360,Crenicichla frenata,520.0,,,,,65,,
361,Thysanoessa raschii,460-465,,,,,,65,
362,Myripristis berndti,495.0,,67,,,,,
363,Eristalis tenax,520.0,,,66,,,,
364,Mysis diluviana,503.0,,,,66,,,
365,Cynotilapia afra,496.0,,,,,66,,
366,Plesiopenaeus armatus,493,,,,,,66,
367,Myripristis berndti,514.0,,68,,,,,
368,Notonecta glauca,350.0,,,67,,,,
369,Mysis relicta,520.0,,,,67,,,
370,Dimidiochromis compressiceps,498.0,,,,,67,,
371,Bentheogennema intermedia,494,,,,,,67,
372,Myripristis berndti,506.0,,69,,,,,
373,Notonecta glauca,420.0,,,68,,,,
374,Mysis salemaai,521.2,,,,68,,,
375,Haplochromis azurea,503.0,,,,,68,,
376,Bentheogennema pasithea,500,,,,,,68,
377,Neoniphon sammara,502.0,,70,,,,,
378,Notonecta glauca,567.0,,,69,,,,
379,Nematobrachion boopis,487.0,,,,69,,,
380,Haplochromis ishmaeli,507.0,,,,,69,,
381,Gennadas sp.,495,,,,,,69,
382,Neoniphon sammara,446.0,,71,,,,,
383,Notonecta insulata,375.0,,,70,,,,
384,Nematobrachion sexpinosum,478.0,,,,70,,,
385,Haplochromis nyererei,505.0,,,,,70,,
386,Gennadas valens,495,,,,,,70,
387,Neoniphon sammara,512.0,,72,,,,,
388,Notonecta insulata,475.0,,,71,,,,
389,Neogonodactylus oerstedii,208.0,,,,71,,,
390,Haplochromis piceatus,503.0,,,,,71,,
391,Funchalia villosa,489,,,,,,71,
392,Sargocentron xantherythrum,490.0,,73,,,,,
393,Notonecta insulata,520.0,,,72,,,,
394,Neominois ridingsii,531.0,,,,72,,,
395,Haplochromis pyrrhocephalus,519.0,,,,,72,,
396,Penaeus duororum,516,,,,,,72,
397,Sargocentron xantherythrum,447.0,,74,,,,,
398,Notonecta irrorata,375.0,,,73,,,,
399,Neomysis americana,520.0,,,,73,,,
400,Lethrinops parvidens,489.0,,,,,73,,
401,Penaeus penicillatus,"480, 570",,,,,,73,
402,Sargocentron xantherythrum,516.0,,75,,,,,
403,Notonecta irrorata,475.0,,,74,,,,
404,Notostomus elegans,490.0,,,,74,,,
405,Melanochromis auratus,497.0,,,,,74,,
406,Sergestes arcticus,495,,,,,,74,
407,15 xantherythrum,509.0,,76,,,,,
408,Notonecta irrorata,520.0,,,75,,,,
409,Notostomus gibbosus,490.0,,,,75,,,
410,Melanochromis vermivorus,505.0,,,,,75,,
411,Sergestes arcticus,475,,,,,,75,
412,Neoceratodus forsteri,540.0,,77,,,,,
413,Notonecta undulata,375.0,,,76,,,,
414,Nymphalis antiopa,382.0,,,,76,,,
415,Metriaclima barlowi,491.0,,,,,76,,
416,Sergestes corniculum,500,,,,,,76,
417,Neoceratodus forsteri,479.0,,78,,,,,
418,Notonecta undulata,475.0,,,77,,,,
419,Odontodactylus brevirostris,402.0,,,,77,,,
420,Metriaclima livingstonii,495.0,,,,,77,,
421,Sergestes curvatus,493,,,,,,77,
422,Neoceratodus forsteri,558.0,,79,,,,,
423,Notonecta undulata,520.0,,,78,,,,
424,Odontodactylus scyllarus,400.0,,,,78,,,
425,Metriaclima melabranchion,491.0,,,,,78,,
426,Sergestes similis,495,,,,,,78,
427,Neoceratodus forsteri,623.0,,80,,,,,
428,Andrena florea,340.0,,,79,,,,
429,Oeneis chryxus,531.0,,,,79,,,
430,Mylochromis lateristriga,496.0,,,,,79,,
431,Andrena florea,412.0,,,80,,,,
432,Oplophorus sp.,405.0,,,,80,,,
433,Protomelas taeniolatus,496.0,,,,,80,,
434,Sergestes tenuiremis,495,,,,,,80,
435,Astyanax fasciatus,449.0,,82,,,,,
436,Andrena florea,536.0,,,81,,,,
437,Orconectes virilis,510.0,,,,81,,,
438,Pseudotropheus acei,505.0,,,,,81,,
439,Sergia grandis,500,,,,,,81,
440,Astyanax fasciatus,547.0,,83,,,,,
441,Anthophora acervorum,348.0,,,82,,,,
442,Pagurus annulipes,492.7,,,,82,,,
443,Pseudotropheus tropheops,510.0,,,,,82,,
444,Sergia maximus,495,,,,,,82,
445,Astyanax fasciatus,572.0,,84,,,,,
446,Anthophora acervorum,428.0,,,83,,,,
447,Pagurus longicarpus,513.9,,,,83,,,
448,Pundamilia luanso,505.0,,,,,83,,
449,Sergia phorcus,495,,,,,,83,
450,Anthophora acervorum,528.0,,,84,,,,
451,Pandalus borealis,475.0,,,,84,,,
452,Pundamilia pundamilia,506.0,,,,,84,,
453,Sergia robustus,496,,,,,,84,
454,Callonychium petuniae,360.0,,,85,,,,
455,Panopeus herbstii,493.0,,,,85,,,
456,Tramitichromis intermedius,505.0,,,,,85,,
457,Sergia splendens,497,,,,,,85,
458,Alosa kessleri,510.0,,87,,,,,
459,Callonychium petuniae,404.0,,,86,,,,
460,Panopeus obesus,493.5,,,,86,,,
461,Tyrannochromis macrostoma,494.0,,,,,86,,
462,Rimicaris exoculata,500,,,,,,86,
463,Alosa kessleri,509.0,,88,,,,,
464,Callonychium petuniae,536.0,,,87,,,,
465,Papilio xuthus,360.0,,,,87,,,
466,Chimaera monstrosa,485.0,,,,,87,,
467,Alosa kessleri,557.0,,89,,,,,
468,Callonychium petuniae,600.0,,,88,,,,
469,Pasiphaea multidentata,497.0,,,,88,,,
470,Hydrolagus mirabilis,475.0,,,,,88,,
471,Crangon allmani,"415, 525",,,,,,88,
472,Oxea flavescens,370.0,,,89,,,,
473,Photinus versicolor,380.0,,,,89,,,
474,Hariotta raleighana,481.0,,,,,89,,
475,Palaemonetes paladosus,539,,,,,,89,
476,Oxea flavescens,435.0,,,90,,,,
477,Phronima sedenteria,470.0,,,,90,,,
478,Clupea harengus,503.0,,,,,90,,
479,Palaemonetes vulgaris,"390, 540",,,,,,90,
480,Oxea flavescens,536.0,,,91,,,,
481,Pieris brassicae,360.0,,,,91,,,
482,Clupea pallasii,501.0,,,,,91,,
483,Palaemonetes vulgaris,"496, 555",,,,,,91,
484,Apis mellifera,344.0,,,92,,,,
485,Pieris rapae,340.0,,,,92,,,
486,Sardinops sagax,502.0,,,,,92,,
487,Pandalus montagui,515,,,,,,92,
488,Clupea pallasii,514.0,,94,,,,,
489,Apis mellifera,436.0,,,93,,,,
490,Pilumnus sayi,489.1,,,,93,,,
491,Abramis brama,537.0,,,,,93,,
492,Plesionika martia,499,,,,,,93,
493,Clupea pallasii,515.0,,95,,,,,
494,Apis mellifera,544.0,,,94,,,,
495,Platyberyx opalescens,474.0,,,,94,,,
496,Engraulis japonicus,502.0,,,,,94,,
497,Stylopandalus richardi,491,,,,,,94,
498,Clupea pallasii,534.0,,96,,,,,
499,Bombus distinguendis,350.0,,,95,,,,
500,Pleuroncodes planipes,503.0,,,,95,,,
501,Engraulis mordax,498.0,,,,,95,,
502,Parapasiphaea sulcatifrons,501,,,,,,95,
503,Clupea pallasii,529.0,,97,,,,,
504,Bombus distinguendis,440.0,,,96,,,,
505,Procambarus clarkii,556.0,,,,96,,,
506,Anableps anableps,506.0,,,,,96,,
507,Pasiphaea chacei,509,,,,,,96,
508,Sardinops melanostictus,502.0,,98,,,,,
509,Bombus distinguendis,540.0,,,97,,,,
510,Procambarus milleri,522.0,,,,97,,,
511,Alburnus alburnus,515.0,,,,,97,,
512,Pasiphaea emarginata,497,,,,,,97,
513,Sardinops melanostictus,393.0,,99,,,,,
514,Bombus fervidus,350.0,,,98,,,,
515,Pseudosquilla ciliata,403.17,,,,98,,,
516,Ballerus ballerus,518.0,,,,,98,,
517,Pasiphaea multidentata,497,,,,,,98,
518,Sardinops melanostictus,493.0,,100,,,,,
519,Bombus fervidus,450.0,,,99,,,,
520,Pullosquilla litoralis,446.0,,,,99,,,
521,Blicca bjoerkna,539.0,,,,,99,,
522,Pasiphaea suspirosum,501,,,,,,99,
523,Sardinops melanostictus,522.0,,101,,,,,
524,Bombus hortorum,353.0,,,100,,,,
525,Pullosquilla thomassini,447.0,,,,100,,,
526,Carassius auratus,522.0,,,,,100,,
527,Acanthephyra curtirostris,510,,,,,,100,
528,Sardinops melanostictus,542.0,,102,,,,,
529,Bombus hortorum,436.0,,,101,,,,
530,Rhithropanopeus harrisii,495.2,,,,101,,,
531,Carassius carassius,526.0,,,,,101,,
532,Acanthephyra curtirostris,485,,,,,,101,
533,Bombus hortorum,544.0,,,102,,,,
534,Rynchophorus ferrugineus,366.0,,,,102,,,
535,Cyprinus carpio,525.0,,,,,102,,
536,Engraulis mordax,530.0,,104,,,,,
537,Bombus hypnorum,524.0,,,103,,,,
538,Schistocerca gregaria,441.0,,,,103,,,
539,Danio malabaricus,505.0,,,,,103,,
540,Acanthephyra microphthalma,482,,,,,,103,
541,Engraulis mordax,532.0,,105,,,,,
542,Bombus impatiens,352.0,,,104,,,,
543,Sergestes arcticus,495.0,,,,104,,,
544,Puntigrus tetrazona,504.0,,,,,104,,
545,Acanthephyra purpurea,492,,,,,,104,
546,Engraulis encrasicolus,500.0,,106,,,,,
547,Bombus impatiens,450.0,,,105,,,,
548,Sergestes corniculum,500.0,,,,105,,,
549,Scardinius erythrophthalmus,537.0,,,,,105,,
550,Acanthephyra smithi,510,,,,,,105,
551,Engraulis encrasicolus,492.0,,107,,,,,
552,Bombus jonellus,336.0,,,106,,,,
553,Sergia grandis,500.0,,,,106,,,
