comp_db_id,Full_Species,LambdaMax,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id
186,Odontodactylus scyllarus,"503, 400, 430, 487, 509, 528, 546, 429, 451, 506 ",,,,,,26,
187,Atherina boyeri,570,,28,,,,,
188,Carabus auratus,620,,,27,,,,
189,Funchalia villosa,489,,,,27,,,
190,Squilla empusa,517,,,,,,27,
191,Atherina boyeri,435,,29,,,,,
192,Carabus nemoralis,348,,,28,,,,
193,Gecarcinus lateralis,485.2,,,,28,,,
194,Squilla empusa,507,,,,,,28,
195,Atherina boyeri,530,,30,,,,,
196,Carabus nemoralis,430,,,29,,,,
197,Gonodactylellus affinis,445,,,,29,,,
198,Histiobranchus bathybius,477,,,,,29,,
199,Squilla empusa,509,,,,,,29,
200,Melanotaenia maccullochi,509,,31,,,,,
201,Carabus nemoralis,500,,,30,,,,
202,Gonodactylus oerstedii,345,,,,30,,,
203,Histiobranchus bathybius,476,,,,,30,,
204,Cloridopsis dubia,510,,,,,,30,
205,Melanotaenia maccullochi,377,,32,,,,,
206,Carabus nemoralis,620,,,31,,,,
207,Gonostoma bathyphilum,481,,,,31,,,
208,Gnathophausia ingens,"490, 520",,,,,,31,
209,Melanotaenia maccullochi,409,,33,,,,,
210,Coccinella septempunctata,360,,,32,,,,
211,Gonostoma elongatum,483,,,,32,,,
212,Synaphobranchus kaupii,478,,,,,32,,
213,Melanotaenia maccullochi,443,,34,,,,,
214,Coccinella septempunctata,520,,,33,,,,
215,Gryllus bimaculatus,348,,,,33,,,
216,Argentina silus,483,,,,,33,,
217,Bowmaniella sp.,502,,,,,,33,
218,Melanotaenia maccullochi,495,,35,,,,,
219,Coccinella septempunctata,420,,,34,,,,
220,Heliconius charithonia,549,,,,34,,,
221,Opisthoproctus grimaldii,480,,,,,34,,
222,Hemimysis anomala,"393, 500",,,,,,34,
223,Melanotaenia maccullochi,528,,36,,,,,
224,Bicellonycha wickershamorum,400,,,35,,,,
225,Heliconius erato,551,,,,35,,,
226,Heteromysis formosa,499,,,,,,35,
227,Bicellonycha wickershamorum,560,,,36,,,,
228,Heliconius hecale,396,,,,36,,,
229,Atherina boyeri,509,,,,,36,,
230,Photinus collustrans,425,,,37,,,,
231,Heliconius melpomene,557,,,,37,,,
232,Melanotaenia maccullochi,578,,39,,,,,
233,Photinus collustrans,560,,,38,,,,
234,Heliconius numata,400,,,,38,,,
235,Marosatherina ladigesi,507,,,,,38,,
236,Neomysis integer,525-535,,,,,,38,
237,Photinus macdermotti,400,,,39,,,,
238,Hemicordulia tau,220,,,,39,,,
239,Bathysaurus ferox,478,,,,,39,,
240,Neomysis mercedis,521,,,,,,39,
241,Marosatherina ladigesi,368,,41,,,,,
242,Photinus macdermotti,575,,,40,,,,
243,Hemigraspus edwardsi,513,,,,40,,,
244,Bathysaurus mollis,477,,,,,40,,
245,Mysis mixta,505-520,,,,,,40,
246,Marosatherina ladigesi,452,,42,,,,,
247,Photinus marginellus,375,,,41,,,,
248,Hemigraspus sanguineus,480,,,,41,,,
249,Ahliesaurus berryi,487,,,,,41,,
250,Mysis relicta sp.I,550-570,,,,,,41,
251,Marosatherina ladigesi,461,,43,,,,,
252,Photinus marginellus,565,,,42,,,,
253,Hemisquilla ensigera,414,,,,42,,,
254,Benthalbella  infans,451,,,,,42,,
255,Mysis relicta sp.II,505-520,,,,,,42,
256,Marosatherina ladigesi,481,,44,,,,,
257,Photinus pyralis,375,,,43,,,,
258,Hepatus epheliticus,486.6,,,,43,,,
259,Scopelarchus analis,507,,,,,43,,
260,Mysis relicta sp.IV,520,,,,,,43,
261,Marosatherina ladigesi,531,,45,,,,,
262,Photinus pyralis,570,,,44,,,,
263,Hermeuptychia hermes,515,,,,44,,,
264,Scopelarchus analis,445,,,,,44,,
265,Mysis relicta sp.IV,"505, 520",,,,,,44,
266,Marosatherina ladigesi,557,,46,,,,,
267,Photinus scintillans,450,,,45,,,,
268,Holmesimysis costata,512,,,,45,,,
269,Scopelarchus analis,503,,,,,45,,
270,Praunus inermis,520-530,,,,,,45,
271,Photinus scintillans,580,,,46,,,,
272,Homarus americanus,515,,,,46,,,
273,Scopelarchus analis,479,,,,,46,,
274,Praunus flexuosus,505-515,,,,,,46,
275,Photuris frontalis,350,,,47,,,,
276,Inachis io,530,,,,47,,,
277,Synodus variegatus,493,,,,,47,,
278,Phronima sedenteria,470,,,,,,47,
279,Photuris frontalis,560,,,48,,,,
280,Ischnura heterosticta,360,,,,48,,,
281,Opsanus tau,503,,,,,48,,
282,Ligia exotica,"340, 460, 520",,,,,,48,
283,Photuris lucicrescens,350,,,49,,,,
284,Janicella spinacauda,500,,,,49,,,
285,Belone belone,509,,,,,49,,
286,Talitrus saltator,450,,,,,,49,
287,Photuris lucicrescens,440,,,50,,,,
288,Junonia coenia,510,,,,50,,,
289,Melamphaes suborbitalis,482,,,,,50,,
290,Synodus variegatus,368,,52,,,,,
291,Photuris lucicrescens,550,,,51,,,,
292,Leptograspus variegatus,513,,,,51,,,
293,Poromitra capito,481,,,,,51,,
294,Euphausia superba,485,,,,,,51,
295,Synodus variegatus,482,,53,,,,,
296,Photuris potomaca,375,,,52,,,,
297,Libinia dubia,488.7,,,,52,,,
298,Poromitra megalops,487,,,,,52,,
299,Euphausia pacifica,462,,,,,,52,
300,Synodus variegatus,503,,54,,,,,
301,Photuris potomaca,560,,,53,,,,
302,Libinia emarginata,493,,,,53,,,
303,Scopelogadus beanii,482,,,,,53,,
304,Meganyctiphanes norvegica,490,,,,,,53,
305,Drosophila melanogaster,345,,,54,,,,
306,Limenitis archippus,514,,,,54,,,
307,Lipophrys pholis,515,,,,,54,,
308,Meganyctiphanes norvegica,460-465,,,,,,54,
309,Belone belone,422,,56,,,,,
310,Drosophila melanogaster,370,,,55,,,,
311,Limenitis lorquini,530,,,,55,,,
312,Lepomis macrochirus,538,,,,,55,,
313,Meganyctiphanes norvegica,462,,,,,,55,
314,Belone belone,508,,57,,,,,
315,Drosophila melanogaster,440,,,56,,,,
316,Limenitis weidemeyerii,530,,,,56,,,
317,Astyanax fasciatus,520,,,,,56,,
318,Meganyctiphanes norvegica,"460, 490, 515",,,,,,56,
319,Drosophila melanogaster,480,,,57,,,,
320,Limulus polyphemus,520,,,,57,,,
321,Paracheirodon innesi,523,,,,,57,,
322,Meganyctiphanes norvegica,488,,,,,,57,
323,Dermogenys pusilla,507,,59,,,,,
324,Drosophila melanogaster,520,,,58,,,,
325,Lycaena rubidus,360,,,,58,,,
326,Metynnis argenteus,533,,,,,58,,
327,Nematobrachion boopis,488,,,,,,58,
328,Dermogenys pusilla,377,,60,,,,,
329,Musca domestica,335,,,59,,,,
330,Lysiosquillina maculate,501,,,,59,,,
331,Aequidens pulcher,507,,,,,59,,
332,Nematobrachion sexspinosus,478,,,,,,59,
333,Dermogenys pusilla,526,,61,,,,,
334,Musca domestica,355,,,60,,,,
335,Malacosteus niger,425,,,,60,,,
336,Aequidens pulcher,501,,,,,60,,
337,Stylocheiron maximum,479,,,,,,60,
338,Dermogenys pusilla,572,,62,,,,,
339,Musca domestica,460,,,61,,,,
340,Mamestra brassicae,350,,,,61,,,
341,Amphilophus longimanus,525,,,,,61,,
342,Stylocheiron maximum,470,,,,,,61,
343,Dermogenys pusilla,483,,63,,,,,
344,Musca domestica,490,,,62,,,,
345,Meganyctiphanes norvegica,488,,,,62,,,
346,Astatotilapia burtoni,500,,,,,62,,
347,Nematoscelis megalops,465,,,,,,62,
348,Musca domestica,530,,,63,,,,
349,Aulonocara hueseri,496,,,,,63,,
350,Thysanopoda acutifrons,480,,,,,,63,
351,Eristalis tenax,350,,,64,,,,
352,Myrmecia croslandi,370,,,,64,,,
353,Copadichromis borleyi,494,,,,,64,,
354,Thysanopoda orientalis,478,,,,,,64,
355,Dermogenys pusilla,545,,66,,,,,
356,Eristalis tenax,450,,,65,,,,
357,Myrmecia vindex,370,,,,65,,,
358,Crenicichla frenata,520,,,,,65,,
359,Thysanoessa raschii,460-465,,,,,,65,
360,Myripristis berndti,495,,67,,,,,
361,Eristalis tenax,520,,,66,,,,
362,Mysis diluviana,503,,,,66,,,
363,Cynotilapia afra,496,,,,,66,,
364,Plesiopenaeus armatus,493,,,,,,66,
365,Myripristis berndti,514,,68,,,,,
366,Notonecta glauca,350,,,67,,,,
367,Mysis relicta,520,,,,67,,,
368,Dimidiochromis compressiceps,498,,,,,67,,
369,Bentheogennema intermedia,494,,,,,,67,
370,Myripristis berndti,506,,69,,,,,
371,Notonecta glauca,420,,,68,,,,
372,Mysis salemaai,521.2,,,,68,,,
373,Haplochromis azurea,503,,,,,68,,
374,Bentheogennema pasithea,500,,,,,,68,
375,Neoniphon sammara,502,,70,,,,,
376,Notonecta glauca,567,,,69,,,,
377,Nematobrachion boopis,487,,,,69,,,
378,Haplochromis ishmaeli,507,,,,,69,,
379,Gennadas sp.,495,,,,,,69,
380,Neoniphon sammara,446,,71,,,,,
381,Notonecta insulata,375,,,70,,,,
382,Nematobrachion sexpinosum,478,,,,70,,,
383,Haplochromis nyererei,505,,,,,70,,
384,Gennadas valens,495,,,,,,70,
385,Neoniphon sammara,512,,72,,,,,
386,Notonecta insulata,475,,,71,,,,
387,Neogonodactylus oerstedii,208,,,,71,,,
388,Haplochromis piceatus,503,,,,,71,,
389,Funchalia villosa,489,,,,,,71,
390,Sargocentron xantherythrum,490,,73,,,,,
391,Notonecta insulata,520,,,72,,,,
392,Neominois ridingsii,531,,,,72,,,
393,Haplochromis pyrrhocephalus,519,,,,,72,,
394,Penaeus duororum,516,,,,,,72,
395,Sargocentron xantherythrum,447,,74,,,,,
396,Notonecta irrorata,375,,,73,,,,
397,Neomysis americana,520,,,,73,,,
398,Lethrinops parvidens,489,,,,,73,,
399,Penaeus penicillatus,"480, 570",,,,,,73,
400,Sargocentron xantherythrum,516,,75,,,,,
401,Notonecta irrorata,475,,,74,,,,
402,Notostomus elegans,490,,,,74,,,
403,Melanochromis auratus,497,,,,,74,,
404,Sergestes arcticus,495,,,,,,74,
405,Sargocentron xantherythrum,509,,76,,,,,
406,Notonecta irrorata,520,,,75,,,,
407,Notostomus gibbosus,490,,,,75,,,
408,Melanochromis vermivorus,505,,,,,75,,
409,Sergestes arcticus,475,,,,,,75,
410,Neoceratodus forsteri,540,,77,,,,,
411,Notonecta undulata,375,,,76,,,,
412,Nymphalis antiopa,382,,,,76,,,
413,Metriaclima barlowi,491,,,,,76,,
414,Sergestes corniculum,500,,,,,,76,
415,Neoceratodus forsteri,479,,78,,,,,
416,Notonecta undulata,475,,,77,,,,
417,Odontodactylus brevirostris,402,,,,77,,,
418,Metriaclima livingstonii,495,,,,,77,,
419,Sergestes curvatus,493,,,,,,77,
420,Neoceratodus forsteri,558,,79,,,,,
421,Notonecta undulata,520,,,78,,,,
422,Odontodactylus scyllarus,400,,,,78,,,
423,Metriaclima melabranchion,491,,,,,78,,
424,Sergestes similis,495,,,,,,78,
425,Neoceratodus forsteri,623,,80,,,,,
426,Andrena florea,340,,,79,,,,
427,Oeneis chryxus,531,,,,79,,,
428,Mylochromis lateristriga,496,,,,,79,,
429,Andrena florea,412,,,80,,,,
430,Oplophorus sp.,405,,,,80,,,
431,Protomelas taeniolatus,496,,,,,80,,
432,Sergestes tenuiremis,495,,,,,,80,
433,Astyanax fasciatus,449,,82,,,,,
434,Andrena florea,536,,,81,,,,
435,Orconectes virilis,510,,,,81,,,
436,Pseudotropheus acei,505,,,,,81,,
437,Sergia grandis,500,,,,,,81,
438,Astyanax fasciatus,547,,83,,,,,
439,Anthophora acervorum,348,,,82,,,,
440,Pagurus annulipes,492.7,,,,82,,,
441,Pseudotropheus tropheops,510,,,,,82,,
442,Sergia maximus,495,,,,,,82,
443,Astyanax fasciatus,572,,84,,,,,
444,Anthophora acervorum,428,,,83,,,,
445,Pagurus longicarpus,513.9,,,,83,,,
446,Pundamilia luanso,505,,,,,83,,
447,Sergia phorcus,495,,,,,,83,
448,Anthophora acervorum,528,,,84,,,,
449,Pandalus borealis,475,,,,84,,,
450,Pundamilia pundamilia,506,,,,,84,,
451,Sergia robustus,496,,,,,,84,
452,Callonychium petuniae,360,,,85,,,,
453,Panopeus herbstii,493,,,,85,,,
454,Tramitichromis intermedius,505,,,,,85,,
455,Sergia splendens,497,,,,,,85,
456,Alosa kessleri,510,,87,,,,,
457,Callonychium petuniae,404,,,86,,,,
458,Panopeus obesus,493.5,,,,86,,,
459,Tyrannochromis macrostoma,494,,,,,86,,
460,Rimicaris exoculata,500,,,,,,86,
461,Alosa kessleri,509,,88,,,,,
462,Callonychium petuniae,536,,,87,,,,
463,Papilio xuthus,360,,,,87,,,
464,Chimaera monstrosa,485,,,,,87,,
465,Alosa kessleri,557,,89,,,,,
466,Callonychium petuniae,600,,,88,,,,
467,Pasiphaea multidentata,497,,,,88,,,
468,Hydrolagus mirabilis,475,,,,,88,,
469,Crangon allmani,"415, 525",,,,,,88,
470,Oxea flavescens,370,,,89,,,,
471,Photinus versicolor,380,,,,89,,,
472,Hariotta raleighana,481,,,,,89,,
473,Palaemonetes paladosus,539,,,,,,89,
474,Oxea flavescens,435,,,90,,,,
475,Phronima sedenteria,470,,,,90,,,
476,Clupea harengus,503,,,,,90,,
477,Palaemonetes vulgaris,"390, 540",,,,,,90,
478,Oxea flavescens,536,,,91,,,,
479,Pieris brassicae,360,,,,91,,,
480,Clupea pallasii,501,,,,,91,,
481,Palaemonetes vulgaris,"496, 555",,,,,,91,
482,Apis mellifera,344,,,92,,,,
483,Pieris rapae,340,,,,92,,,
484,Sardinops sagax,502,,,,,92,,
485,Pandalus montagui,515,,,,,,92,
486,Clupea pallasii,514,,94,,,,,
487,Apis mellifera,436,,,93,,,,
488,Pilumnus sayi,489.1,,,,93,,,
489,Abramis brama,537,,,,,93,,
490,Plesionika martia,499,,,,,,93,
491,Clupea pallasii,515,,95,,,,,
492,Apis mellifera,544,,,94,,,,
493,Platyberyx opalescens,474,,,,94,,,
494,Engraulis japonicus,502,,,,,94,,
495,Stylopandalus richardi,491,,,,,,94,
496,Clupea pallasii,534,,96,,,,,
497,Bombus distinguendis,350,,,95,,,,
498,Pleuroncodes planipes,503,,,,95,,,
499,Engraulis mordax,498,,,,,95,,
500,Parapasiphaea sulcatifrons,501,,,,,,95,
501,Clupea pallasii,529,,97,,,,,
502,Bombus distinguendis,440,,,96,,,,
503,Procambarus clarkii,556,,,,96,,,
504,Anableps anableps,506,,,,,96,,
505,Pasiphaea chacei,509,,,,,,96,
506,Sardinops melanostictus,502,,98,,,,,
507,Bombus distinguendis,540,,,97,,,,
508,Procambarus milleri,522,,,,97,,,
509,Alburnus alburnus,515,,,,,97,,
510,Pasiphaea emarginata,497,,,,,,97,
511,Sardinops melanostictus,393,,99,,,,,
512,Bombus fervidus,350,,,98,,,,
513,Pseudosquilla ciliata,403.17,,,,98,,,
514,Ballerus ballerus,518,,,,,98,,
515,Pasiphaea multidentata,497,,,,,,98,
516,Sardinops melanostictus,493,,100,,,,,
517,Bombus fervidus,450,,,99,,,,
518,Pullosquilla litoralis,446,,,,99,,,
519,Blicca bjoerkna,539,,,,,99,,
520,Pasiphaea suspirosum,501,,,,,,99,
521,Sardinops melanostictus,522,,101,,,,,
522,Bombus hortorum,353,,,100,,,,
523,Pullosquilla thomassini,447,,,,100,,,
524,Carassius auratus,522,,,,,100,,
525,Acanthephyra curtirostris,510,,,,,,100,
526,Sardinops melanostictus,542,,102,,,,,
527,Bombus hortorum,436,,,101,,,,
528,Rhithropanopeus harrisii,495.2,,,,101,,,
529,Carassius carassius,526,,,,,101,,
530,Acanthephyra curtirostris,485,,,,,,101,
531,Bombus hortorum,544,,,102,,,,
532,Rynchophorus ferrugineus,366,,,,102,,,
533,Cyprinus carpio,525,,,,,102,,
534,Engraulis mordax,530,,104,,,,,
535,Bombus hypnorum,524,,,103,,,,
536,Schistocerca gregaria,441,,,,103,,,
537,Danio malabaricus,505,,,,,103,,
538,Acanthephyra microphthalma,482,,,,,,103,
539,Engraulis mordax,532,,105,,,,,
540,Bombus impatiens,352,,,104,,,,
541,Sergestes arcticus,495,,,,104,,,
542,Puntigrus tetrazona,504,,,,,104,,
543,Acanthephyra purpurea,492,,,,,,104,
544,Engraulis encrasicolus,500,,106,,,,,
545,Bombus impatiens,450,,,105,,,,
546,Sergestes corniculum,500,,,,105,,,
547,Scardinius erythrophthalmus,537,,,,,105,,
548,Acanthephyra smithi,510,,,,,,105,
549,Engraulis encrasicolus,492,,107,,,,,
550,Bombus jonellus,336,,,106,,,,
551,Sergia grandis,500,,,,106,,,
552,Scardinius erythrophthalmus,515,,,,,106,,
553,Acanthephyra smithi,491,,,,,,106,
554,Bombus jonellus,432,,,107,,,,
555,Sesarma cinereum,491.1,,,,107,,,
556,Tinca tinca,533,,,,,107,,
557,Acanthephyra stylorostratis,489,,,,,,107,
558,Engraulis encrasicolus,474,,109,,,,,
559,Bombus jonellus,544,,,108,,,,
560,Sesarma reticulatum,492.4,,,,108,,,
561,Tribolodon hakonensis,522,,,,,108,,
562,Hymenodora frontalis,495,,,,,,108,
563,Bombus lapidarius,332,,,109,,,,
564,Siproeta stelenes,522,,,,109,,,
565,Cyprinodon variegatus,506,,,,,109,,
566,Hymenodora glacialis,500,,,,,,109,
567,Bombus lapidarius,432,,,110,,,,
568,Speyeria leto,551,,,,110,,,
569,Jordanella floridae,511,,,,,110,,
570,Janicella spinacauda,"400, 500",,,,,,110,
571,Engraulis japonicus,492,,112,,,,,
572,Bombus lapidarius,544,,,111,,,,
573,Stylocheiron maximum,479,,,,111,,,
574,Elops  saurus,518,,,,,111,,
575,Meningodora miccyla,486,,,,,,111,
576,Bombus monticola,336,,,112,,,,
577,Sympetrum sp.,420,,,,112,,,
578,Fundulus heteroclitus,503,,,,,112,,
579,Meningodora vesca,487,,,,,,112,
580,Engraulis japonicus,478,,114,,,,,
581,Bombus monticola,440,,,113,,,,
582,Systellaspis debilis,400,,,,113,,,
583,Micropoecilia parae,503,,,,,113,,
584,Notostomus elegans,490,,,,,,113,
585,Bombus monticola,544,,,114,,,,
586,Thysanopoda orientalis,478,,,,114,,,
587,Poecilia formosa,504,,,,,114,,
