maxid,Genus,Species,phylum,CellType,CellSubType,LambdaMax,error,Chromophore,Stage,useable,expid,opsinid,refid,Notes
27,Atherina,boyeri,Chordata,rod,,511,,,adult,0,,0,18,"has rodopsin, partial"
28,Atherina,boyeri,Chordata,cone,single,570,,,adult,0,,0,18,no avaliable genetic data
29,Atherina,boyeri,Chordata,cone,double,435,,,adult,0,,0,18,no avaliable genetic data
30,Atherina,boyeri,Chordata,cone,twin,530,,,adult,0,,0,18,no available genetic data
31,Melanotaenia,maccullochi,Chordata,rod,,509,,,adult,0,,0,40,no available genetic data
32,Melanotaenia,maccullochi,Chordata,cone,single,377,,,adult,0,,0,40,no available genetic data
33,Melanotaenia,maccullochi,Chordata,cone,single,409,,,adult,0,,0,40,no available genetic data
34,Melanotaenia,maccullochi,Chordata,cone,single,443,,,adult,0,,0,40,no available genetic data
35,Melanotaenia,maccullochi,Chordata,cone,single,495,,,adult,0,,0,40,no available genetic data
36,Melanotaenia,maccullochi,Chordata,cone,single,528,,,adult,0,,0,40,no available genetic data
37,Melanotaenia,maccullochi,Chordata,cone,double,495,,,adult,0,,0,40,no available genetic data
38,Melanotaenia,maccullochi,Chordata,cone,double,528,,,adult,0,,0,40,no available genetic data
39,Melanotaenia,maccullochi,Chordata,cone,double,578,,,adult,0,,0,40,no available genetic data
40,Marosatherina,ladigesi,Chordata,rod,,507,,,adult,0,,0,40,no available genetic data
41,Marosatherina,ladigesi,Chordata,cone,single,368,,,adult,0,,0,40,no available genetic data
42,Marosatherina,ladigesi,Chordata,cone,single,452,,,adult,0,,0,40,no available genetic data
43,Marosatherina,ladigesi,Chordata,cone,single,461,,,adult,0,,0,40,no available genetic data
44,Marosatherina,ladigesi,Chordata,cone,single,481,,,adult,0,,0,40,no available genetic data
45,Marosatherina,ladigesi,Chordata,cone,single,531,,,adult,0,,0,40,no available genetic data
46,Marosatherina,ladigesi,Chordata,cone,single,557,,,adult,0,,0,40,no available genetic data
47,Marosatherina,ladigesi,Chordata,cone,double,452,,,adult,0,,0,40,no available genetic data
48,Marosatherina,ladigesi,Chordata,cone,double,461,,,adult,0,,0,40,no available genetic data
49,Marosatherina,ladigesi,Chordata,cone,double,531,,,adult,0,,0,40,no available genetic data
50,Marosatherina,ladigesi,Chordata,cone,double,557,,,adult,0,,0,40,no available genetic data
51,Synodus,variegatus,Chordata,rod,,493,,,adult,0,,0,32,no available genetic data
52,Synodus,variegatus,Chordata,cone,single,368,,,adult,0,,0,32,no available genetic data
53,Synodus,variegatus,Chordata,cone,double,482,,,adult,0,,0,32,no available genetic data
54,Synodus,variegatus,Chordata,cone,double,503,,,adult,0,,0,32,no available genetic data
55,Belone,belone,Chordata,rod,,509,,,adult,0,,0,40,"has rodopsin, partial"
56,Belone,belone,Chordata,cone,single,422,,,adult,0,,0,40,no available genetic data
57,Belone,belone,Chordata,cone,single,508,,,adult,0,,0,40,no available genetic data
58,Belone,belone,Chordata,cone,twin,508,,,adult,0,,0,40,no available genetic data
59,Dermogenys,pusilla,Chordata,rod,,507,,,adult,0,,0,40,no available genetic data
60,Dermogenys,pusilla,Chordata,cone,single,377,,,adult,0,,0,40,no available genetic data
61,Dermogenys,pusilla,Chordata,cone,single,526,,,adult,0,,0,40,no available genetic data
62,Dermogenys,pusilla,Chordata,cone,single,572,,,adult,0,,0,40,no available genetic data
63,Dermogenys,pusilla,Chordata,cone,double,483,,,adult,0,,0,40,no available genetic data
64,Dermogenys,pusilla,Chordata,cone,double,526,,,adult,0,,0,40,no available genetic data
65,Dermogenys,pusilla,Chordata,cone,double,572,,,adult,0,,0,40,no available genetic data
66,Dermogenys,pusilla,Chordata,cone,double,545,,,adult,0,,0,40,no available genetic data
67,Myripristis,berndti,Chordata,rod,,495,,,adult,0,,0,32,included in the heterologous sheet
68,Myripristis,berndti,Chordata,cone,double,514,1.4,,adult,0,,0,32,possible multiple pigments
69,Myripristis,berndti,Chordata,cone,double,506,,,adult,0,,0,32,possible multiple pigments
70,Neoniphon,sammara,Chordata,rod,,502,0.3,,adult,0,,0,32,included in the heterologous sheet
71,Neoniphon,sammara,Chordata,cone,single,446,,,adult,0,,0,32,"has LWS, partial"
72,Neoniphon,sammara,Chordata,cone,double,512,3,,adult,0,,0,32,possible multiple pigments
73,Sargocentron,xantherythrum,Chordata,rod,,490,1.4,,adult,0,,0,32,included in the heterologous sheet
74,Sargocentron,xantherythrum,Chordata,cone,single,447,2.8,,adult,0,,0,32,
75,Sargocentron,xantherythrum,Chordata,cone,double,516,1,,adult,0,,0,32,possible multiple pigments
76,Sargocentron,xantherythrum,NA,cone,double,509,2.4,,adult,0,,0,32,possible multiple pigments
77,Neoceratodus,forsteri,Chordata,rod,,540,0,,adult,0,,0,19,possible multiple pigments
78,Neoceratodus,forsteri,Chordata,cone,single,479,,,adult,0,,0,19,possible multiple pigments
79,Neoceratodus,forsteri,Chordata,cone,single,558,,,adult,0,,0,19,possible multiple pigments *an UV reading was not recorded
80,Neoceratodus,forsteri,Chordata,cone,single,623,,,adult,1,,22,19,
81,Astyanax,fasciatus,Chordata,rod,,520,,,adult,0,,0,37,possible multiple pigments
82,Astyanax,fasciatus,Chordata,cone,single,449,,,adult,0,,0,37,possible multiple pigments
83,Astyanax,fasciatus,Chordata,cone,single,547,,,adult,0,,0,37,possible multiple pigments
84,Astyanax,fasciatus,Chordata,cone,single,572,,,adult,0,,0,37,possible multiple pigments
85,Astyanax,fasciatus,Chordata,cone,double,547,,,adult,0,,0,37,possible multiple pigments
86,Astyanax,fasciatus,Chordata,cone,double,572,,,adult,0,,0,37,possible multiple pigments
87,Alosa,kessleri,Chordata,rod,,510,,,adult,0,,0,18,no available genetic data
88,Alosa,kessleri,Chordata,cone,single,509,,,adult,0,,0,18,no available genetic data
89,Alosa,kessleri,Chordata,cone,single,557,,,adult,0,,0,18,no available genetic data
90,Alosa,kessleri,Chordata,cone,double,509,,,adult,0,,0,18,no available genetic data
91,Alosa,kessleri,Chordata,cone,double,557,,,adult,0,,0,18,no available genetic data
92,Alosa,kessleri,Chordata,cone,twin,557,,,adult,0,,0,18,no available genetic data
93,Clupea,pallasii,Chordata,rod,,501,,,adult,0,,0,5,no available genetic data
94,Clupea,pallasii,Chordata,cone,single,514,,,adult,0,,0,5,no available genetic data
95,Clupea,pallasii,Chordata,cone,double,515,,,adult,0,,0,5,no available genetic data
96,Clupea,pallasii,Chordata,cone,double,534,,,adult,0,,0,5,no available genetic data
97,Clupea,pallasii,Chordata,cone,twin,529,,,adult,0,,0,5,no available genetic data
98,Sardinops,melanostictus,Chordata,rod,,502,2,,adult,0,,0,35,possible multiple pigments
99,Sardinops,melanostictus,Chordata,cone,single,393,3,,adult,1,,2476,35,possibly only have UV
100,Sardinops,melanostictus,Chordata,cone,double,493,3,,adult,0,,0,35,possible multiple pigments
101,Sardinops,melanostictus,Chordata,cone,double,522,2,,adult,0,,0,35,possible multiple pigments
102,Sardinops,melanostictus,Chordata,cone,double,542,3,,adult,0,,0,35,possible multiple pigments
103,Engraulis,mordax,Chordata,rod,,498,,,adult,0,,0,5,"has rodopsin, partial"
104,Engraulis,mordax,Chordata,cone,single,530,,,adult,0,,0,5,no available genetic data
105,Engraulis,mordax,Chordata,cone,twin,532,,,adult,0,,0,5,no available genetic data
106,Engraulis,encrasicolus,Chordata,rod,,500,,,adult,0,,0,25,no available genetic data
107,Engraulis,encrasicolus,Chordata,cone,single,492,,,adult,0,,0,25,no available genetic data
108,Engraulis,encrasicolus,Chordata,cone,single,500,,,adult,0,,0,25,no available genetic data
109,Engraulis,encrasicolus,Chordata,cone,triple,474,,,adult,0,,0,25,no available genetic data
110,Engraulis,encrasicolus,Chordata,cone,triple,500,,,adult,0,,0,25,no available genetic data
111,Engraulis,japonicus,Chordata,rod,,502,,Vitamin A1-based,adult,1,,473,25,"RH1, verified by refid 365"
112,Engraulis,japonicus,Chordata,cone,single,492,,Vitamin A1-based,adult,0,,0,25,possible multiple pigments
113,Engraulis,japonicus,Chordata,cone,single,502,,Vitamin A1-based,adult,0,,0,25,possible multiple pigments
114,Engraulis,japonicus,Chordata,cone,triple,478,,Vitamin A1-based,adult,0,,0,25,possible multiple pigments
115,Engraulis,japonicus,Chordata,cone,triple,502,,Vitamin A1-based,adult,0,,0,25,possible multiple pigments
116,Abramis,ballerus,Chordata,rod,,518,,,adult,0,,0,22,no available genetic data
117,Abramis,ballerus,Chordata,cone,single,451,,,adult,0,,0,22,no available genetic data
118,Abramis,ballerus,Chordata,cone,single,537,,,adult,0,,0,22,no available genetic data
119,Abramis,ballerus,Chordata,cone,single,620,,,adult,0,,0,22,no available genetic data
120,Abramis,ballerus,Chordata,cone,double,537,,,adult,0,,0,22,no available genetic data
121,Abramis,ballerus,Chordata,cone,double,620,,,adult,0,,0,22,no available genetic data
122,Abramis,brama,Chordata,rod,,537,,,adult,0,,0,22,"has RH1, partial"
123,Abramis,brama,Chordata,cone,single,451,,,adult,0,,0,22,no available genetic data
124,Abramis,brama,Chordata,cone,single,537,,,adult,0,,0,22,no available genetic data
125,Abramis,brama,Chordata,cone,single,620,,,adult,0,,0,22,no available genetic data
126,Abramis,brama,Chordata,cone,double,537,,,adult,0,,0,22,no available genetic data
127,Abramis,brama,Chordata,cone,double,620,,,adult,0,,0,22,no available genetic data
128,Alburnus,alburnus,Chordata,rod,,517,,,adult,0,,0,22,no available genetic data
129,Alburnus,alburnus,Chordata,cone,single,440,,,adult,0,,0,22,no available genetic data
130,Alburnus,alburnus,Chordata,cone,single,523,,,adult,0,,0,22,no available genetic data
131,Alburnus,alburnus,Chordata,cone,single,571,,,adult,0,,0,22,no available genetic data
132,Blicca,bjoerkna,Chordata,rod,,539,,,adult,0,,0,22,no available genetic data
133,Blicca,bjoerkna,Chordata,cone,single,444,,,adult,0,,0,22,no available genetic data
134,Blicca,bjoerkna,Chordata,cone,single,533,,,adult,0,,0,22,no available genetic data
135,Blicca,bjoerkna,Chordata,cone,single,603,,,adult,0,,0,22,no available genetic data
136,Carassius,auratus,Chordata,rod,,521,,,adult,0,,0,3,included in the heterologous sheet
137,Carassius,auratus,Chordata,cone,single,360,,,adult,0,,0,3,included in the heterologous sheet
138,Carassius,auratus,Chordata,cone,single,452,,,adult,0,,0,3,included in the heterologous sheet
139,Carassius,auratus,Chordata,cone,single,532,,,adult,0,,0,3,included in the heterologous sheet
140,Carassius,auratus,Chordata,cone,single,614,,,adult,0,,0,3,included in the heterologous sheet
141,Carassius,auratus,Chordata,cone,double,532,,,adult,0,,0,3,included in the heterologous sheet
142,Carassius,auratus,Chordata,cone,double,614,,,adult,0,,0,3,included in the heterologous sheet
143,Carassius,carassius,Chordata,rod,,526,,,adult,0,,0,22,"no available genetic data, only predicted"
144,Carassius,carassius,Chordata,cone,single,449,,,adult,0,,0,22,"no available genetic data, only predicted"
145,Carassius,carassius,Chordata,cone,single,529,,,adult,0,,0,22,"no available genetic data, only predicted"
146,Carassius,carassius,Chordata,cone,single,535,,,adult,0,,0,22,"no available genetic data, only predicted"
147,Carassius,carassius,Chordata,cone,single,608,,,adult,0,,0,22,"no available genetic data, only predicted"
148,Carassius,carassius,Chordata,cone,twin,619,,,adult,0,,0,22,"no available genetic data, only predicted"
149,Carassius,auratus,Chordata,rod,,522,,,adult,0,,0,29,included in the heterologous sheet
150,Carassius,auratus,Chordata,cone,single,455,,,adult,0,,0,29,included in the heterologous sheet
151,Carassius,auratus,Chordata,cone,double,530,,,adult,0,,0,29,included in the heterologous sheet
152,Carassius,auratus,Chordata,cone,double,625,,,adult,0,,0,29,included in the heterologous sheet
153,Scardinius,erythrophthalmus,Chordata,rod,,515,,,adult,0,,0,49,"has RH, partial"
154,Scardinius,erythrophthalmus,Chordata,cone,single,355,,,adult,0,,0,49,no available genetic data
155,Scardinius,erythrophthalmus,Chordata,cone,single,405,,,adult,0,,0,49,no available genetic data
156,Scardinius,erythrophthalmus,Chordata,cone,single,505,,,adult,0,,0,49,no available genetic data
157,Scardinius,erythrophthalmus,Chordata,cone,single,565,,,adult,0,,0,49,no available genetic data
158,Scardinius,erythrophthalmus,Chordata,cone,double,505,,,adult,0,,0,49,no available genetic data
159,Scardinius,erythrophthalmus,Chordata,cone,double,565,,,adult,0,,0,49,no available genetic data
160,Tinca,tinca,Chordata,rod,,533,,,adult,0,,0,29,no available genetic data
161,Tinca,tinca,Chordata,cone,single,454,,,adult,0,,0,29,no available genetic data
162,Tinca,tinca,Chordata,cone,single,533,,,adult,0,,0,29,no available genetic data
163,Tinca,tinca,Chordata,cone,single,615,,,adult,0,,0,29,no available genetic data
164,Tinca,tinca,Chordata,cone,double,533,,,adult,0,,0,29,no available genetic data
165,Tinca,tinca,Chordata,cone,double,615,,,adult,0,,0,29,no available genetic data
166,Fundulus,heteroclitus,Chordata,rod,,503,,,adult,0,,0,14,"no available genetic data, only predicted"
167,Fundulus,heteroclitus,Chordata,cone,single,363,,,adult,0,,0,14,"no available genetic data, only predicted"
168,Fundulus,heteroclitus,Chordata,cone,single,400,,,adult,0,,0,14,"no available genetic data, only predicted"
169,Fundulus,heteroclitus,Chordata,cone,double,463,,,adult,0,,0,14,"no available genetic data, only predicted"
170,Fundulus,heteroclitus,Chordata,cone,double,563,,,adult,0,,0,14,"no available genetic data, only predicted"
171,Fundulus,heteroclitus,Chordata,cone,twin,563,,,adult,0,,0,14,"no available genetic data, only predicted"
172,Lucania,goodei,Chordata,cone,single,359,,,adult,0,,0,17,included in the heterologous sheet
173,Lucania,goodei,Chordata,cone,single,405,,,adult,0,,0,17,included in the heterologous sheet
174,Lucania,goodei,Chordata,cone,single,454,,,adult,0,,0,17,included in the heterologous sheet
175,Lucania,goodei,Chordata,cone,single,538,,,adult,0,,0,17,included in the heterologous sheet
176,Lucania,goodei,Chordata,cone,double,454,,,adult,0,,0,17,included in the heterologous sheet
177,Lucania,goodei,Chordata,cone,double,538,,,adult,0,,0,17,included in the heterologous sheet
178,Lucania,goodei,Chordata,cone,double,573,,,adult,0,,0,17,included in the heterologous sheet
179,Poecilia,parae,Chordata,rod,,503,,,adult,0,,0,21,no available genetic data
180,Poecilia,parae,Chordata,cone,single,355,,,adult,0,,0,21,no available genetic data
181,Poecilia,parae,Chordata,cone,single,407,,,adult,0,,0,21,no available genetic data
182,Poecilia,parae,Chordata,cone,double,456,,,adult,0,,0,21,no available genetic data
183,Poecilia,parae,Chordata,cone,double,526,,,adult,0,,0,21,no available genetic data
184,Poecilia,parae,Chordata,cone,double,543,,,adult,0,,0,21,no available genetic data
185,Poecilia,parae,Chordata,cone,twin,543,,,adult,0,,0,21,no available genetic data
186,Poecilia,latipinna,Chordata,rod,,503,,,adult,0,,0,27,possible multiple pigments
187,Poecilia,latipinna,Chordata,cone,single,403,,,adult,0,,0,27,possible multiple pigments
188,Poecilia,latipinna,Chordata,cone,single,463,,,adult,0,,0,27,possible multiple pigments
189,Poecilia,latipinna,Chordata,cone,single,551,,,adult,0,,0,27,possible multiple pigments
190,Poecilia,latipinna,Chordata,cone,single,577,,,adult,0,,0,27,possible multiple pigments
191,Poecilia,latipinna,Chordata,cone,twin,551,,,adult,0,,0,27,possible multiple pigments
192,Poecilia,latipinna,Chordata,cone,twin,577,,,adult,0,,0,27,possible multiple pigments
193,Poecilia,mexicana,Chordata,rod,,504,,,adult,0,,0,27,possible multiple pigments
194,Poecilia,mexicana,Chordata,cone,single,350,,,adult,0,,0,27,possible multiple pigments
195,Poecilia,mexicana,Chordata,cone,single,402,,,adult,0,,0,27,possible multiple pigments
196,Poecilia,mexicana,Chordata,cone,double,461,,,adult,0,,0,27,possible multiple pigments
197,Poecilia,mexicana,Chordata,cone,double,537,,,adult,0,,0,27,possible multiple pigments
198,Poecilia,mexicana,Chordata,cone,double,563,,,adult,0,,0,27,possible multiple pigments
199,Poecilia,formosa,Chordata,rod,,504,,,adult,0,,0,27,possible multiple pigments
200,Poecilia,formosa,Chordata,cone,single,352,,,adult,0,,0,27,possible multiple pigments
201,Poecilia,formosa,Chordata,cone,single,404,,,adult,0,,0,27,possible multiple pigments
202,Poecilia,formosa,Chordata,cone,double,463,,,adult,0,,0,27,possible multiple pigments
203,Poecilia,formosa,Chordata,cone,double,560,,,adult,0,,0,27,possible multiple pigments
204,Megalops,atlanticus,Chordata,rod,,500,,,adult,0,,0,44,"only has LWS, partial"
205,Megalops,atlanticus,Chordata,cone,single,364,,,adult,0,,0,44,"only has LWS, partial"
206,Megalops,atlanticus,Chordata,cone,single,411,,,adult,0,,0,44,"only has LWS, partial"
207,Megalops,atlanticus,Chordata,cone,single,451,,,adult,0,,0,44,"only has LWS, partial"
208,Megalops,atlanticus,Chordata,cone,single,476,,,adult,0,,0,44,"only has LWS, partial"
209,Megalops,atlanticus,Chordata,cone,single,551,,,adult,0,,0,44,"only has LWS, partial"
210,Gadus,macrocephalus,Chordata,cone,single,441,,,adult,0,,0,5,no available genetic data
211,Gadus,macrocephalus,Chordata,cone,twin,523,,,adult,0,,0,5,no available genetic data
212,Gaidropsarus,mediterraneus,Chordata,rod,,512,,,adult,,,0,29,
213,Gaidropsarus,mediterraneus,Chordata,cone,single,535,,,adult,,,0,29,
214,Gaidropsarus,mediterraneus,Chordata,cone,twin,535,,,adult,,,0,29,
215,Microgadus,proximus,Chordata,rod,,497,,,adult,,,0,5,
216,Microgadus,proximus,Chordata,cone,single,439,,,adult,,,0,5,
217,Microgadus,proximus,Chordata,cone,single,523,,,adult,,,0,5,
218,Microgadus,proximus,Chordata,cone,twin,522,,,adult,,,0,5,
219,Theragra,chalcogramma,Chordata,rod,,500,,,adult,,,0,5,
220,Theragra,chalcogramma,Chordata,cone,single,442,,,adult,,,0,5,
221,Theragra,chalcogramma,Chordata,cone,twin,516,,,adult,,,0,5,
222,Poecilia,reticulata,Chordata,rod,,503,,,adult,,,0,1,
223,Poecilia,reticulata,Chordata,cone,single,410,,,adult,,,0,1,
224,Poecilia,reticulata,Chordata,cone,double,465,,,adult,,,0,1,
225,Poecilia,reticulata,Chordata,cone,double,473,,,adult,,,0,1,
226,Poecilia,reticulata,Chordata,cone,twin,573,,,adult,,,0,1,
227,Merluccius,productus,Chordata,rod,,495,,,adult,,,0,5,
228,Merluccius,productus,Chordata,cone,single,516,,,adult,,,0,5,
229,Merluccius,productus,Chordata,cone,twin,517,,,adult,,,0,5,
230,Aulorhynchus,flavidus,Chordata,rod,,499,,,adult,,,0,5,
231,Aulorhynchus,flavidus,Chordata,cone,single,360,,,adult,,,0,5,
232,Aulorhynchus,flavidus,Chordata,cone,double,496,,,adult,,,0,5,
233,Aulorhynchus,flavidus,Chordata,cone,double,536,,,adult,,,0,5,
234,Aulostomus,chinensis,Chordata,rod,,494,,,adult,,,0,32,
235,Aulostomus,chinensis,Chordata,cone,single,421,,,adult,,,0,32,
236,Aulostomus,chinensis,Chordata,cone,twin,473,,,adult,,,0,32,
237,Gasterosteus,aculeatus,Chordata,rod,,502,,,adult,,,0,5,
238,Gasterosteus,aculeatus,Chordata,cone,single,362,,,adult,,,0,5,
239,Gasterosteus,aculeatus,Chordata,cone,single,439,,,adult,,,0,5,
240,Gasterosteus,aculeatus,Chordata,cone,double,524,,,adult,,,0,5,
241,Gasterosteus,aculeatus,Chordata,cone,double,576,,,adult,,,0,5,
242,Spinachia,spinachia,Chordata,rod,,510,,,adult,,,0,29,
243,Spinachia,spinachia,Chordata,cone,single,445,,,adult,,,0,29,
244,Spinachia,spinachia,Chordata,cone,single,555,,,adult,,,0,29,
245,Spinachia,spinachia,Chordata,cone,double,532,,,adult,,,0,29,
246,Spinachia,spinachia,Chordata,cone,double,590,,,adult,,,0,29,
247,Gobiesox,maecmdricus,NA,rod,,500,,,adult,,,0,5,
248,Gobiesox,maecmdricus,NA,cone,single,440,,,adult,,,0,5,
249,Gobiesox,maecmdricus,NA,cone,double,526,,,adult,,,0,5,
250,Gobiesox,maecmdricus,NA,cone,double,567,,,adult,,,0,5,
251,Hypomesus,pretiosus,Chordata,rod,,500,,,adult,,,0,5,
252,Hypomesus,pretiosus,Chordata,cone,single,369,,,adult,,,0,5,
253,Hypomesus,pretiosus,Chordata,cone,single,461,,,adult,,,0,5,
254,Hypomesus,pretiosus,Chordata,cone,double,522,,,adult,,,0,5,
255,Hypomesus,pretiosus,Chordata,cone,double,570,,,adult,,,0,5,
256,Osmerus,dentex,Chordata,rod,,516,,,adult,,,0,26,
257,Osmerus,dentex,Chordata,cone,single,425,,,adult,,,0,26,
258,Osmerus,dentex,Chordata,cone,double,514,,,adult,,,0,26,
259,Osmerus,dentex,Chordata,cone,double,565,,,adult,,,0,26,
260,Spirinchus,thaleichthys,Chordata,rod,,499,,,adult,,,0,5,
261,Spirinchus,thaleichthys,Chordata,cone,single,364,,,adult,,,0,5,
262,Spirinchus,thaleichthys,Chordata,cone,single,465,,,adult,,,0,5,
263,Spirinchus,thaleichthys,Chordata,cone,double,517,,,adult,,,0,5,
264,Spirinchus,thaleichthys,Chordata,cone,double,572,,,adult,,,0,5,
265,Acanthurus,nigroris,Chordata,rod,,494,,,adult,,,0,32,
266,Acanthurus,nigroris,Chordata,cone,single,439,,,adult,,,0,32,
267,Acanthurus,nigroris,Chordata,cone,double,523,,,adult,,,0,32,
268,Acanthurus,nigroris,Chordata,cone,double,538,,,adult,,,0,32,
269,Acanthurus,triostegus,Chordata,rod,,493,,,adult,,,0,32,
270,Acanthurus,triostegus,Chordata,cone,single,458,,,adult,,,0,32,
271,Acanthurus,triostegus,Chordata,cone,twin,518,,,adult,,,0,32,
272,Acanthurus,achilles,Chordata,rod,,496,,,adult,,,0,32,
273,Acanthurus,achilles,Chordata,cone,twin,501,,,adult,,,0,32,
274,Ctenochaetus,strigosus,Chordata,rod,,486,,,adult,,,0,32,
275,Ctenochaetus,strigosus,Chordata,cone,single,453,,,adult,,,0,32,
276,Ctenochaetus,strigosus,Chordata,cone,double,521,,,adult,,,0,32,
277,Ctenochaetus,strigosus,Chordata,cone,double,548,,,adult,,,0,32,
278,Ctenochaetus,strigosus,Chordata,cone,twin,501,,,adult,,,0,32,
279,Naso,lituratus,Chordata,rod,,497,,,adult,,,0,32,
280,Naso,lituratus,Chordata,cone,single,421,,,adult,,,0,32,
281,Naso,lituratus,Chordata,cone,double,496,,,adult,,,0,32,
282,Naso,lituratus,Chordata,cone,double,521,,,adult,,,0,32,
283,Naso,unicornis,Chordata,rod,,494,,,adult,,,0,32,
284,Naso,unicornis,Chordata,cone,single,416,,,adult,,,0,32,
285,Naso,unicornis,Chordata,cone,double,486,,,adult,,,0,32,
286,Naso,unicornis,Chordata,cone,double,507,,,adult,,,0,32,
287,Zebrasoma,veliferum,Chordata,rod,,494,,,adult,,,0,32,
288,Zebrasoma,veliferum,Chordata,cone,single,448,,,adult,,,0,32,
289,Zebrasoma,veliferum,Chordata,cone,double,511,,,adult,,,0,32,
290,Zebrasoma,veliferum,Chordata,cone,double,517,,,adult,,,0,32,
291,Zebrasoma,veliferum,Chordata,cone,twin,523,,,adult,,,0,32,
292,Zebrasoma,flavescens,Chordata,rod,,494,,,adult,,,0,32,
293,Zebrasoma,flavescens,Chordata,cone,single,446,,,adult,,,0,32,
294,Zebrasoma,flavescens,Chordata,cone,double,510,,,adult,,,0,32,
295,Zebrasoma,flavescens,Chordata,cone,double,519,,,adult,,,0,32,
296,Ammodytes,hexapterus,Chordata,rod,,470,,,adult,,,0,5,
297,Ammodytes,hexapterus,Chordata,cone,single,398,,,adult,,,0,5,
298,Ammodytes,hexapterus,Chordata,cone,single,524,,,adult,,,0,5,
299,Ammodytes,hexapterus,Chordata,cone,twin,520,,,adult,,,0,5,
300,Apogon,kallopterus,Chordata,rod,,492,,,adult,,,0,32,
301,Apogon,kallopterus,Chordata,cone,single,441,,,adult,,,0,32,
302,Apogon,kallopterus,Chordata,cone,double,494,,,adult,,,0,32,
303,Apogon,kallopterus,Chordata,cone,double,516,,,adult,,,0,32,
304,Ronquilus,jordani,Chordata,rod,,492,,,adult,,,0,5,
305,Ronquilus,jordani,Chordata,cone,single,461,,,adult,,,0,5,
306,Ronquilus,jordani,Chordata,cone,twin,521,,,adult,,,0,5,
307,Lipophyrs,pholis,NA,rod,,515,,,adult,,,0,29,
308,Lipophyrs,pholis,NA,cone,single,535,,,adult,,,0,29,
309,Lipophyrs,pholis,NA,cone,double,500,,,adult,,,0,29,
310,Lipophyrs,pholis,NA,cone,double,570,,,adult,,,0,29,
311,Plagiotremus,rhinorhynchos,Chordata,rod,,498,,,adult,,,0,9,
312,Plagiotremus,rhinorhynchos,Chordata,cone,single,449,,,adult,,,0,9,
313,Plagiotremus,rhinorhynchos,Chordata,cone,double,520,,,adult,,,0,9,
314,Plagiotremus,rhinorhynchos,Chordata,cone,double,561,,,adult,,,0,9,
315,Trachurus,mediterraneus,Chordata,rod,,502,,,adult,,,0,18,
316,Trachurus,mediterraneus,Chordata,cone,single,433,,,adult,,,0,18,
317,Trachurus,mediterraneus,Chordata,cone,twin,525,,,adult,,,0,18,
318,Spicara,smaris,Chordata,rod,,502,,,adult,,,0,18,
319,Spicara,smaris,Chordata,cone,single,436,,,adult,,,0,18,
320,Spicara,smaris,Chordata,cone,twin,522,,,adult,,,0,18,
