murwes_id,Full_Species,LambdaMax,SD,N,refid,Lineage
153,Barbantus curvifrons,478,–,41,[22],Chordate
154,Bassozetus compressus,476,–,†,[23],Chordate
155,Bathylagus bericoides,464,–,†,[23],Chordate
156,Bathylagus euryops,465,–,†,[23],Chordate
157,Bathylagus greyae,488,–,27,[22],Chordate
158,Bathylagus longirostris,474,–,45,[22],Chordate
159,Batrachocottus baicalensis,450,3.4,5,[72],Chordate
160,Batrachocottus multiradiatus,447,2.4,5,[72],Chordate
161,Batrachocottus nicolskii,428.2,2.6,5,[72],Chordate
162,Benthalbella infans,451,–,34,[22],Chordate
163,Benthosema suborbitale,487,–,†,[23],Chordate
164,Bodianus bilunulatus,526,–,2,[59],Chordate
165,Bolinichthys indicus,489,–,†,[23],Chordate
166,Bonapartia pedalioita,471,–,†,[23],Chordate
167,Borostomias panamensis,483,–,6*,[76],Chordate
168,Brachydanio rerio,405,–,2,[77],Chordate
169,Brachyistius frenatus,530.8,–,†,[78],Chordate
170,Canthidermis maculatus,407,2.6,3,[59],Chordate
171,Caranx hippos,499,1,4,[75],Chordate
172,Carassius carassius,523,–,†,[79],Chordate
173,Carcharhinus acronotus,480,–,6,[80],Chordate
174,Cebus sp.,538,–,†,[81],Chordate
175,Centrophorus squamosus,482,–,†,[82],Chordate
176,Centroswcymnus coleolepis,472,–,†,[82],Chordate
177,Ceratoscopelus warmingii,488,–,†,[83][23],Chordate
178,Chaetodon kleinii,496,2.6,3,[59],Chordate
179,Chaetodon unimaculatus,487,1,3,[59],Chordate
180,Chauliodus danae,484,–,43,[22][84],Chordate
181,Chauliodus macouni,488,–,5*,[83],Chordate
182,Chauliodus sloanei,485,–,†,[23],Chordate
183,Chirostomias pliopterus,487,–,†,[23],Chordate
184,Chlamydera maculata,505.2,1.9,†,[85],Chordate
185,Chlamydera nuchalis,505.7,1.8,†,[86],Chordate
186,Chlorophthalmus sp.,483,–,†,[23],Chordate
187,Chromis hanui,355,7.2,7,[59],Chordate
188,Chromis ovalis,404,1.1,5,[59],Chordate
189,Chromis punctipinnis,498,2,4,[75],Chordate
190,Chromis vanderbilti,462,2.9,5,[59],Chordate
191,Chromis verater,410,1.4,3,[59],Chordate
192,Citellus lateralis,435,–,†,[87],Chordate
193,Clevelandia ios,512,–,36,[74],Chordate
194,Clupea harengus,502.5,0.2,5,[58],Chordate
195,Comephorus baicalensis,497,–,5,[72],Chordate
196,Comephorus dybowskii,495,–,5,[72],Chordate
197,Conger conger,486,–,†,[88],Chordate
198,Conocara macroptera,476,–,17,[22],Chordate
199,Coregonus clupeoides,520,–,†,[88],Chordate
200,Coregonus lavaretus,531.5,0.8,7,[90],Chordate
201,Coryphopterus nicholsii,500,1,30,[75],Chordate
202,Cottinella boulengeri,479.5,–,5,[72],Chordate
203,Cottocomephorus grewingki,449,2.4,5,[72],Chordate
204,Cottocomephorus inermis,450.4,2.5,5,[72],Chordate
205,Cottus kessleri,449,2.7,5,[72],Chordate
206,Cottus sp.,511,–,40,[75],Chordate
207,Ctenochaetus strigosus,449,–,2,[59],Chordate
208,Ctenomys magellanicus,370,–,†,[91],Chordate
209,Ctenomys talarum,370,–,†,[91],Chordate
210,Cymatogaster aggregata,456.1,–,†,[92],Chordate
211,Cynops pyrrhogaster,529,–,†,[93],Chordate
212,Cyprinus carpio,474,2,†,[88],Chordate
213,Cyttopsis rosea,523,–,†,[23],Chordate
214,Dama dama,453,–,5*,[94],Chordate
215,Damalichthys vacca,465.8,–,†,[92],Chordate
216,Danaus plexippus,340,–,4,[95],Chordate
217,Danio aequipinnatus,358,2.2,†,[96],Chordate
218,Dascyllus albisella,359,–,2,[59],Chordate
219,Dasyatis kuhlii,475,9.3,†,[97],Chordate
220,Deania calcea,484,–,†,[82],Chordate
221,Derichthys serpentinus,489,–,27,[22],Chordate
222,Diaphus dumerilli,485,–,†,[23],Chordate
223,Diaphus holti,489,–,3,[83],Chordate
224,Diaphus lucidus,490,–,3,[83],Chordate
225,Diaphus rafinesqueii,490,–,†,[23],Chordate
226,Dicrolene intronigra,479,–,6,[22],Chordate
227,Dissostichus mawsoni,414.3,2.9,†,[98],Chordate
228,Dolichonyx orzivorous,372.2,1.7,†,[99],Chordate
229,Dromiceius novae-hollandae,502,–,8-Feb,[100],Chordate
230,Dugesia japonica,500,–,100,[101],Chordate
231,Echinomacrurus mollis,478,–,†,[23],Chordate
232,Echiostoma barbatum,483,–,21,[22],Chordate
233,Embiotoca jacksoni,476.9,–,†,[92],Chordate
234,Embiotoca lateralis,482.5,–,†,[92],Chordate
235,Engraulis encrasicolus,474,–,†,[102],Chordate
236,Engraulis japonicus,492,–,†,[102],Chordate
237,Equus caballus,428,–,6*,[103],Chordate
238,Etroplus suratensis,530,–,12,[104],Chordate
239,Eucyclogobius newberryi,512,–,60,[74],Chordate
240,Eulemur fulvus,413,–,1,[105],Chordate
241,Eurypharynx pelecanoides,474,–,27,[22],Chordate
242,Eustomias obscurus,485,–,16,"[22], [84]",Chordate
243,Evermannella balbo,480,–,†,[84],Chordate
244,Forcipiger flavissimus,431,–,1,[59],Chordate
245,Galago crassicauda,501,–,†,[88],Chordate
246,Gasterosteus sp.,504.3,,9,[106],Chordate
247,Gasterosteus aculeatus,508.8,0.6,2,[58],Chordate
248,Gekko gecko,364,3,9,[107],Chordate
249,Geoclemys reevesii,480,–,†,[108],Chordate
250,Geotria australis,439,–,6,[109],Chordate
251,Geryon quinquedens,472.9,12.3,15-Feb,[10],Chordate
252,Globicephala melas,488,–,†,[111],Chordate
253,Gobius niger,504.8,–,2,[58],Chordate
254,Hariotta raleighana,481,–,18,[22],Chordate
255,Hexagrammos octagrammus,530,3,14,[112],Chordate
256,Histiobranchus bathybius,476,–,25,[22],Chordate
257,Holtbyrnia spinithara,480,–,2,[83],Chordate
258,Howella sherborni,463,–,37,[22],Chordate
259,Hydrolagus colliei,484,–,†,[113],Chordate
260,Hyperprosopon argenteum,507,–,2,[74],Chordate
261,Hypsurus caryi,456.4,–,†,[92],Chordate
262,Ichthyococcus ovatus,489,–,†,[23],Chordate
263,Idiacanthus fasciola,483,–,†,[22],Chordate
264,Isoodon obesulus,508,5.1,9,[114],Chordate
265,Kali macrodon,484,–,†,[23],Chordate
266,Kuhlia sandvicensis,362,7,18,[59],Chordate
267,Lampadena speculigera,488,–,†,[23],Chordate
268,Lampanychtus ater,483,–,13,[22],Chordate
269,Lampanyctus alatus,485,–,†,[23],Chordate
270,Lampanyctus crocodilus,487,–,†,[23],Chordate
271,Lampanyctus regalis,489,–,2*,[83],Chordate
272,Lepidion eques,476,–,†,[23],Chordate
273,Leptocottus armatus,498,,28,[74],Chordate
274,Leuroglosus stilbius,491,–,2*,[83],Chordate
275,Limnocottus bergianus,490.4,1.1,5,[72],Chordate
276,Limnocottus eurystomus,427.6,4.5,5,[72],Chordate
277,Limnocottus griseus,431,–,5,[72],Chordate
278,Limnocottus pallidus,488,–,5,[72],Chordate
279,Lobianchia gemellarii,485,–,†,[23],Chordate
280,Margrethia obtusirostra,474,–,†,[23],Chordate
281,Melanochromus vermivorous,418.1,1.3,14,[115],Chordate
282,Melanonus zugmayeri,489,–,†,[23],Chordate
283,Melanostigma pammelas,485,–,4*,[83],Chordate
284,Melanostomias niger,483,–,28,[22],Chordate
285,Melanphaes canthomus,4852,–,2*,[83],Chordate
286,Meleagris gallopavo,417.8,2.4,2,[116],Chordate
287,Merluccius merluccius,496,–,†,[82],Chordate
288,Mesoplodon bidens,484,–,†,[111],Chordate
289,Metriaclima zebra,368,4,7,[117],Chordate
290,Micrometrus aurora,464.8,–,†,[117],Chordate
291,Micrometrus minimus,469.5,–,†,[117],Chordate
292,Mirounga angustirostri,491.7,–,2*,[118],Chordate
293,Mugil cephalus,518,–,10,[74],Chordate
294,Mulloidichthys flavolineatus,366,2.4,4,[59],Chordate
295,Mustelus henlei,496,–,8,[119],Chordate
296,Myoxocephalus quadricornis,512.2,1,6,[58],Chordate
297,Myripristis berndti,443,–,2,[59],Chordate
298,Naso lituratus,412,0.6,2,[59],Chordate
299,Naso unicornis,416,1.3,5,[59],Chordate
300,Nemichthys scolopaceus,490,–,†,[23],Chordate
301,Neonesthes capensis,483,–,34,[22],Chordate
302,Neoniphon sammara,446,–,2,[59],Chordate
303,Notacanthus bonapartei,487,–,26,[22],Chordate
304,Notoscopelus resplendens,486,–,†,[23],Chordate
305,Odocoileus virginianus,457,–,4*,[94],Chordate
306,Oncorhynchus mykiss,365,5,19,[120],Chordate
307,Oreochromis nilocticus,359,6,†,[122],Chordate
308,Oreocromis niloticus,375.5,–,†,[123],Chordate
309,Osmerus eperlanus,517.8,0.6,2,[58],Chordate
310,Ostracion meleagris,416,5.4,6,[59],Chordate
311,Otolemus cassicaudatus,507,–,3*,[124],Chordate
312,Pachystomias microdon,513,–,21,[125],Chordate
313,Pagothenia borchgrevinki,488.7,0.8,†,[98],Chordate
314,Paracottus knerii,450,2.6,5,[72],Chordate
315,Paralabrax clathratus,500,1,8,[75],Chordate
316,Parupeneus multifasciatus,486,2.5,11,[59],Chordate
317,Perca fluviatilis,538.6,2,7,[58],Chordate
318,Pervagor aspricaudus,404,1.5,5,[59],Chordate
319,Pervagor spilosoma,398,5,3,[59],Chordate
320,Petromyzon marinus,501,0.1,†,[126],Chordate
321,Phoca groenlandicus,498,–,†,[111],Chordate
322,Phoca vitulina,501,–,†,[111],Chordate
323,Photonectes braueri,483,–,15,[22],Chordate
324,Photostomias braueri,483,–,†,[23],Chordate
325,Photostylus sp.,474,–,†,[23],Chordate
326,Platichthys flesus,510.3,1.3,4,[58],Chordate
327,Platycercus elegans,363,–,†,[128],Chordate
328,Platytroctes apus,476,–,28,[22],Chordate
329,Plectroglyphidodon johnstonianus,474,–,2,[59],Chordate
330,Pollachius pollachius,498,–,9,[130],Chordate
331,Polyipnus polli,483,–,†,[23],Chordate
332,Pomatoschistus microps,515.7,1.3,11,[58],Chordate
333,Pomatoschistus minutus,503,1.3,18,[58],Chordate
334,Porichthys notatus,493,–,27,[76],Chordate
335,Porogradus sp.,474,–,,[23],Chordate
336,Poromitra capito,481,–,20,[22],Chordate
337,Poromitra megalops,487,–,32,[22],Chordate
338,Potamotrygon motoro,499,–,3,[131],Chordate
339,Procottus jettelesi,448,–,5,[72],Chordate
340,Propithecus verreauxi coquereli,430,–,†,[132],Chordate
341,Pseudopleuronectes americanus,457,4,5,[133],Chordate
342,Pseudotropheus acei,378.4,2.5,19,[115],Chordate
343,Ptilorhynchus violaceus,410.4,9.9,†,[86],Chordate
344,Puffinus pacificus,406,–,†,[134],Chordate
345,Pundamilia azurea,455.3,2,21,[135],Chordate
346,Pundamilia nyererei,451.2,2.9,5,[135],Chordate
347,Pundamila sp.,455.3,1.2,18,[135],Chordate
348,Pungitius pungitius,526.8,3.5,4,[58],Chordate
349,Radiicephalus elongatus,481,–,†,[23],Chordate
350,Raja binoculata,497,–,†,[113],Chordate
351,Rana cancrivora,433,2,80,[136],Chordate
352,Rana temporaria,502,–,†,[88],Chordate
353,Rangifer tarandus,439,–,†,[137],Chordate
354,Rhadinesthes decimus,480,–,6,[22],Chordate
355,Rhinobatus typus,476.6,4.2,10,[69],Chordate
356,Rhinoptera bonasus,470,1,6,[138],Chordate
357,Rinocetes nasutus,489,–,†,[23],Chordate
358,Rouleina aderensis,477,–,48,[22],Chordate
359,Rutilis rutilis,523.8,6.6,6,[58],Chordate
360,Saguinus midas,546,–,†,[81],Chordate
361,Salmo irideus,400,2.4,7,[139],Chordate
362,Salvelinus alpinus,508,–,†,[88],Chordate
363,Sarda chiliensis,488,2,2,[75],Chordate
364,Sardinops melanostictus,382,3.4,†,[140],Chordate
365,Sargocentron xantherythrum,447,2.8,3,[59],Chordate
366,Scardinius erythrophthalmus,533.2,9.4,2,[58],Chordate
367,Scenopoetes dentirostris,506.3,2.3,†,[86],Chordate
368,Sciurus carolinensis,530,–,2*,[141],Chordate
369,Scomber japonicus,491,1,4,[75],Chordate
370,Scomberomorus sierra,486,1,6,[75],Chordate
371,Scopelarchus analis,479,–,†,[142],Chordate
372,Scopelogadus beanii,482,–,13,[22],Chordate
373,Sebastolobus alascanus,484,–,3*,[76],Chordate
374,Sephanoides sephanoides,371,–,†,[143],Chordate
375,Sericulus crysocephalus,506,1.6,†,[86],Chordate
376,Seriphus politus,503,–,4,[74],Chordate
377,Serrivomer lanceolatoides,483,–,†,[23],Chordate
378,Setonix brachyurus,502,5.4,17,[114],Chordate
379,Sminthopsis crassicaudata,350,–,3,[144],Chordate
380,Spermophilus beecheyi,518.9,–,6*,[145],Chordate
381,Spermophilus tridecemline,517,–,6*,[145],Chordate
382,Sphoeroides annulatus,508,–,14,[74],Chordate
383,Sphyraena barracuda,455,–,9,[59],Chordate
384,Sphyrna lewini,530,–,8,[80],Chordate
385,Sphyrna tiburo,483,–,6,[80],Chordate
386,Squalus suckleyi,497.5,–,†,[113],Chordate
387,Stegastes fasciolatus,363,1,3,[59],Chordate
388,Stenobrachius leucopsarus,492,–,†,[146],Chordate
389,Sternoptyx diaphana,478,–,30,[83],Chordate
390,Sternoptyx pseudobscura,479,–,19,[22],Chordate
391,Stizostedion lucioperca,524.1,1.3,7,[58],Chordate
392,Stomias atriventer,489,–,1*,[83],Chordate
393,Stomias boa,489,–,†,[23],Chordate
394,Strix aluco,463,–,1,[147],Chordate
395,Sufflamen bursa,404,3.2,9,[59],Chordate
396,Syngnathus typhle,500.6,0.4,4,[58],Chordate
397,Synaphobranchus kaupi,478,–,23,[22],Chordate
398,Synodus variegatus,368,2.6,3,[59],Chordate
399,Taaningichthys bathyphilus,487,–,7,[22][23],Chordate
400,Talismania antillarum,476,–,28,[22],Chordate
401,Tarsipes rostratus,350,–,3,[144],Chordate
402,Thomomys bottae,495,–,2*,[148],Chordate
403,Toxotes chatareus,453,7.1,20-Oct,[149],Chordate
404,Trachurus symmetricus,497,2,11,[75],Chordate
405,Tramitichromis intermedius,455.1,1.9,11,[115],Chordate
406,Trematomus bernacchii,416.1,2.8,†,[98],Chordate
407,Trematomus hansoni,426.4,1.3,†,[98],Chordate
408,Trematomus loennbergii,426.4,1.3,†,[98],Chordate
409,Triakis semifasciata,497,5,47,[119],Chordate
410,Trichechus manatus,411,–,†,[150],Chordate
411,Trigla cuculus,493,–,†,[88],Chordate
412,Tursiops truncates,489,–,†,[151],Chordate
413,Typhlonectes natans,488,0.9,†,[152],Chordate
414,Upeneus tragula,495.7,–,†,[153],Chordate
415,Urobatis jamaicensis,475,2,2,[138],Chordate
416,Valenciennellus tripunctulatus,480,–,11,[22],Chordate
417,Vinciguerria nimbaria,477,–,†,[23],Chordate
418,Xenodermichthys copei,479,–,†,[23],Chordate
419,Zalembius rosaceus,470.4,–,†,[92],Chordate
420,Zalophus californianus,501.3,–,3*,[118],Chordate
421,Zanclus cornutus,447,0.7,3,[59],Chordate
422,Zaniolepis frenata,487,–,2*,[76],Chordate
423,Zebrasoma flavescens,446,–,2,[59],Chordate
424,Zebrasoma veliferum,448,2.8,4,[59],Chordate
425,Zoarces viviparus,512.8,1,9,[58],Chordate
426,Phalacrocorax carbo,504,–,†,[154],Chordated
427,Tripedalia cystophora,467.5,–,†,[155],Ctenophore
428,Callistoctopus dierythraeus,484,1.9,3,[156],Mollusk
429,Euprymna tasmanica,498,1.4,3,[156],Mollusk
430,Hapalochlaena maculosa,485,2.4,4,[156],Mollusk
431,Idiosepius notoides,492,2.1,12,[156],Mollusk
432,Octopus australis,484,1.2,6,[156],Mollusk
433,Octopus tetricus,484,4.6,3,[156],Mollusk
434,Sepia plangon,498,1.8,3,[156],Mollusk
435,Sepioteuthis lessoniana,502,1.6,5,[156],Mollusk
436,Aglais urticae,530,–,†,[1],Arthropod
437,Agraulis vanillae,551,–,†,[3],Arthropod
438,Alima pacifica,467,–,5,[4],Arthropod
439,Antheraea polyphemus,370,–,20,[5],Arthropod
440,Apodemia mormo,600,–,†,[3],Arthropod
441,Archaeomysis grebnitzkii,496,4.1,12,[6],Arthropod
442,Archaeopropona demophon,554,–,†,[3],Arthropod
443,Asterocampa leilia,555,1.5,†,[3],Arthropod
444,Balanus amphitrite,570,–,†,[7],Arthropod
445,Balanus eburneus,570,–,†,[7],Arthropod
446,Bombus terrestris,538.23,6.11,†,[8],Arthropod
447,Bombyx mori,530,–,†,[9],Arthropod
448,Calappa flammea,485.2,4.7,13-Feb,[10],Arthropod
449,Callinectes ornatus,498.5,5.5,15-Feb,[10],Arthropod
450,Callinectes sapidus,508,,5*,[12],Arthropod
451,Cambarellus shufeldtii,526,–,3,[13],Arthropod
452,Cambarus ludovicianus,528,–,3,[13],Arthropod
453,Cataglyphis bicolor,506,–,†,[14],Arthropod
454,Clibanarius vittatus,509.6,8.2,13-Feb,[10],Arthropod
455,Coenobita clypeatus,506.2,14.3,13-Feb,[10],Arthropod
456,Coenobita rugosa,489.5,11,13-Apr,[10],Arthropod
457,Colias erate,577,–,†,[15],Arthropod
458,Deilephila elpenor,520,–,†,[16],Arthropod
459,Engaeus cunicularius,526,–,3,[13],Arthropod
460,Euphausia superba,487,–,5,[18],Arthropod
461,Euphydryas chalcedona,370,–,†,[2],Arthropod
462,Eurypanopeus depressus,490.1,3,20-Apr,[10],Arthropod
463,Funchalia villosa,489,–,6,[18],Arthropod
464,Gecarcinus lateralis,487,–,†,[19],Arthropod
465,Gonodactylellus affinis,445,–,2,[20],Arthropod
466,Gonodactylus oerstedii,551,13.9,†,[21],Arthropod
467,Gonostoma bathyphilum,481,–,30,[22],Arthropod
468,Gonostoma elongatum,483,–,†,[23],Arthropod
469,Gryllus bimaculatus,511,–,24,[24],Arthropod
470,Heliconius charithonia,549,1.5,†,[3],Arthropod
471,Heliconius erato,555,–,†,[2],Arthropod
472,Heliconius hecale,550,1.5,†,[2],Arthropod
473,Heliconius melpomene,557,–,†,[2],Arthropod
474,Heliconius numata,540,–,†,[25],Arthropod
475,Hemicordulia tau,525,–,23,[26],Arthropod
476,Hemigraspus edwardsi,513,–,†,[27],Arthropod
477,Hemigraspus sanguineus,480,–,10,[28],Arthropod
478,Hemisquilla ensigera,535,–,13,[21],Arthropod
479,Hepatus epheliticus,486.6,4.6,17-Feb,[10],Arthropod
480,Hermeuptychia hermes,515,–,†,[3],Arthropod
481,Holmesimysis costata,512,6.8,10,[29],Arthropod
482,Homarus americanus,522.5,–,†,[31],Arthropod
483,Inachis io,530,,,[32],Arthropod
484,Ischnura heterosticta,525,,61,[33],Arthropod
485,Janicella spinacauda,500,,4*,[18],Arthropod
486,Junonia coenia,510,–,†,[32],Arthropod
487,Leptograspus variegatus,513,2,†,[27],Arthropod
488,Libinia dubia,488.7,2.2,20-Feb,[10],Arthropod
489,Libinia emarginata,493,,†,[34],Arthropod
490,Limenitis archippus,545,,†,[3],Arthropod
491,Limenitis lorquini,530,,†,[3],Arthropod
492,Limenitis weidemeyerii,530,,†,[3],Arthropod
493,Limulus polyphemus,522.5,–,,[30],Arthropod
