kooi_id,Family,Genus,Species,variable,LambdaMax,Full_Species
74,Bibionidae,Bibio,marci,First,350,Bibio marci
75,Bibionidae,Bibio,sp.,First,350,Bibio sp.
76,Tabanidae,Tabanus,bromius,First,360,Tabanus bromius
77,Stratomyidae,Hermetia,illucans,First,332,Hermetia illucans
78,Dolichopo-diade,Condylostylus,japonicus,First,340,Condylostylus japonicus
79,Syrphidae,Eristalis,tenax,First,350,Eristalis tenax
80,Glossinidae,Glossina,moritans moritans,First,350,Glossina moritans moritans
81,Calliphoridae,Calliphora,erythrocephala,First,360,Calliphora erythrocephala
82,Calliphoridae,Calliphora,vicina,First,335,Calliphora vicina
83,Muscidae,Musca,domestica,First,335,Musca domestica
84,Diopsidae,Cyrtodiopsis,dalmanni,First,360,Cyrtodiopsis dalmanni
85,Drosophilidae,Drosophila,melanogaster,First,345,Drosophila melanogaster
86,Tachinidae,Exorista,japonica,First,340,Exorista japonica
87,Andrenidae,Andrena,florea,First,348,Andrena florea
88,Andrenidae,Callonychium,petuniae,First,356,Callonychium petuniae
89,Andrenidae,Oxaea,flavescens,First,370,Oxaea flavescens
90,Apidae,Anthophora,acervorum,First,348,Anthophora acervorum
91,Apidae,Apis,mellifera,First,346,Apis mellifera
92,Apidae,Bombus,dahlbomii,First,355,Bombus dahlbomii
93,Apidae,Bombus,distinguendis,First,350,Bombus distinguendis
94,Apidae,Bombus,fervidus,First,350,Bombus fervidus
95,Apidae,Bombus,hortorum,First,353,Bombus hortorum
96,Apidae,Bombus,impatiens,First,346,Bombus impatiens
97,Apidae,Bombus,jonellus,First,341,Bombus jonellus
98,Apidae,Bombus,lapidarius,First,341,Bombus lapidarius
99,Apidae,Bombus,monticola,First,346,Bombus monticola
100,Apidae,Bombus,morio,First,329,Bombus morio
101,Apidae,Bombus,terrestris dalmatinus,First,348,Bombus terrestris dalmatinus
102,Apidae,Bombus,terrestris sassaricus,First,347,Bombus terrestris sassaricus
103,Apidae,Bombus,terrestris terrestris,First,336,Bombus terrestris terrestris
104,Apidae,Melecta,punctata,First,336,Melecta punctata
105,Apidae,Melipona,marginata,First,340,Melipona marginata
106,Apidae,Melipona,quadrifasciata,First,349,Melipona quadrifasciata
107,Apidae,Partamona,helleri,First,347,Partamona helleri
108,Apidae,Proxylocopa,sp.,First,338,Proxylocopa sp.
109,Apidae,Schwarziana,sp.,First,348,Schwarziana sp.
110,Apidae,Trigona,spinipes,First,349,Trigona spinipes
111,Apidae,Xylocopa,brasilianorum,First,362,Xylocopa brasilianorum
112,Colletidae,Colletes,fulgidus,First,340,Colletes fulgidus
113,Crabronidae,Philanthus,triangulum,First,352,Philanthus triangulum
114,Formicidae,Camponotus,blandus,First,360,Camponotus blandus
115,Formicidae,Cataglyphis,aenescens,First,370,Cataglyphis aenescens
116,Formicidae,Cataglyphis,bicolor,First,350,Cataglyphis bicolor
117,Formicidae,Formica,cunicularia,First,370,Formica cunicularia
118,Formicidae,Formica,polyctena,First,360,Formica polyctena
119,Formicidae,Myrmecia,croslandi,First,370,Myrmecia croslandi
120,Formicidae,Myrmecia,gulosa,First,412,Myrmecia gulosa
121,Formicidae,Myrmecia,vindex,First,370,Myrmecia vindex
122,Formicidae,Solenopsis,saevissima,First,360,Solenopsis saevissima
123,Vespidae,Paravespula,germanica,First,347,Paravespula germanica
124,Vespidae,Paravespula,vulgaris,First,346,Paravespula vulgaris
125,Vespidae,Polistes,dominulus,First,358,Polistes dominulus
126,Vespidae,Vespa,crabro,First,346,Vespa crabro
127,Ichneumonidae,Ichneumon,sp.,First,524,Ichneumon sp.
128,Ichneumonidae,Ichneumon,stramentrius,First,524,Ichneumon stramentrius
129,Megachilidae,Anthidium,manicatum,First,356,Anthidium manicatum
130,Megachilidae,Chelostoma,florisomne,First,324,Chelostoma florisomne
131,Megachilidae,Osmia,rufa,First,354,Osmia rufa
132,Siricidae,Urocerus,gigas,First,524,Urocerus gigas
133,Tenthredinidae,Tenthredo,campestris,First,337,Tenthredo campestris
134,Tenthredinidae,Tenthredo,scrophulariae,First,332,Tenthredo scrophulariae
135,Xiphydriidae,Xiphydria,camelus,First,556,Xiphydria camelus
136,Anobiidae,Lasioderma,serricorne,First,361,Lasioderma serricorne
137,Buprestidae,Coroebus,undatus,First,"335,350",Coroebus undatus
138,Cantharidae,Chauliognathus,pulchellus,First,360,Chauliognathus pulchellus
139,Carabidae,Carabus,nemoralis,First,348,Carabus nemoralis
140,Carabidae,Carabus,auratus,First,348,Carabus auratus
141,Carabidae,Cicindela,specularis,First,370,Cicindela specularis
142,Carabidae,Cicindela,japonica,First,370,Cicindela japonica
143,Chrysome-lidae,Leptinotarsa,decemlineata,First,370,Leptinotarsa decemlineata
144,Coccinellidae,Coccinella,septempunctata,First,360,Coccinella septempunctata
145,Curculionidae,Rynchophorus,ferrugineus,First,366,Rynchophorus ferrugineus
146,Dytiscidae,Thermonectus,maromoratus,First,375,Thermonectus maromoratus
147,Elateridae,Fulgeochlizus,bruchii,First,360,Fulgeochlizus bruchii
148,Elateridae,Pyrearinus,termitilluminans,First,380,Pyrearinus termitilluminans
149,Elateridae,Pyrophorus,punctatissimus,First,390,Pyrophorus punctatissimus
150,Elateridae,Pyrophorus,divergens,First,380,Pyrophorus divergens
151,Elateridae,Photuris,lucicrescens,First,350,Photuris lucicrescens
152,Gyrinidae,Dineutus,ciliatus,First,380,Dineutus ciliatus
153,Glaphyridae,Pygopleurus,israelitus,First,360,Pygopleurus israelitus
154,Rhagophthal-midae,Rhagoph-thalmus,ohbai,First,360,Rhagoph-thalmus ohbai
155,Scarabaeidae,Anomala,corpulenta,First,400,Anomala corpulenta
156,Scarabaeidae,Lethrus,apterus,First,355,Lethrus apterus
157,Scarabaeidae,Onitis,alexis,First,370,Onitis alexis
158,Scarabaeidae,Protaetia,brevitarsis,First,360-380,Protaetia brevitarsis
159,Pieridae,Colias,erate,Second,440,Colias erate
160,Pieridae,Colias,erate,Second,430,Colias erate
161,Pieridae,Leptidae,amurensis,Second,440,Leptidae amurensis
162,Pieridae,Pieris,brassicae,Second,450,Pieris brassicae
163,Pieridae,Pieris,rapae crucivora,Second,440,Pieris rapae crucivora
164,Pieridae,Pieris,rapae crucivora,Second,420,Pieris rapae crucivora
165,Papillionidae,Graphium,sarpedon,Second,400,Graphium sarpedon
166,Papillionidae,Papilio,aegeus,Second,390,Papilio aegeus
167,Papillionidae,Papilio,xuthus,Second,400,Papilio xuthus
168,Papillionidae,Troides,aeacus formosanum,Second,390,Troides aeacus formosanum
169,Parnasiinae,Parnassius,glacialis,Second,460,Parnassius glacialis
170,Nymphalidae,Sasakia,charonda,Second,420,Sasakia charonda
171,Nymphalidae,Danaus,plexipus,Second,435,Danaus plexipus
172,Nymphalidae,Parantica,sita,Second,440,Parantica sita
173,Nymphalidae,Heliconius,erato,Second,390,Heliconius erato
174,Nymphalidae,Aglais,urticae,Second,460,Aglais urticae
175,Nymphalidae,Polygonia,c-aureum,Second,440,Polygonia c-aureum
176,Nymphalidae,Polygonia,c-album,Second,445,Polygonia c-album
177,Lycaenidae,Lycaena,heteronea,Second,437,Lycaena heteronea
178,Lycaenidae,Lycaena,rubidus,Second,437,Lycaena rubidus
179,Lycaenidae,Pseudozizeeria,maha,Second,438,Pseudozizeeria maha
180,Castnidaee,Payasandisia,archon,Second,465,Payasandisia archon
181,Crambidae,Ostrinia,nubilalis,Second,413,Ostrinia nubilalis
182,Erebidae,Arctia,plantaginis,Second,457,Arctia plantaginis
183,Erebidae,Lymantria,dispar,Second,360,Lymantria dispar
184,Epicopeiidae,Epicopeia,hainesii,Second,420,Epicopeia hainesii
185,Geometridae,Arichanna,gaschkevitchii,Second,500,Arichanna gaschkevitchii
186,Hepialidae,Phassus,excrescens,Second,440-460,Phassus excrescens
187,Noctuidae,Anadevidia,peponis,Second,460,Anadevidia peponis
188,Noctuidae,Helicoverpa,armigera,Second,483,Helicoverpa armigera
189,Noctuidae,Heliothis,virescens,Second,480-575,Heliothis virescens
190,Noctuidae,Heliothis,zea,Second,480-575,Heliothis zea
191,Noctuidae,Mamestra,brassicae,Second,460,Mamestra brassicae
192,Noctuidae,Phalaenoides,glycinae,Second,475,Phalaenoides glycinae
193,Noctuidae,Spodoptera,exempta,Second,465,Spodoptera exempta
194,Pyralidae,Amyelois,transitella,Second,430,Amyelois transitella
195,Saturniidae,Actias,artemis aliena,Second,460,Actias artemis aliena
196,Saturniidae,Antherea,polyphemus,Second,460-480,Antherea polyphemus
197,Saturniidae,Samia,cyntia ricini,Second,480-520,Samia cyntia ricini
198,Sesiidae,Synathedon,tipulif ormis,Second,470,Synathedon tipulif ormis
199,Sphingidae,Ampelophaga,rubiginosa,Second,460,Ampelophaga rubiginosa
200,Sphingidae,Callambulyx,tatarinovii,Second,460,Callambulyx tatarinovii
201,Sphingidae,Cephonodes,hylas,Second,460,Cephonodes hylas
202,Sphingidae,Deilephila,elpenor,Second,440-450,Deilephila elpenor
203,Sphingidae,Macroglossum,stellatarum,Second,440,Macroglossum stellatarum
204,Sphingidae,Manduca,sexta,Second,440,Manduca sexta
205,Sphingidae,Marumba,sperchius,Second,460,Marumba sperchius
206,Tortricidae,Cydia,strobilella,Second,436,Cydia strobilella
207,Tortricidae,Adoxophyes,orana,Second,481,Adoxophyes orana
208,Libellulidae,Sympetrum,rubicundulum,Second,410,Sympetrum rubicundulum
209,Libellulidae,Libellula,needhami,Second,430,Libellula needhami
210,Aeschnidae,Aeschna,cyanea and mixta,Second,412-420,Aeschna cyanea and mixta
211,Corduliidae,Hemicordulia,tau,Second,410,Hemicordulia tau
212,Coenagrio-nidae,Ischnura,elegans,Second,440,Ischnura elegans
213,Coenagrio-nidae,Ischnura,heterosticta,Second,450,Ischnura heterosticta
214,Acrididae,Locusta,migratoria,Second,430,Locusta migratoria
215,Acrididae,Schistocerca,gregaria,Second,"441,514",Schistocerca gregaria
216,Gryllidae,Gryllus,bimaculatus,Second,445,Gryllus bimaculatus
217,Panorpidae,Panorpa,communis,Second,450,Panorpa communis
218,Aphidae,Myzus,persicae,Second,490,Myzus persicae
219,Cicadellidae,Nephotettix,cincticeps,Second,449,Nephotettix cincticeps
220,Notonectidae,Notonecta,glauca,Second,445,Notonecta glauca
221,Corixidae,Corixa,punctata,Second,405,Corixa punctata
222,Thripidae,Frankliniella,occidentalis,Second,476,Frankliniella occidentalis
223,Tabanidae,Tabanus,bromius,Second,440,Tabanus bromius
224,Stratomyidae,Hermetia,illucans,Second,351,Hermetia illucans
225,Calliphoridae,Calliphora,vicina,Second,355,Calliphora vicina
226,Muscidae,Musca,domestica,Second,355,Musca domestica
227,Drosophilidae,Drosophila,melanogaster,Second,370,Drosophila melanogaster
228,Andrenidae,Andrena,florea,Second,445,Andrena florea
229,Andrenidae,Callonychium,petuniae,Second,445,Callonychium petuniae
230,Andrenidae,Oxaea,flavescens,Second,435,Oxaea flavescens
231,Apidae,Anthophora,acervorum,Second,445,Anthophora acervorum
232,Apidae,Apis,mellifera,Second,430,Apis mellifera
233,Apidae,Apis,mellifera,Second,445,Apis mellifera
234,Apidae,Bombus,dahlbomii,Second,425,Bombus dahlbomii
235,Apidae,Bombus,distinguendis,Second,440,Bombus distinguendis
236,Apidae,Bombus,fervidus,Second,450,Bombus fervidus
237,Apidae,Bombus,hortorum,Second,436,Bombus hortorum
238,Apidae,Bombus,impatiens,Second,424,Bombus impatiens
239,Apidae,Bombus,jonellus,Second,445,Bombus jonellus
240,Apidae,Bombus,lapidarius,Second,445,Bombus lapidarius
241,Apidae,Bombus,monticola,Second,445,Bombus monticola
242,Apidae,Bombus,morio,Second,445,Bombus morio
243,Apidae,Bombus,terrestris dalmatinus,Second,435,Bombus terrestris dalmatinus
244,Apidae,Bombus,terrestris sassaricus,Second,436,Bombus terrestris sassaricus
245,Apidae,Bombus,terrestris terrestris,Second,428,Bombus terrestris terrestris
246,Apidae,Melecta,punctata,Second,428,Melecta punctata
247,Apidae,Melipona,marginata,Second,450,Melipona marginata
248,Apidae,Melipona,quadrifasciata,Second,426,Melipona quadrifasciata
249,Apidae,Nomada,albogutata,Second,428,Nomada albogutata
250,Apidae,Partamona,helleri,Second,444,Partamona helleri
251,Apidae,Proxylocopa,sp.,Second,445,Proxylocopa sp.
252,Apidae,Schwarziana,sp.,Second,453,Schwarziana sp.
253,Apidae,Trigona,spinipes,Second,445,Trigona spinipes
254,Apidae,Xylocopa,brasilianorum,Second,445,Xylocopa brasilianorum
255,Colletidae,Colletes,fulgidus,Second,532,Colletes fulgidus
256,Crabronidae,Cerceris,rybynensis,Second,436,Cerceris rybynensis
257,Crabronidae,Philanthus,triangulum,Second,445,Philanthus triangulum
258,Formicidae,Camponotus,blandus,Second,470-560,Camponotus blandus
259,Formicidae,Myrmecia,croslandi,Second,470,Myrmecia croslandi
260,Formicidae,Myrmecia,vindex,Second,450,Myrmecia vindex
261,Formicidae,Solenopsis,saevissima,Second,505,Solenopsis saevissima
262,Vespidae,Dolichovespula,norwegica,Second,448,Dolichovespula norwegica
263,Vespidae,Paravespula,germanica,Second,445,Paravespula germanica
264,Vespidae,Paravespula,vulgaris,Second,445,Paravespula vulgaris
265,Vespidae,Polistes,dominulus,Second,457,Polistes dominulus
266,Vespidae,Vespa,crabro,Second,445,Vespa crabro
267,Halictidae,Lasioglossum,malachurum,Second,442,Lasioglossum malachurum
268,Megachilidae,Anthidium,manicatum,Second,445,Anthidium manicatum
269,Megachilidae,Osmia,rufa,Second,445,Osmia rufa
270,Tenthredinidae,Tenthredo,campestris,Second,458,Tenthredo campestris
271,Xiphydriidae,Xiphydria,camelus,Second,604,Xiphydria camelus
272,Buprestidae,Coroebus,undatus,Second,430,Coroebus undatus
273,Cantharidae,Chauliognathus,pulchellus,Second,450,Chauliognathus pulchellus
274,Carabidae,Carabus,nemoralis,Second,430,Carabus nemoralis
275,Carabidae,Carabus,auratus,Second,430,Carabus auratus
276,Chrysome-lidae,Leptinotarsa,decemlineata,Second,450,Leptinotarsa decemlineata
277,Coccinellidae,Coccinella,septempunctata,Second,420,Coccinella septempunctata
278,Curculionidae,Dendroctonus,pseudotsugae,Second,450,Dendroctonus pseudotsugae
279,Curculionidae,Ips,paraconfusus,Second,450,Ips paraconfusus
280,Elateridae,Photuris,lucicrescens,Second,440,Photuris lucicrescens
281,Lampyridae,Cyphonocerus,rufficolis,Second,483,Cyphonocerus rufficolis
282,Lampyridae,Luciola,lateralis,Second,450,Luciola lateralis
283,Scarabaeidae,Anomala,corpulenta,Second,460,Anomala corpulenta
284,Pieridae,Colias,erate,Third,480,Colias erate
285,Pieridae,Colias,erate,Third,460,Colias erate
286,Pieridae,Leptidae,amurensis,Third,450,Leptidae amurensis
287,Pieridae,Pieris,rapae crucivora,Third,460,Pieris rapae crucivora
288,Papillionidae,Graphium,sarpedon,Third,460,Graphium sarpedon
289,Papillionidae,Papilio,aegeus,Third,450,Papilio aegeus
290,Papillionidae,Papilio,xuthus,Third,460,Papilio xuthus
291,Papillionidae,Troides,aeacus formosanum,Third,440,Troides aeacus formosanum
292,Parnasiinae,Parnassius,glacialis,Third,540,Parnassius glacialis
293,Nymphalidae,Sasakia,charonda,Third,440,Sasakia charonda
294,Nymphalidae,Danaus,plexipus,Third,540,Danaus plexipus
295,Nymphalidae,Parantica,sita,Third,520,Parantica sita
296,Nymphalidae,Heliconius,erato,Third,470,Heliconius erato
297,Nymphalidae,Aglais,urticae,Third,530,Aglais urticae
298,Nymphalidae,Polygonia,c-aureum,Third,460,Polygonia c-aureum
299,Nymphalidae,Polygonia,c-album,Third,532,Polygonia c-album
300,Lycaenidae,Lycaena,heteronea,Third,500,Lycaena heteronea
301,Lycaenidae,Lycaena,rubidus,Third,500,Lycaena rubidus
302,Riodinidae,Apodemia,mormo,Third,505,Apodemia mormo
303,Lycaenidae,Pseudozizeeria,maha,Third,554,Pseudozizeeria maha
304,Castnidaee,Payasandisia,archon,Third,550,Payasandisia archon
305,Crambidae,Ostrinia,nubilalis,Third,480,Ostrinia nubilalis
306,Erebidae,Arctia,plantaginis,Third,521,Arctia plantaginis
307,Erebidae,Lymantria,dispar,Third,480-520,Lymantria dispar
308,Bombycidae,Bombyx,mandarina,Third,520,Bombyx mandarina
309,Bombycidae,Bombyx,mori,Third,520,Bombyx mori
310,Epicopeiidae,Epicopeia,hainesii,Third,500,Epicopeia hainesii
311,Geometridae,Arichanna,gaschkevitchii,Third,540,Arichanna gaschkevitchii
312,Hepialidae,Phassus,excrescens,Third,520-540,Phassus excrescens
313,Noctuidae,Anadevidia,peponis,Third,500-520,Anadevidia peponis
314,Noctuidae,Helicoverpa,armigera,Third,562,Helicoverpa armigera
315,Noctuidae,Mamestra,brassicae,Third,540,Mamestra brassicae
316,Noctuidae,Phalaenoides,glycinae,Third,520,Phalaenoides glycinae
317,Noctuidae,Spodoptera,exempta,Third,515,Spodoptera exempta
318,Noctuidae,Trichoplusia,ni,Third,540-550,Trichoplusia ni
319,Pyralidae,Amyelois,transitella,Third,530,Amyelois transitella
320,Pyralidae,Ephestia,cautella,Third,546,Ephestia cautella
321,Pyralidae,Galleria,mellonella,Third,510,Galleria mellonella
322,Saturniidae,Actias,artemis aliena,Third,540,Actias artemis aliena
323,Saturniidae,Antherea,polyphemus,Third,520-530,Antherea polyphemus
324,Sesiidae,Synathedon,tipulif ormis,Third,530,Synathedon tipulif ormis
325,Sphingidae,Ampelophaga,rubiginosa,Third,540,Ampelophaga rubiginosa
326,Sphingidae,Callambulyx,tatarinovii,Third,540,Callambulyx tatarinovii
327,Sphingidae,Cephonodes,hylas,Third,520,Cephonodes hylas
328,Sphingidae,Deilephila,elpenor,Third,520-525,Deilephila elpenor
329,Sphingidae,Macroglossum,stellatarum,Third,521,Macroglossum stellatarum
330,Sphingidae,Manduca,sexta,Third,520,Manduca sexta
331,Sphingidae,Marumba,sperchius,Third,540,Marumba sperchius
332,Tortricidae,Cydia,pomonella,Third,550,Cydia pomonella
333,Tortricidae,Cydia,strobilella,Third,526,Cydia strobilella
334,Tortricidae,Adoxophyes,orana,Third,533,Adoxophyes orana
335,Libellulidae,Sympetrum,rubicundulum,Third,490,Sympetrum rubicundulum
336,Aeschnidae,Aeschna,cyanea and mixta,Third,458,Aeschna cyanea and mixta
337,Corduliidae,Hemicordulia,tau,Third,460,Hemicordulia tau
338,Caloptery-gidae,Calypteryx,splendens and virgo,Third,480,Calypteryx splendens and virgo
339,Coenagrio-nidae,Ischnura,elegans,Third,540,Ischnura elegans
340,Blattidae,Periplaneta,americana,Third,507,Periplaneta americana
341,Blattidae,Blatta,orientalis,Third,503,Blatta orientalis
342,Ectobiidae,Blatella,germanica,Third,490,Blatella germanica
343,Acrididae,Locusta,migratoria,Third,530,Locusta migratoria
344,Gryllidae,Gryllus,bimaculatus,Third,515,Gryllus bimaculatus
345,Mantidae,Tenodera,sinensis,Third,510-520,Tenodera sinensis
346,Ascalaphidae,Libelloides,macaronius,Third,530,Libelloides macaronius
347,Myrmeleon-tidae,Euroleon,nostras,Third,550,Euroleon nostras
348,Mantispidae,Mantispa,styriaca,Third,546,Mantispa styriaca
349,Chrysopidae,Chrysoperla,carnea,Third,546,Chrysoperla carnea
350,Panorpidae,Panorpa,cognata,Third,540,Panorpa cognata
351,Panorpidae,Panorpa,communis,Third,500,Panorpa communis
352,Aphidae,Myzus,persicae,Third,527,Myzus persicae
353,Aphidae,Acyrthosiphon,pisum,Third,518,Acyrthosiphon pisum
354,Cimicidae,Cimex,lectularius,Third,520,Cimex lectularius
355,Cicadellidae,Nephotettix,cincticeps,Third,527,Nephotettix cincticeps
356,Notonectidae,Notonecta,glauca,Third,560,Notonecta glauca
357,Corixidae,Corixa,punctata,Third,525,Corixa punctata
358,Thripidae,Frankliniella,occidentalis,Third,535,Frankliniella occidentalis
359,Thripidae,Scirtothrips,dorsalis,Third,520,Scirtothrips dorsalis
360,Xenidae,Xenos,peckii,Third,539,Xenos peckii
361,Culicidae,Aedes,aegypti,Third,523,Aedes aegypti
362,Culicidae,Aedes,albopictus,Third,515,Aedes albopictus
363,Psychodidae,Lutzomyia,longipalpis,Third,"520,546",Lutzomyia longipalpis
364,Simuliidae,Simulium,sp.,Third,430,Simulium sp.
365,Keroplatidae,Arachnocampa,luminosa,Third,540,Arachnocampa luminosa
366,Bibionidae,Bibio,marci,Third,520,Bibio marci
367,Bibionidae,Bibio,sp.,Third,440,Bibio sp.
368,Tabanidae,Haematopota,sp.,Third,530,Haematopota sp.
369,Tabanidae,Tabanus,nigrovittatus,Third,520,Tabanus nigrovittatus
370,Tabanidae,Tabanus,bromius,Third,530,Tabanus bromius
371,Stratomyidae,Hermetia,illucans,Third,367,Hermetia illucans
372,Dolichopo-diade,Condylostylus,japonicus,Third,480,Condylostylus japonicus
373,Syrphidae,Allograpta,obliqua,Third,"455,480",Allograpta obliqua
374,Syrphidae,Eristalis,arbustorum,Third,450,Eristalis arbustorum
375,Syrphidae,Eristalis,tenax,Third,450,Eristalis tenax
376,Syrphidae,Syrphus,balteatus,Third,450,Syrphus balteatus
377,Syrphidae,Syrphus,sp.,Third,455,Syrphus sp.
378,Syrphidae,Toxomerus,marginatus,Third,450,Toxomerus marginatus
379,Glossinidae,Glossina,moritans moritans,Third,500,Glossina moritans moritans
380,Calliphoridae,Lucilia (Phaenicia),serricata,Third,480,Lucilia (Phaenicia) serricata
381,Calliphoridae,Calliphora,erythrocephala,Third,490,Calliphora erythrocephala
382,Calliphoridae,Calliphora,vicina,Third,490,Calliphora vicina
383,Muscidae,Musca,domestica,Third,490,Musca domestica
384,Anthomyidae,Delia,radicum,Third,490,Delia radicum
385,Tephritidae,Dacus,oleae,Third,490,Dacus oleae
386,Diopsidae,Cyrtodiopsis,dalmanni,Third,490,Cyrtodiopsis dalmanni
387,Chloropidae,Chlorops,sp.,Third,480,Chlorops sp.
388,Drosophilidae,Drosophila,melanogaster,Third,480,Drosophila melanogaster
389,Ephydridae,Dimecoenia,spinosa,Third,480,Dimecoenia spinosa
390,Tachinidae,Exorista,japonica,Third,460,Exorista japonica
391,Andrenidae,Andrena,florea,Third,529,Andrena florea
392,Andrenidae,Callonychium,petuniae,Third,531,Callonychium petuniae
393,Andrenidae,Oxaea,flavescens,Third,536,Oxaea flavescens
394,Apidae,Anthophora,acervorum,Third,524,Anthophora acervorum
395,Apidae,Apis,mellifera,Third,540,Apis mellifera
396,Apidae,Apis,mellifera,Third,529,Apis mellifera
397,Apidae,Bombus,affinis,Third,525,Bombus affinis
398,Apidae,Bombus,dahlbomii,Third,526,Bombus dahlbomii
399,Apidae,Bombus,distinguendis,Third,540,Bombus distinguendis
