order,family,genus,species,first,,second,,third,,fourth,,fifth,,sixth,,remaining,,method(s),opsins_known?,screening_pigments?,added_by,comment,ref1,ref1_url/doi,ref2,ref2_url/doi,,,,,,
Coleoptera,Buprestidae,Chrysobothris ,lateralis,xx (two copies),,possibly a copy of UVS opsin,,xx (two copies),,possibly a copy of LWS opsin,,,,,,,,transcriptomics,Yes,,GB,,"Lord, N. P., Plimpton, R. L., Sharkey, C. R., Suvorov, A., Lelito, J. P., Willardson, B. M., & Bybee, S. M. (2016). A cure for the blues: opsin duplication and subfunctionalization for short-wavelength sensitivity in jewel beetles (Coleoptera: Buprestidae). BMC evolutionary biology, 16(1), 107.",https://doi.org/10.1186/s12862-016-0674-4,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,
Coleoptera,Buprestidae,Chrysochroa  ,tonkinensis,xx (two copies),,possibly a copy of UVS opsin,,xx (two copies),,possibly a copy of LWS opsin,,,,,,,,transcriptomics,Yes,,GB,,"Lord, N. P., Plimpton, R. L., Sharkey, C. R., Suvorov, A., Lelito, J. P., Willardson, B. M., & Bybee, S. M. (2016). A cure for the blues: opsin duplication and subfunctionalization for short-wavelength sensitivity in jewel beetles (Coleoptera: Buprestidae). BMC evolutionary biology, 16(1), 107.",https://doi.org/10.1186/s12862-016-0674-4,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,
Coleoptera,Buprestidae,Coroebus,undatus,"335, 350",40,430,45,540,40,600,40,,,,,,,intracellular,No,,GB,,"Meglič, A., Ilić, M., Quero, C., Arikawa, K., & Belušič, G. (2020). Two chiral types of randomly rotated ommatidia are distributed across the retina of the flathead oak borer, Coraebus undatus (Coleoptera: Buprestidae). Journal of Experimental Biology 223: jeb225920",https://jeb.biologists.org/content/223/14/jeb225920,,,,,,,,
Coleoptera,Buprestidae,Sphenoptera  ,sp.,xx (two copies),,possibly a copy of UVS opsin,,xx (two copies),,possibly a copy of LWS opsin,,,,,,,,transcriptomics,Yes,,GB,,"Lord, N. P., Plimpton, R. L., Sharkey, C. R., Suvorov, A., Lelito, J. P., Willardson, B. M., & Bybee, S. M. (2016). A cure for the blues: opsin duplication and subfunctionalization for short-wavelength sensitivity in jewel beetles (Coleoptera: Buprestidae). BMC evolutionary biology, 16(1), 107.",https://doi.org/10.1186/s12862-016-0674-4,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,
Coleoptera,Buprestidae,Steraspis  ,amplipennis,xx (two copies),,possibly a copy of UVS opsin,,xx (two copies),,possibly a copy of LWS opsin,,,,,,,,transcriptomics,Yes,,GB,,"Lord, N. P., Plimpton, R. L., Sharkey, C. R., Suvorov, A., Lelito, J. P., Willardson, B. M., & Bybee, S. M. (2016). A cure for the blues: opsin duplication and subfunctionalization for short-wavelength sensitivity in jewel beetles (Coleoptera: Buprestidae). BMC evolutionary biology, 16(1), 107.",https://doi.org/10.1186/s12862-016-0674-4,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,
Coleoptera,Cantharidae,Chauliognathus,pulchellus,360,,450,,520-530,,,,,,,,,,intracellular,No,,GB,,"Horridge, G., Giddings, C., & Wilson, M. (1979). The Eye of the Soldier Beetle Chauliognathus pulchellus (Cantharidae). Proceedings of the Royal Society of London. Series B, Biological Sciences, 203(1153), 361-378. ",https://doi.org/10.1098/rspb.1979.0003,,,,,,,,
Coleoptera,Carabidae,Carabus,auratus,348,,430,,500,,620,,,,,,,,ERG,No,,GB,perfect match in a genus between ephys and transcriptomics: 2 UVS copies = 1 UV+ 1 Blue,"Hasselmann EM. Über die relative spektrale empfindlichkeit von käfer - und
schmetterlingsaugen bei verschiedenen helligkeiten. Zool Jahrbucher.
1962;69:573–6.",,,,,,,,,
Coleoptera,Carabidae,Carabus,granulatus,xx (two copies),,,,xx (two copies),,,,,,,,,,transcriptomics,Yes,,GB,perfect match in a genus between ephys and transcriptomics: 2 UVS copies = 1 UV+ 1 Blue,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Carabidae,Carabus,nemoralis,348,,430,,500,,620,,,,,,,,ERG,No,,GB,perfect match in a genus between ephys and transcriptomics: 2 UVS copies = 1 UV+ 1 Blue,"Hasselmann EM. Über die relative spektrale empfindlichkeit von käfer - und
schmetterlingsaugen bei verschiedenen helligkeiten. Zool Jahrbucher.
1962;69:573–6.",,,,,,,,,
Coleoptera,Carabidae,Cicindela,chinensis,,,,,525,,,,,,,,,,ERG,No,,GB,larval stemmata,"Mizutani A, Toh Y. Optical and physiological properties of the larval visual
system of the tiger beetle, Cicindela chinensis. J Comp Physiol A. 1995;177:591–9.",https://doi.org/10.1007/BF00207188,,,,,,,,
Coleoptera,Carabidae,Cicindela,japonica,370,,,,510-530,,,,,,,,,,ERG,No,,GB,,"Lin JT, Wu CY, Chang YT. A comparative study on the color vision of four Coleopteran species. Bulletin of the Institute of Zoology, Academia Sinica. 1992;31(2):87-95",,,,,,,,,
Coleoptera,Carabidae,Cicindela,specularis,370,,,,510-530,,,,,,,,,,ERG,No,,GB,,"Lin JT, Wu CY, Chang YT. A comparative study on the color vision of four Coleopteran species. Bulletin of the Institute of Zoology, Academia Sinica. 1992;31(2):87-95",,,,,,,,,
Coleoptera,Carabidae,Metrius,contractus,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Carabidae,Paussus,spinicoxis,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Carabidae,Pogonus,chalceus,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Cerambycidae,Anoplophora,glabripennis,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Cerambycidae,Monochamus,alternatus,,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Chrysomelidae,Colaphellus,bowringi,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Chrysomelidae,Leptinotarsa,decemlineata,370 / xx (two copies),,450,,530 / x,,,,,,,,,,"ERG, intracellular, transcriptomics",Yes,,GB,perfect match in a species between ephys and transcriptomics: 2 UVS copies = 1 UV+ 1 Blue,"Doring TF, Skorupski P. Host and non-host leaves in the colour space of
the Colorado potato beetle (Coleoptera: Chrysomelidae). Entomol Gen.
2007;29:81–95.",https://doi.org/10.1127/entom.gen/29/2007/81,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,
Coleoptera,Chrysomelidae,Octodonta,nipae,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Chrysomelidae,Oreina,cacaliae,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Cleridae,Thanasimus,formicarius,xx (two copies),0,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Coccinellidae,Adalia,bipunctata,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Coccinellidae,Coccinella,septempunctata,360 / xx (two copies),,420,,520 / x,,,,,,,,,,"intracellular, transcriptomics",Yes,,GB,perfect match in a species between ephys and transcriptomics: 2 UVS copies = 1 UV+ 1 Blue,"Lin, J. T. (1993). Identification of photoreceptor locations in the compound eye of Coccinella septempunctata Linnaeus (Coleoptera, Coccinellidae). Journal of Insect Physiology, 39(7), 555-562.",https://doi.org/10.1016/0022-1910(93)90037-R,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,
Coleoptera,Coccinellidae,Cryptolaemus,montrouzieri,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Coccinellidae,Harmonia,axyridis,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Cucujidae,Cucujus,clavipes,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Cupedidae,Priacma,serrata,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Curculionidae,Cylas,puncticollis,x,,2,,xx (two copies),,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Curculionidae,Dendroctonus,ponderosae,x,,,,"x, larval LWS",,,,,,,,,,transcriptomics,Yes,,GB,LWS opsin of eyeless larva,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,"Feuda, R., Marletaz, F., Bentley, M. A., & Holland, P. W. (2016). Conservation, duplication, and divergence of five opsin genes in insect evolution. Genome biology and evolution, 8(3), 579-587.",https://doi.org/10.1093/gbe/evw015,"Wertman, D. L., Bleiker, K. P., & Perlman, S. J. (2018). The light at the end of the tunnel: photosensitivity in larvae of the mountain pine beetle (Coleoptera: Curculionidae: Scolytinae). The Canadian Entomologist, 1–10.",https://doi.org/10.4039/tce.2018.38 ,,,,
Coleoptera,Curculionidae,Dendroctonus,pseudotsugae,?,,450,,510-530,,,,,,,,,,ERG,No,,GB,not measured in the UV below 400 nm,"Groberman LJ, Borden JH. Electrophysiological response of Dendroctonus pseudotsugae and Ips paraconfusus (Coleoptera: Scolytidae) to selected wavelength regions of the visible spectrum. Can J Zool. 1982;60:2180–9.",https://doi.org/10.1139/z82-279,,,,,,,,
Coleoptera,Curculionidae,Hypothenemus,hampei,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Curculionidae,Ips,paraconfusus,?,,450,,510-530,,,,,,,,,,ERG,No,,GB,not measured in the UV below 400 nm,"Groberman LJ, Borden JH. Electrophysiological response of Dendroctonus pseudotsugae and Ips paraconfusus (Coleoptera: Scolytidae) to selected wavelength regions of the visible spectrum. Can J Zool. 1982;60:2180–9.",https://doi.org/10.1139/z82-279,,,,,,,,
Coleoptera,Curculionidae,Larinus,minutus,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Curculionidae,Rynchophorus,ferrugineus,366,50,,,521,100,537,,564,,,,,,"intracellular, ERG",No,,GB,"Green receptors: narrow 521, broadband 537 nm","Ilić, M., Pirih, P. & Belušič, G. J Comp Physiol A (2016) 202: 203.", https://doi.org/10.1007/s00359-015-1065-9,,,,,,,,
Coleoptera,Dascillidae,Anorus,arizonicus,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Dryopidae,Dryops,sp.,xx (two copies),,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Dytiscidae,Thermonectus,maromoratus,375,80,,,520,100,,,,,,,,,intracellular,Yes (Ref 2),,GB,larval stemmata,"Maksimovic, S., Layne, J. E., & Buschbeck, E. K. (2011). Spectral sensitivity of the principal eyes of sunburst diving beetle, Thermonectus marmoratus (Coleoptera: Dytiscidae), larvae. Journal of Experimental Biology, 214(21), 3524-3531.",https://doi.org/10.1242/jeb.058990,"Maksimovic, S., Cook, T. A. and Buschbeck, E. K. (2009). Spatial distribution of
opsin-encoding mRNAs in the tiered larval retinas of the sunburst diving beetle
Thermonectus marmoratus (Coleoptera: Dytiscidae). J. Exp. Biol. 212, 3781-3794",https://doi.org/10.1242/jeb.031773,,,,,,
Coleoptera,Elateridae,Fulgeochlizus,bruchii,360,,,,550,,,,,,,,,,ERG,No,,GB,,"Lall, A.B., Cronin, T.W., Carvalho, A.A. et al. J Comp Physiol A (2010) 196: 629. ",https://doi.org/10.1007/s00359-010-0549-x,,,,,,,,
Coleoptera,Elateridae,Photuris,lucicrescens,350,,440,,550,,,,,,,,,,ERG,No,,GB,,"Lall, A.B., Lord, E.T. & Trouth, C.O. J. Comp. Physiol. (1982) 147: 195. ",https://doi.org/10.1007/BF00609844,,,,,,,,
Coleoptera,Elateridae,Pyrearinus,termitilluminans,380,,,,550,,,,,,,,,,ERG,No,,GB,,"Lall, A.B., Cronin, T.W., Carvalho, A.A. et al. J Comp Physiol A (2010) 196: 629. ",https://doi.org/10.1007/s00359-010-0549-x,,,,,,,,
Coleoptera,Elateridae,Pyrophorus ,divergens,380,,,,560,,,,,,,,,,"ERG, MSP",No,480,GB,"MSP R539 nm, M488","Lall, A.B., Cronin, T.W., Carvalho, A.A. et al. J Comp Physiol A (2010) 196: 629. ",https://doi.org/10.1007/s00359-010-0549-x,,,,,,,,
Coleoptera,Elateridae,Pyrophorus ,punctatissimus ,390,,,,560 (545*),,,,,,,,,,"ERG, MSP",No,480,GB,"MSP R543 nm, M486","Lall, A.B., Cronin, T.W., Carvalho, A.A. et al. J Comp Physiol A (2010) 196: 629. ",https://doi.org/10.1007/s00359-010-0549-x,"Lall, A. B., Ventura, D. S., Bechara, E. J., de Souza, J. M., Colepicolo-Neto, P., & Viviani, V. R. (2000). Spectral correspondence between visual spectral sensitivity and bioluminescence emission spectra in the click beetle Pyrophorus punctatissimus (Coleoptera: Elateridae). Journal of insect physiology, 46(7), 1137-1141.",https://doi.org/10.1016/S0022-1910(99)00224-3,,,,,,
Coleoptera,Glaphyridae,Pygopleurus,israelitus,360,31,,,517,46,631,40,,,,,,,"intracellular, ERG",No,,GB,,"Martínez-Harms, J., Vorobyev, M., Schorn, J. et al. J Comp Physiol A (2012) 198: 451. ",https://doi.org/10.1007/s00359-012-0722-5,,,,,,,,
Coleoptera,Gyrinidae,Dineutus,ciliatus,380 ?,,,,520,,,,,,,,,,ERG,No,,GB,"selective adapt did not work, VlogI slope was different 380 -520 nm","Bennett, R. R. (1967). Spectral sensitivity studies on the whirligig beetle, Dineutes ciliatus. Journal of Insect Physiology, 13(4), 621–633.",doi:10.1016/0022-1910(67)90073-x ,,,,,,,,
Coleoptera,Gyrinidae,Gyrinus,marinus,xx (two copies),,,,xx (two copies),,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Histeridae,Hypocaccus,fitchi,x,,,,xxx (three copies),,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Hydrophilidae,Hydrochara,caraboides,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Laemophloeidae,Cryptolestes,ferrugineus,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Lampyridae,Aspisoma,sp.,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
Coleoptera,Lampyridae,Bicellonycha,wickershamorum,x,,,,x,,,,,,,,,,transcriptomics,Yes,,GB,,"Sharkey, C. R., Fujimoto, M. S., Lord, N. P., Shin, S., McKenna, D. D., Suvorov, A., ... & Bybee, S. M. (2017). Overcoming the loss of blue sensitivity through opsin duplication in the largest animal group, beetles. Scientific reports, 7(1), 8.",https://doi.org/10.1038/s41598-017-00061-7,,,,,,,,
