	Lambda_Max	Species	Opsin_Family	Phylum	Class	Accession	Mutations
S33	502.00000	Spathodus_erythrodon	Rh1	Chordata	Actinopteri	AB084941.1	
S34	484.00000	Trematocara_unimaculatum	Rh1	Chordata	Actinopteri	AB185238.1	
S35	488.00000	Trematocara_macrostoma	Rh1	Chordata	Actinopteri	AB084945.1	
S36	501.00000	Tropheus_duboisi	Rh1	Chordata	Actinopteri	AB084946.1	
S37	488.00000	Xenotilapia_nigrolabiata	Rh1	Chordata	Actinopteri	AB458130.1	
S38	491.00000	Xenotilapia_caudafasciata	Rh1	Chordata	Actinopteri	AB458131.1	
S39	503.00000	Xenotilapia_ochrogenys	Rh1	Chordata	Actinopteri	AB084947.1	
S40	497.90000	Tachyglossus_aculeatus	Rh1	Chordata	Mammalia	JX103830	
S41	500.00000	Cyprichromis_leptosoma	Rh1	Chordata	Actinopteri	AB458118.1	
S42	491.00000	Paracyprichromis_brieni	Rh1	Chordata	Actinopteri	AB458120.1	
S43	497.00000	Xenotilapia_papilio	Rh1	Chordata	Actinopteri	AB457996.1	
S44	494.00000	Paracyprichromis_brieni	Rh1	Chordata	Actinopteri	AB458121.1	
S45	493.00000	Neolamprologus_ventralis	Rh1	Chordata	Actinopteri	AB458138.1	
S46	492.00000	Paracyprichromis_nigripinnis	Rh1	Chordata	Actinopteri	AB458122.1	
S47	489.00000	Cyprichromis_pavo	Rh1	Chordata	Actinopteri	AB458119.1	
S48	501.00000	Rod_ancestor_pigmenta	Rh1	Chordata	na	pigmenta	
S49	501.00000	Rod_ancestor_pigmentb	Rh1	Chordata	na	pigmentb	
S50	501.00000	Rod_ancestor_pigmentc	Rh1	Chordata	na	pigmentc	
S51	501.00000	Rod_ancestor_pigmentd	Rh1	Chordata	na	pigmentd	
S52	482.00000	Rod_ancestor_pigmente	Rh1	Chordata	na	pigmente	
S53	502.00000	Rod_ancestor_pigmentf	Rh1	Chordata	na	pigmentf	
S54	501.00000	Rod_ancestor_pigmentg	Rh1	Chordata	na	pigmentg	
S55	502.00000	Rod_ancestor_pigmenth	Rh1	Chordata	na	pigmenth	
S56	496.00000	Rod_ancestor_pigmenti	Rh1	Chordata	na	pigmenti	
S57	485.00000	Rod_ancestor_pigmentj	Rh1	Chordata	na	pigmentj	
S58	486.00000	Rod_ancestor_pigmenti	Rh1	Chordata	na	pigmentk	
S59	486.00000	Conger_myriaster	Rh1	Chordata	Actinopteri	AB043817.1	
S60	485.00000	Latimeria_chalumnae	Rh1	Chordata		AH007712.2	
S61	496.00000	Loxodonta_africana	Rh1	Chordata	Mammalia	AY686752.1	
S62	483.00000	Sebastolobus_altivelis	Rh1	Chordata	Actinopteri	DQ490124	
S63	526.00000	Aristostomias_scintillans	Rh1	Chordata	Actinopteri	EU407248.1	
S64	489.00000	Chauliodus_macouni	Rh1	Chordata	Actinopteri	EU407250.1	
S65	492.00000	Stenobrachius_leucopsarus	Rh1	Chordata	Actinopteri	EU407251.1	
S66	507.00000	Lepidopus_fitchi	Rh1	Chordata	Actinopteri	EU407252.1	
S67	486.00000	Lepidopus_fitchi	Rh1	Chordata	Actinopteri	EU407253.1	
S68	491.00000	Anolis_carolinensis	Rh1	Chordata	Lepidosauria	L31503	
S69	479.00000	Anguilla_japonica	Rh1	Chordata	Actinopteri	LC464070.1	
S70	504.00000	Astyanax_mexicanus	Rh1	Chordata	Actinopteri	U12328.1	
S71	483.00000	Sebastolobus_altivelis	Rh1	Chordata	Actinopteri	DQ490124.1	
S72	489.00000	Tursiops_truncatus	Rh1	Chordata	Mammalia	NM_001280659.1	
S73	524.00000	Tursiops_truncatus	LWS	Chordata	Mammalia	XM_019933644.2	
S74	467.00000	Gekko_gekko	Rh2	Chordata	Lepidosauria	M92035	
S75	452.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223053.1	
S76	496.00000	Anolis_carolinensis	Rh2	Chordata	Lepidosauria	NM_001291394.1	
S77	467.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087805.2	
S78	467.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087806.2	
S79	488.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087807.1	
S80	505.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087808.2	
S81	536.00000	Petromyzon_marinus	LWS	Chordata	Hyperoartia	EU571209.1	
S82	501.00000	Petromyzon_marinus	Rh1	Chordata	Hyperoartia	AH005459.2	
S83	562.80000	Carassius_auratus	LWS	Chordata	Actinopteri	L11867.1	
S84	463.00000	Cottus_gobio	SWS2	Chordata	Actinopteri	AJ430489.1	
S85	359.00000	Carassius_auratus	SWS1	Chordata	Actinopteri	D85863.1	
S86	355.00000	Danio_rerio	SWS1	Chordata	Actinopteri	AB087810.1	
S87	423.00000	Xenopus_laevis	SWS1	Chordata	Amphibia	NM_001085652.1	
S88	356.00000	Ambystoma_tigrinum	SWS1	Chordata	Amphibia	AF038948.1	
S89	358.00000	Anolis_carolinensis	SWS1	Chordata	Lepidosauria	AH007736.2	
S90	360.00000	Gekko_gecko	SWS1	Chordata	Lepidosauria	AY024356.1	
S91	393.00000	Columba_livia	SWS1	Chordata	Aves	AH007798.2	
S92	359.00000	Taeniopygia_guttata	SWS1	Chordata	Aves	AF222331.1	
S93	415.00000	Gallus_gallus	SWS1	Chordata	Aves	M92039.1	
S94	365.00000	Melopsittacus_undulatus	SWS1	Chordata	Aves	Y11787.1	
S95	414.00000	Homo_sapiens	SWS1	Chordata	Mammalia	AH003620.2	
S96	359.00000	Mus_musculus	SWS1	Chordata	Mammalia	NP_031564.1	
S97	358.00000	Rattus_norvegicus	SWS1	Chordata	Mammalia	U63972.1	
S98	420.00000	Cavia_porcellus	SWS1	Chordata	Mammalia	AY552608.1	
S99	419.00000	Loxodonta_africana	SWS1	Chordata	Mammalia	AY686753.1	
S100	420.00000	Notamacropus_eugenii	SWS1	Chordata	Mammalia	AY286017.1	
S101	489.00000	Delphinus_delphis	Rh1	Chordata	Mammalia	AF055314	
S102	488.00000	Globicephala_melas	Rh1	Chordata	Mammalia	AF055315	
S103	484.00000	Mesoplodon_bidens	Rh1	Chordata	Mammalia	AF055316	
S104	501.00000	Phoca_vitulina	Rh1	Chordata	Mammalia	AF055317	
S105	498.00000	Phoca_groenlandicus	Rh1	Chordata	Mammalia	AF055318	
S106	502.00000	Trichechus_manatus	Rh1	Chordata	Mammalia	AF055319	
S107	463.00000	Cottus_gobio	SWS2	Chordata	Actinopteri	AJ430489	
S108	492.00000	Carassius_auratus	Rh1	Chordata	Actinopteri	L11863.1	
S109	505.00000	Gambusia_holbrooki	Rh1	Chordata	Actinopteri	Y11146.1	
S110	502.00000	Xenopus_laevis	Rh1	Chordata	Amphibia	L07770.1	
S111	502.00000	Lithobates_pipiens	Rh1	Chordata	Amphibia	S49004	
S112	500.00000	Lithobates_catesbeianus	Rh1	Chordata	Amphibia	S79840	
S113	506.00000	Ambystoma_tigrinum	Rh1	Chordata	Amphibia	U36574	
S114	502.00000	Columba_livia	Rh1	Chordata	Aves	AH007730.2	
S115	502.00000	Taeniopygia_guttata	Rh1	Chordata	Aves	AF222329	
S116	503.00000	Gallus_gallus	Rh1	Chordata	Aves	D00702	
S117	511.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11865	
S118	506.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11866	
S119	495.00000	Anolis_carolinensis	Rh2	Chordata	Lepidosauria	AH007735.2	
S120	467.00000	Gekko_gecko	Rh2	Chordata	Lepidosauria	M92035.1	
S121	503.00000	Columba_livia	Rh2	Chordata	Aves	AH007731.2	
S122	505.00000	Taeniopygia_guttata	Rh2	Chordata	Aves	AF222330	
S123	508.00000	Gallus_gallus	Rh2	Chordata	Aves	M92038	
S124	359.00000	Carassius_auratus	SWS1	Chordata	Actinopteri	D85863	
S125	415.00000	Gallus_gallus	SWS1	Chordata	Aves	M92039	
S126	443.00000	Carassius_auratus	SWS2	Chordata	Actinopteri	L11864	
S127	437.00000	Anolis_carolinensis	SWS2	Chordata	Lepidosauria	AF133907	
S128	448.00000	Columba_livia	SWS2	Chordata	Aves	AH007799.2	
S129	441.00000	Taeniopygia_guttata	SWS2	Chordata	Aves	AF222332	
S130	455.00000	Gallus_gallus	SWS2	Chordata	Aves	M92037	
S131	559.00000	Carassius_auratus	LWS	Chordata	Actinopteri	L11867	
S132	561.00000	Anolis_carolinensis	LWS	Chordata	Lepidosauria	U08131	
S133	558.00000	Columba_livia	LWS	Chordata	Aves	AH007800.2	
S134	560.00000	Taeniopygia_guttata	LWS	Chordata	Aves	AF222333.1	
S135	571.00000	Gallus_gallus	LWS	Chordata	Aves	M62903.1	
S136	532.00000	Homo_sapiens	LWS	Chordata	Mammalia	AH005296.2	
S137	563.00000	Homo_sapiens	LWS	Chordata	Mammalia	AH005298.2	
S138	553.00000	Capra_hircus	LWS	Chordata	Mammalia	AH006594.2	
S139	509.00000	Oryctolagus_cuniculus	MWS	Chordata	Mammalia	AH006945.2	
S140	508.00000	Mus_musculus	MWS	Chordata	Mammalia	AF011389.1	
S141	509.00000	Rattus_norvegicus	MWS	Chordata	Mammalia	AH006946.2	
S142	524.00000	Tursiops_truncatus	LWS	Chordata	Mammalia	AF055457	
S143	553.00000	Felis_catus	LWS	Chordata	Mammalia	AF132040	
S144	545.00000	Equus_caballus	LWS	Chordata	Mammalia	AF132043	
S145	531.00000	Odocoileus_virginianus	LWS	Chordata	Mammalia	AF132041	
S146	516.00000	Cavia_porcellus	MWS	Chordata	Mammalia	AF132042.1	
S147	532.00000	Neosciurus_carolinensis	LWS	Chordata	Mammalia	AF132044	
S148	482.00000	Anolis_carolinensis	POps	Chordata	Lepidosauria	AH007737.2	
S149	481.00000	Columba_livia	POps	Chordata	Aves	U50598.1	
S150	359.00000	Taeniopygia_guttata	SWS	Chordata	Aves	AF222331	
S151	571.00000	Poecilia_reticulata	LWS1	Chordata	Actinopteri	AB748985.1	
S152	562.00000	Poecilia_reticulata	LWS1	Chordata	Actinopteri	AB748984	
S153	516.00000	Poecilia_reticulata	LWS2	Chordata	Actinopteri	LC127183	
S154	519.00000	Poecilia_reticulata	LWS3	Chordata	Actinopteri	LC127184	
S155	516.00000	Poecilia_reticulata	RH2-1	Chordata	Actinopteri	LC127186	
S156	476.00000	Poecilia_reticulata	RH2-2	Chordata	Actinopteri	LC127187	
S157	438.00000	Poecilia_reticulata	SWS2-A	Chordata	Actinopteri	LC127188	
S158	408.00000	Poecilia_reticulata	SWS2-B	Chordata	Actinopteri	LC127189	
S159	353.00000	Poecilia_reticulata	SWS1	Chordata	Actinopteri	LC127190	
S160	503.00000	Poecilia_reticulata	RH1	Chordata	Actinopteri	LC127191	
S161	358.00000	Geotria_australis	SWS1	Chordata	Hyperoartia	KT749677	
S162	439.00000	Geotria_australis	SWS2	Chordata	Hyperoartia	AY366492	
S163	497.00000	Geotria_australis	RhA	Chordata	Hyperoartia	AY366493	
S164	492.00000	Geotria_australis	RhB	Chordata	Hyperoartia	AY366494	
S165	420.00000	Cavia_porcellus	SWS1	Chordata	Mammalia	AY552608	
S166	388.00000	Columba_livia	SWS1	Chordata	Aves	AJ238856	
S167	419.00000	Gallus_gallus	SWS1	Chordata	Aves	NM_205438.1	
S168	360.00000	Melopsittacus_undulatus	SWS1	Chordata	Aves	NM_001311081	
S169	360.00000	Anolis_carolinensis	SWS1	Chordata	Lepidosauria	AH007736	
S170	508.00000	Phreatichthys_andruzzii	Rh1	Chordata	Actinopteri	JQ413240	
S171	505.00000	Phreatichthys_andruzzii	exoRh	Chordata	Actinopteri	GQ404491.1	
S172	502.00000	Danio_rerio	Rh1	Chordata	Actinopteri	AF109368	
S173	498.00000	Danio_rerio	exoRh	Chordata	Actinopteri	NM131212.2	
S174	414.00000	Homo_sapiens	OPN1SW	Chordata	Mammalia	DQ822478.1	
S175	561.00000	Grus_americana	LWS	Chordata	Aves	KM508487	
S176	500.00000	Grus_americana	Rh1	Chordata	Aves	KM508488	
S177	499.00000	Grus_americana	Rh2	Chordata	Aves	KM508489	
S178	404.00000	Grus_americana	SWS1	Chordata	Aves	KM508490	
S179	450.00000	Grus_americana	SWS2	Chordata	Aves	KM508491	
S180	486.00000	Scopelarchus_analis	Rh1	Chordata	Actinopteri	EF517404.1	
S181	479.00000	Scopelarchus_analis	Rh1	Chordata	Actinopteri	EF517405.1	
S182	539.00000	Otolemur_crassicaudatus	LWS	Chordata	Mammalia	AB112590.1	
S183	502.00000	Otolemur_crassicaudatus	Rh1	Chordata	Mammalia	AB112591.1	
S184	435.00000	Bos_taurus	SWS1	Chordata	Mammalia	U92557.1	
S185	452.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223053	
S186	516.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223054	
S187	492.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223055	
S188	448.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(400681-404250)	
S189	516.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(390932-392688)	
S190	494.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(376983-378663)	
S191	447.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260048	
S192	517.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260049	
S193	486.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260050	
S194	469.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260051	
S195	516.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260052	
S196	491.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260053	
S197	460.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260054	
S198	519.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260055	
S199	491.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260056	
S200	462.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260057	
S201	517.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260058	
S202	493.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260059	
S203	485.00000	Verasper_variegatus	SWS2	Chordata	Actinopteri	A0A1L7P076	
S204	416.00000	Verasper_variegatus	SWS2	Chordata	Actinopteri	A0A1L7P082	
S205	452.00000	Microstomus_achne	SWS2	Chordata	Actinopteri	A0A1L7P074	
S206	466.00000	Paralichthys_olivaceus	SWS2	Chordata	Actinopteri	D7RP09	
S207	438.00000	Poecilia_reticulata	SWS2	Chordata	Actinopteri	A0A140JTJ4	
S208	408.00000	Poecilia_reticulata	SWS2	Chordata	Actinopteri	A0A140JTJ5	
S209	439.00000	Oryzias_latipes	SWS2	Chordata	Actinopteri	Q2L6A3	
S210	405.00000	Oryzias_latipes	SWS2	Chordata	Actinopteri	Q2L6A2	
S211	448.00000	Lucania_goodei	SWS2	Chordata	Actinopteri	Q7T2U6	
S212	397.00000	Lucania_goodei	SWS2	Chordata	Actinopteri	Q7T2U7	
S213	416.00000	Danio_rerio	SWS2	Chordata	Actinopteri	Q9W6A8	
S214	443.00000	Carassius_auratus	SWS2	Chordata	Actinopteri	L11864.1	
S215	416.00000	Danio_rerio	SWS2	Chordata	Actinopteri	AB087809.1	
S216	467.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_131253.2	
S217	476.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_182891.2	
S218	488.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_182892.2	
S219	505.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_131254.1	
S220	528.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088651	
S221	519.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088650	
S222	484.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088652	
S223	423.00000	Metriaclima_zebra	SWS2	Chordata	Actinopteri	DQ088649	
S224	368.00000	Metriaclima_zebra	SWS1	Chordata	Actinopteri	DQ088648	
S225	511.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11865.1	
S226	505.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11866.1	
S227	507.00000	Gallus_gallus	Rh1	Chordata	Aves	NM_001397497.1	
S228	511.00000	Gallus_gallus	Rh2	Chordata	Aves	NM_205490.1	
S229	508.00000	Archosaur_sp.	Rh1	Chordata		AF310191.1	
S230	503.00000	AncAgnatha_sp.	Rh2	Chordata		AncAgnatha	
S231	488.00000	AncActino_sp.	Rh2	Chordata		AncActino	
S232	491.00000	AncTeleost_sp.	Rh2	Chordata		AncTeleost	
S233	491.00000	AncClupeoc_sp.	Rh2	Chordata		AncClupeoc	
S234	489.00000	AncCyprin1_sp.	Rh2	Chordata		AncCyprin1	
S235	505.00000	AncCyprin2_sp.	Rh2	Chordata		AncCyprin2	
S236	488.00000	AncEutelo1_sp.	Rh2	Chordata		AncEutelo1	
S237	489.00000	AncEutelo2_sp.	Rh2	Chordata		AncEutelo2	
S238	474.00000	AncEutelo3_sp.	Rh2	Chordata		AncEutelo3	
S239	524.00000	AncEutelo4_sp.	Rh2	Chordata		AncEutelo4	
S240	488.00000	AncTetrapo_sp.	Rh2	Chordata		AncTetrapo	
S241	499.00000	AncSaurops_sp.	Rh2	Chordata		AncSaurops	
S242	497.00000	AncSquamat_sp.	Rh2	Chordata		AncSquamat	
S243	500.00000	Lethenteron_camtschaticum	Rh1	Chordata	Hyperoartia	M63632.1	
S244	478.00000	Latimeria_chalumnae	Rh2	Chordata		AH007713.2	
S245	361.00000	swsanc1_sp.	UVS	Chordata	na	swsanc1	
S246	360.00000	swsanc2_sp.	UVS	Chordata	na	swsanc2	
S247	359.00000	swsanc3_sp.	UVS	Chordata	na	swsanc3	
S248	360.00000	swsanc4_sp.	UVS	Chordata	na	swsanc4	
S249	360.00000	swsanc5_sp.	UVS	Chordata	na	swsanc5	
S250	393.00000	swsanc6_sp.	SWS	Chordata	na	swsanc6	
S251	359.00000	swsanc7_sp.	UVS	Chordata	na	swsanc7	
S252	393.00000	swsanc5'_sp.	UVS	Chordata	na	swsanc5'	
S253	552.00000	Loxodonta_africana	LWS	Chordata	Mammalia	AY686754.1	
S254	563.00000	lwsanc_pigmenta_sp.	LWS	Chordata	na	lwsanc_pigmenta	
S255	563.00000	lwsanc_pigmentb_sp.	LWS	Chordata	na	lwsanc_pigmentb	
S256	561.00000	lwsanc_pigmentc_sp.	LWS	Chordata	na	lwsanc_pigmentc	
S257	558.00000	lwsanc_pigmentd_sp.	LWS	Chordata	na	lwsanc_pigmentd	
S258	558.00000	lwsanc_pigmente_sp.	LWS	Chordata	na	lwsanc_pigmente	
S259	536.00000	lwsanc_pigmentf_sp.	LWS	Chordata	na	lwsanc_pigmentf	
S260	561.00000	lwsanc_pigmentg_sp.	LWS	Chordata	na	lwsanc_pigmentg	
S261	564.00000	lwsanc_pigmenti_sp.	LWS	Chordata	na	lwsanc_pigmenti	
S262	532.00000	lwsanc_pigmentx_sp.	LWS	Chordata	na	lwsanc_pigmentx	
S263	553.00000	lwsanc_pigmenty_sp.	LWS	Chordata	na	lwsanc_pigmenty	
S264	532.00000	lwsanc_pigmentz_sp.	LWS	Chordata	na	lwsanc_pigmentz	
S265	359.00000	Phodopus_sungorus	SWS1	Chordata	Mammalia	JQ036217	
S266	403.00000	Chlamydera_nuchalis	SWS1	Chordata	Aves	CNUCHCUSTOM	
S267	482.00000	Physeter_catodon	Rh1	Chordata	Mammalia	XM_007126220	
S268	431.00000	Ochotona_princeps	SWS1	Chordata	Mammalia	XM_004592516	
S269	485.00000	Sinomicrurus_japonicusboettgeri	Rh1	Chordata	Lepidosauria	LC543598	
S270	482.00000	Laticauda_semifasciata	Rh1	Chordata	Lepidosauria	LC543599	
S271	494.00000	Emydocephalus_ijimae	Rh1	Chordata	Lepidosauria	LC543603	
S272	490.00000	Hydrophis_ornatus	Rh1	Chordata	Lepidosauria	LC543606	
S273	551.00000	Hydrophis_ornatus	LWS	Chordata	Lepidosauria	LC543597	
S274	539.00000	Aotus_azaraiboliviensis	LWS	Chordata	Lepidosauria	AB081277.2	
S275	532.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006283	
S276	545.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006282	
S277	558.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006281	
S278	357.00000	AncBoreotheria_sp.	SWS1	Chordata		AncBoreotheria	
S279	364.00000	AncEuteleost_sp.	SWS1	Chordata		AncEuteleost	
S280	359.00000	AncMammal_sp.	SWS1	Chordata		AncMammal	
S281	360.00000	AncEutheria_sp.	SWS1	Chordata		AncEutheria	
S282	371.00000	Stenobrachius_leucepsarus	SWS1	Chordata		FJ443127	
S283	355.00000	Lucania_goodie	SWS1	Chordata		AY296735.1	
S284	423.00000	Lepidopus_fitchi	SWS1	Chordata		FJ443126	
S285	359.00000	Carassius_auratus	SWS1	Chordata		D85863	
S286	360.00000	Oreochromis_niloticus	SWS1	Chordata		DQ235678.1	
S287	425.00000	Oreochromis_niloticus	SWS2	Chordata		DQ235679.1	
S288	456.00000	Oreochromis_niloticus	SWS2	Chordata		DQ235680.1	
S289	472.00000	Oreochromis_niloticus	Rh2B	Chordata		DQ235681.1	
S290	517.00000	Oreochromis_niloticus	RH2A	Chordata		DQ235682.1	
S291	528.00000	Oreochromis_niloticus	RH2A	Chordata		DQ235683.1	
S292	560.00000	Oreochromis_niloticus	LWS	Chordata		DQ235684.1	
S293	356.00000	Oryzias_latipes	SWS1	Chordata		AB223058	
S294	561.00000	Oryzias_latipes	LWS	Chordata		AB223051.1	
S295	562.00000	Oryzias_latipes	LWS	Chordata		AB223052.1	
S296	502.00000	Oryzias_latipes	RH1	Chordata		AB180742.1	
S297	369.00000	Dissostichus_mawsoni	SWS1	Chordata		AY927651.1	
S298	488.00000	Dissostichus_mawsoni	Rh2	Chordata		AY771352.1	
S299	550.00000	Xenopeltis_unicolor	LWS	Chordata		FJ497235.1	
S300	497.00000	Xenopeltis_unicolor	Rh1	Chordata		FJ497233.1	
S301	361.00000	Xenopeltis_unicolor	SWS1	Chordata		FJ497234	
S302	440.00000	Sciurus_carolinensis	SWS1	Chordata		DQ302163	
S303	363.00000	Sminthopsis_crassicaudata	SWS1	Chordata		AY442173	
S304	533.00000	Sminthopsis_crassicaudata	LWS	Chordata		EU232013	
S305	486.00000	AncCetacea_sp.	Rh1	Chordata		AncCetacea	
S306	500.00000	AncWhippomorpha_sp.	Rh1	Chordata		AncWhippomorpha	
S307	478.00000	Rhincodon_typus	Rh1	Chordata		XM_048606470.1	
S308	500.00000	Stegostoma_fasciatum	Rh1	Chordata		MT625929.1	
S309	483.00000	Branchiostoma_belcheri	RhG	Chordata		AB050606	
S310	490.00000	Branchiostoma_belcheri	RhG	Chordata		AB050610	
S311	504.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_Lc	
S312	449.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_Fb	
S313	448.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_D	
S314	460.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_C	
S315	455.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_B	
S316	457.00000	Diretmus_argenteus	Rh1	Chordata		Diretmus_argenteus_Rh1_A	
