max_id,Phylum,Class,Order,Family,Full_Species,Type,LambdaMax,Band,Oil,Nocturnal Activity,Diurnal Activity,Source
102,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus hortorum,,544,,,N,Y,Myer-Rochow 1980
103,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus hypnorum,,524,,,N,Y,Peitsch et al. 1992
104,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus impatiens,,352,,,N,Y,Bernard & Stavenga 1978
105,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus impatiens,,450,,,N,Y,Bernard & Stavenga 1978
106,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus jonellus,,336,,,N,Y,Peitsch et al. 1992
107,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus jonellus,,432,,,N,Y,Peitsch et al. 1992
108,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus jonellus,,544,,,N,Y,Peitsch et al. 1992
109,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus lapidarius,,332,,,N,Y,Peitsch et al. 1992
110,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus lapidarius,,432,,,N,Y,Peitsch et al. 1992
111,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus lapidarius,,544,,,N,Y,Peitsch et al. 1992
112,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus monticola,,336,,,N,Y,Peitsch et al. 1992
113,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus monticola,,440,,,N,Y,Peitsch et al. 1992
114,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus monticola,,544,,,N,Y,Peitsch et al. 1992
115,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus morio,,352,,,N,Y,Peitsch et al. 1992
116,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus morio,,428,,,N,Y,Peitsch et al. 1992
117,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus morio,,548,,,N,Y,Peitsch et al. 1992
118,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus terrestris,,328,,,N,Y,Peitsch et al. 1992
119,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus terrestris,,428,,,N,Y,Peitsch et al. 1992
120,Arthropoda,Insecta,Hymenoptera,Apidae,Bombus terrestris,,536,,,N,Y,Peitsch et al. 1992
121,Arthropoda,Insecta,Hymenoptera,Colletidae,Colletes fulgidus,,340,,,N,Y,Peitsch et al. 1992
122,Arthropoda,Insecta,Hymenoptera,Colletidae,Colletes fulgidus,,532,,,N,Y,Peitsch et al. 1992
123,Arthropoda,Insecta,Hymenoptera,Apidae,Lestrimelitta limao,,536,,,N,Y,Peitsch et al. 1992
124,Arthropoda,Insecta,Hymenoptera,Apidae,Melecta punctata,,336,,,N,Y,Peitsch et al. 1992
125,Arthropoda,Insecta,Hymenoptera,Apidae,Melecta punctata,,428,,,N,Y,Peitsch et al. 1992
126,Arthropoda,Insecta,Hymenoptera,Apidae,Melecta punctata,,540,,,N,Y,Peitsch et al. 1992
127,Arthropoda,Insecta,Hymenoptera,Apidae,Melipona marginata,,340,,,N,Y,Peitsch et al. 1992
128,Arthropoda,Insecta,Hymenoptera,Apidae,Melipona marginata,,450,,,N,Y,Peitsch et al. 1992
129,Arthropoda,Insecta,Hymenoptera,Apidae,Melipona marginata,,540,,,N,Y,Peitsch et al. 1992
130,Arthropoda,Insecta,Hymenoptera,Apidae,Melipona quadrifasciata,,356,,,N,Y,Peitsch et al. 1992
131,Arthropoda,Insecta,Hymenoptera,Apidae,Melipona quadrifasciata,,428,,,N,Y,Peitsch et al. 1992
132,Arthropoda,Insecta,Hymenoptera,Apidae,Melipona quadrifasciata,,520,,,N,Y,Peitsch et al. 1992
133,Arthropoda,Insecta,Hymenoptera,Apidae,Nomada alboguttata,,428,,,N,Y,Peitsch et al. 1992
134,Arthropoda,Insecta,Hymenoptera,Apidae,Nomada alboguttata,,512,,,N,Y,Peitsch et al. 1992
135,Arthropoda,Insecta,Hymenoptera,Apidae,Partamona helleri,,347,,,N,Y,Chittka et al. 1997
136,Arthropoda,Insecta,Hymenoptera,Apidae,Partamona helleri,,444,,,N,Y,Chittka et al. 1997
137,Arthropoda,Insecta,Hymenoptera,Apidae,Partamona helleri,,521,,,N,Y,Chittka et al. 1997
138,Arthropoda,Insecta,Hymenoptera,Apidae,Schwarziana sp,,343,,,N,Y,Peitsch et al. 1992
139,Arthropoda,Insecta,Hymenoptera,Apidae,Schwarziana sp,,440,,,N,Y,Peitsch et al. 1992
140,Arthropoda,Insecta,Hymenoptera,Apidae,Schwarziana sp,,528,,,N,Y,Peitsch et al. 1992
141,Arthropoda,Insecta,Hymenoptera,Apidae,Trigona spinipes,,340,,,N,Y,Peitsch et al. 1992
142,Arthropoda,Insecta,Hymenoptera,Apidae,Trigona spinipes,,440,,,N,Y,Peitsch et al. 1992
143,Arthropoda,Insecta,Hymenoptera,Apidae,Trigona spinipes,,536,,,N,Y,Peitsch et al. 1992
144,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa brasilianorum,,360,,,N,Y,Peitsch et al. 1992
145,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa brasilianorum,,428,,,N,Y,Peitsch et al. 1992
146,Arthropoda,Insecta,Hymenoptera,Apidae,Xylocopa brasilianorum,,544,,,N,Y,Peitsch et al. 1992
147,Arthropoda,Insecta,Hymenoptera,Formicidae,Formica polyctena,,360,,,N,Y,Menzel & Knaut 1973' https://academic.oup.com/icb/article/57/5/1104/4079673
148,Arthropoda,Insecta,Hymenoptera,Formicidae,Formica polyctena,,510,,,N,Y,Menzel & Knaut 1973
149,Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis bicolor,,350,,,N,Y,Paul et al. 1986
150,Arthropoda,Insecta,Hymenoptera,Formicidae,Cataglyphis bicolor,,510,,,N,Y,Paul et al. 1986
151,Arthropoda,Insecta,Hymenoptera,Crabronidae,Philanthus triangulum,,344,,,N,Y,Peitsch et al. 1992
152,Arthropoda,Insecta,Hymenoptera,Crabronidae,Philanthus triangulum,,444,,,N,Y,Peitsch et al. 1992
153,Arthropoda,Insecta,Hymenoptera,Crabronidae,Philanthus triangulum,,524,,,N,Y,Peitsch et al. 1992
154,Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium manicatum,,344,,,N,Y,Peitsch et al. 1992
155,Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium manicatum,,440,,,N,Y,Peitsch et al. 1992
156,Arthropoda,Insecta,Hymenoptera,Megachilidae,Anthidium manicatum,,532,,,N,Y,Peitsch et al. 1992
157,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia gulosa,,412,,,Y,Y,Lieke 1981
158,Arthropoda,Insecta,Hymenoptera,Formicidae,Myrmecia gulosa,,540,,,Y,Y,Lieke 1981
159,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum albipes,,516,,,N,Y,Peitsch et al. 1992
160,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum malachurum,,442,,,N,Y,Peitsch et al. 1992
161,Arthropoda,Insecta,Hymenoptera,Halictidae,Lasioglossum malachurum,,528,,,N,Y,Peitsch et al. 1992
162,Arthropoda,Insecta,Hymenoptera,Ichneumoidae,Ichneumon spp.,,524,,,N,Y,Peitsch et al. 1992
163,Arthropoda,Insecta,Hymenoptera,Ichneumoidae,Ichneumon stramentarius,,542,,,N,Y,Peitsch et al. 1992
164,Arthropoda,Insecta,Hymenoptera,Megachilidae,Chelostoma florisomne,,324,,,N,Y,Peitsch et al. 1992
165,Arthropoda,Insecta,Hymenoptera,Megachilidae,Chelostoma florisomne,,548,,,N,Y,Peitsch et al. 1992
166,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia rufa,,344,,,N,Y,Peitsch et al. 1992
167,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia rufa,,432,,,N,Y,Peitsch et al. 1992
168,Arthropoda,Insecta,Hymenoptera,Megachilidae,Osmia rufa,,560,,,N,Y,Peitsch et al. 1992
169,Arthropoda,Insecta,Hymenoptera,Siricidae,Urocerus gigas,,524,,,N,Y,Peitsch et al. 1992
170,Arthropoda,Insecta,Hymenoptera,Crabronidae,Cerceris rybyensis,,436,,,N,Y,Peitsch et al. 1992
171,Arthropoda,Insecta,Hymenoptera,Crabronidae,Cerceris rybyensis,,516,,,N,Y,Peitsch et al. 1992
172,Arthropoda,Insecta,Hymenoptera,Crabronidae,Cerceris rybyensis,,528,,,N,Y,Peitsch et al. 1992
173,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo campestris,,328,,,N,Y,Peitsch et al. 1992
174,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo campestris,,464,,,N,Y,Peitsch et al. 1992
175,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo campestris,,540,,,N,Y,Peitsch et al. 1992
176,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo scrophulariae,,556,,,N,Y,Peitsch et al. 1992
177,Arthropoda,Insecta,Hymenoptera,Tenthredinidae,Tenthredo scrophulariae,,604,,,N,Y,Peitsch et al. 1992
178,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula norwegica,,448,,,N,Y,Peitsch et al. 1992
179,Arthropoda,Insecta,Hymenoptera,Vespidae,Dolichovespula norwegica,,524,,,N,Y,Peitsch et al. 1992
180,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes dominulus,,352,,,N,Y,Peitsch et al. 1992
181,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes dominulus,,452,,,N,Y,Peitsch et al. 1992
182,Arthropoda,Insecta,Hymenoptera,Vespidae,Polistes dominulus,,528,,,N,Y,Peitsch et al. 1992
183,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespo crabro,,336,,,N,Y,Peitsch et al. 1992
184,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespo crabro,,436,,,N,Y,Peitsch et al. 1992
185,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespo crabro,,536,,,N,Y,Peitsch et al. 1992
186,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespo crabro,,542,,,N,Y,Peitsch et al. 1992
187,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula germanica,,336,,,N,Y,Peitsch et al. 1992
188,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula germanica,,432,,,N,Y,Peitsch et al. 1992
189,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula germanica,,544,,,N,Y,Peitsch et al. 1992
190,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula vulgaris,,336,,,N,Y,Peitsch et al. 1992
191,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula vulgaris,,432,,,N,Y,Peitsch et al. 1992
192,Arthropoda,Insecta,Hymenoptera,Vespidae,Vespula vulgaris,,536,,,N,Y,Peitsch et al. 1992
193,Arthropoda,Insecta,Hymenoptera,Xiphydriidae,Xiphydria camelus,,542,,,N,Y,Peitsch et al. 1992
194,Arthropoda,Insecta,Lepidoptera,Epicopeiidae,Epicopeia hainesii,,380,,,N,Y,Eguchi et al. 1982
195,Arthropoda,Insecta,Lepidoptera,Epicopeiidae,Epicopeia hainesii,,420,,,N,Y,Eguchi et al. 1982
196,Arthropoda,Insecta,Lepidoptera,Epicopeiidae,Epicopeia hainesii,,500,,,N,Y,Eguchi et al. 1982
197,Arthropoda,Insecta,Lepidoptera,Geometridae,Arichanna gaschkevitchii,,360,,,N,Y,Eguchi et al. 1982
198,Arthropoda,Insecta,Lepidoptera,Geometridae,Arichanna gaschkevitchii,,500,,,N,Y,Eguchi et al. 1982
199,Arthropoda,Insecta,Lepidoptera,Geometridae,Arichanna gaschkevitchii,,540,,,N,Y,Eguchi et al. 1982
200,Arthropoda,Insecta,Lepidoptera,Hepialiidae,Phassus excrescens,,380,,,Y,N,Eguchi et al. 1982
201,Arthropoda,Insecta,Lepidoptera,Hepialiidae,Phassus excrescens,,460,,,Y,N,Eguchi et al. 1982
202,Arthropoda,Insecta,Lepidoptera,Hepialiidae,Phassus excrescens,,520,,,Y,N,Eguchi et al. 1982
203,Arthropoda,Insecta,Lepidoptera,Hepialiidae,Phassus excrescens,,580,,,Y,N,Eguchi et al. 1982
204,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ochlodes venata,,380,,,N,Y,Eguchi et al. 1982
205,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ochlodes venata,,460,,,N,Y,Eguchi et al. 1982
206,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Ochlodes venata,,520,,,N,Y,Eguchi et al. 1982
207,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Parnara guttata,,380,,,N,Y,Eguchi et al. 1982
208,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Parnara guttata,,460,,,N,Y,Eguchi et al. 1982
209,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Parnara guttata,,520,,,N,Y,Eguchi et al. 1982
210,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina argiolus,,380,,,N,Y,Eguchi et al. 1982
211,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina argiolus,,440,,,N,Y,Eguchi et al. 1982
212,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Celastrina argiolus,,560,,,N,Y,Eguchi et al. 1982
213,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena dorcas,,360,,,N,Y,Bernard & Remington 1991
214,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena dorcas,,437,,,N,Y,Bernard & Remington 1991
215,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena dorcas,,500,,,N,Y,Bernard & Remington 1991
216,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena dorcas,,568,,,N,Y,Bernard & Remington 1991
217,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena heteronea,,360,,,N,Y,Bernard & Remington 1991
218,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena heteronea,,437,,,N,Y,Bernard & Remington 1991
219,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena heteronea,,500,,,N,Y,Bernard & Remington 1991
220,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena heteronea,,568,,,N,Y,Bernard & Remington 1991
221,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena nivalis,,361,,,N,Y,Bernard & Remington 1991
222,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena nivalis,,438,,,N,Y,Bernard & Remington 1991
223,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena nivalis,,501,,,N,Y,Bernard & Remington 1991
224,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena nivalis,,575,,,N,Y,Bernard & Remington 1991
225,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena phlaeas,,400,,,N,Y,Eguchi et al. 1982
226,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena phlaeas,,540,,,N,Y,Eguchi et al. 1982
227,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena phlaeas,,600,,,N,Y,Eguchi et al. 1982
228,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena rubidus,,360,,,N,Y,Bernard & Remington 1991
229,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena rubidus,,437,,,N,Y,Bernard & Remington 1991
230,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena rubidus,,500,,,N,Y,Bernard & Remington 1991
231,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena rubidus,,568,,,N,Y,Bernard & Remington 1991
