comp_db_id,Full_Species,LambdaMax,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id,kooi_id
180,Abramis ballerus,451.0,,117,,,,,,
181,Abramis ballerus,537.0,,118,,,,,,
182,Abramis ballerus,620.0,,119,,,,,,
183,Abramis ballerus,537.0,,120,,,,,,
184,Abramis ballerus,620.0,,121,,,,,,
185,Abramis brama,537.0,,122,,,,,,
186,Abramis brama,451.0,,123,,,,,,
187,Abramis brama,537.0,,124,,,,,,
188,Abramis brama,620.0,,125,,,,,,
189,Abramis brama,537.0,,126,,,,,,
190,Abramis brama,620.0,,127,,,,,,
191,Alburnus alburnus,517.0,,128,,,,,,
192,Alburnus alburnus,440.0,,129,,,,,,
193,Alburnus alburnus,523.0,,130,,,,,,
194,Alburnus alburnus,571.0,,131,,,,,,
195,Blicca bjoerkna,539.0,,132,,,,,,
196,Blicca bjoerkna,444.0,,133,,,,,,
197,Blicca bjoerkna,533.0,,134,,,,,,
198,Blicca bjoerkna,603.0,,135,,,,,,
199,Carassius auratus,521.0,,136,,,,,,
200,Carassius auratus,360.0,,137,,,,,,
201,Carassius auratus,452.0,,138,,,,,,
202,Carassius auratus,532.0,,139,,,,,,
203,Carassius auratus,614.0,,140,,,,,,
204,Carassius auratus,532.0,,141,,,,,,
205,Carassius auratus,614.0,,142,,,,,,
206,Carassius carassius,526.0,,143,,,,,,
207,Carassius carassius,449.0,,144,,,,,,
208,Carassius carassius,529.0,,145,,,,,,
209,Carassius carassius,535.0,,146,,,,,,
210,Carassius carassius,608.0,,147,,,,,,
211,Carassius carassius,619.0,,148,,,,,,
212,Carassius auratus,522.0,,149,,,,,,
213,Carassius auratus,455.0,,150,,,,,,
214,Carassius auratus,530.0,,151,,,,,,
215,Carassius auratus,625.0,,152,,,,,,
216,Scardinius erythrophthalmus,515.0,,153,,,,,,
217,Scardinius erythrophthalmus,355.0,,154,,,,,,
218,Scardinius erythrophthalmus,405.0,,155,,,,,,
219,Scardinius erythrophthalmus,505.0,,156,,,,,,
220,Scardinius erythrophthalmus,565.0,,157,,,,,,
221,Scardinius erythrophthalmus,505.0,,158,,,,,,
222,Scardinius erythrophthalmus,565.0,,159,,,,,,
223,Tinca tinca,533.0,,160,,,,,,
224,Tinca tinca,454.0,,161,,,,,,
225,Tinca tinca,533.0,,162,,,,,,
226,Tinca tinca,615.0,,163,,,,,,
227,Tinca tinca,533.0,,164,,,,,,
228,Tinca tinca,615.0,,165,,,,,,
229,Fundulus heteroclitus,503.0,,166,,,,,,
230,Fundulus heteroclitus,363.0,,167,,,,,,
231,Fundulus heteroclitus,400.0,,168,,,,,,
232,Fundulus heteroclitus,463.0,,169,,,,,,
233,Fundulus heteroclitus,563.0,,170,,,,,,
234,Fundulus heteroclitus,563.0,,171,,,,,,
235,Lucania goodei,359.0,,172,,,,,,
236,Lucania goodei,405.0,,173,,,,,,
237,Lucania goodei,454.0,,174,,,,,,
238,Lucania goodei,538.0,,175,,,,,,
239,Lucania goodei,454.0,,176,,,,,,
240,Lucania goodei,538.0,,177,,,,,,
241,Lucania goodei,573.0,,178,,,,,,
242,Poecilia parae,503.0,,179,,,,,,
243,Poecilia parae,355.0,,180,,,,,,
244,Poecilia parae,407.0,,181,,,,,,
245,Poecilia parae,456.0,,182,,,,,,
246,Poecilia parae,526.0,,183,,,,,,
247,Poecilia parae,543.0,,184,,,,,,
248,Poecilia parae,543.0,,185,,,,,,
249,Poecilia latipinna,503.0,,186,,,,,,
250,Poecilia latipinna,403.0,,187,,,,,,
251,Poecilia latipinna,463.0,,188,,,,,,
252,Poecilia latipinna,551.0,,189,,,,,,
253,Poecilia latipinna,577.0,,190,,,,,,
254,Poecilia latipinna,551.0,,191,,,,,,
255,Poecilia latipinna,577.0,,192,,,,,,
256,Poecilia mexicana,504.0,,193,,,,,,
257,Poecilia mexicana,350.0,,194,,,,,,
258,Poecilia mexicana,402.0,,195,,,,,,
259,Poecilia mexicana,461.0,,196,,,,,,
260,Poecilia mexicana,537.0,,197,,,,,,
261,Poecilia mexicana,563.0,,198,,,,,,
262,Poecilia formosa,504.0,,199,,,,,,
263,Poecilia formosa,352.0,,200,,,,,,
264,Poecilia formosa,404.0,,201,,,,,,
265,Poecilia formosa,463.0,,202,,,,,,
266,Poecilia formosa,560.0,,203,,,,,,
267,Megalops atlanticus,500.0,,204,,,,,,
268,Megalops atlanticus,364.0,,205,,,,,,
269,Megalops atlanticus,411.0,,206,,,,,,
270,Megalops atlanticus,451.0,,207,,,,,,
271,Megalops atlanticus,476.0,,208,,,,,,
272,Megalops atlanticus,551.0,,209,,,,,,
273,Gadus macrocephalus,441.0,,210,,,,,,
274,Gadus macrocephalus,523.0,,211,,,,,,
275,Gaidropsarus mediterraneus,512.0,,212,,,,,,
276,Gaidropsarus mediterraneus,535.0,,213,,,,,,
277,Gaidropsarus mediterraneus,535.0,,214,,,,,,
278,Microgadus proximus,497.0,,215,,,,,,
279,Microgadus proximus,439.0,,216,,,,,,
280,Microgadus proximus,523.0,,217,,,,,,
281,Microgadus proximus,522.0,,218,,,,,,
282,Theragra chalcogramma,500.0,,219,,,,,,
283,Theragra chalcogramma,442.0,,220,,,,,,
284,Theragra chalcogramma,516.0,,221,,,,,,
285,Poecilia reticulata,503.0,,222,,,,,,
286,Poecilia reticulata,410.0,,223,,,,,,
287,Poecilia reticulata,465.0,,224,,,,,,
288,Poecilia reticulata,473.0,,225,,,,,,
289,Poecilia reticulata,573.0,,226,,,,,,
290,Merluccius productus,495.0,,227,,,,,,
291,Merluccius productus,516.0,,228,,,,,,
292,Merluccius productus,517.0,,229,,,,,,
293,Aulorhynchus flavidus,499.0,,230,,,,,,
294,Aulorhynchus flavidus,360.0,,231,,,,,,
295,Aulorhynchus flavidus,496.0,,232,,,,,,
296,Aulorhynchus flavidus,536.0,,233,,,,,,
297,Aulostomus chinensis,494.0,,234,,,,,,
298,Aulostomus chinensis,421.0,,235,,,,,,
299,Aulostomus chinensis,473.0,,236,,,,,,
300,Gasterosteus aculeatus,502.0,,237,,,,,,
301,Gasterosteus aculeatus,362.0,,238,,,,,,
302,Gasterosteus aculeatus,439.0,,239,,,,,,
303,Gasterosteus aculeatus,524.0,,240,,,,,,
304,Gasterosteus aculeatus,576.0,,241,,,,,,
305,Spinachia spinachia,510.0,,242,,,,,,
306,Spinachia spinachia,445.0,,243,,,,,,
307,Spinachia spinachia,555.0,,244,,,,,,
308,Spinachia spinachia,532.0,,245,,,,,,
309,Spinachia spinachia,590.0,,246,,,,,,
310,Gobiesox maecmdricus,500.0,,247,,,,,,
311,Gobiesox maecmdricus,440.0,,248,,,,,,
312,Gobiesox maecmdricus,526.0,,249,,,,,,
313,Gobiesox maecmdricus,567.0,,250,,,,,,
314,Hypomesus pretiosus,500.0,,251,,,,,,
315,Hypomesus pretiosus,369.0,,252,,,,,,
316,Hypomesus pretiosus,461.0,,253,,,,,,
317,Hypomesus pretiosus,522.0,,254,,,,,,
318,Hypomesus pretiosus,570.0,,255,,,,,,
319,Osmerus dentex,516.0,,256,,,,,,
320,Osmerus dentex,425.0,,257,,,,,,
321,Osmerus dentex,514.0,,258,,,,,,
322,Osmerus dentex,565.0,,259,,,,,,
323,Spirinchus thaleichthys,499.0,,260,,,,,,
324,Spirinchus thaleichthys,364.0,,261,,,,,,
325,Spirinchus thaleichthys,465.0,,262,,,,,,
326,Spirinchus thaleichthys,517.0,,263,,,,,,
327,Spirinchus thaleichthys,572.0,,264,,,,,,
328,Acanthurus nigroris,494.0,,265,,,,,,
329,Acanthurus nigroris,439.0,,266,,,,,,
330,Acanthurus nigroris,523.0,,267,,,,,,
331,Acanthurus nigroris,538.0,,268,,,,,,
332,Acanthurus triostegus,493.0,,269,,,,,,
333,Acanthurus triostegus,458.0,,270,,,,,,
334,Acanthurus triostegus,518.0,,271,,,,,,
335,Acanthurus achilles,496.0,,272,,,,,,
336,Acanthurus achilles,501.0,,273,,,,,,
337,Ctenochaetus strigosus,486.0,,274,,,,,,
338,Ctenochaetus strigosus,453.0,,275,,,,,,
339,Ctenochaetus strigosus,521.0,,276,,,,,,
340,Ctenochaetus strigosus,548.0,,277,,,,,,
341,Ctenochaetus strigosus,501.0,,278,,,,,,
342,Naso lituratus,497.0,,279,,,,,,
343,Naso lituratus,421.0,,280,,,,,,
344,Naso lituratus,496.0,,281,,,,,,
345,Naso lituratus,521.0,,282,,,,,,
346,Naso unicornis,494.0,,283,,,,,,
347,Naso unicornis,416.0,,284,,,,,,
348,Naso unicornis,486.0,,285,,,,,,
349,Naso unicornis,507.0,,286,,,,,,
350,Zebrasoma veliferum,494.0,,287,,,,,,
351,Zebrasoma veliferum,448.0,,288,,,,,,
352,Zebrasoma veliferum,511.0,,289,,,,,,
353,Zebrasoma veliferum,517.0,,290,,,,,,
354,Zebrasoma veliferum,523.0,,291,,,,,,
355,Zebrasoma flavescens,494.0,,292,,,,,,
356,Zebrasoma flavescens,446.0,,293,,,,,,
357,Zebrasoma flavescens,510.0,,294,,,,,,
358,Zebrasoma flavescens,519.0,,295,,,,,,
359,Ammodytes hexapterus,470.0,,296,,,,,,
360,Ammodytes hexapterus,398.0,,297,,,,,,
361,Ammodytes hexapterus,524.0,,298,,,,,,
362,Ammodytes hexapterus,520.0,,299,,,,,,
363,Apogon kallopterus,492.0,,300,,,,,,
364,Apogon kallopterus,441.0,,301,,,,,,
365,Apogon kallopterus,494.0,,302,,,,,,
366,Apogon kallopterus,516.0,,303,,,,,,
367,Ronquilus jordani,492.0,,304,,,,,,
368,Ronquilus jordani,461.0,,305,,,,,,
369,Ronquilus jordani,521.0,,306,,,,,,
370,Lipophyrs pholis,515.0,,307,,,,,,
371,Lipophyrs pholis,535.0,,308,,,,,,
372,Lipophyrs pholis,500.0,,309,,,,,,
373,Lipophyrs pholis,570.0,,310,,,,,,
374,Plagiotremus rhinorhynchos,498.0,,311,,,,,,
375,Plagiotremus rhinorhynchos,449.0,,312,,,,,,
376,Plagiotremus rhinorhynchos,520.0,,313,,,,,,
377,Plagiotremus rhinorhynchos,561.0,,314,,,,,,
378,Trachurus mediterraneus,502.0,,315,,,,,,
379,Trachurus mediterraneus,433.0,,316,,,,,,
380,Trachurus mediterraneus,525.0,,317,,,,,,
381,Spicara smaris,502.0,,318,,,,,,
382,Spicara smaris,436.0,,319,,,,,,
383,Spicara smaris,522.0,,320,,,,,,
384,Lepomis macrochirus,538.0,,321,,,,,,
385,Lepomis macrochirus,536.0,,322,,,,,,
386,Lepomis macrochirus,620.0,,323,,,,,,
387,Micropterus salmoides,528.0,,324,,,,,,
388,Micropterus salmoides,535.0,,325,,,,,,
389,Micropterus salmoides,614.0,,326,,,,,,
390,Chaetodon kleini,496.0,,327,,,,,,
391,Chaetodon kleini,496.0,,328,,,,,,
392,Chaetodon kleini,530.0,,329,,,,,,
393,Chaetodon unimaculatus,491.0,,330,,,,,,
394,Chaetodon unimaculatus,487.0,,331,,,,,,
395,Chaetodon unimaculatus,530.0,,332,,,,,,
396,Forcipiger flavissimus,488.0,,333,,,,,,
397,Forcipiger flavissimus,431.0,,334,,,,,,
398,Forcipiger flavissimus,490.0,,335,,,,,,
399,Forcipiger flavissimus,527.0,,336,,,,,,
400,Aequidens pulcher,507.0,,337,,,,,,
401,Aequidens pulcher,565.0,,338,,,,,,
402,Aequidens pulcher,605.0,,339,,,,,,
403,Aequidens pulcher,605.0,,340,,,,,,
404,Aulonocara hueseri,496.0,,341,,,,,,
405,Aulonocara hueseri,415.0,,342,,,,,,
406,Aulonocara hueseri,484.0,,343,,,,,,
407,Aulonocara hueseri,526.0,,344,,,,,,
408,Copadichromis borleyi,494.0,,345,,,,,,
409,Copadichromis borleyi,424.0,,346,,,,,,
410,Copadichromis borleyi,478.0,,347,,,,,,
411,Copadichromis borleyi,539.0,,348,,,,,,
412,Crenicichla frenata,420.0,,349,,,,,,
413,Crenicichla frenata,480.0,,350,,,,,,
414,Crenicichla frenata,547.0,,351,,,,,,
415,Crenicichla frenata,614.0,,352,,,,,,
416,Crenicichla frenata,614.0,,353,,,,,,
417,Cynotilapia afra,496.0,,354,,,,,,
418,Cynotilapia afra,358.0,,355,,,,,,
419,Cynotilapia afra,472.0,,356,,,,,,
420,Cynotilapia afra,525.0,,357,,,,,,
421,Dimidiochromis compressiceps,498.0,,358,,,,,,
422,Dimidiochromis compressiceps,447.0,,359,,,,,,
423,Dimidiochromis compressiceps,533.0,,360,,,,,,
424,Dimidiochromis compressiceps,567.0,,361,,,,,,
425,Haplochromis burtoni,500.0,,362,,,,,,
426,Haplochromis burtoni,455.0,,363,,,,,,
427,Haplochromis burtoni,523.0,,364,,,,,,
428,Haplochromis burtoni,562.0,,365,,,,,,
429,Haplochromis pyrrhocephalus,519.0,,366,,,,,,
430,Haplochromis pyrrhocephalus,462.0,,367,,,,,,
431,Haplochromis pyrrhocephalus,539.0,,368,,,,,,
432,Haplochromis pyrrhocephalus,595.0,,369,,,,,,
433,Haplochromis ishmaeli,507.0,,370,,,,,,
434,Haplochromis ishmaeli,456.0,,371,,,,,,
435,Haplochromis ishmaeli,535.0,,372,,,,,,
436,Haplochromis ishmaeli,569.0,,373,,,,,,
437,Haplochromis piceatus,503.0,,374,,,,,,
438,Haplochromis piceatus,465.0,,375,,,,,,
439,Haplochromis piceatus,522.0,,376,,,,,,
440,Haplochromis piceatus,565.0,,377,,,,,,
441,Lethrinops parvidens,498.0,,378,,,,,,
442,Lethrinops parvidens,426.0,,379,,,,,,
443,Lethrinops parvidens,514.0,,380,,,,,,
444,Lethrinops parvidens,563.0,,381,,,,,,
445,Melanochromis auratus,497.0,,382,,,,,,
446,Melanochromis auratus,414.0,,383,,,,,,
447,Melanochromis auratus,482.0,,384,,,,,,
448,Melanochromis auratus,525.0,,385,,,,,,
449,Melanochromis vermivorus,505.0,,386,,,,,,
450,Melanochromis vermivorus,418.0,,387,,,,,,
451,Melanochromis vermivorus,506.0,,388,,,,,,
452,Melanochromis vermivorus,555.0,,389,,,,,,
453,Melanochromis vermivorus,485.0,,390,,,,,,
454,Melanochromis vermivorus,534.0,,391,,,,,,
455,Maylandia zebra,368.0,,392,,,,,,
456,Maylandia zebra,482.0,,393,,,,,,
457,Maylandia zebra,531.0,,394,,,,,,
458,Metriaclima barlowi,491.0,,395,,,,,,
459,Metriaclima barlowi,366.0,,396,,,,,,
460,Metriaclima barlowi,483.0,,397,,,,,,
461,Metriaclima barlowi,523.0,,398,,,,,,
462,Metriaclima benetos,379.0,,399,,,,,,
463,Metriaclima benetos,489.0,,400,,,,,,
464,Metriaclima benetos,522.0,,401,,,,,,
465,Metriaclima emmiltos,383.0,,402,,,,,,
466,Metriaclima emmiltos,482.0,,403,,,,,,
467,Metriaclima emmiltos,521.0,,404,,,,,,
468,Metriaclima livingstonii,495.0,,405,,,,,,
469,Metriaclima livingstonii,364.0,,406,,,,,,
470,Metriaclima livingstonii,473.0,,407,,,,,,
471,Metriaclima livingstonii,526.0,,408,,,,,,
472,Metriaclima melabranchion,495.0,,409,,,,,,
473,Metriaclima melabranchion,371.0,,410,,,,,,
474,Metriaclima melabranchion,477.0,,411,,,,,,
475,Metriaclima melabranchion,515.0,,412,,,,,,
476,Mylochromis lateristriga,496.0,,413,,,,,,
477,Mylochromis lateristriga,419.0,,414,,,,,,
478,Mylochromis lateristriga,482.0,,415,,,,,,
479,Mylochromis lateristriga,522.0,,416,,,,,,
480,Protomelas taeniolatus,496.0,,417,,,,,,
481,Protomelas taeniolatus,453.0,,418,,,,,,
482,Protomelas taeniolatus,527.0,,419,,,,,,
483,Protomelas taeniolatus,566.0,,420,,,,,,
484,Pseudotropheus tropheops,510.0,,421,,,,,,
485,Pseudotropheus tropheops,371.0,,422,,,,,,
486,Pseudotropheus tropheops,492.0,,423,,,,,,
487,Pseudotropheus tropheops,531.0,,424,,,,,,
488,Pseudotropheus acei,505.0,,425,,,,,,
489,Pseudotropheus acei,378.0,,426,,,,,,
490,Pseudotropheus acei,482.0,,427,,,,,,
491,Pseudotropheus acei,535.0,,428,,,,,,
492,Pundamilia red head,456.0,,429,,,,,,
493,Pundamilia red head,527.0,,430,,,,,,
494,Pundamilia red head,567.0,,431,,,,,,
495,Pundamilia au,503.0,,432,,,,,,
496,Pundamilia azurea,455.0,,433,,,,,,
497,Pundamilia azurea,526.0,,434,,,,,,
498,Pundamilia azurea,563.0,,435,,,,,,
499,Pundamilia nyererei,505.0,,436,,,,,,
500,Pundamilia nyererei,451.0,,437,,,,,,
501,Pundamilia nyererei,535.0,,438,,,,,,
502,Pundamilia nyererei,562.0,,439,,,,,,
503,Pundamilia nyererei,562.0,,440,,,,,,
504,Pundamilia luanso,505.0,,441,,,,,,
505,Pundamilia luanso,455.0,,442,,,,,,
506,Pundamilia luanso,527.0,,443,,,,,,
507,Pundamilia luanso,561.0,,444,,,,,,
508,Pundamilia luanso,561.0,,445,,,,,,
509,Pundamilia pundamilia,506.0,,446,,,,,,
510,Pundamilia pundamilia,455.0,,447,,,,,,
511,Pundamilia pundamilia,529.0,,448,,,,,,
512,Pundamilia pundamilia,563.0,,449,,,,,,
513,Pundamilia pundamilia,563.0,,450,,,,,,
514,Tramitichromis intermedius,505.0,,451,,,,,,
515,Tramitichromis intermedius,455.0,,452,,,,,,
516,Tramitichromis intermedius,531.0,,453,,,,,,
517,Tramitichromis intermedius,568.0,,454,,,,,,
518,Tyrannochromis macrostoma,494.0,,455,,,,,,
519,Tyrannochromis macrostoma,410.0,,456,,,,,,
520,Tyrannochromis macrostoma,482.0,,457,,,,,,
521,Tyrannochromis macrostoma,529.0,,458,,,,,,
522,Embiotoca lateralis,499.0,,459,,,,,,
523,Embiotoca lateralis,459.0,,460,,,,,,
524,Embiotoca lateralis,534.0,,461,,,,,,
525,Embiotoca lateralis,535.0,,462,,,,,,
526,Embiotoca jacksoni,505.0,,463,,,,,,
527,Embiotoca jacksoni,477.0,,464,,,,,,
528,Embiotoca jacksoni,534.0,,465,,,,,,
529,Hypsurus caryi,506.0,,466,,,,,,
530,Hypsurus caryi,455.0,,467,,,,,,
531,Hypsurus caryi,532.0,,468,,,,,,
532,Hypsurus caryi,532.0,,469,,,,,,
533,Micrometrus minimus,518.0,,470,,,,,,
