comp_db_id,Full_Species,LambdaMax,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id,kooi_id
35,Melanotaenia maccullochi,528.0,,36,,,,,,
36,Melanotaenia maccullochi,495.0,,37,,,,,,
37,Melanotaenia maccullochi,528.0,,38,,,,,,
38,Melanotaenia maccullochi,578.0,,39,,,,,,
39,Marosatherina ladigesi,507.0,,40,,,,,,
40,Marosatherina ladigesi,368.0,,41,,,,,,
41,Marosatherina ladigesi,452.0,,42,,,,,,
42,Marosatherina ladigesi,461.0,,43,,,,,,
43,Marosatherina ladigesi,481.0,,44,,,,,,
44,Marosatherina ladigesi,531.0,,45,,,,,,
45,Marosatherina ladigesi,557.0,,46,,,,,,
46,Marosatherina ladigesi,452.0,,47,,,,,,
47,Marosatherina ladigesi,461.0,,48,,,,,,
48,Marosatherina ladigesi,531.0,,49,,,,,,
49,Marosatherina ladigesi,557.0,,50,,,,,,
50,Synodus variegatus,493.0,,51,,,,,,
51,Synodus variegatus,368.0,,52,,,,,,
52,Synodus variegatus,482.0,,53,,,,,,
53,Synodus variegatus,503.0,,54,,,,,,
54,Belone belone,509.0,,55,,,,,,
55,Belone belone,422.0,,56,,,,,,
56,Belone belone,508.0,,57,,,,,,
57,Belone belone,508.0,,58,,,,,,
58,Dermogenys pusilla,507.0,,59,,,,,,
59,Dermogenys pusilla,377.0,,60,,,,,,
60,Dermogenys pusilla,526.0,,61,,,,,,
61,Dermogenys pusilla,572.0,,62,,,,,,
62,Dermogenys pusilla,483.0,,63,,,,,,
63,Dermogenys pusilla,526.0,,64,,,,,,
64,Dermogenys pusilla,572.0,,65,,,,,,
65,Dermogenys pusilla,545.0,,66,,,,,,
66,Myripristis berndti,495.0,,67,,,,,,
67,Myripristis berndti,514.0,,68,,,,,,
68,Myripristis berndti,506.0,,69,,,,,,
69,Neoniphon sammara,502.0,,70,,,,,,
70,Neoniphon sammara,446.0,,71,,,,,,
71,Neoniphon sammara,512.0,,72,,,,,,
72,Sargocentron xantherythrum,490.0,,73,,,,,,
73,Sargocentron xantherythrum,447.0,,74,,,,,,
74,Sargocentron xantherythrum,516.0,,75,,,,,,
75,Sargocentron xantherythrum,509.0,,76,,,,,,
76,Neoceratodus forsteri,540.0,,77,,,,,,
77,Neoceratodus forsteri,479.0,,78,,,,,,
78,Neoceratodus forsteri,558.0,,79,,,,,,
79,Neoceratodus forsteri,623.0,,80,,,,,,
80,Astyanax fasciatus,520.0,,81,,,,,,
81,Astyanax fasciatus,449.0,,82,,,,,,
82,Astyanax fasciatus,547.0,,83,,,,,,
83,Astyanax fasciatus,572.0,,84,,,,,,
84,Astyanax fasciatus,547.0,,85,,,,,,
85,Astyanax fasciatus,572.0,,86,,,,,,
86,Alosa kessleri,510.0,,87,,,,,,
87,Alosa kessleri,509.0,,88,,,,,,
88,Alosa kessleri,557.0,,89,,,,,,
89,Alosa kessleri,509.0,,90,,,,,,
90,Alosa kessleri,557.0,,91,,,,,,
91,Alosa kessleri,557.0,,92,,,,,,
92,Clupea pallasii,501.0,,93,,,,,,
93,Clupea pallasii,514.0,,94,,,,,,
94,Clupea pallasii,515.0,,95,,,,,,
95,Clupea pallasii,534.0,,96,,,,,,
96,Clupea pallasii,529.0,,97,,,,,,
97,Sardinops melanostictus,502.0,,98,,,,,,
98,Sardinops melanostictus,393.0,,99,,,,,,
99,Sardinops melanostictus,493.0,,100,,,,,,
100,Sardinops melanostictus,522.0,,101,,,,,,
101,Sardinops melanostictus,542.0,,102,,,,,,
102,Engraulis mordax,498.0,,103,,,,,,
103,Engraulis mordax,530.0,,104,,,,,,
104,Engraulis mordax,532.0,,105,,,,,,
105,Engraulis encrasicolus,500.0,,106,,,,,,
106,Engraulis encrasicolus,492.0,,107,,,,,,
107,Engraulis encrasicolus,500.0,,108,,,,,,
108,Engraulis encrasicolus,474.0,,109,,,,,,
109,Engraulis encrasicolus,500.0,,110,,,,,,
110,Engraulis japonicus,502.0,,111,,,,,,
111,Engraulis japonicus,492.0,,112,,,,,,
112,Engraulis japonicus,502.0,,113,,,,,,
113,Engraulis japonicus,478.0,,114,,,,,,
114,Engraulis japonicus,502.0,,115,,,,,,
115,Abramis ballerus,518.0,,116,,,,,,
116,Abramis ballerus,451.0,,117,,,,,,
117,Abramis ballerus,537.0,,118,,,,,,
118,Abramis ballerus,620.0,,119,,,,,,
119,Abramis ballerus,537.0,,120,,,,,,
120,Abramis ballerus,620.0,,121,,,,,,
121,Abramis brama,537.0,,122,,,,,,
122,Abramis brama,451.0,,123,,,,,,
123,Abramis brama,537.0,,124,,,,,,
124,Abramis brama,620.0,,125,,,,,,
125,Abramis brama,537.0,,126,,,,,,
126,Abramis brama,620.0,,127,,,,,,
127,Alburnus alburnus,517.0,,128,,,,,,
128,Alburnus alburnus,440.0,,129,,,,,,
129,Alburnus alburnus,523.0,,130,,,,,,
130,Alburnus alburnus,571.0,,131,,,,,,
131,Blicca bjoerkna,539.0,,132,,,,,,
132,Blicca bjoerkna,444.0,,133,,,,,,
133,Blicca bjoerkna,533.0,,134,,,,,,
134,Blicca bjoerkna,603.0,,135,,,,,,
135,Carassius auratus,521.0,,136,,,,,,
136,Carassius auratus,360.0,,137,,,,,,
137,Carassius auratus,452.0,,138,,,,,,
138,Carassius auratus,532.0,,139,,,,,,
139,Carassius auratus,614.0,,140,,,,,,
140,Carassius auratus,532.0,,141,,,,,,
141,Carassius auratus,614.0,,142,,,,,,
142,Carassius carassius,526.0,,143,,,,,,
143,Carassius carassius,449.0,,144,,,,,,
144,Carassius carassius,529.0,,145,,,,,,
145,Carassius carassius,535.0,,146,,,,,,
146,Carassius carassius,608.0,,147,,,,,,
147,Carassius carassius,619.0,,148,,,,,,
148,Carassius auratus,522.0,,149,,,,,,
149,Carassius auratus,455.0,,150,,,,,,
150,Carassius auratus,530.0,,151,,,,,,
151,Carassius auratus,625.0,,152,,,,,,
152,Scardinius erythrophthalmus,515.0,,153,,,,,,
153,Scardinius erythrophthalmus,355.0,,154,,,,,,
154,Scardinius erythrophthalmus,405.0,,155,,,,,,
155,Scardinius erythrophthalmus,505.0,,156,,,,,,
156,Scardinius erythrophthalmus,565.0,,157,,,,,,
157,Scardinius erythrophthalmus,505.0,,158,,,,,,
158,Scardinius erythrophthalmus,565.0,,159,,,,,,
159,Tinca tinca,533.0,,160,,,,,,
160,Tinca tinca,454.0,,161,,,,,,
161,Tinca tinca,533.0,,162,,,,,,
162,Tinca tinca,615.0,,163,,,,,,
163,Tinca tinca,533.0,,164,,,,,,
164,Tinca tinca,615.0,,165,,,,,,
165,Fundulus heteroclitus,503.0,,166,,,,,,
166,Fundulus heteroclitus,363.0,,167,,,,,,
167,Fundulus heteroclitus,400.0,,168,,,,,,
168,Fundulus heteroclitus,463.0,,169,,,,,,
169,Fundulus heteroclitus,563.0,,170,,,,,,
170,Fundulus heteroclitus,563.0,,171,,,,,,
171,Lucania goodei,359.0,,172,,,,,,
172,Lucania goodei,405.0,,173,,,,,,
173,Lucania goodei,454.0,,174,,,,,,
174,Lucania goodei,538.0,,175,,,,,,
175,Lucania goodei,454.0,,176,,,,,,
176,Lucania goodei,538.0,,177,,,,,,
177,Lucania goodei,573.0,,178,,,,,,
178,Poecilia parae,503.0,,179,,,,,,
179,Poecilia parae,355.0,,180,,,,,,
180,Poecilia parae,407.0,,181,,,,,,
181,Poecilia parae,456.0,,182,,,,,,
182,Poecilia parae,526.0,,183,,,,,,
183,Poecilia parae,543.0,,184,,,,,,
184,Poecilia parae,543.0,,185,,,,,,
185,Poecilia latipinna,503.0,,186,,,,,,
186,Poecilia latipinna,403.0,,187,,,,,,
187,Poecilia latipinna,463.0,,188,,,,,,
188,Poecilia latipinna,551.0,,189,,,,,,
189,Poecilia latipinna,577.0,,190,,,,,,
190,Poecilia latipinna,551.0,,191,,,,,,
191,Poecilia latipinna,577.0,,192,,,,,,
192,Poecilia mexicana,504.0,,193,,,,,,
193,Poecilia mexicana,350.0,,194,,,,,,
194,Poecilia mexicana,402.0,,195,,,,,,
195,Poecilia mexicana,461.0,,196,,,,,,
196,Poecilia mexicana,537.0,,197,,,,,,
197,Poecilia mexicana,563.0,,198,,,,,,
198,Poecilia formosa,504.0,,199,,,,,,
199,Poecilia formosa,352.0,,200,,,,,,
200,Poecilia formosa,404.0,,201,,,,,,
201,Poecilia formosa,463.0,,202,,,,,,
202,Poecilia formosa,560.0,,203,,,,,,
203,Megalops atlanticus,500.0,,204,,,,,,
204,Megalops atlanticus,364.0,,205,,,,,,
205,Megalops atlanticus,411.0,,206,,,,,,
206,Megalops atlanticus,451.0,,207,,,,,,
207,Megalops atlanticus,476.0,,208,,,,,,
208,Megalops atlanticus,551.0,,209,,,,,,
209,Gadus macrocephalus,441.0,,210,,,,,,
210,Gadus macrocephalus,523.0,,211,,,,,,
211,Gaidropsarus mediterraneus,512.0,,212,,,,,,
212,Gaidropsarus mediterraneus,535.0,,213,,,,,,
213,Gaidropsarus mediterraneus,535.0,,214,,,,,,
214,Microgadus proximus,497.0,,215,,,,,,
215,Microgadus proximus,439.0,,216,,,,,,
216,Microgadus proximus,523.0,,217,,,,,,
217,Microgadus proximus,522.0,,218,,,,,,
218,Theragra chalcogramma,500.0,,219,,,,,,
219,Theragra chalcogramma,442.0,,220,,,,,,
220,Theragra chalcogramma,516.0,,221,,,,,,
221,Poecilia reticulata,503.0,,222,,,,,,
222,Poecilia reticulata,410.0,,223,,,,,,
223,Poecilia reticulata,465.0,,224,,,,,,
224,Poecilia reticulata,473.0,,225,,,,,,
225,Poecilia reticulata,573.0,,226,,,,,,
226,Merluccius productus,495.0,,227,,,,,,
227,Merluccius productus,516.0,,228,,,,,,
228,Merluccius productus,517.0,,229,,,,,,
229,Aulorhynchus flavidus,499.0,,230,,,,,,
230,Aulorhynchus flavidus,360.0,,231,,,,,,
231,Aulorhynchus flavidus,496.0,,232,,,,,,
232,Aulorhynchus flavidus,536.0,,233,,,,,,
233,Aulostomus chinensis,494.0,,234,,,,,,
234,Aulostomus chinensis,421.0,,235,,,,,,
235,Aulostomus chinensis,473.0,,236,,,,,,
236,Gasterosteus aculeatus,502.0,,237,,,,,,
237,Gasterosteus aculeatus,362.0,,238,,,,,,
238,Gasterosteus aculeatus,439.0,,239,,,,,,
239,Gasterosteus aculeatus,524.0,,240,,,,,,
240,Gasterosteus aculeatus,576.0,,241,,,,,,
241,Spinachia spinachia,510.0,,242,,,,,,
242,Spinachia spinachia,445.0,,243,,,,,,
243,Spinachia spinachia,555.0,,244,,,,,,
244,Spinachia spinachia,532.0,,245,,,,,,
245,Spinachia spinachia,590.0,,246,,,,,,
246,Gobiesox maecmdricus,500.0,,247,,,,,,
247,Gobiesox maecmdricus,440.0,,248,,,,,,
248,Gobiesox maecmdricus,526.0,,249,,,,,,
249,Gobiesox maecmdricus,567.0,,250,,,,,,
250,Hypomesus pretiosus,500.0,,251,,,,,,
251,Hypomesus pretiosus,369.0,,252,,,,,,
252,Hypomesus pretiosus,461.0,,253,,,,,,
253,Hypomesus pretiosus,522.0,,254,,,,,,
254,Hypomesus pretiosus,570.0,,255,,,,,,
255,Osmerus dentex,516.0,,256,,,,,,
256,Osmerus dentex,425.0,,257,,,,,,
257,Osmerus dentex,514.0,,258,,,,,,
258,Osmerus dentex,565.0,,259,,,,,,
259,Spirinchus thaleichthys,499.0,,260,,,,,,
260,Spirinchus thaleichthys,364.0,,261,,,,,,
261,Spirinchus thaleichthys,465.0,,262,,,,,,
262,Spirinchus thaleichthys,517.0,,263,,,,,,
263,Spirinchus thaleichthys,572.0,,264,,,,,,
264,Acanthurus nigroris,494.0,,265,,,,,,
265,Acanthurus nigroris,439.0,,266,,,,,,
266,Acanthurus nigroris,523.0,,267,,,,,,
267,Acanthurus nigroris,538.0,,268,,,,,,
268,Acanthurus triostegus,493.0,,269,,,,,,
269,Acanthurus triostegus,458.0,,270,,,,,,
270,Acanthurus triostegus,518.0,,271,,,,,,
271,Acanthurus achilles,496.0,,272,,,,,,
272,Acanthurus achilles,501.0,,273,,,,,,
273,Ctenochaetus strigosus,486.0,,274,,,,,,
274,Ctenochaetus strigosus,453.0,,275,,,,,,
275,Ctenochaetus strigosus,521.0,,276,,,,,,
276,Ctenochaetus strigosus,548.0,,277,,,,,,
277,Ctenochaetus strigosus,501.0,,278,,,,,,
278,Naso lituratus,497.0,,279,,,,,,
279,Naso lituratus,421.0,,280,,,,,,
280,Naso lituratus,496.0,,281,,,,,,
281,Naso lituratus,521.0,,282,,,,,,
282,Naso unicornis,494.0,,283,,,,,,
283,Naso unicornis,416.0,,284,,,,,,
284,Naso unicornis,486.0,,285,,,,,,
285,Naso unicornis,507.0,,286,,,,,,
286,Zebrasoma veliferum,494.0,,287,,,,,,
287,Zebrasoma veliferum,448.0,,288,,,,,,
288,Zebrasoma veliferum,511.0,,289,,,,,,
289,Zebrasoma veliferum,517.0,,290,,,,,,
290,Zebrasoma veliferum,523.0,,291,,,,,,
291,Zebrasoma flavescens,494.0,,292,,,,,,
292,Zebrasoma flavescens,446.0,,293,,,,,,
293,Zebrasoma flavescens,510.0,,294,,,,,,
294,Zebrasoma flavescens,519.0,,295,,,,,,
295,Ammodytes hexapterus,470.0,,296,,,,,,
296,Ammodytes hexapterus,398.0,,297,,,,,,
297,Ammodytes hexapterus,524.0,,298,,,,,,
298,Ammodytes hexapterus,520.0,,299,,,,,,
299,Apogon kallopterus,492.0,,300,,,,,,
300,Apogon kallopterus,441.0,,301,,,,,,
301,Apogon kallopterus,494.0,,302,,,,,,
302,Apogon kallopterus,516.0,,303,,,,,,
303,Ronquilus jordani,492.0,,304,,,,,,
304,Ronquilus jordani,461.0,,305,,,,,,
305,Ronquilus jordani,521.0,,306,,,,,,
306,Lipophyrs pholis,515.0,,307,,,,,,
307,Lipophyrs pholis,535.0,,308,,,,,,
308,Lipophyrs pholis,500.0,,309,,,,,,
309,Lipophyrs pholis,570.0,,310,,,,,,
310,Plagiotremus rhinorhynchos,498.0,,311,,,,,,
311,Plagiotremus rhinorhynchos,449.0,,312,,,,,,
312,Plagiotremus rhinorhynchos,520.0,,313,,,,,,
313,Plagiotremus rhinorhynchos,561.0,,314,,,,,,
314,Trachurus mediterraneus,502.0,,315,,,,,,
315,Trachurus mediterraneus,433.0,,316,,,,,,
316,Trachurus mediterraneus,525.0,,317,,,,,,
317,Spicara smaris,502.0,,318,,,,,,
318,Spicara smaris,436.0,,319,,,,,,
319,Spicara smaris,522.0,,320,,,,,,
320,Lepomis macrochirus,538.0,,321,,,,,,
321,Lepomis macrochirus,536.0,,322,,,,,,
322,Lepomis macrochirus,620.0,,323,,,,,,
323,Micropterus salmoides,528.0,,324,,,,,,
324,Micropterus salmoides,535.0,,325,,,,,,
325,Micropterus salmoides,614.0,,326,,,,,,
326,Chaetodon kleini,496.0,,327,,,,,,
327,Chaetodon kleini,496.0,,328,,,,,,
328,Chaetodon kleini,530.0,,329,,,,,,
329,Chaetodon unimaculatus,491.0,,330,,,,,,
330,Chaetodon unimaculatus,487.0,,331,,,,,,
331,Chaetodon unimaculatus,530.0,,332,,,,,,
332,Forcipiger flavissimus,488.0,,333,,,,,,
333,Forcipiger flavissimus,431.0,,334,,,,,,
334,Forcipiger flavissimus,490.0,,335,,,,,,
335,Forcipiger flavissimus,527.0,,336,,,,,,
336,Aequidens pulcher,507.0,,337,,,,,,
337,Aequidens pulcher,565.0,,338,,,,,,
338,Aequidens pulcher,605.0,,339,,,,,,
339,Aequidens pulcher,605.0,,340,,,,,,
340,Aulonocara hueseri,496.0,,341,,,,,,
341,Aulonocara hueseri,415.0,,342,,,,,,
342,Aulonocara hueseri,484.0,,343,,,,,,
343,Aulonocara hueseri,526.0,,344,,,,,,
344,Copadichromis borleyi,494.0,,345,,,,,,
345,Copadichromis borleyi,424.0,,346,,,,,,
346,Copadichromis borleyi,478.0,,347,,,,,,
347,Copadichromis borleyi,539.0,,348,,,,,,
348,Crenicichla frenata,420.0,,349,,,,,,
349,Crenicichla frenata,480.0,,350,,,,,,
350,Crenicichla frenata,547.0,,351,,,,,,
351,Crenicichla frenata,614.0,,352,,,,,,
352,Crenicichla frenata,614.0,,353,,,,,,
353,Cynotilapia afra,496.0,,354,,,,,,
354,Cynotilapia afra,358.0,,355,,,,,,
355,Cynotilapia afra,472.0,,356,,,,,,
356,Cynotilapia afra,525.0,,357,,,,,,
357,Dimidiochromis compressiceps,498.0,,358,,,,,,
358,Dimidiochromis compressiceps,447.0,,359,,,,,,
359,Dimidiochromis compressiceps,533.0,,360,,,,,,
360,Dimidiochromis compressiceps,567.0,,361,,,,,,
361,Haplochromis burtoni,500.0,,362,,,,,,
362,Haplochromis burtoni,455.0,,363,,,,,,
363,Haplochromis burtoni,523.0,,364,,,,,,
364,Haplochromis burtoni,562.0,,365,,,,,,
365,Haplochromis pyrrhocephalus,519.0,,366,,,,,,
366,Haplochromis pyrrhocephalus,462.0,,367,,,,,,
367,Haplochromis pyrrhocephalus,539.0,,368,,,,,,
368,Haplochromis pyrrhocephalus,595.0,,369,,,,,,
369,Haplochromis ishmaeli,507.0,,370,,,,,,
370,Haplochromis ishmaeli,456.0,,371,,,,,,
371,Haplochromis ishmaeli,535.0,,372,,,,,,
372,Haplochromis ishmaeli,569.0,,373,,,,,,
373,Haplochromis piceatus,503.0,,374,,,,,,
374,Haplochromis piceatus,465.0,,375,,,,,,
375,Haplochromis piceatus,522.0,,376,,,,,,
376,Haplochromis piceatus,565.0,,377,,,,,,
377,Lethrinops parvidens,498.0,,378,,,,,,
378,Lethrinops parvidens,426.0,,379,,,,,,
379,Lethrinops parvidens,514.0,,380,,,,,,
380,Lethrinops parvidens,563.0,,381,,,,,,
381,Melanochromis auratus,497.0,,382,,,,,,
382,Melanochromis auratus,414.0,,383,,,,,,
383,Melanochromis auratus,482.0,,384,,,,,,
384,Melanochromis auratus,525.0,,385,,,,,,
385,Melanochromis vermivorus,505.0,,386,,,,,,
386,Melanochromis vermivorus,418.0,,387,,,,,,
387,Melanochromis vermivorus,506.0,,388,,,,,,
388,Melanochromis vermivorus,555.0,,389,,,,,,
389,Melanochromis vermivorus,485.0,,390,,,,,,
390,Melanochromis vermivorus,534.0,,391,,,,,,
391,Maylandia zebra,368.0,,392,,,,,,
392,Maylandia zebra,482.0,,393,,,,,,
393,Maylandia zebra,531.0,,394,,,,,,
394,Metriaclima barlowi,491.0,,395,,,,,,
395,Metriaclima barlowi,366.0,,396,,,,,,
396,Metriaclima barlowi,483.0,,397,,,,,,
397,Metriaclima barlowi,523.0,,398,,,,,,
398,Metriaclima benetos,379.0,,399,,,,,,
399,Metriaclima benetos,489.0,,400,,,,,,
400,Metriaclima benetos,522.0,,401,,,,,,
401,Metriaclima emmiltos,383.0,,402,,,,,,
402,Metriaclima emmiltos,482.0,,403,,,,,,
403,Metriaclima emmiltos,521.0,,404,,,,,,
404,Metriaclima livingstonii,495.0,,405,,,,,,
405,Metriaclima livingstonii,364.0,,406,,,,,,
406,Metriaclima livingstonii,473.0,,407,,,,,,
407,Metriaclima livingstonii,526.0,,408,,,,,,
408,Metriaclima melabranchion,495.0,,409,,,,,,
409,Metriaclima melabranchion,371.0,,410,,,,,,
410,Metriaclima melabranchion,477.0,,411,,,,,,
411,Metriaclima melabranchion,515.0,,412,,,,,,
412,Mylochromis lateristriga,496.0,,413,,,,,,
413,Mylochromis lateristriga,419.0,,414,,,,,,
414,Mylochromis lateristriga,482.0,,415,,,,,,
415,Mylochromis lateristriga,522.0,,416,,,,,,
416,Protomelas taeniolatus,496.0,,417,,,,,,
417,Protomelas taeniolatus,453.0,,418,,,,,,
418,Protomelas taeniolatus,527.0,,419,,,,,,
419,Protomelas taeniolatus,566.0,,420,,,,,,
420,Pseudotropheus tropheops,510.0,,421,,,,,,
421,Pseudotropheus tropheops,371.0,,422,,,,,,
422,Pseudotropheus tropheops,492.0,,423,,,,,,
423,Pseudotropheus tropheops,531.0,,424,,,,,,
424,Pseudotropheus acei,505.0,,425,,,,,,
425,Pseudotropheus acei,378.0,,426,,,,,,
426,Pseudotropheus acei,482.0,,427,,,,,,
427,Pseudotropheus acei,535.0,,428,,,,,,
428,Pundamilia red head,456.0,,429,,,,,,
429,Pundamilia red head,527.0,,430,,,,,,
430,Pundamilia red head,567.0,,431,,,,,,
431,Pundamilia au,503.0,,432,,,,,,
432,Pundamilia azurea,455.0,,433,,,,,,
433,Pundamilia azurea,526.0,,434,,,,,,
434,Pundamilia azurea,563.0,,435,,,,,,
435,Pundamilia nyererei,505.0,,436,,,,,,
436,Pundamilia nyererei,451.0,,437,,,,,,
437,Pundamilia nyererei,535.0,,438,,,,,,
438,Pundamilia nyererei,562.0,,439,,,,,,
439,Pundamilia nyererei,562.0,,440,,,,,,
440,Pundamilia luanso,505.0,,441,,,,,,
441,Pundamilia luanso,455.0,,442,,,,,,
442,Pundamilia luanso,527.0,,443,,,,,,
443,Pundamilia luanso,561.0,,444,,,,,,
444,Pundamilia luanso,561.0,,445,,,,,,
445,Pundamilia pundamilia,506.0,,446,,,,,,
446,Pundamilia pundamilia,455.0,,447,,,,,,
447,Pundamilia pundamilia,529.0,,448,,,,,,
448,Pundamilia pundamilia,563.0,,449,,,,,,
449,Pundamilia pundamilia,563.0,,450,,,,,,
450,Tramitichromis intermedius,505.0,,451,,,,,,
451,Tramitichromis intermedius,455.0,,452,,,,,,
452,Tramitichromis intermedius,531.0,,453,,,,,,
453,Tramitichromis intermedius,568.0,,454,,,,,,
454,Tyrannochromis macrostoma,494.0,,455,,,,,,
455,Tyrannochromis macrostoma,410.0,,456,,,,,,
456,Tyrannochromis macrostoma,482.0,,457,,,,,,
457,Tyrannochromis macrostoma,529.0,,458,,,,,,
458,Embiotoca lateralis,499.0,,459,,,,,,
459,Embiotoca lateralis,459.0,,460,,,,,,
460,Embiotoca lateralis,534.0,,461,,,,,,
461,Embiotoca lateralis,535.0,,462,,,,,,
462,Embiotoca jacksoni,505.0,,463,,,,,,
463,Embiotoca jacksoni,477.0,,464,,,,,,
464,Embiotoca jacksoni,534.0,,465,,,,,,
465,Hypsurus caryi,506.0,,466,,,,,,
466,Hypsurus caryi,455.0,,467,,,,,,
