,Accession,Lambda_Max
S116,D00702,503.0
S117,L11865,511.0
S118,L11866,506.0
S119,AH007731.2,503.0
S120,AF222330,505.0
S121,M92038,511.0
S122,L11864,443.0
S123,AF133907,437.0
S124,AH007799.2,448.0
S125,AF222332,441.0
S126,M92037,455.0
S127,U08131,561.0
S128,AH007800.2,558.0
S129,AF222333.1,560.0
S130,M62903.1,571.0
S131,AH005296.2,532.0
S132,AH005298.2,563.0
S133,AH006594.2,553.0
S134,AH006945.2,509.0
S135,AF011389.1,508.0
S136,AH006946.2,509.0
S137,AF132040,553.0
S138,AF132043,545.0
S139,AF132041,531.0
S140,AF132042.1,516.0
S141,AF132044,532.0
S142,MN831881.1,435.0
S143,MN831882.1,500.0
S144,MN831883.1,569.0
S145,MN831884.1,352.0
S146,MN831885.1,578.0
S147,AB748985.1,571.0
S148,AB748984,562.0
S149,LC127183,516.0
S150,LC127184,519.0
S151,LC127186,516.0
S152,LC127187,476.0
S153,LC127188,438.0
S154,LC127189,408.0
S155,LC127190,353.0
S156,LC127191,503.0
S157,KT749677,358.0
S158,AY366492,439.0
S159,AY366493,497.0
S160,AY366494,492.0
S161,JQ413240,508.0
S162,GQ404491.1,505.0
S163,AF109368,502.0
S164,NM131212.2,498.0
S165,AY692353.1,483.0
S166,NM_079683.3,480.0
S167,AB208675.1,450.0
S168,AB208674.1,420.0
S169,KM508487,561.0
S170,KM508488,500.0
S171,KM508489,499.0
S172,KM508490,404.0
S173,KM508491,450.0
S174,EF517404.1,486.0
S175,EF517405.1,479.0
S176,AB112590.1,539.0
S177,AB112591.1,502.0
S178,KX550908.1,525.0
S179,XM_033877948.1,496.0
S180,U92557.1,435.0
S181,AY918902.2,431.0
S182,AY605544,439.0
S183,EU358777,431.0
S184,AB223054,516.0
S185,AB223055,492.0
S186,CP020669.1_(400681-404250),448.0
S187,CP020669.1_(376983-378663),494.0
S188,LC260048,447.0
S189,LC260049,517.0
S190,LC260050,486.0
S191,LC260051,469.0
S192,LC260052,516.0
S193,LC260053,491.0
S194,LC260054,460.0
S195,LC260055,519.0
S196,LC260056,491.0
S197,LC260057,462.0
S198,LC260058,517.0
S199,LC260059,493.0
S200,A0A1L7P076,485.0
S201,A0A1L7P082,416.0
S202,A0A1L7P074,452.0
S203,D7RP09,466.0
S204,Q2L6A3,439.0
S205,Q2L6A2,405.0
S206,Q7T2U6,448.0
S207,Q7T2U7,397.0
S208,Q9W6A8,416.0
S209,NM_131254.1,505.0
S210,DQ088651,528.0
S211,DQ088650,519.0
S212,DQ088652,484.0
S213,DQ088649,423.0
S214,DQ088648,368.0
S215,NM_001397497.1,507.0
S216,AF310191.1,508.0
S217,AncAgnatha,503.0
S218,AncActino,488.0
S219,AncTeleost,491.0
S220,AncClupeoc,491.0
S221,AncCyprin1,489.0
S222,AncCyprin2,505.0
S223,AncEutelo1,488.0
S224,AncEutelo2,489.0
S225,AncEutelo3,474.0
S226,AncEutelo4,524.0
S227,AncTetrapod,488.0
S228,AncSaurops,499.0
S229,AncSquamat,497.0
S230,M63632.1,500.0
S231,AH007713.2,478.0
S232,swsanc1,361.0
S233,swsanc2,360.0
S234,swsanc3,359.0
S235,swsanc4,360.0
S236,swsanc5,360.0
S237,swsanc6,393.0
S238,swsanc7,359.0
S239,swsanc5',393.0
S240,AY686754.1,552.0
S241,OP722929.1,363.0
S242,OP722946.1,511.0
S243,OP722930.1,431.0
S244,OP722931.1,356.0
S245,OP722932.1,357.0
S246,OP722933.1,442.0
S247,OP722947.1,584.0
S248,OP722948.1,509.0
S249,OP722949.1,572.0
S250,OP722950.1,507.0
S251,lwsanc_pigmenta,563.0
S252,lwsanc_pigmentb,563.0
S253,lwsanc_pigmentc,561.0
S254,lwsanc_pigmentd,558.0
S255,lwsanc_pigmente,558.0
S256,lwsanc_pigmentf,536.0
S257,lwsanc_pigmentg,561.0
S258,lwsanc_pigmenti,564.0
S259,lwsanc_pigmentx,532.0
S260,lwsanc_pigmenty,553.0
S261,lwsanc_pigmentz,532.0
S262,JQ036217,359.0
S263,CNUCHCUSTOM,403.0
S264,MT112877,539.0
S265,MT112883,611.0
S266,LC009064,542.0
S267,LC009061,557.0
S268,OK930070.1,577.0
S269,KF539444,532.0
S270,OK930069.1,532.0
S271,OK930068.1,537.0
S272,MN831887.1,518.0
S273,XM_007126220,482.0
S274,XM_004592516,431.0
S275,LC543598,485.0
S276,LC543599,482.0
S277,LC543603,494.0
S278,LC543606,490.0
S279,LC543597,551.0
S280,AB081277.2,539.0
S281,AH006283,532.0
S282,AH006282,545.0
S283,AH006281,558.0
S284,LC710140,430.0
S285,AB355817,430.0
S286,AB355816,340.0
S287,AB753162,500.0
S288,NM_079687.3,346.0
S289,U67905.1,436.0
S290,AY060299,350.0
S291,L03782.1,513.0
S292,AncBoreotheria,357.0
S293,AncEuteleost,364.0
S294,AncMammal,359.0
S295,AncEutheria,360.0
S296,FJ443127,371.0
S297,AY296735.1,355.0
S298,FJ443126,423.0
S299,DQ235678.1,360.0
S300,DQ235679.1,425.0
S301,DQ235680.1,456.0
S302,DQ235681.1,472.0
S303,DQ235682.1,517.0
S304,DQ235683.1,528.0
S305,DQ235684.1,560.0
S306,AB223058,356.0
S307,AB223051.1,561.0
S308,AB223052.1,562.0
S309,AB180742.1,502.0
S310,AY927651.1,369.0
S311,AY771352.1,488.0
S312,FJ497235.1,550.0
S313,FJ497233.1,497.0
S314,FJ497234,361.0
S315,DQ302163,440.0
S316,AY442173,363.0
S317,EU232013,533.0
S318,AB251846.1,535.0
S319,AncCetacea,486.0
S320,AncWhippomorpha,500.0
S321,XM_048606470.1,478.0
S322,MT625929.1,500.0
S323,NM_079644.3,514.0
S324,Diretmus_argenteus_Rh1_Lc,504.0
S325,Diretmus_argenteus_Rh1_Fb,449.0
S326,Diretmus_argenteus_Rh1_D,448.0
S327,Diretmus_argenteus_Rh1_C,460.0
S328,Diretmus_argenteus_Rh1_B,455.0
S329,Diretmus_argenteus_Rh1_A,457.0
S330,CNUCHROD,500.0
S331,LC050194,480.0
S332,HIPPOROD,498.7
S333,ORCAROD,486.8
S334,KU306726.1,481.0
S335,AB040148.1,474.0
S336,AB010085.1,430.0
S337,XM_009283802,499.0
S338,XM_009320102,497.0
S339,MW288702.1,499.0
S340,XM_009469932,503.0
S341,XM_038408468.2,495.0
S342,XM_007059947,497.0
S343,XM_008168043,496.0
S344,XM_030570330,497.0
S345,AY228452,485.0
S346,XM_006740235,496.0
S347,XM_027584573,496.0
S348,XM_004395657,496.0
S349,XM_007192608,487.0
S350,JQ730751,494.5
S351,SauriaAncRh1,499.0
S352,ArchosauriaAncRh1,502.0
S353,AvesAncRh1,501.0
S354,AmniotaAncRh1,499.0
S355,MammaliaAncRh1,499.0
S356,TheriaAncRh1,501.0
S357,PlacentaliaAncRh1,501.0
S358,VertebrataAncRh1,503.0
S359,GnathostomataAncRh1,501.0
S360,OsteichthyesAncRh1,501.0
S361,RhipidistiaAncRh1,501.0
S362,TetrapodaAncRh1,499.0
S363,KC676925,483.0
S364,XM_034071738.1,566.0
S365,KF134493.1,567.0
S366,AB725207.1,460.0
S367,NM_205440.2,569.0
S368,JF823560.1,537.0
S369,XM_007565629.2,560.0
S370,AY631039.1,547.0
S371,XM_036002513.1,530.0
S372,XM_062395775.1,537.0
S373,XM_012854939.3,563.0
S374,XM_005746370.2,562.0
S375,AF247131.1,567.0
S376,AY780519.1,563.0
S377,AY660540.1,562.0
S378,JN990732.1,547.0
S379,XM_015048685.1,551.0
S380,AB748985.1,573.0
S381,JF823557.1,563.0
S382,EU329470.1,526.0
S383,EU329468.1,543.0
S384,NM_001313715.1,566.0
S385,EF526297.1,558.0
S386,AY296740.1,573.0
S387,XM_017496519.3,542.0
S388,NM_001124320.1,563.0
S389,AY214145.1,553.0
S390,XM_060763209.2,567.0
S391,XM_063222213.1,474.0
S392,XM_006269029.3,535.0
S393,NM_174566.1,554.0
S394,XM_020891864.1,537.0
S395,XM_005701738.2,552.0
S396,AB725210.1,560.0
S397,AB177984.1,540.0
S398,AF385333.2,530.0
S399,AY740907.1,534.0
S400,MF035600.1,550.0
S401,MF035676.1,540.0
S402,MF035577.1,551.0
S403,MF035708.1,550.0
S404,MF035525.1,549.0
S405,EU352196.1,530.0
S406,AB467311.1,560.0
S407,AY605545.1,554.0
S408,DQ924378.1,531.0
S409,DQ924377.1,531.0
S410,NM_001206080.1,455.0
S411,XM_020912309.1,457.0
S412,XM_061146098.1,453.0
S413,AB007425.1,575.0
S414,XM_062411945.1,455.0
S415,KU682720.1,487.0
S416,KU682721.1,485.0
S417,NM_001314160.1,520.0
S418,XM_006269051.3,444.0
S419,MK209535.1,540.0
S420,MK209527.1,540.0
S421,XM_032890442.1,510.0
S422,XM_049872107.1,552.0
S423,NM_001011506.1,556.0
S424,XM_004390580.1,556.0
S425,AH005930.2,545.0
S426,BC171754.1,531.0
S427,XM_045383769.2,531.0
S428,XM_028842323.1,536.0
S429,NM_020061.6,558.0
S430,XM_065537880.1,561.0
S431,XM_008071543.1,558.0
S432,NM_008106.2,512.0
S433,XM_047536468.1,530.0
S434,NM_001172989.1,530.0
S435,NM_001081845.1,539.0
S436,NM_079644.3,520.0
S437,XM_039532262.1,460.0
S438,XM_014893396.1,563.0
S439,XM_050984513.1,569.0
S440,NM_001076702.1,567.0
S441,MK983124.1,440.0
S442,KF539426.1,430.0
S443,XM_036147091.1,463.0
S444,XM_010905865.4,521.0
S445,XM_018686525.2,516.0
S446,XM_005927514.3,523.0
S447,XM_004548750.4,531.0
S448,XM_005724469.2,535.0
S449,AY775091.1,525.0
S450,AY775094.1,525.0
S451,AY775095.1,522.0
S452,AY673757.1,526.0
S453,GQ422501.1,531.0
S454,AY775092.1,514.0
S455,AF247130.1,533.0
S456,AY673753.1,529.0
S457,AY775090.1,526.0
S458,KC594702.1,509.0
S459,AB111464.1,413.0
S460,XM_012757188.1,558.0
S461,AF109373.1,361.0
S462,XM_026244522.1,360.0
S463,HF566406.1,480.0
S464,XM_014890794.1,362.0
S465,NM_001076704.1,370.0
S466,NM_001302100.1,366.0
S467,XM_034150810.1,490.0
S468,XM_006505860.2,498.0
S469,AH007800.2,567.0
S470,XM_059520477.1,449.0
S471,XM_066705329.1,457.0
S472,MK983125.1,525.0
S473,LC573520.1,540.0
S474,NM_079311.3,345.0
S475,XM_060065980.1,441.0
S476,XM_020035674.2,530.0
S477,AB208674.1,420.0
S478,BC080123.1,443.0
S479,MF035595.1,396.0
S480,MF035587.1,370.0
S481,NM_001297460.1,473.0
S482,XM_014988124.1,461.0
S483,MW219663.1,506.0
S484,XM_008398572.2,465.0
S485,XM_007576139.2,463.0
S486,AH001040.2,420.0
S487,NM_079674.3,508.0
S488,XM_004554562.2,482.0
S489,AY771352.1,490.0
S490,AY771353.1,489.0
S491,XM_032936359.2,525.0
S492,XM_064433185.1,445.0
S493,AB208675.1,450.0
S494,XM_042757999.1,474.0
S495,NM_001124321.1,386.0
S496,XM_021563440.2,382.0
S497,NM_001310074.1,368.0
S498,XM_036149145.1,363.0
S499,XM_040175195.1,362.0
S500,AY296735.1,359.0
S501,XM_007541233.2,352.0
S502,XM_061074286.1,475.0
S503,X70498.1,480.0
S504,XM_015010081.1,350.0
S505,MW219678.1,512.0
S506,U80667.1,440.0
S507,NM_001298930.1,437.0
S508,XM_068924100.1,444.0
S509,NM_205517.2,455.0
S510,NM_001011639.2,529.0
S511,NM_001280859.1,419.0
S512,XM_048858495.1,495.0
S513,AB725206.1,380.0
S514,EU449014.1,370.0
S515,AF414074.2,360.0
S516,XM_012316807.2,536.0
S517,AF247113.1,447.0
S518,AY660538.1,455.0
S519,XM_005746372.1,451.0
S520,XM_053437995.1,450.0
S521,XM_040203013.1,439.0
S522,AJ430489.1,458.0
S523,AY631038.1,457.0
S524,XM_014970503.1,402.0
S525,XM_007565638.2,404.0
S526,XM_015060722.1,403.0
S527,NM_001297454.1,410.0
S528,AY296736.1,405.0
S529,XM_012854940.3,400.0
S530,MF035706.1,370.0
S531,NM_142589.3,480.0
S532,NM_131192.2,417.0
S533,XM_026275648.1,452.0
S534,XM_044329798.1,485.0
S535,NM_001085652.1,425.0
S536,XM_069142238.1,477.0
S537,MH011639.1,370.0
S538,NM_001011606.1,436.0
S539,XM_032924511.2,434.0
S540,XM_051002420.1,432.0
S541,AH007737.2,462.0
S542,MF434474.1,518.0
S543,AY296741.1,538.0
S544,XM_003400337.4,428.0
S545,NM_001317764.1,483.0
S546,XM_062672567.1,530.0
S547,KY368256.1,400.0
S548,XM_044896925.1,520.0
S549,XM_029597615.1,488.0
S550,EU407251.1,492.0
S551,MN519146.1,504.0
S552,MN519142.1,500.0
S553,NM_001173085.1,499.0
S554,XM_032971488.1,501.0
S555,MN519157.1,477.0
S556,MN519143.1,497.0
S557,MN519158.1,507.0
S558,MN954691.1,499.0
S559,MN519147.1,505.0
S560,MN519145.1,504.0
S561,NM_001291394.1,503.0
S562,XM_007063507.2,500.0
S563,XM_014872613.1,504.0
S564,NM_001076696.1,507.0
S565,XM_009098361.4,505.0
S566,XM_003212975.4,505.0
S567,XM_027444903.2,505.0
S568,M92038.1,507.0
S569,XM_064471784.1,504.0
S570,NM_001310049.1,506.0
S571,XM_009671828.2,505.0
S572,KU645205.1,466.0
S573,L11865.1,509.0
S574,MH011457.1,500.0
S575,MH011458.1,493.0
S576,MH011455.1,484.0
S577,AF055316.1,484.0
S578,XM_030840961.2,488.0
S579,XM_043233343.1,504.0
S580,NM_131084.2,501.0
S581,NM_001287282.1,501.0
S582,XM_024006472.1,508.0
S583,MW219687.1,490.0
S584,EF517405.1,479.0
S585,EF517407.1,518.0
S586,AY214146.1,505.0
S587,NM_001124319.1,500.0
S588,XM_063214934.1,492.0
S589,EF517404.1,486.0
S590,AB731902.1,502.0
S591,ON817131.1,494.0
S592,FN430598.1,503.0
S593,MW219679.1,491.0
S594,MW681815.1,496.0
S595,XM_062459150.1,518.0
S596,AY775121.1,494.0
S597,AY775116.1,498.0
S598,AY775119.1,496.0
S599,AY775118.1,496.0
S600,AY775112.1,496.0
S601,GQ422472.1,503.0
S602,NM_001287832.1,500.0
S603,AY673767.1,506.0
S604,OK350541.1,491.0
S605,Y18662.1,505.0
S606,XM_059332715.1,498.0
S607,XM_040358859.1,501.0
S608,XM_040408378.1,502.0
S609,LC818093.1,500.0
S610,NG_009115.1,496.0
S611,AB112594.2,507.0
S612,XM_032907422.1,498.0
S613,MK209489.1,500.0
S614,XM_061127592.1,497.0
S615,XM_020872574.1,497.0
S616,XM_032412232.1,501.0
S617,XM_069206315.1,503.0
S618,NM_001009242.1,500.0
S619,JF262745.1,498.0
S620,XM_006083811.3,500.0
S621,XM_061219174.1,486.0
S622,LC464071.1,497.0
S623,XM_033926499.1,487.0
S624,XM_015394744.1,506.0
S625,XM_021615523.2,508.0
S626,XM_024375072.2,508.0
S627,XM_005749088.1,505.0
S628,XM_012838754.3,503.0
S629,EU407250.1,488.0
S630,Y18676.1,509.0
S631,XM_061904235.1,500.0
S632,MW219672.1,499.0
S633,MW219662.1,495.0
S634,MH032299.1,493.0
S635,XM_069140273.1,505.0
S636,MH032326.1,502.0
S637,AY631036.1,506.0
S638,XM_062392733.1,510.0
S639,XM_012862322.3,503.0
S640,XM_014969613.1,504.0
S641,DQ912023.1,503.0
S642,KX768558.1,503.0
S643,XM_007562291.2,504.0
S644,KX768560.1,503.0
S645,U57536.1,502.0
S646,XM_068906961.1,504.0
S647,XM_064433184.1,503.0
S648,XM_018924453.2,500.0
S649,NM_001076695.1,503.0
S650,XM_014874082.1,503.0
S651,XM_003210211.4,504.0
S652,NM_001397497.1,506.0
S653,XM_005145798.4,499.0
S654,KT749669.1,499.0
S655,XM_060766256.2,495.0
S656,AB731900.1,492.0
S657,XM_005142831.3,509.0
S658,XM_061228634.1,487.0
S659,MT112866.1,489.0
S660,MN519172.1,476.0
S661,AY214149.1,446.0
S662,AY214139.1,441.0
S663,AY214144.1,439.0
S664,NM_001124322.2,434.0
S665,XM_035429327.1,482.0
S666,XM_032905240.1,359.0
S667,NM_001076697.1,430.0
S668,XM_044377350.1,483.0
S669,XM_014893398.1,449.0
S670,AY214142.1,505.0
S671,AY214152.1,506.0
S672,AY214147.1,507.0
S673,NM_001310048.1,453.0
S674,XM_005191103.4,490.0
S675,XM_044348739.1,426.0
S676,XM_045388425.2,430.0
S677,DQ822478.1,419.0
S678,MW219676.1,446.0
S679,XM_015128550.2,562.0
S680,XM_045538225.1,545.0
S681,MW219664.1,443.0
S682,AY296737.2,454.0
S683,MH011638.1,371.0
S684,DQ302163.1,444.0
S685,XM_070071305.1,425.0
S686,AY772472.1,350.0
S687,AY442173.1,350.0
S688,DQ352182.1,362.0
S689,AY726545.1,424.0
S690,NM_001145084.1,362.0
S691,DQ356245.1,365.0
S692,XM_021661871.2,360.0
S693,NM_007538.3,359.0
S694,KU645259.1,365.0
S695,AY024356.1,364.0
S696,NM_001311081.1,371.0
S697,KF134492.1,363.0
S698,EF526298.1,366.0
S699,MK209576.1,365.0
S700,NM_001279055.2,515.0
S701,XM_036977445.1,498.0
S702,XM_060776357.2,365.0
S703,AH007736.2,365.0
S704,XM_063207770.1,500.0
S705,XM_004642726.1,360.0
S706,XM_004382643.2,411.0
S707,XM_049894274.1,419.0
S708,XM_012789157.2,409.0
S709,XM_013334712.1,430.0
S710,XM_041564414.1,523.0
S711,KF539445.1,540.0
S712,XM_013309793.1,440.0
S713,NM_001011605.1,344.0
S714,NM_001280123.1,352.0
S715,NM_205438.1,418.0
S716,XM_015023821.1,463.0
S717,HF549178.1,520.0
S718,XM_060785176.2,460.0
S719,KY368276.1,360.0
S720,MH011636.1,366.0
S721,MT112872.1,522.0
S722,DQ646871.1,528.0
S723,XM_040333502.1,431.0
S724,XM_068924104.1,570.0
S725,MH011574.1,538.0
S726,MH011577.1,538.0
S727,MH011576.1,534.0
S728,PQ390993.1,569.0
S729,MN519167.1,556.0
S730,MN519163.1,557.0
S731,MN519164.1,552.0
S732,MN519168.1,561.0
S733,XM_069240597.1,489.0
S734,AY587907.1,556.0
S735,D50584.1,480.0
S736,XM_003802556.1,545.0
S737,DQ356244.1,565.0
S738,NM_001145081.2,555.0
S739,AY745192.1,538.0
S740,AY772470.1,557.0
S741,AY745193.1,551.0
S742,DQ352180.1,555.0
S743,NM_001322264.1,523.0
S744,XM_005086920.4,508.0
S745,NM_001009871.1,555.0
S746,XM_041742065.1,555.0
S747,XM_025988098.1,555.0
S748,OP066279.1,400.0
S749,LC004297.1,511.0
S750,X07797.1,475.0
S751,XM_060407887.1,552.0
S752,XM_061136493.1,542.0
S753,XM_069229407.1,360.0
S754,NM_001275820.2,478.0
S755,XM_023705371.1,500.0
S756,XM_047113742.1,470.0
S757,XM_050984844.1,450.0
S758,XM_061071755.1,502.0
S759,XM_040196706.1,502.0
S760,XM_034118382.1,502.0
S761,XM_013312739.1,460.0
S762,AB040148.1,474.0
S763,KT749674.1,439.0
S764,XM_045049235.1,450.0
S765,XM_060364736.1,493.0
S766,Z86118,508.0
S767,Z49108,499.0
S768,X80072,430.0
S769,X80071,520.0
S770,X71665,515.0
S771,X70498,480.0
S772,X56788,494.0
S773,X07797,475.0
S774,U67905,437.0
S775,U32502,510.0
S776,U32501,510.0
S777,U26026,529.0
S778,U26026,540.0
S779,S53494,533.0
S780,M58334,490.0
S781,M17718,345.0
S782,M12896,420.0
S783,L78081,357.0
S784,L78080,520.0
S785,L03782,530.0
S786,L03781,520.0
S787,DQ852591,501.0
S788,DQ646871,522.0
S789,DQ646870,528.0
S790,DQ646869,489.0
S791,CV224458 (EST),503.0
S792,CN853478,515.0
S793,AY572828,553.0
S794,AY485301,529.0
S795,AY450853,493.0
S796,AH001040,375.0
S797,AH001026,478.0
S798,AF484249,560.0
S799,AF385333,530.0
S800,AF385332,510.0
S801,AF385331,515.0
S802,AF385330,510.0
S803,AF126753,550.0
S804,AF126750,570.0
S805,AF042788,360.0
S806,AF042787,360.0
S807,AF004169,353.0
S808,AF004168,439.0
S809,AF003546,522.0
S810,AF003545,530.0
S811,AF003544,526.0
S812,AF003544,526.0
S813,AF003543,529.0
S814,AF003543,529.0
S815,AF000947,492.0
S816,AD001674,450.0
S817,AB177984,540.0
S818,AB028217,460.0
S819,AB007425,575.0
S820,AB007424,520.0
