comp_db_id,Full_Species,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id,kooi_id,LambdaMax
211,Poecilia parae,,184.0,,,,,,,543.0
214,Poecilia latipinna,,188.0,,,,,,,463.0
216,Poecilia latipinna,,190.0,,,,,,,577.0
220,Poecilia mexicana,,196.0,,,,,,,461.0
226,Poecilia formosa,,202.0,,,,,,,463.0
229,Megalops atlanticus,,205.0,,,,,,,364.0
232,Megalops atlanticus,,208.0,,,,,,,476.0
236,Gaidropsarus mediterraneus,,212.0,,,,,,,512.0
237,Gaidropsarus mediterraneus,,213.0,,,,,,,535.0
238,Microgadus proximus,,215.0,,,,,,,497.0
239,Microgadus proximus,,216.0,,,,,,,439.0
240,Microgadus proximus,,217.0,,,,,,,523.0
241,Microgadus proximus,,218.0,,,,,,,522.0
246,Poecilia reticulata,,223.0,,,,,,,410.0
247,Poecilia reticulata,,224.0,,,,,,,465.0
248,Poecilia reticulata,,225.0,,,,,,,473.0
250,Merluccius productus,,227.0,,,,,,,495.0
251,Merluccius productus,,228.0,,,,,,,516.0
252,Merluccius productus,,229.0,,,,,,,517.0
253,Aulorhynchus flavidus,,230.0,,,,,,,499.0
254,Aulorhynchus flavidus,,231.0,,,,,,,360.0
255,Aulorhynchus flavidus,,232.0,,,,,,,496.0
256,Aulorhynchus flavidus,,233.0,,,,,,,536.0
257,Aulostomus chinensis,,234.0,,,,,,,494.0
258,Aulostomus chinensis,,235.0,,,,,,,421.0
259,Aulostomus chinensis,,236.0,,,,,,,473.0
260,Gasterosteus aculeatus,,237.0,,,,,,,502.0
261,Gasterosteus aculeatus,,238.0,,,,,,,362.0
262,Gasterosteus aculeatus,,239.0,,,,,,,439.0
263,Gasterosteus aculeatus,,240.0,,,,,,,524.0
264,Gasterosteus aculeatus,,241.0,,,,,,,576.0
265,Spinachia spinachia,,242.0,,,,,,,510.0
266,Spinachia spinachia,,243.0,,,,,,,445.0
267,Spinachia spinachia,,244.0,,,,,,,555.0
268,Spinachia spinachia,,245.0,,,,,,,532.0
269,Spinachia spinachia,,246.0,,,,,,,590.0
270,Gobiesox maecmdricus,,247.0,,,,,,,500.0
271,Gobiesox maecmdricus,,248.0,,,,,,,440.0
272,Gobiesox maecmdricus,,249.0,,,,,,,526.0
273,Gobiesox maecmdricus,,250.0,,,,,,,567.0
274,Hypomesus pretiosus,,251.0,,,,,,,500.0
275,Hypomesus pretiosus,,252.0,,,,,,,369.0
276,Hypomesus pretiosus,,253.0,,,,,,,461.0
277,Hypomesus pretiosus,,254.0,,,,,,,522.0
278,Hypomesus pretiosus,,255.0,,,,,,,570.0
279,Osmerus dentex,,256.0,,,,,,,516.0
280,Osmerus dentex,,257.0,,,,,,,425.0
281,Osmerus dentex,,258.0,,,,,,,514.0
282,Osmerus dentex,,259.0,,,,,,,565.0
283,Spirinchus thaleichthys,,260.0,,,,,,,499.0
284,Spirinchus thaleichthys,,261.0,,,,,,,364.0
285,Spirinchus thaleichthys,,262.0,,,,,,,465.0
286,Spirinchus thaleichthys,,263.0,,,,,,,517.0
287,Spirinchus thaleichthys,,264.0,,,,,,,572.0
288,Acanthurus nigroris,,265.0,,,,,,,494.0
289,Acanthurus nigroris,,266.0,,,,,,,439.0
290,Acanthurus nigroris,,267.0,,,,,,,523.0
291,Acanthurus nigroris,,268.0,,,,,,,538.0
292,Acanthurus triostegus,,269.0,,,,,,,493.0
293,Acanthurus triostegus,,270.0,,,,,,,458.0
294,Acanthurus triostegus,,271.0,,,,,,,518.0
295,Acanthurus achilles,,272.0,,,,,,,496.0
296,Acanthurus achilles,,273.0,,,,,,,501.0
297,Ctenochaetus strigosus,,274.0,,,,,,,486.0
298,Ctenochaetus strigosus,,275.0,,,,,,,453.0
299,Ctenochaetus strigosus,,276.0,,,,,,,521.0
300,Ctenochaetus strigosus,,277.0,,,,,,,548.0
301,Ctenochaetus strigosus,,278.0,,,,,,,501.0
302,Naso lituratus,,279.0,,,,,,,497.0
303,Naso lituratus,,280.0,,,,,,,421.0
304,Naso lituratus,,281.0,,,,,,,496.0
305,Naso lituratus,,282.0,,,,,,,521.0
306,Naso unicornis,,283.0,,,,,,,494.0
307,Naso unicornis,,284.0,,,,,,,416.0
308,Naso unicornis,,285.0,,,,,,,486.0
309,Naso unicornis,,286.0,,,,,,,507.0
310,Zebrasoma veliferum,,287.0,,,,,,,494.0
311,Zebrasoma veliferum,,288.0,,,,,,,448.0
312,Zebrasoma veliferum,,289.0,,,,,,,511.0
313,Zebrasoma veliferum,,290.0,,,,,,,517.0
314,Zebrasoma veliferum,,291.0,,,,,,,523.0
315,Zebrasoma flavescens,,292.0,,,,,,,494.0
316,Zebrasoma flavescens,,293.0,,,,,,,446.0
317,Zebrasoma flavescens,,294.0,,,,,,,510.0
318,Zebrasoma flavescens,,295.0,,,,,,,519.0
319,Ammodytes hexapterus,,296.0,,,,,,,470.0
320,Ammodytes hexapterus,,297.0,,,,,,,398.0
321,Ammodytes hexapterus,,298.0,,,,,,,524.0
322,Ammodytes hexapterus,,299.0,,,,,,,520.0
323,Apogon kallopterus,,300.0,,,,,,,492.0
324,Apogon kallopterus,,301.0,,,,,,,441.0
325,Apogon kallopterus,,302.0,,,,,,,494.0
326,Apogon kallopterus,,303.0,,,,,,,516.0
327,Ronquilus jordani,,304.0,,,,,,,492.0
328,Ronquilus jordani,,305.0,,,,,,,461.0
329,Ronquilus jordani,,306.0,,,,,,,521.0
330,Lipophyrs pholis,,307.0,,,,,,,515.0
331,Lipophyrs pholis,,308.0,,,,,,,535.0
332,Lipophyrs pholis,,309.0,,,,,,,500.0
333,Lipophyrs pholis,,310.0,,,,,,,570.0
334,Plagiotremus rhinorhynchos,,311.0,,,,,,,498.0
335,Plagiotremus rhinorhynchos,,312.0,,,,,,,449.0
336,Plagiotremus rhinorhynchos,,313.0,,,,,,,520.0
337,Plagiotremus rhinorhynchos,,314.0,,,,,,,561.0
338,Trachurus mediterraneus,,315.0,,,,,,,502.0
339,Trachurus mediterraneus,,316.0,,,,,,,433.0
340,Trachurus mediterraneus,,317.0,,,,,,,525.0
341,Spicara smaris,,318.0,,,,,,,502.0
342,Spicara smaris,,319.0,,,,,,,436.0
343,Spicara smaris,,320.0,,,,,,,522.0
344,Lepomis macrochirus,,321.0,,,,,,,538.0
345,Lepomis macrochirus,,322.0,,,,,,,536.0
346,Lepomis macrochirus,,323.0,,,,,,,620.0
348,Micropterus salmoides,,325.0,,,,,,,535.0
349,Micropterus salmoides,,326.0,,,,,,,614.0
350,Chaetodon kleini,,327.0,,,,,,,496.0
351,Chaetodon kleini,,329.0,,,,,,,530.0
352,Chaetodon unimaculatus,,330.0,,,,,,,491.0
353,Chaetodon unimaculatus,,331.0,,,,,,,487.0
354,Chaetodon unimaculatus,,332.0,,,,,,,530.0
355,Forcipiger flavissimus,,333.0,,,,,,,488.0
356,Forcipiger flavissimus,,334.0,,,,,,,431.0
357,Forcipiger flavissimus,,335.0,,,,,,,490.0
358,Forcipiger flavissimus,,336.0,,,,,,,527.0
359,Aequidens pulcher,,337.0,,,,,,,507.0
361,Aequidens pulcher,,339.0,,,,,,,605.0
363,Aulonocara hueseri,,342.0,,,,,,,415.0
366,Copadichromis borleyi,,345.0,,,,,,,494.0
367,Copadichromis borleyi,,346.0,,,,,,,424.0
368,Copadichromis borleyi,,347.0,,,,,,,478.0
369,Copadichromis borleyi,,348.0,,,,,,,539.0
370,Crenicichla frenata,,349.0,,,,,,,420.0
371,Crenicichla frenata,,350.0,,,,,,,480.0
372,Crenicichla frenata,,351.0,,,,,,,547.0
373,Crenicichla frenata,,352.0,,,,,,,614.0
375,Cynotilapia afra,,355.0,,,,,,,358.0
379,Dimidiochromis compressiceps,,359.0,,,,,,,447.0
380,Dimidiochromis compressiceps,,360.0,,,,,,,533.0
381,Dimidiochromis compressiceps,,361.0,,,,,,,567.0
387,Haplochromis pyrrhocephalus,,367.0,,,,,,,462.0
389,Haplochromis pyrrhocephalus,,369.0,,,,,,,595.0
390,Haplochromis ishmaeli,,370.0,,,,,,,507.0
391,Haplochromis ishmaeli,,371.0,,,,,,,456.0
392,Haplochromis ishmaeli,,372.0,,,,,,,535.0
393,Haplochromis ishmaeli,,373.0,,,,,,,569.0
394,Haplochromis piceatus,,374.0,,,,,,,503.0
395,Haplochromis piceatus,,375.0,,,,,,,465.0
396,Haplochromis piceatus,,376.0,,,,,,,522.0
397,Haplochromis piceatus,,377.0,,,,,,,565.0
399,Lethrinops parvidens,,379.0,,,,,,,426.0
402,Melanochromis auratus,,382.0,,,,,,,497.0
403,Melanochromis auratus,,383.0,,,,,,,414.0
406,Melanochromis vermivorus,,386.0,,,,,,,505.0
407,Melanochromis vermivorus,,387.0,,,,,,,418.0
408,Melanochromis vermivorus,,388.0,,,,,,,506.0
409,Melanochromis vermivorus,,389.0,,,,,,,555.0
410,Melanochromis vermivorus,,390.0,,,,,,,485.0
411,Melanochromis vermivorus,,391.0,,,,,,,534.0
412,Maylandia zebra,,392.0,,,,,,,368.0
413,Maylandia zebra,,393.0,,,,,,,482.0
415,Metriaclima barlowi,,395.0,,,,,,,491.0
417,Metriaclima barlowi,,397.0,,,,,,,483.0
419,Metriaclima benetos,,399.0,,,,,,,379.0
420,Metriaclima benetos,,400.0,,,,,,,489.0
421,Metriaclima benetos,,401.0,,,,,,,522.0
422,Metriaclima emmiltos,,402.0,,,,,,,383.0
423,Metriaclima emmiltos,,403.0,,,,,,,482.0
424,Metriaclima emmiltos,,404.0,,,,,,,521.0
425,Metriaclima livingstonii,,405.0,,,,,,,495.0
426,Metriaclima livingstonii,,406.0,,,,,,,364.0
427,Metriaclima livingstonii,,407.0,,,,,,,473.0
428,Metriaclima livingstonii,,408.0,,,,,,,526.0
429,Metriaclima melabranchion,,409.0,,,,,,,495.0
430,Metriaclima melabranchion,,410.0,,,,,,,371.0
431,Metriaclima melabranchion,,411.0,,,,,,,477.0
432,Metriaclima melabranchion,,412.0,,,,,,,515.0
434,Mylochromis lateristriga,,414.0,,,,,,,419.0
437,Protomelas taeniolatus,,417.0,,,,,,,496.0
438,Protomelas taeniolatus,,418.0,,,,,,,453.0
439,Protomelas taeniolatus,,419.0,,,,,,,527.0
440,Protomelas taeniolatus,,420.0,,,,,,,566.0
441,Pseudotropheus tropheops,,421.0,,,,,,,510.0
442,Pseudotropheus tropheops,,422.0,,,,,,,371.0
443,Pseudotropheus tropheops,,423.0,,,,,,,492.0
444,Pseudotropheus tropheops,,424.0,,,,,,,531.0
445,Pseudotropheus acei,,425.0,,,,,,,505.0
446,Pseudotropheus acei,,426.0,,,,,,,378.0
447,Pseudotropheus acei,,427.0,,,,,,,482.0
448,Pseudotropheus acei,,428.0,,,,,,,535.0
449,Pundamilia red head,,429.0,,,,,,,456.0
450,Pundamilia red head,,430.0,,,,,,,527.0
451,Pundamilia red head,,431.0,,,,,,,567.0
452,Pundamilia au,,432.0,,,,,,,503.0
453,Pundamilia azurea,,433.0,,,,,,,455.0
455,Pundamilia azurea,,435.0,,,,,,,563.0
460,Pundamilia luanso,,441.0,,,,,,,505.0
461,Pundamilia luanso,,442.0,,,,,,,455.0
462,Pundamilia luanso,,443.0,,,,,,,527.0
463,Pundamilia luanso,,444.0,,,,,,,561.0
465,Pundamilia pundamilia,,447.0,,,,,,,455.0
466,Pundamilia pundamilia,,448.0,,,,,,,529.0
467,Pundamilia pundamilia,,449.0,,,,,,,563.0
468,Tramitichromis intermedius,,451.0,,,,,,,505.0
470,Tramitichromis intermedius,,453.0,,,,,,,531.0
472,Tyrannochromis macrostoma,,455.0,,,,,,,494.0
473,Tyrannochromis macrostoma,,456.0,,,,,,,410.0
474,Tyrannochromis macrostoma,,457.0,,,,,,,482.0
475,Tyrannochromis macrostoma,,458.0,,,,,,,529.0
476,Embiotoca lateralis,,459.0,,,,,,,499.0
477,Embiotoca lateralis,,460.0,,,,,,,459.0
478,Embiotoca lateralis,,461.0,,,,,,,534.0
479,Embiotoca lateralis,,462.0,,,,,,,535.0
481,Embiotoca jacksoni,,464.0,,,,,,,477.0
483,Hypsurus caryi,,466.0,,,,,,,506.0
484,Hypsurus caryi,,467.0,,,,,,,455.0
485,Hypsurus caryi,,468.0,,,,,,,532.0
486,Micrometrus minimus,,470.0,,,,,,,518.0
487,Micrometrus minimus,,471.0,,,,,,,470.0
488,Micrometrus minimus,,472.0,,,,,,,546.0
489,Micrometrus aurora,,474.0,,,,,,,519.0
490,Micrometrus aurora,,475.0,,,,,,,466.0
491,Micrometrus aurora,,476.0,,,,,,,538.0
492,Rhacochilus vacca,,478.0,,,,,,,507.0
493,Rhacochilus vacca,,479.0,,,,,,,472.0
494,Rhacochilus vacca,,480.0,,,,,,,540.0
495,Rhacochilus vacca,,481.0,,,,,,,539.0
496,Zalembius rosaceus,,482.0,,,,,,,494.0
497,Zalembius rosaceus,,483.0,,,,,,,470.0
498,Zalembius rosaceus,,484.0,,,,,,,527.0
499,Asterropteryx semipunctata,,486.0,,,,,,,498.0
500,Asterropteryx semipunctata,,487.0,,,,,,,531.0
501,Asterropteryx semipunctata,,488.0,,,,,,,538.0
502,Gobius paganellus,,489.0,,,,,,,512.0
503,Gobius paganellus,,490.0,,,,,,,465.0
504,Gobius paganellus,,491.0,,,,,,,565.0
505,Gobiusculus flavescens,,493.0,,,,,,,508.0
506,Gobiusculus flavescens,,494.0,,,,,,,456.0
507,Gobiusculus flavescens,,495.0,,,,,,,531.0
508,Gobiusculus flavescens,,496.0,,,,,,,553.0
509,Pomatoschistus minutus,,500.0,,,,,,,508.0
510,Pomatoschistus minutus,,501.0,,,,,,,447.0
511,Pomatoschistus minutus,,502.0,,,,,,,548.0
512,Pomatoschistus minutus,,503.0,,,,,,,527.0
513,Tetrapturus audax,,504.0,,,,,,,535.0
514,Tetrapturus audax,,505.0,,,,,,,609.0
515,Kuhlia sandvicensis,,506.0,,,,,,,491.0
516,Kuhlia sandvicensis,,507.0,,,,,,,436.0
517,Kuhlia sandvicensis,,508.0,,,,,,,488.0
518,Kuhlia sandvicensis,,509.0,,,,,,,531.0
519,Bodianus bilunnulatus,,510.0,,,,,,,485.0
520,Bodianus bilunnulatus,,511.0,,,,,,,526.0
521,Bodianus bilunnulatus,,512.0,,,,,,,545.0
525,Symphodus melops,,516.0,,,,,,,525.0
526,Lutjanus adetii,,518.0,,,,,,,496.0
527,Lutjanus adetii,,519.0,,,,,,,443.0
528,Lutjanus adetii,,520.0,,,,,,,511.0
529,Lutjanus adetii,,521.0,,,,,,,526.0
530,Lutjanus argentimaculatus,,522.0,,,,,,,536.0
531,Lutjanus argentimaculatus,,523.0,,,,,,,575.0
532,Lutjanus bohar,,524.0,,,,,,,497.0
533,Lutjanus bohar,,525.0,,,,,,,424.0
534,Lutjanus bohar,,526.0,,,,,,,494.0
535,Lutjanus bohar,,527.0,,,,,,,518.0
536,Lutjanus carponotatus,,528.0,,,,,,,499.0
537,Lutjanus carponotatus,,529.0,,,,,,,454.0
538,Lutjanus carponotatus,,530.0,,,,,,,519.0
539,Lutjanus carponotatus,,531.0,,,,,,,552.0
543,Lutjanus erythropterus,,535.0,,,,,,,540.0
544,Lutjanus kasmira,,536.0,,,,,,,430.0
545,Lutjanus kasmira,,537.0,,,,,,,487.0
546,Lutjanus kasmira,,538.0,,,,,,,518.0
547,Lutjanus malabaricus,,539.0,,,,,,,494.0
548,Lutjanus malabaricus,,540.0,,,,,,,408.0
549,Lutjanus malabaricus,,541.0,,,,,,,442.0
550,Lutjanus malabaricus,,542.0,,,,,,,529.0
551,Lutjanus malabaricus,,543.0,,,,,,,541.0
552,Lutjanus quinquelineatus,,544.0,,,,,,,499.0
553,Lutjanus quinquelineatus,,545.0,,,,,,,444.0
554,Lutjanus quinquelineatus,,546.0,,,,,,,520.0
555,Lutjanus quinquelineatus,,547.0,,,,,,,540.0
556,Lutjanus russellii,,548.0,,,,,,,499.0
557,Lutjanus russellii,,549.0,,,,,,,451.0
558,Lutjanus russellii,,550.0,,,,,,,530.0
559,Lutjanus russellii,,551.0,,,,,,,557.0
560,Lutjanus sebae,,552.0,,,,,,,494.0
561,Lutjanus sebae,,553.0,,,,,,,430.0
562,Lutjanus sebae,,554.0,,,,,,,521.0
563,Lutjanus sebae,,555.0,,,,,,,539.0
564,Lutjanus johnii,,556.0,,,,,,,498.0
565,Lutjanus johnii,,557.0,,,,,,,543.0
566,Lutjanus johnii,,558.0,,,,,,,567.0
567,Mulloidichthys flavolineatus,,559.0,,,,,,,486.0
568,Mulloidichthys flavolineatus,,560.0,,,,,,,366.0
569,Mulloidichthys flavolineatus,,561.0,,,,,,,480.0
570,Mulloidichthys flavolineatus,,562.0,,,,,,,523.0
571,Mullus barbatus,,563.0,,,,,,,497.0
572,Mullus barbatus,,564.0,,,,,,,380.0
573,Mullus barbatus,,565.0,,,,,,,491.0
574,Mullus barbatus,,566.0,,,,,,,533.0
575,Parupeneus multifasceatus,,570.0,,,,,,,494.0
576,Parupeneus multifasceatus,,571.0,,,,,,,486.0
577,Parupeneus multifasceatus,,572.0,,,,,,,516.0
578,Parupeneus multifasceatus,,573.0,,,,,,,515.0
579,Dissostichus mawsoni,,574.0,,,,,,,504.0
580,Dissostichus mawsoni,,575.0,,,,,,,414.0
581,Dissostichus mawsoni,,576.0,,,,,,,490.0
582,Pagothenia borchgrevinki,,578.0,,,,,,,499.0
583,Pagothenia borchgrevinki,,579.0,,,,,,,489.0
585,Trematomus bernacchii,,582.0,,,,,,,416.0
587,Trematomus hansoni,,585.0,,,,,,,501.0
588,Trematomus hansoni,,586.0,,,,,,,418.0
589,Trematomus hansoni,,587.0,,,,,,,490.0
590,Trematomus loennbergii,,589.0,,,,,,,500.0
591,Trematomus loennbergii,,590.0,,,,,,,426.0
592,Trematomus loennbergii,,591.0,,,,,,,490.0
595,Perca fluviatilis,,595.0,,,,,,,615.0
596,Sander lucioperca,,596.0,,,,,,,524.0
597,Sander lucioperca,,597.0,,,,,,,530.0
598,Sander lucioperca,,598.0,,,,,,,598.0
599,Apodichthys flavidus,,599.0,,,,,,,504.0
600,Apodichthys flavidus,,600.0,,,,,,,363.0
601,Apodichthys flavidus,,601.0,,,,,,,441.0
602,Apodichthys flavidus,,602.0,,,,,,,529.0
603,Apodichthys flavidus,,603.0,,,,,,,567.0
604,Pholis omata,,604.0,,,,,,,498.0
605,Pholis omata,,605.0,,,,,,,444.0
606,Pholis omata,,606.0,,,,,,,528.0
607,Pholis omata,,607.0,,,,,,,560.0
608,Pholis omata,,608.0,,,,,,,526.0
609,Pholis omata,,609.0,,,,,,,561.0
610,Pholis laeta,,610.0,,,,,,,504.0
611,Pholis laeta,,611.0,,,,,,,449.0
612,Pholis laeta,,612.0,,,,,,,527.0
613,Pholis laeta,,613.0,,,,,,,562.0
614,Abudefduf abdominalis,,614.0,,,,,,,492.0
615,Abudefduf abdominalis,,615.0,,,,,,,347.0
616,Abudefduf abdominalis,,616.0,,,,,,,464.0
617,Abudefduf abdominalis,,617.0,,,,,,,457.0
618,Abudefduf abdominalis,,618.0,,,,,,,519.0
619,Chromis hanui,,619.0,,,,,,,477.0
620,Chromis hanui,,620.0,,,,,,,355.0
621,Chromis hanui,,621.0,,,,,,,483.0
622,Chromis hanui,,622.0,,,,,,,470.0
623,Chromis hanui,,623.0,,,,,,,514.0
624,Chromis ovalis,,624.0,,,,,,,492.0
625,Chromis ovalis,,625.0,,,,,,,404.0
626,Chromis ovalis,,626.0,,,,,,,473.0
627,Chromis ovalis,,627.0,,,,,,,518.0
628,Chromis vanderbilti,,628.0,,,,,,,498.0
629,Chromis vanderbilti,,629.0,,,,,,,462.0
630,Chromis vanderbilti,,630.0,,,,,,,522.0
631,Chromis verater,,631.0,,,,,,,480.0
632,Chromis verater,,632.0,,,,,,,410.0
633,Chromis verater,,633.0,,,,,,,471.0
634,Chromis verater,,634.0,,,,,,,514.0
635,Dascyllus albisella,,635.0,,,,,,,490.0
636,Dascyllus albisella,,636.0,,,,,,,386.0
637,Dascyllus albisella,,637.0,,,,,,,483.0
638,Dascyllus albisella,,638.0,,,,,,,470.0
639,Dascyllus albisella,,639.0,,,,,,,514.0
640,Plectroglyphidodon johnstonianus,,640.0,,,,,,,495.0
641,Plectroglyphidodon johnstonianus,,641.0,,,,,,,474.0
642,Plectroglyphidodon johnstonianus,,642.0,,,,,,,518.0
643,Pomacentrus melanochir,,643.0,,,,,,,501.0
644,Pomacentrus melanochir,,644.0,,,,,,,502.0
645,Pomacentrus melanochir,,646.0,,,,,,,560.0
646,Stegastes fasciolatus,,648.0,,,,,,,495.0
647,Stegastes fasciolatus,,649.0,,,,,,,363.0
