qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
BCK34750.1,visual_opsin_S270,96.286,377,14,0,1,377,5,381,0.0,752.0
XP_008069734.1,visual_opsin_S260,95.055,364,18,0,1,364,1,364,0.0,729.0
XP_008061781.1,visual_opsin_S94,89.826,344,35,0,3,346,5,348,0.0,653.0
XP_008046011.1,visual_opsin_S357,96.839,348,11,0,1,348,1,348,0.0,699.0
APP17987.1,visual_opsin_S94,89.826,344,35,0,3,346,5,348,0.0,652.0
APP17986.1,visual_opsin_S94,89.535,344,36,0,3,346,5,348,0.0,650.0
XP_023561139.1,visual_opsin_S140,96.393,305,11,0,1,305,60,364,0.0,605.0
XP_004645674.1,visual_opsin_S357,96.552,348,12,0,1,348,1,348,0.0,699.0
XP_004642783.1,visual_opsin_S238,92.219,347,26,1,1,346,4,350,0.0,665.0
XP_032253397.1,visual_opsin_S259,93.407,364,24,0,1,364,1,364,0.0,704.0
XP_032268123.1,visual_opsin_S103,100.0,348,0,0,1,348,1,348,0.0,717.0
XP_032257510.1,visual_opsin_S180,88.825,349,38,1,1,348,1,349,0.0,643.0
AAP13017.1,visual_opsin_S259,93.407,364,24,0,1,364,1,364,0.0,702.0
AAD16998.1,visual_opsin_S259,93.132,364,25,0,1,364,1,364,0.0,699.0
4WW3_B,visual_opsin_Baetis_sp_AD2013_LW3,41.587,315,179,4,10,323,9,319,7e-90,269.0
3AYM_B,visual_opsin_Baetis_sp_AD2013_LW3,41.587,315,179,4,18,331,9,319,3.72e-87,265.0
AVR48193.1,visual_opsin_S54,91.243,354,29,1,1,352,1,354,0.0,665.0
XP_012719810.2,XP_005996890_opsin_3_Latimeria_chalumnae,39.935,308,173,3,16,317,4,305,4.83e-75,233.0
XP_012719809.2,XP_006638720_opsin_3_Lepisosteus_oculatus,39.667,300,178,2,17,315,2,299,9.830000000000001e-77,238.0
XP_035994128.1,visual_opsin_Baetis_sp_EP001_LW3,30.1,299,194,4,22,310,28,321,3.67e-46,159.0
XP_035993596.1,XP_017552143_Pygocentrus_nattereri_VA_a,28.09,356,238,8,35,383,40,384,8.839999999999999e-48,164.0
XP_012717165.3,XP_040523482_opsin3_G_gallus,40.625,320,179,5,42,353,1,317,9.84e-78,243.0
XP_035981601.1,NP_001104634_opsin3_D_rerio,41.406,128,65,2,14,139,8,127,1.5199999999999998e-23,95.9
XP_035981600.1,XP_040523482_opsin3_G_gallus,46.0,200,104,2,41,240,36,231,1.43e-56,184.0
XP_012731731.2,XP_040523482_opsin3_G_gallus,42.173,313,158,3,23,315,4,313,2.5e-82,254.0
XP_036007472.1,visual_opsin_S307,96.919,357,11,0,1,357,1,357,0.0,721.0
XP_012728182.2,visual_opsin_S152,94.203,345,20,0,1,345,1,345,0.0,658.0
XP_012710392.2,visual_opsin_S149,88.235,357,42,0,1,357,1,357,0.0,672.0
XP_036007334.1,visual_opsin_S207,99.153,354,3,0,1,354,1,354,0.0,728.0
XP_036007333.1,visual_opsin_S308,96.919,357,11,0,1,357,1,357,0.0,722.0
XP_012724548.2,visual_opsin_S307,90.756,357,33,0,1,357,1,357,0.0,686.0
XP_012730941.2,XP_010746869_Larimichthys_crocea_parapinopsin_a,28.228,333,225,7,15,343,22,344,4.559999999999999e-42,147.0
XP_012719413.2,visual_opsin_S162,87.202,336,43,0,1,336,1,336,0.0,627.0
XP_012717776.2,visual_opsin_S54,95.198,354,17,0,1,354,1,354,0.0,705.0
XP_012724599.2,BR002514_S_partitus_parietopsin,25.987,304,187,11,9,285,64,356,5.16e-11,59.3
XP_035990360.1,visual_opsin_Baetis_sp_AD2013_LW1,40.268,298,175,2,18,315,25,319,2.27e-75,234.0
XP_035990359.1,visual_opsin_Baetis_sp_AD2013_LW1,40.268,298,175,2,18,315,25,319,2.4100000000000003e-75,234.0
XP_021171930.2,visual_opsin_S287,31.707,287,185,3,53,339,58,333,3.26e-41,147.0
XP_035988680.1,visual_opsin_S287,31.707,287,185,3,88,374,58,333,6.94e-41,147.0
XP_012715394.1,visual_opsin_S151,95.455,352,16,0,1,352,1,352,0.0,698.0
JAR82907.1,visual_opsin_S207,95.467,353,16,0,1,353,1,353,0.0,700.0
JAR81056.1,visual_opsin_S308,81.095,402,30,1,1,402,1,356,0.0,660.0
JAR81055.1,visual_opsin_S307,96.639,357,12,0,1,357,1,357,0.0,722.0
JAR77431.1,visual_opsin_S151,95.385,325,15,0,1,325,1,325,0.0,647.0
JAR75773.1,visual_opsin_S54,94.101,356,19,1,1,356,1,354,0.0,699.0
JAR72590.1,visual_opsin_S307,94.678,357,19,0,1,357,1,357,0.0,713.0
JAR70852.1,visual_opsin_S152,93.623,345,22,0,1,345,1,345,0.0,655.0
JAR68856.1,visual_opsin_S297,96.119,335,13,0,1,335,1,335,0.0,666.0
JAR48426.1,visual_opsin_S308,90.373,322,31,0,50,371,35,356,0.0,612.0
JAR48425.1,visual_opsin_S307,93.312,314,21,0,1,314,1,314,0.0,612.0
JAR48423.1,visual_opsin_S308,84.119,403,18,1,1,403,1,357,0.0,689.0
JAR48422.1,visual_opsin_S308,91.557,379,10,1,1,379,1,357,0.0,711.0
JAR48421.1,visual_opsin_S307,95.238,357,17,0,1,357,1,357,0.0,716.0
JAR40177.1,visual_opsin_S226,92.357,314,19,1,1,309,13,326,0.0,598.0
ALB48858.1,visual_opsin_Photuris_sp1_UV,99.691,324,1,0,29,352,1,324,0.0,673.0
ALB48827.1,visual_opsin_Photuris_sp1_LW,98.113,318,6,0,1,318,6,323,0.0,647.0
AJD38891.1,visual_opsin_S206,80.627,351,68,0,1,351,1,351,0.0,614.0
AJD38890.1,visual_opsin_S201,88.068,352,42,0,1,352,1,352,0.0,645.0
XP_045511839.1,XP_018415733_Nanorana_parkeri_parietopsin,27.407,270,157,9,7,247,7,266,9.56e-08,48.5
XP_045514659.1,visual_opsin_S290,51.943,283,121,2,13,294,145,413,3.66e-96,292.0
BAD14290.1,visual_opsin_S94,89.244,344,37,0,3,346,5,348,0.0,649.0
ACC77714.1,visual_opsin_S145,86.979,384,50,0,1,384,23,406,0.0,689.0
ABY84500.1,visual_opsin_S182,83.421,380,62,1,1,380,1,379,0.0,690.0
ABI97872.1,visual_opsin_S270,78.042,378,81,2,5,380,4,381,0.0,625.0
UVC66209.1,visual_opsin_S206,82.051,351,62,1,1,350,1,351,0.0,606.0
UVC66205.1,visual_opsin_S4,100.0,348,0,0,4,351,1,348,0.0,715.0
UVC66200.1,visual_opsin_S302,87.202,336,43,0,3,338,10,345,0.0,616.0
UVC66199.1,visual_opsin_S151,88.068,352,42,0,1,352,1,352,0.0,619.0
UVC66198.1,visual_opsin_S198,86.402,353,43,1,1,353,1,348,0.0,621.0
XP_004741871.2,visual_opsin_S180,90.462,346,32,1,1,345,4,349,0.0,650.0
XP_004780768.1,visual_opsin_S259,94.78,364,19,0,1,364,1,364,0.0,723.0
XP_004738634.1,visual_opsin_S357,96.552,348,12,0,1,348,1,348,0.0,703.0
NP_001298010.1,visual_opsin_S93,100.0,347,0,0,1,347,1,347,0.0,714.0
XP_033927774.1,visual_opsin_S124,78.83,359,68,3,4,356,9,365,0.0,583.0
XP_033927629.1,visual_opsin_S128,94.633,354,19,0,10,363,6,359,0.0,687.0
XP_012983668.1,visual_opsin_S115,98.291,351,6,0,1,351,1,351,0.0,717.0
XP_005145855.1,visual_opsin_S115,98.291,351,6,0,1,351,1,351,0.0,716.0
XP_005142888.1,visual_opsin_S171,97.183,355,10,0,1,355,1,355,0.0,726.0
ART30062.1,visual_opsin_S145,88.36,378,44,0,1,378,29,406,0.0,682.0
ART30061.1,visual_opsin_S182,84.737,380,57,1,1,380,1,379,0.0,693.0
ART30060.1,visual_opsin_Heliconius_numata_LW,100.0,323,0,0,34,356,1,323,0.0,666.0
ADN96754.1,visual_opsin_S182,85.526,380,54,1,1,380,1,379,0.0,699.0
ADD13987.1,visual_opsin_Heliconius_numata_UV1,100.0,324,0,0,30,353,1,324,0.0,663.0
ADD13986.1,visual_opsin_S145,88.624,378,43,0,1,378,29,406,0.0,683.0
QHA94765.1,visual_opsin_Baetis_sp_AD2013_LW3,42.038,314,177,4,19,331,10,319,3.4200000000000004e-88,268.0
AKI33359.1,visual_opsin_Baetis_sp_AD2013_LW3,41.772,316,179,4,19,333,10,321,1.37e-88,270.0
ADT78511.1,visual_opsin_Baetis_sp_AD2013_LW3,42.038,314,177,4,19,331,10,319,3.61e-88,268.0
ADT78510.1,visual_opsin_Baetis_sp_AD2013_LW3,42.038,314,177,4,19,331,10,319,3.53e-88,268.0
AAC26329.1,visual_opsin_Baetis_sp_AD2013_LW3,42.038,314,177,4,19,331,10,319,3.57e-88,268.0
XP_050597582.1,visual_opsin_S286,95.148,371,18,0,63,433,1,371,0.0,739.0
XP_050594439.1,visual_opsin_Bombus_terrestris_LW1,100.0,323,0,0,27,349,1,323,0.0,662.0
XP_050592229.1,visual_opsin_S285,87.302,378,47,1,1,378,1,377,0.0,697.0
XP_009970041.3,visual_opsin_S119,85.915,355,40,2,1,345,1,355,0.0,607.0
XP_042655511.1,visual_opsin_S353,98.006,351,7,0,1,351,1,351,0.0,717.0
ABP88811.1,visual_opsin_S63,97.688,346,8,0,1,346,1,346,0.0,699.0
XP_024290012.2,XP_026077609_Carassius_auratus_parapinopsin_b,32.107,299,192,2,8,306,15,302,1.77e-49,168.0
XP_042180545.1,visual_opsin_S302,77.654,358,67,1,3,347,10,367,0.0,579.0
XP_042175825.1,XP_006638720_opsin_3_Lepisosteus_oculatus,41.343,283,158,2,34,310,19,299,2.5899999999999997e-74,232.0
XP_024237234.2,visual_opsin_S308,85.714,357,51,0,47,403,1,357,0.0,659.0
XP_024247895.1,XP_040523482_opsin3_G_gallus,42.034,295,158,4,43,328,36,326,5.569999999999999e-82,254.0
XP_024240846.1,XP_010138786_Buceros_rhinoceros_VA,27.095,358,237,7,17,366,29,370,4.13e-39,140.0
XP_024240773.1,visual_opsin_S53,88.418,354,41,0,1,354,1,354,0.0,647.0
XP_024233378.1,XP_048014214_Megalobrama_amblycephala_parietopsin,28.746,327,213,6,19,340,21,332,7.510000000000001e-43,148.0
XP_024230841.1,visual_opsin_S164,83.849,291,46,1,34,323,51,341,0.0,520.0
XP_024230840.1,visual_opsin_S162,85.757,337,48,0,1,337,1,337,0.0,614.0
XP_024230839.1,visual_opsin_S164,84.116,277,43,1,188,463,65,341,3.88e-178,499.0
XP_024283476.1,visual_opsin_S79,75.287,348,82,1,3,346,2,349,0.0,544.0
XP_024283475.1,visual_opsin_S78,79.943,349,66,2,1,345,1,349,0.0,578.0
XP_024283473.1,visual_opsin_S79,76.437,348,78,1,3,346,2,349,0.0,549.0
XP_024283472.1,visual_opsin_S302,78.771,358,63,1,3,347,10,367,0.0,584.0
XP_024278417.1,NP_001104634_opsin3_D_rerio,29.968,317,207,7,35,350,30,332,9.12e-38,136.0
XP_024268651.1,XP_018424575_Nanorana_parkeri_VA,30.205,341,217,9,28,363,39,363,1.7999999999999998e-42,149.0
AAP58330.1,visual_opsin_S213,74.074,351,89,2,4,354,1,349,0.0,552.0
AAP58329.1,visual_opsin_S296,81.381,333,62,0,1,333,1,333,0.0,573.0
AAP58328.1,visual_opsin_S79,78.161,348,72,1,3,346,2,349,0.0,560.0
AAP58326.1,visual_opsin_S308,84.314,357,56,0,1,357,1,357,0.0,649.0
CAD23112.1,visual_opsin_S83,94.587,351,19,0,1,351,1,351,0.0,640.0
XP_064311779.1,visual_opsin_S170,98.291,351,6,0,1,351,1,351,0.0,716.0
XP_064331568.1,visual_opsin_S129,92.35,366,26,2,1,365,1,365,0.0,682.0
XP_064331533.1,visual_opsin_S124,87.397,365,43,1,1,362,1,365,0.0,665.0
XP_064327854.1,visual_opsin_S121,98.873,355,4,0,1,355,1,355,0.0,731.0
XP_064309174.1,visual_opsin_S172,92.669,341,19,1,1,341,1,335,0.0,655.0
KFW91691.1,visual_opsin_S121,95.317,363,9,2,1,363,1,355,0.0,705.0
AWC68270.1,visual_opsin_S314,85.417,336,46,2,1,334,1,335,0.0,610.0
AWC68208.1,visual_opsin_S312,91.781,365,30,0,1,365,12,376,0.0,701.0
AWC68089.1,visual_opsin_S275,98.58,352,5,0,1,352,1,352,0.0,723.0
AMD82566.1,visual_opsin_S314,85.075,335,48,1,1,333,1,335,0.0,612.0
XP_048265126.1,visual_opsin_S286,95.148,371,18,0,63,433,1,371,0.0,739.0
XP_012172199.1,visual_opsin_Bombus_terrestris_LW2,100.0,323,0,0,46,368,1,323,0.0,662.0
XP_012172197.1,visual_opsin_Bombus_terrestris_LW1,100.0,323,0,0,27,349,1,323,0.0,662.0
XP_003400385.1,visual_opsin_S285,87.302,378,47,1,1,378,1,377,0.0,697.0
XP_003397947.1,visual_opsin_S287,46.483,327,158,8,6,326,6,321,2.59e-83,255.0
XP_035278922.1,NP_001104634_opsin3_D_rerio,30.124,322,210,10,27,343,21,332,3.46e-36,132.0
XP_035278495.1,XP_005996890_opsin_3_Latimeria_chalumnae,29.565,345,221,6,1,343,35,359,1.3399999999999998e-42,148.0
XP_035278493.1,XP_051503901_Myxocyprinus_asiaticus_VA_a,27.415,383,250,9,2,372,15,381,9.64e-44,152.0
XP_035268773.1,XP_034775490_Acipenser_ruthenus_parapinopsin,29.53,298,205,2,4,301,11,303,1e-43,152.0
XP_035262346.1,XP_028585690_Podarcis_muralis_VA,28.571,329,220,7,35,359,41,358,1.54e-42,150.0
XP_035248604.1,XP_006638720_opsin_3_Lepisosteus_oculatus,41.554,296,155,3,28,306,5,299,2.54e-80,247.0
XP_035239401.1,visual_opsin_S51,96.045,354,12,1,1,352,1,354,0.0,704.0
XP_035237351.1,visual_opsin_S78,84.0,350,55,1,1,350,1,349,0.0,620.0
XP_035237343.1,visual_opsin_S219,87.755,343,39,1,1,340,1,343,0.0,619.0
XP_035237087.1,visual_opsin_Trichogramma_pretiosum_LW2,27.055,292,201,3,19,301,27,315,1.9699999999999997e-40,142.0
ACT34385.1,visual_opsin_S122,71.268,355,98,2,1,355,1,351,0.0,543.0
ACT34384.1,visual_opsin_S219,88.047,343,38,1,1,340,1,343,0.0,620.0
2206482A,visual_opsin_S51,94.752,343,18,0,1,343,1,343,0.0,684.0
XP_021185985.3,XP_034551179_Notolabrus_celidotus_parapinopsin_a,26.923,182,114,4,103,270,99,275,2.23e-09,53.9
AIY31989.1,visual_opsin_S270,90.16,376,37,0,3,378,6,381,0.0,712.0
AHA48198.1,visual_opsin_S145,88.333,360,39,2,3,362,33,389,0.0,661.0
AHA48186.1,visual_opsin_S270,93.176,381,26,0,1,381,1,381,0.0,738.0
AHA48177.1,visual_opsin_S182,80.105,382,73,1,1,382,1,379,0.0,664.0
AGH28027.1,visual_opsin_S270,93.438,381,25,0,1,381,1,381,0.0,740.0
ADW20311.1,visual_opsin_S145,88.611,360,38,2,3,362,33,389,0.0,662.0
AAT91638.1,visual_opsin_S144,92.651,381,28,0,1,381,1,381,0.0,731.0
AAT91641.1,visual_opsin_S145,95.573,384,17,0,1,384,23,406,0.0,760.0
AAT91640.1,visual_opsin_S143,90.789,380,35,0,1,380,1,380,0.0,745.0
AAT91639.1,visual_opsin_S142,90.909,363,33,0,1,363,1,363,0.0,707.0
XP_029453475.1,visual_opsin_S354,90.678,354,32,1,1,354,1,353,0.0,676.0
XP_029465665.1,visual_opsin_S252,86.351,359,48,1,2,360,8,365,0.0,652.0
XP_043209930.1,visual_opsin_S291,44.382,356,197,1,16,371,8,362,2.74e-109,321.0
XP_043242610.1,visual_opsin_S246,48.361,366,183,4,9,371,15,377,1.24e-130,375.0
XP_043227478.1,visual_opsin_S243,49.861,361,172,5,9,363,15,372,1.52e-130,375.0
KAF0309486.1,visual_opsin_Baetis_sp_AD2013_LW1,36.246,309,195,2,35,342,2,309,3.05e-66,210.0
KAF0306802.1,visual_opsin_S267,38.786,379,209,7,3,380,21,377,1.17e-88,269.0
KAF0300607.1,visual_opsin_S291,44.382,356,197,1,22,377,8,362,2.96e-109,321.0
KAF0290247.1,visual_opsin_S243,49.857,349,166,5,1,343,27,372,1.03e-127,367.0
KAF0287453.1,visual_opsin_S291,44.857,350,192,1,2,351,14,362,2.52e-108,318.0
AAB24265.1,visual_opsin_S111,100.0,354,0,0,1,354,1,354,0.0,733.0
NP_571394.2,visual_opsin_S85,99.702,336,1,0,1,336,1,336,0.0,688.0
NP_571159.2,visual_opsin_S163,100.0,354,0,0,1,354,1,354,0.0,729.0
NP_001303878.1,visual_opsin_S287,29.371,286,190,3,53,338,58,331,1.46e-41,148.0
NP_001303875.1,XP_037101625_Syngnathus_acus_parapinopsin_a,31.429,280,185,4,22,300,30,303,2.8800000000000003e-43,150.0
NP_001303877.1,XP_026077609_Carassius_auratus_parapinopsin_b,32.215,298,192,5,5,301,15,303,1.0399999999999999e-45,158.0
NP_001038457.1,XP_010746869_Larimichthys_crocea_parapinopsin_a,31.25,288,191,4,14,300,22,303,4.08e-45,155.0
NP_001073125.2,XP_030060665_Microcaecilia_unicolor_VA,27.895,380,254,9,13,387,19,383,4.9299999999999995e-46,159.0
NP_001299608.2,XP_040523482_opsin3_G_gallus,39.009,323,167,5,68,369,4,317,1.32e-75,238.0
Q9W6A9.2,visual_opsin_S85,100.0,336,0,0,1,336,1,336,0.0,689.0
Q9W6A5.2,visual_opsin_S76,100.0,349,0,0,1,349,1,349,0.0,717.0
Q8AYN0.1,visual_opsin_S82,91.317,357,30,1,1,356,1,357,0.0,677.0
Q8AYM8.1,visual_opsin_S77,100.0,349,0,0,1,349,1,349,0.0,718.0
Q9W6A8.1,visual_opsin_S208,100.0,354,0,0,1,354,1,354,0.0,731.0
Q9W6A7.1,visual_opsin_S82,93.838,357,22,0,1,357,1,357,0.0,703.0
NP_001303876.1,XP_029379533_Echeneis_naucrates_parietopsin,29.293,297,203,5,10,305,24,314,1.17e-39,139.0
NP_001269303.1,NP_001104634_opsin3_D_rerio,39.286,336,182,7,51,375,32,356,5.1800000000000006e-79,244.0
NP_001112371.1,XP_040523482_opsin3_G_gallus,40.663,332,182,5,21,342,16,342,9.97e-81,249.0
XP_073765023.1,XP_037101625_Syngnathus_acus_parapinopsin_a,31.429,280,185,4,50,328,30,303,8.58e-43,150.0
XP_073806759.1,visual_opsin_S242,35.185,324,153,6,47,315,53,374,1.5e-59,195.0
XP_073806758.1,visual_opsin_S242,38.11,328,190,6,47,367,53,374,6.33e-72,229.0
XP_021325391.2,visual_opsin_S287,29.371,286,190,3,53,338,58,331,1.6499999999999999e-41,147.0
XP_073773407.1,visual_opsin_Laodelphax_striatellus_LW,38.532,327,178,5,50,366,9,322,5.48e-75,233.0
XP_073772120.1,visual_opsin_S51,78.717,343,72,1,60,402,1,342,0.0,588.0
XP_073769572.1,XP_005996890_opsin_3_Latimeria_chalumnae,38.679,318,177,4,18,320,8,322,8.199999999999999e-74,230.0
XP_073769546.1,visual_opsin_Ischnura_asiatica_LWE1,40.728,302,171,4,22,319,25,322,1.01e-76,238.0
XP_073769545.1,visual_opsin_Ischnura_asiatica_LWE1,40.728,302,171,4,22,319,25,322,1.62e-76,237.0
NP_001002443.1,visual_opsin_S82,90.476,357,33,1,1,356,1,357,0.0,674.0
NP_001304693.1,XP_047218668_Girardinichthys_multiradiatus_parapinopsin_a,30.084,359,219,9,15,364,11,346,2.3800000000000003e-37,134.0
NP_001303874.1,XP_028970850_Esox_lucius_parietopsin,33.447,293,191,4,12,303,37,326,2.6499999999999997e-46,157.0
NP_001303879.1,XP_030392523_Gopherus_evgoodei_pinopsin,29.63,324,207,7,22,338,34,343,3.1e-44,153.0
NP_001269304.1,XP_005996890_opsin_3_Latimeria_chalumnae,38.679,318,177,4,18,320,8,322,7.74e-74,231.0
NP_001269302.1,NP_001104634_opsin3_D_rerio,39.933,298,171,2,30,321,28,323,1.17e-78,243.0
NP_001268434.1,XP_005996890_opsin_3_Latimeria_chalumnae,39.474,342,175,6,27,356,7,328,1.04e-77,240.0
NP_001245152.1,visual_opsin_S242,37.805,328,191,6,18,338,53,374,6.120000000000001e-72,228.0
NP_001103501.1,visual_opsin_S51,78.717,343,72,1,1,343,1,342,0.0,587.0
ALG92565.1,XP_048361977_Sphaerodactylus_townsendi_VA,32.77,296,196,2,26,321,37,329,2.5099999999999998e-52,173.0
ALG92537.1,visual_opsin_S79,100.0,349,0,0,1,349,1,349,0.0,717.0
ALG92536.1,visual_opsin_S78,100.0,349,0,0,1,349,1,349,0.0,719.0
ALG92535.1,visual_opsin_S77,99.713,349,1,0,1,349,1,349,0.0,716.0
AGK24996.1,XP_040523482_opsin3_G_gallus,39.009,323,167,5,17,318,4,317,3.69e-76,238.0
AAI64171.1,visual_opsin_S163,99.718,354,1,0,1,354,1,354,0.0,728.0
AAI16615.1,visual_opsin_Sogatella_furcifera_LW,38.462,325,177,5,43,358,12,322,1.18e-70,224.0
AAH67683.1,visual_opsin_S85,99.405,336,2,0,1,336,1,336,0.0,687.0
AAD24756.1,visual_opsin_S85,98.81,336,4,0,1,336,1,336,0.0,679.0
AAD24753.1,visual_opsin_S209,100.0,349,0,0,1,349,1,349,0.0,717.0
AAD24752.1,visual_opsin_S76,99.713,349,1,0,1,349,1,349,0.0,716.0
AAD20549.1,visual_opsin_S82,93.838,357,21,1,1,356,1,357,0.0,699.0
AAD14679.1,visual_opsin_S163,98.87,354,4,0,1,354,1,354,0.0,720.0
CAE30416.1,visual_opsin_S82,94.118,357,21,0,1,357,1,357,0.0,704.0
CAD43423.1,BAV78538_visible_light_sensitive_parapinopsin_Danio_rerio,86.25,320,27,2,1,320,1,303,0.0,534.0
CAA77258.1,visual_opsin_S54,92.655,354,26,0,1,354,1,354,0.0,671.0
GLG99913.1,visual_opsin_Gryllus_bimaculatus_green2,83.896,385,0,2,30,414,1,323,0.0,635.0
GLH14972.1,visual_opsin_Gryllus_bimaculatus_UV,100.0,324,0,0,28,351,1,324,0.0,675.0
BAR40297.1,visual_opsin_Gryllus_bimaculatus_green2,100.0,323,0,0,30,352,1,323,0.0,664.0
BAR40296.1,visual_opsin_Gryllus_bimaculatus_SW,100.0,325,0,0,27,351,1,325,0.0,679.0
AEG78683.1,visual_opsin_Gryllus_bimaculatus_green1_ocellar,100.0,323,0,0,31,353,1,323,0.0,666.0
XP_010896146.3,XP_018415733_Nanorana_parkeri_parietopsin,33.333,273,176,4,30,301,33,300,4.490000000000001e-47,162.0
XP_010888484.2,NP_001104634_opsin3_D_rerio,43.214,280,150,2,46,319,32,308,5.19e-80,248.0
XP_019896523.2,visual_opsin_Xenos_vesparum_LW1_partial,32.258,248,162,3,38,279,31,278,4.41e-36,132.0
XP_010883303.3,visual_opsin_Xenos_vesparum_LW1_partial,32.0,250,162,4,38,281,31,278,2.7899999999999997e-34,127.0
XP_010880465.2,visual_opsin_Baetis_sp_AD2013_LW3,30.421,309,188,7,14,305,18,316,1.07e-40,142.0
XP_010891229.2,XP_040292238_Bufo_bufo_VA,27.859,341,228,8,28,364,39,365,4.75e-41,145.0
XP_010876722.2,XP_040523482_opsin3_G_gallus,28.729,362,225,8,3,345,47,394,7.209999999999999e-38,136.0
XP_010876720.2,XP_047242728_Girardinichthys_multiradiatus_parietopsin,23.462,260,179,5,13,260,4,255,9e-22,91.3
XP_010876718.2,XP_040523482_opsin3_G_gallus,28.226,372,234,8,33,385,37,394,3.3499999999999997e-38,138.0
XP_034151943.1,XP_034551179_Notolabrus_celidotus_parapinopsin_a,30.641,359,222,9,12,352,9,358,1.29e-40,144.0
XP_019907037.2,XP_034551179_Notolabrus_celidotus_parapinopsin_a,30.471,361,222,10,12,354,9,358,1.69e-39,141.0
XP_010893575.3,visual_opsin_S164,80.899,356,66,1,1,356,1,354,0.0,602.0
XP_010893574.3,visual_opsin_S162,78.715,249,53,0,1,249,1,249,6.97e-148,418.0
XP_010900403.2,visual_opsin_S53,87.006,354,46,0,1,354,1,354,0.0,638.0
XP_010880466.2,NP_001104634_opsin3_D_rerio,29.08,337,224,6,3,333,19,346,1.9800000000000003e-43,150.0
XP_010904167.1,BR002526_C_parvulus_VA_opsin,29.085,306,165,10,35,299,39,333,2.3400000000000003e-32,121.0
XP_010904164.1,XP_033799595_Geotrypetes_seraphini_VA,31.487,343,207,11,17,345,48,376,2.25e-43,151.0
XP_010904163.1,XP_031694444_Anarrhichthys_ocellatus_VA_a,31.385,325,206,8,34,354,39,350,7.32e-45,156.0
XP_010900326.1,visual_opsin_S150,85.345,348,51,0,6,353,9,356,0.0,624.0
XP_010900325.1,visual_opsin_S150,85.92,348,49,0,6,353,9,356,0.0,635.0
XP_010879352.1,visual_opsin_S79,72.126,348,93,1,3,346,2,349,0.0,525.0
AAV53958.1,visual_opsin_S311,100.0,346,0,0,1,346,1,346,0.0,707.0
AAX99140.1,visual_opsin_S310,100.0,336,0,0,1,336,1,336,0.0,693.0
O13227.1,visual_opsin_S52,94.886,352,16,1,1,350,1,352,0.0,692.0
