""	Habitat	method	λmax	λmax reference	Accession #
Rimicaris exoculata	DB	ERG	500	(Johnson et al. 2002)
Rimicaris exoculata	DB	EX	500	(Van Dover et al. 1989)
Crangonidae				
Crangon allmani	C	ERG	415, 525	(Johnson et al. 2002)
Palaemonidae				
Palaemonetes paladosus	EST	EX	539	(Fernandez 1965)
Palaemonetes vulgaris	EST	ERG	390, 540	(Wald and Seldin 1968)
Palaemonetes vulgaris	EST	MSP	496, 555	(Goldsmith et al. 1968)
Pandalidae				
Pandalus montagui	C	ERG	515	(Johnson et al. 2002)
Plesionika martia	P	MSP	499	(Kent 1997)
Stylopandalus richardi	P	MSP	491	(Kent 1997)
Pasiphaeidae				
Parapasiphaea sulcatifrons	P	MSP	501	(Kent 1997)
Pasiphaea chacei	P	MSP	509	(Kent 1997)
Pasiphaea emarginata	P	MSP	497	(Kent 1997)
Pasiphaea multidentata	P	ERG	497	(Frank and Widder 1999)
Pasiphaea suspirosum	P	MSP	501	(Kent 1997)
Oplophoridae				
Acanthephyra curtirostris	P	ERG	510	(Frank and Case 1988a)
Acanthephyra curtirostris	P	MSP	485	(Hiller-Adams et al. 1988)
Acanthephyra curtirostris	P	MSP	485	(Kent 1997)
Acanthephyra microphthalma	P	MSP	482	(Kent 1997)
Acanthephyra purpurea	P	MSP	492	(Kent 1997)
Acanthephyra smithi	P	ERG	510	(Frank and Case 1988a)
Acanthephyra smithi	P	MSP	491	(Hiller-Adams et al. 1988)
Acanthephyra stylorostratis	P	MSP	489	(Kent 1997)
Hymenodora frontalis	P	MSP	495	(Kent 1997)
Hymenodora glacialis	P	MSP	500	(Kent 1997)
Janicella spinacauda	P	ERG	400, 500	(Frank and Case 1988a)
Meningodora miccyla	P	MSP	486	(Kent 1997)
Meningodora vesca	P	MSP	487	(Kent 1997)
Notostomus elegans	P	ERG	490	(Frank and Case 1988a)
Notostomus gibbosus	P	ERG	480	(Frank and Case 1988a)
Oplophorus gracilirostris	P	ERG	400, 500	(Frank and Case 1988a)
Oplophorus spinosus	P	ERG	400, 500	(Frank and Case 1988a)
Oplophorus spinosus	P	MSP	492	(Kent 1997)
Systellaspis braueri	P	MSP	411, 500	(Kent 1997)
Systellaspis cristata	P	MSP	414, 498	(Kent 1997)
Systellaspis debilis	P	MSP	400, 498	(Cronin and Frank 1996)
Systellaspis debilis	P	ERG	400, 500	(Frank and Case 1988a)
Systellaspis debilis	P	MSP	493	(Hiller-Adams et al. 1988)
Systellaspis debilis	P	MSP	417, 497	(Kent 1997)
Achelata				
Palinuridae				
Jasus edwardsii	C	ERG	472, 536	(Meyer-Rochow and Tiang 1984)
Panulirus argus	C	ERG	379, 510	(Cummins et al. 1984)
Anomala				
Diogenidae				
Clibanarius vittatus	EST	MSP	510	(Cronin and Forward 1988)
Dardanus fucosus	C	MSP	511	(Cronin and Forward 1988)
Petrolisthes diogenes	C	MSP	508	(Cronin and Forward 1988)
Coenobitidae				
Coenobita clypeatus	TR	MSP	508	(Cronin and Forward 1988)
Coenobita rugosa	TR	MSP	491	(Cronin and Forward 1988)
Paguridae				
Pagurus annulipes		MSP	493	(Cronin and Forward 1988)
Pagurus longicarpus	EST	MSP	515	(Cronin and Forward 1988)
Pagurus pollicaris	C	MSP	515	(Cronin and Forward 1988)
Pagurus pollicaris	C	MSP	516	(Lipetz and Cronin 1988)	
Galatheidae					
Pleuroncodes planipes	P	EX	523	(Fernandez 1973)	
Porcellanidae					
Petrolisthes elongates	C	ERG	536	(Ziedins and Meyer-Rochow 1990)	
Astacidea					
Astacidae					
Astacus fluviatus	FW	MSP	530	(Hamacher and Kohl 1981)	
Astacus leptodactylus	FW	MSP	530	(Hamacher and Stieve 1984)	
Cambaridae					
Cambarus hubrichti	FW			(Crandall and Hillis 1997)	AF005385
Cambarus maculatus	FW			(Crandall and Hillis 1997)	AF005386
Cambarellus schufeldtii	FW	MSP	526	(Crandall and Cronin 1997)	AF003544
Cambarellus ludovicianus	FW	MSP	529	(Crandall and Cronin 1997)	AF003543
Orconectes australis					AF005387
Orconectes virilis					AF003545
Orconectes rusticus	FW	MSP	530-535	(Cronin and Goldsmith 1982;	
""				Goldsmith 1978)	
Procambarus clarkii	FW	MSP	530-533	(Goldsmith 1978; Zeiger and	S53494
""				Goldsmith 1994)	
Procambarus clarkii	FW	MSP	440	(Cummins and Goldsmith 1981)	
Procambarus milleri	FW	MSP	522	(Crandall and Cronin 1997;	AF003546
""				Cronin and Goldsmith 1982)	
Procambarus orcinus					AF005389
Procambarus seminolae					AF005388
Parastacidae					
Engaeus cunicularius	FW	MSP	522	(Crandall and Cronin 1997)	
Nephropidae					
Homarus americanus	C	MSP	515	(Bruno et al. 1977)	CN853478,
""					CN854434
Homarus gammarus	C	MSP	515	(Kent 1997)	
Nephrops norvegicus	C	MSP	498	(Kent 1997)
Nephrops norvegicus	C	MSP	498	(Lowe 1976)
Nephrops norvegicus	C	ERG	425?, 515	(Johnson et al. 2002)
Brachyura				
Bythograeidae				
Bythograea thermydron	DB	MSP	489	(Cronin and Jinks 2001)
Bythograea thermydron (L)		MSP	447	(Cronin and Jinks 2001)
Bythograea thermydron	BP	MSP	489	(Jinks et al. 2002)
Bythograea thermydron (M)	BP	MSP	479	(Jinks et al. 2002)
Bythograea thermydron (Z)	MP	MSP	447	(Jinks et al. 2002)
Calappidae				
Calappa flammea	C	MSP	486	(Cronin and Forward 1988)
Calappa flammea		MSP	483	(Lipetz and Cronin 1988)
Hepatus epheliticus	C	MSP	487	(Cronin and Forward 1988)
Cancridae				
Cancer irroratus	C	MSP	496	(Cronin and Forward 1988)
Gecarcinidae				
Gecarcinus lateralis	TR	MSP	487	(Cronin and Forward 1988)
Gecarcinus lateralis	TR	ERG	510	(Lall and Cronin 1987)
Geryonidae				
Chaceon affinis	DB	ERG	380?, 480	(Johnson et al. 2002)
Geryon quinquedens	DB	MSP	473	(Cronin and Forward 1988)
Geryon quinquedens	DB	MSP	470	(Lipetz and Cronin 1988)
Grapsidae				
Leptograpsus variegatus	EST	IC	484	(Stowe 1980)
Sesarma cinereum	EST	MSP	492	(Cronin and Forward 1988)
Sesarma reticulatum	EST	MSP	493	(Cronin and Forward 1988)
Sesarma reticulatum	EST	IC	508	(Scott and Mote 1974)
Homolidae				
Paromola cuvieri	DB	ERG	?, 470	(Johnson et al. 2002)
Majidae				
Libinia dubia	EST	MSP	489	(Cronin and Forward 1988)	
Libinia dubia		MSP	486	(Lipetz and Cronin 1988)	
Libinia emarginata	EST	MSP	493	(Hays and Goldsmith 1969)	
Ocypodidae					
Uca pugilator	TR	IC	508	(Scott and Mote 1974)	
Uca pugilator	TR	ERG	510	(Scott and Mote 1974)	
Uca pugilator	TR	EX	480	(Goldsmith 1972)	
Uca pugnax	TR	ERG	510	(Scott and Mote 1974)	
Uca pugnax	TR	IC	508	(Scott and Mote 1974)	
Uca thayeri	TR	ERG	430, 500-	(Horch et al. 2002)	
""			540		
Portunidae					
Arenaeus cribrarius	C	MSP	498	(Cronin and Forward 1988)	
Callinectes ornatus	C	MSP	501	(Cronin and Forward 1988)	
Callinectes sapidus	EST	MSP	503	(Cronin and Forward 1988)	CV224458 (EST)
Callinectes sapidus	EST	IC	440, 508	(Martin and Mote 1982)	
Callinectes sapidus	C	MSP	504	(Cronin et al. 1995)	
Callinectes sapidus (M)	C	MSP	504	(Cronin et al. 1995)	
Carcinus maenas	EST	MSP	508	(Bruno and Goldsmith 1974)	
Carcinus maenas	EST	IC	440, 508	(Martin and Mote 1982)	
Ovipales stephensoni	C	MSP	505	(Cronin and Forward 1988)	
Portunus spinimanis	C	MSP	483	(Cronin and Forward 1988)	
Portunus spinimanus		MSP	479	(Lipetz and Cronin 1988)	
Portunus trituberculatus	C	ERG	513	(Weiyun and Minjuan 1990)	
Scylla serrata	EST	MSP	490	(Leggett 1979)	
Varunidae					
Hemigrapsus edwardsii	EST	EX	513	(Briggs 1961)	
Hemigrapsus sanguinensis			480	(Sakamoto et al. 1996)	D50583- D50584
Hemigrapsus sanguinensis	EST	ERG	360, 480	(Shukolyukov et al. 1984)	
Xanthidae					
Eurypanopeus depressus	EST	MSP	480	(Cronin and Forward 1988)	
Menippe mercenaria	EST	MSP	494	(Cronin and Forward 1988)
Panopeus herbtii	EST	MSP	493	(Fernandez 1973)
Panopeus herbstii	EST	MSP	491	(Lipetz and Cronin 1988)
Panopeus obesus	EST	MSP	492	(Cronin and Forward 1988)
Pilumnus sayi	C	MSP	489	(Cronin and Forward 1988)
Rhithropanopeus harrisii	EST	MSP	495	(Cronin and Forward 1988)
