Seqs,Lambda_Max
S833,522
S834,516
S835,534
S836,512
S837,532
S838,439
S839,439
S840,438
S841,438
S842,438
S843,439
S844,438
S845,439
S846,442
S847,438
S848,439
S849,444
S850,448
S851,444
S852,449
S853,448
S854,450
S855,453
