	Lambda_Max	Species	Opsin_Family	Accession
S78	467.00000	Danio_rerio	Rh2	AB087805.2
S79	467.00000	Danio_rerio	Rh2	AB087806.2
S80	488.00000	Danio_rerio	Rh2	AB087807.1
S81	505.00000	Danio_rerio	Rh2	AB087808.2
S82	536.00000	Petromyzon_marinus	Rh1	EU571209.1
S83	501.00000	Petromyzon_marinus	LWS	AH005459.2
S84	562.80000	Carassius_auratus	LWS	L11867.1
S85	463.00000	Cottus_gobio	SWS2	AJ430489.1
S86	359.00000	Carassius_auratus	SWS1	D85863.1
S87	355.00000	Danio_rerio	SWS1	AB087810.1
S88	423.00000	Xenopus_laevis	SWS1	U23463.1
S89	356.00000	Ambystoma_tigrinum	SWS1	AF038948.1
S90	358.00000	Anolis_carolinensis	SWS1	AH007736.2
S91	360.00000	Gekko_gecko	SWS1	AY024356.1
S92	393.00000	Columba_livia	SWS1	AH007798.2
S93	359.00000	Taeniopygia_guttata	SWS1	AF222331.1
S94	415.00000	Gallus_gallus	SWS1	M92039.1
S95	363.00000	Melopsittacus_undulatus	SWS1	Y11787.1
S96	414.00000	Homo_sapiens	SWS1	AH003620.2
S97	359.00000	Mus_musculus	SWS1	U49720.1
S98	358.00000	Rattus_norvegicus	SWS1	U63972.1
S99	438.00000	Bos_taurus	SWS1	U92557.1
S100	420.00000	Cavia_porcellus	SWS1	AY552608.1
S101	419.00000	Loxodonta_africana	SWS1	AY686753.1
S102	420.00000	Notamacropus_eugenii	SWS1	AY286017.1
S103	489.00000	Delphinus_delphis	Rh1	AF055314
S104	488.00000	Globicephala_melas	Rh1	AF055315
S105	484.00000	Mesoplodon_bidens	Rh1	AF055316
S106	501.00000	Phoca_vitulina	Rh1	AF055317
S107	498.00000	Phoca_groenlandicus	Rh1	AF055318
S108	502.00000	Trichechus_manatus	Rh1	AF055319
S109	571.00000	Papilio_xuthus	Rh3	AB007425.1
S110	540.00000	Papilio_xuthus	Rh1	AB007423.1
S111	463.00000	Cottus_gobio	SWS2	AJ430489
S112	492.00000	Carassius_auratus	Rh1	L11863.1
S113	503.00000	Astyanax_mexicanus	Rh1	U12328.1
S114	505.00000	Gambusia_holbrooki	Rh1	Y11146.1
S115	485.00000	Latimeria_chalumnae	Rh1	AH007712.2
S116	502.00000	Xenopus_laevis	Rh1	L07770.1
S117	502.00000	Lithobates_pipiens	Rh1	S49004
S118	500.00000	Lithobates_catesbeianus	Rh1	S79840
S119	506.00000	Ambystoma_tigrinum	Rh1	U36574
S120	502.00000	Columba_livia	Rh1	AH007730.2
S121	502.00000	Taeniopygia_guttata	Rh1	AF222329
S122	503.00000	Gallus_gallus	Rh1	D00702
S123	488.00000	Tursiops_truncatus	Rh1	AF055456
S124	511.00000	Carassius_auratus	Rh2	L11865
S125	506.00000	Carassius_auratus	Rh2	L11866
S126	495.00000	Anolis_carolinensis	Rh2	AH007735.2
S127	467.00000	Gekko_gecko	Rh2	M92035.1
S128	503.00000	Columba_livia	Rh2	AH007731.2
S129	505.00000	Taeniopygia_guttata	Rh2	AF222330
S130	508.00000	Gallus_gallus	Rh2	M92038
S131	359.00000	Carassius_auratus	SWS1	D85863
S132	425.00000	Xenopus_laevis	SWS1	U23463
S133	358.00000	Anolis_carolinensis	SWS1	AH007736.2
S134	393.00000	Columba_livia	SWS1	AH007798.2
S135	415.00000	Gallus_gallus	SWS1	M92039
S136	371.00000	Melopsittacus_undulatus	SWS1	Y11787
S137	424.00000	Homo_sapiens	SWS1	AH003620.2
S138	359.00000	Mus_musculus	SWS1	U49720
S139	358.00000	Rattus_norvegicus	SWS1	U63972.1
S140	443.00000	Carassius_auratus	SWS2	L11864
S141	437.00000	Anolis_carolinensis	SWS2	AF133907
S142	448.00000	Columba_livia	SWS2	AH007799.2
S143	441.00000	Taeniopygia_guttata	SWS2	AF222332
S144	455.00000	Gallus_gallus	SWS2	M92037
S145	559.00000	Carassius_auratus	LWS	L11867
S146	561.00000	Anolis_carolinensis	LWS	U08131
S147	558.00000	Columba_livia	LWS	AH007800.2
S148	560.00000	Taeniopygia_guttata	LWS	AF222333.1
S149	571.00000	Gallus_gallus	LWS	M62903.1
S150	530.00000	Homo_sapiens	LWS	AH005296.2
S151	560.00000	Homo_sapiens	LWS	AH005298.2
S152	553.00000	Capra_hircus	LWS	AH006594.2
S153	509.00000	Oryctolagus_cuniculus	MWS	AH006945.2
S154	508.00000	Mus_musculus	MWS	AF011389.1
S155	509.00000	Rattus_norvegicus	MWS	AH006946.2
S156	524.00000	Tursiops_truncatus	LWS	AF055457
S157	553.00000	Felis_catus	LWS	AF132040
S158	545.00000	Equus_caballus	LWS	AF132043
S159	531.00000	Odocoileus_virginianus	LWS	AF132041
S160	516.00000	Cavia_porcellus	MWS	AF132042.1
S161	532.00000	Neosciurus_carolinensis	LWS	AF132044
S162	482.00000	Anolis_carolinensis	MWS	AH007737.2
S163	481.00000	Columba_livia	MWS	U50598.1
S164	359.00000	Taeniopygia_guttata	SWS	AF222331
S165	435.00000	Eumaeus_atala	BRh1	MN831881.1
S166	500.00000	Eumaeus_atala	BRh2	MN831882.1
S167	569.00000	Eumaeus_atala	LWRh	MN831883.1
S168	352.00000	Eumaeus_atala	UVRh	MN831884.1
S169	578.00000	Arhopala_japonica	LWRh	MN831885.1
S170	571.00000	Poecilia_reticulata	LWS1	AB748985.1
S171	562.00000	Poecilia_reticulata	LWS1	AB748984
S172	516.00000	Poecilia_reticulata	LWS2	LC127183
S173	519.00000	Poecilia_reticulata	LWS3	LC127184
S174	516.00000	Poecilia_reticulata	RH2-1	LC127186
S175	476.00000	Poecilia_reticulata	RH2-2	LC127187
S176	438.00000	Poecilia_reticulata	SWS2-A	LC127188
S177	408.00000	Poecilia_reticulata	SWS2-B	LC127189
S178	353.00000	Poecilia_reticulata	SWS1	LC127190
S179	503.00000	Poecilia_reticulata	RH1	LC127191
S180	358.00000	Geotria_australis	SWS1	KT749677
S181	439.00000	Geotria_australis	SWS2	AY366492
S182	497.00000	Geotria_australis	RhA	AY366493
S183	492.00000	Geotria_australis	RhB	AY366494
S184	420.00000	Cavia_porcellus	SWS1	AY552608
S185	358.00000	Carassius_auratus	SWS1	D85863
S186	388.00000	Columba_livia	SWS1	AJ238856
S187	419.00000	Gallus_gallus	SWS1	NM_205438.1
S188	360.00000	Melopsittacus_undulatus	SWS1	NM_001311081
S189	360.00000	Anolis_carolinensis	SWS1	AH007736
S190	508.00000	Phreatichthys_andruzzii	Rh1	JQ413240
S191	505.00000	Phreatichthys_andruzzii	exoRh	GQ404491.1
S192	502.00000	Danio_rerio	Rh1	AF109368
S193	498.00000	Danio_rerio	exoRh	NM131212.2
S194	414.00000	Homo_sapiens	OPN1SW	DQ822478.1
S195	383.00000	Platynereis_dumerilii	LWS	AY692353.1
S196	480.00000	Drosophila_melanogaster	Inv-Rh1	NM_079683.3
S197	450.00000	Pieris_rapae	PrB	AB208675.1
S198	420.00000	Pieris_rapae	PrV	AB208674.1
S199	561.00000	Grus_americana	LWS	KM508487
S200	500.00000	Grus_americana	Rh1	KM508488
S201	499.00000	Grus_americana	Rh2	KM508489
S202	404.00000	Grus_americana	SWS1	KM508490
S203	450.00000	Grus_americana	SWS2	KM508491
S204	486.00000	Scopelarchus_analis	Rh1	EF517404.1
S205	479.00000	Scopelarchus_analis	Rh1	EF517405.1
S206	539.00000	Otolemur_crassicaudatus	LWS	AB112590.1
S207	502.00000	Otolemur_crassicaudatus	Rh1	AB112591.1
S208	525.00000	Argopecten_irradians	Rtc	KX550908.1
S209	496.00000	Pecten_maximus	Rtc	XM_033877948.1
S210	435.00000	Bos_taurus	SWS1	U92557.1
S211	431.00000	Limenitis_a.astyanax	IV-Rh1	AY918902.2
S212	439.00000	Danaus_plexippus	IV-Rh1	AY605544
S213	431.00000	Limenitis_a.archippus	IV-Rh1	EU358777
S214	452.00000	Oryzias_latipes	Rh2	AB223053
S215	516.00000	Oryzias_latipes	Rh2	AB223054
S216	492.00000	Oryzias_latipes	Rh2	AB223055
S217	447.00000	Oryzias_luzonensis	Rh2	LC260048
S218	517.00000	Oryzias_luzonensis	Rh2	LC260049
S219	486.00000	Oryzias_luzonensis	Rh2	LC260050
S220	469.00000	Oryzias_celebensis	Rh2	LC260051
S221	516.00000	Oryzias_celebensis	Rh2	LC260052
S222	491.00000	Oryzias_celebensis	Rh2	LC260053
S223	460.00000	Oryzias_melastigma	Rh2	LC260054
S224	519.00000	Oryzias_melastigma	Rh2	LC260055
S225	491.00000	Oryzias_melastigma	Rh2	LC260056
S226	462.00000	Oryzias_minutillus	Rh2	LC260057
S227	517.00000	Oryzias_minutillus	Rh2	LC260058
S228	493.00000	Oryzias_minutillus	Rh2	LC260059
S229	443.00000	Carassius_auratus	SWS2	L11864.1
S230	416.00000	Danio_rerio	SWS2	AB087809.1
S231	467.00000	Danio_rerio	Rh2	NM_131253.2
S232	476.00000	Danio_rerio	Rh2	NM_182891.2
S233	488.00000	Danio_rerio	Rh2	NM_182892.2
S234	505.00000	Danio_rerio	Rh2	NM_131254.1
S235	528.00000	Metriaclima_zebra	Rh2	DQ088651
S236	519.00000	Metriaclima_zebra	Rh2	DQ088650
S237	484.00000	Metriaclima_zebra	Rh2	DQ088652
S238	423.00000	Metriaclima_zebra	SWS2	DQ088649
S239	368.00000	Metriaclima_zebra	SWS1	DQ088648
S240	511.00000	Carassius_auratus	LWS	L11865.1
S241	505.00000	Carassius_auratus	LWS	L11866.1
S242	502.00000	Carassius_auratus	Rh2	L11863.1
S243	441.00000	Carassius_auratus	SWS2	L11864.1
S244	507.00000	Gallus_gallus	Rh1	NM_001397497.1
S245	511.00000	Gallus_gallus	MWS	NM_205490.1
S246	508.00000	Archosaur_sp.	Rh1	AF310191.1
S247	503.00000	AncAgnatha_sp.	Rh2	AncAgnatha
S248	488.00000	AncActino_sp.	Rh2	AncActino
S249	491.00000	AncTeleost_sp.	Rh2	AncTeleost
S250	491.00000	AncClupeoc_sp.	Rh2	AncClupeoc
S251	489.00000	AncCyprin1_sp.	Rh2	AncCyprin1
S252	505.00000	AncCyprin2_sp.	Rh2	AncCyprin2
S253	488.00000	AncEutelo1_sp.	Rh2	AncEutelo1
S254	489.00000	AncEutelo2_sp.	Rh2	AncEutelo2
S255	474.00000	AncEutelo3_sp.	Rh2	AncEutelo3
S256	524.00000	AncEutelo4_sp.	Rh2	AncEutelo4
S257	488.00000	AncTetrapo_sp.	Rh2	AncTetrapo
S258	499.00000	AncSaurops_sp.	Rh2	AncSaurops
S259	497.00000	AncSquamat_sp.	Rh2	AncSquamat
S260	500.00000	Lethenteron_camtschaticum	Rh1	M63632.1
S261	478.00000	Latimeria_chalumnae	Rh2	AH007713.2
S262	361.00000	swsanc1_sp.	UVS	swsanc1
S263	360.00000	swsanc2_sp.	UVS	swsanc2
S264	359.00000	swsanc3_sp.	UVS	swsanc3
S265	360.00000	swsanc4_sp.	UVS	swsanc4
S266	360.00000	swsanc5_sp.	UVS	swsanc5
S267	393.00000	swsanc6_sp.	SWS	swsanc6
S268	359.00000	swsanc7_sp.	UVS	swsanc7
S269	393.00000	swsanc5'_sp.	UVS	swsanc5'
S270	552.00000	Loxodonta_africana	LWS	AY686754.1
S271	363.00000	Callosobruchus_maculatus	IV-UVS	OP722929.1
S272	511.00000	Callosobruchus_maculatus	IV-LWS	OP722946.1
S273	431.00000	Chrysochroa_rajah	inv-UVS	OP722930.1
S274	356.00000	Chrysochroa_rajah	IV-UVS	OP722931.1
S275	357.00000	Chrysochroa_mniszechii	IV-UVS	OP722932.1
S276	442.00000	Chrysochroa_mniszechii	IV-UVS	OP722933.1
S277	584.00000	Chrysochroa_rajah	IV-LWS	OP722947.1
S278	509.00000	Chrysochroa_rajah	IV-LWS	OP722948.1
S279	572.00000	Chrysochroa_mniszechii	IV-LWS	OP722949.1
S280	507.00000	Chrysochroa_mniszechii	IV-LWS	OP722950.1
S281	563.00000	lwsanc_pigmenta_sp.	LWS	lwsanc_pigmenta
S282	563.00000	lwsanc_pigmentb_sp.	LWS	lwsanc_pigmentb
S283	561.00000	lwsanc_pigmentc_sp.	LWS	lwsanc_pigmentc
S284	558.00000	lwsanc_pigmentd_sp.	LWS	lwsanc_pigmentd
S285	558.00000	lwsanc_pigmente_sp.	LWS	lwsanc_pigmente
S286	536.00000	lwsanc_pigmentf_sp.	LWS	lwsanc_pigmentf
S287	561.00000	lwsanc_pigmentg_sp.	LWS	lwsanc_pigmentg
S288	564.00000	lwsanc_pigmenti_sp.	LWS	lwsanc_pigmenti
S289	532.00000	lwsanc_pigmentx_sp.	LWS	lwsanc_pigmentx
S290	553.00000	lwsanc_pigmenty_sp.	LWS	lwsanc_pigmenty
S291	532.00000	lwsanc_pigmentz_sp.	LWS	lwsanc_pigmentz
S292	359.00000	Phodopus_sungorus	SWS1	JQ036217
S293	403.00000	Chlamydera_nuchalis	SWS1	CNUCHCUSTOM
S294	539.00000	Neogonodactylus_oerstedii	IV-LWS	MT112877
S295	611.00000	Neogonodactylus_oerstedii	IV-LWS	MT112883
S296	542.00000	Sympetrum_frequens	IV-LWS	LC009064
S297	557.00000	Sympetrum_frequens	IV-LWS	LC009061
S298	577.00000	Epargyreus_clarus	IV-LWS	OK930070.1
S299	532.00000	Macroglossum_stellatarum	IV-LWS	KF539444
S300	532.00000	Automeris_io	IV-LWS	OK930069.1
S301	537.00000	Anisota_stigma	IV-LWS	OK930068.1
S302	518.00000	Callophrys_sheridanii	IV-LWS	MN831887.1
S303	482.00000	Physeter_catodon	Rh1	XM_007126220
S304	431.00000	Ochotona_princeps	SWS1	XM_004592516
S305	485.00000	Sinomicrurus_japonicusboettgeri	Rh1	LC543598
S306	482.00000	Laticauda_semifasciata	Rh1	LC543599
S307	494.00000	Emydocephalus_ijimae	Rh1	LC543603
S308	490.00000	Hydrophis_ornatus	Rh1	LC543606
S309	551.00000	Hydrophis_ornatus	LWS	LC543597
S310	539.00000	Aotus_azaraiboliviensis	LWS	AB081277.2
S311	532.00000	Saimiri_sciureus	LWS	AH006283
S312	545.00000	Saimiri_sciureus	LWS	AH006282
S313	558.00000	Saimiri_sciureus	LWS	AH006281
