comp_db_id,Full_Species,Accession,maxid,longcore_id,murwes_id,caves_id,porter2005_id,porter2006_id,LambdaMax
61,Acipenser transmontanus,,1.0,,,,,,540.0
62,Argiope amoena,,,0.0,,,,,360.0
63,Aglais urticae,,,,0.0,,,,360.0
64,Acipenser baerii,,,,,0.0,,,549.0
65,Artemia salina,,,,,,0.0,,410.0
66,Acipenser transmontanus,,2.0,,,,,,464.0
67,Argiope amoena,,,1.0,,,,,490.0
68,Agraulis vanillae,,,,1.0,,,,370.0
69,Acipenser medirostrus,,,,,1.0,,,540.0
70,Daphnia magna,,,,,,1.0,,348.0
71,Daphnia magna,,,,,,1.0,,434.0
72,Daphnia magna,,,,,,1.0,,525.0
73,Daphnia magna,,,,,,1.0,,608.0
74,Acipenser transmontanus,,3.0,,,,,,531.0
75,Argiope amoena,,,2.0,,,,,540.0
76,Alima pacifica,,,,2.0,,,,467.0
77,Acipenser ruthenus,,,,,2.0,,,545.0
78,Acartia tonsa,,,,,,2.0,,485.0
79,Acipenser transmontanus,,4.0,,,,,,605.0
80,Argiope bruennichi,,,3.0,,,,,360.0
81,Antheraea polyphemus,,,,3.0,,,,355.0
82,Balanus amphitrite,,,,,,3.0,,532.0
83,Acipenser medirostris,,5.0,,,,,,540.0
84,Argiope bruennichi,,,4.0,,,,,490.0
85,Apodemia mormo,,,,4.0,,,,556.0
86,Scaphirhynchus albus,,,,,4.0,,,538.0
87,Acipenser medirostris,,6.0,,,,,,465.0
88,Argiope bruennichi,,,5.0,,,,,540.0
89,Archaeomysis grebnitzkii,,,,5.0,,,,496.0
90,Scaphirhynchus platorynchus,,,,,5.0,,,534.0
91,Balanus balanoides,,,,,,5.0,,520.0
92,Acipenser medirostris,,7.0,,,,,,538.0
93,Cupiennius salei,,,6.0,,,,,340.0
94,Archaeopropona demophon,,,,6.0,,,,554.0
95,Polyodon spathula,,,,,6.0,,,540.0
96,Balanus eburneus,,,,,,6.0,,532.0
97,Acipenser medirostris,,8.0,,,,,,614.0
98,Cupiennius salei,,,7.0,,,,,480.0
99,Asterocampa leilia,,,,7.0,,,,555.0
100,Albula vulpes,,,,,7.0,,,500.0
101,Cymatogaster aggregata,,9.0,,,,,,500.0
102,Cupiennius salei,,,8.0,,,,,520.0
103,Balanus amphitrite,,,,8.0,,,,495.0
104,Bellocia  koefoedi,,,,,8.0,,,477.0
105,Coronis scolopendra,,,,,,8.0,,494.0
106,Coronis scolopendra,,,,,,8.0,,407.0
107,Coronis scolopendra,,,,,,8.0,,436.0
108,Coronis scolopendra,,,,,,8.0,,489.0
109,Coronis scolopendra,,,,,,8.0,,518.0
110,Coronis scolopendra,,,,,,8.0,,529.0
111,Coronis scolopendra,,,,,,8.0,,533.0
112,Coronis scolopendra,,,,,,8.0,,441.0
113,Coronis scolopendra,,,,,,8.0,,468.0
114,Coronis scolopendra,,,,,,8.0,,517.0
115,Cymatogaster aggregata,,10.0,,,,,,455.0
116,Menemerus confusus,,,9.0,,,,,360.0
117,Balanus eburneus,,,,9.0,,,,495.0
118,Conocara macroptera,,,,,9.0,,,478.0
119,Lysiosqullia sulcata,,,,,,9.0,,499.0
120,Lysiosqullia sulcata,,,,,,9.0,,397.0
121,Lysiosqullia sulcata,,,,,,9.0,,434.0
122,Lysiosqullia sulcata,,,,,,9.0,,492.0
123,Lysiosqullia sulcata,,,,,,9.0,,516.0
124,Lysiosqullia sulcata,,,,,,9.0,,517.0
125,Lysiosqullia sulcata,,,,,,9.0,,538.0
126,Lysiosqullia sulcata,,,,,,9.0,,416.0
127,Lysiosqullia sulcata,,,,,,9.0,,461.0
128,Lysiosqullia sulcata,,,,,,9.0,,500.0
129,Cymatogaster aggregata,,11.0,,,,,,528.0
130,Menemerus confusus,,,10.0,,,,,490.0
131,Bombus terrestris,,,,10.0,,,,216.0
132,Conocara macroptera,,,,,10.0,,,476.0
133,Pullosquilla litoralis,,,,,,10.0,,509.0
134,Pullosquilla litoralis,,,,,,10.0,,404.0
135,Pullosquilla litoralis,,,,,,10.0,,425.0
136,Pullosquilla litoralis,,,,,,10.0,,469.0
137,Pullosquilla litoralis,,,,,,10.0,,509.0
138,Pullosquilla litoralis,,,,,,10.0,,527.0
139,Pullosquilla litoralis,,,,,,10.0,,540.0
140,Pullosquilla litoralis,,,,,,10.0,,446.0
141,Pullosquilla litoralis,,,,,,10.0,,455.0
142,Pullosquilla litoralis,,,,,,10.0,,482.0
143,Cymatogaster aggregata,,12.0,,,,,,532.0
144,Menemerus confusus,,,11.0,,,,,530.0
145,Bombyx mori,,,,11.0,,,,350.0
146,Conocara salmonea,,,,,11.0,,,476.0
147,Pullosquilla litoralis,,,,,,11.0,,446.0
148,Amia calva,,13.0,,,,,,527.0
149,Menemerus confusus,,,12.0,,,,,538.0
150,Calappa flammea,,,,12.0,,,,243.5
151,Rouleina attrita,,,,,12.0,,,485.0
152,Pullosquilla thomassini,,,,,,12.0,,467.0
153,Pullosquilla thomassini,,,,,,12.0,,405.0
154,Amia calva,,14.0,,,,,,457.0
155,Menemerus confusus,,,13.0,,,,,580.0
156,Callinectes ornatus,,,,13.0,,,,251.5
157,Rouleina maderensis,,,,,13.0,,,477.0
158,Pullosquilla thomassini,,,,,,13.0,,447.0
159,Amia calva,,15.0,,,,,,556.0
160,Phidippus regius,,,14.0,,,,,370.0
161,Callinectes sapidus,,,,14.0,,,,477.0
162,Talismania antillarum,,,,,14.0,,,476.0
163,Gonodactylellus affinis,,,,,,14.0,,500.0
164,Gonodactylellus affinis,,,,,,14.0,,400.0
165,Gonodactylellus affinis,,,,,,14.0,,424.0
166,Gonodactylellus affinis,,,,,,14.0,,496.0
167,Gonodactylellus affinis,,,,,,14.0,,521.0
168,Gonodactylellus affinis,,,,,,14.0,,546.0
169,Gonodactylellus affinis,,,,,,14.0,,541.0
170,Gonodactylellus affinis,,,,,,14.0,,454.0
171,Gonodactylellus affinis,,,,,,14.0,,474.0
172,Gonodactylellus affinis,,,,,,14.0,,509.0
173,Amia calva,,16.0,,,,,,624.0
174,Phidippus regius,,,15.0,,,,,532.0
175,Cambarellus shufeldtii,,,,15.0,,,,526.0
176,Xenodermichthys  copei,,,,,15.0,,,478.0
177,Gonodactylaceus falcatus,,,,,,15.0,,510.0
178,Gonodactylaceus falcatus,,,,,,15.0,,400.0
179,Gonodactylaceus falcatus,,,,,,15.0,,443.0
180,Gonodactylaceus falcatus,,,,,,15.0,,513.0
181,Gonodactylaceus falcatus,,,,,,15.0,,527.0
182,Gonodactylaceus falcatus,,,,,,15.0,,532.0
183,Gonodactylaceus falcatus,,,,,,15.0,,553.0
184,Gonodactylaceus falcatus,,,,,,15.0,,443.0
185,Gonodactylaceus falcatus,,,,,,15.0,,475.0
186,Gonodactylaceus falcatus,,,,,,15.0,,518.0
187,Plexippus validus,,,16.0,,,,,360.0
188,Cambarus ludovicianus,,,,16.0,,,,528.0
189,Barbantus curvifrons,,,,,16.0,,,478.0
190,Gonodactylaceus falcatus,,,,,,16.0,,499.0
191,Plexippus validus,,,17.0,,,,,520.0
192,Cataglyphis bicolor,,,,17.0,,,,347.0
193,Platytroctes apus,,,,,17.0,,,475.0
194,Gonodactylus smithii,,,,,,17.0,,517.0
195,Gonodactylus smithii,,,,,,17.0,,400.0
196,Gonodactylus smithii,,,,,,17.0,,440.0
197,Gonodactylus smithii,,,,,,17.0,,505.0
198,Gonodactylus smithii,,,,,,17.0,,528.0
199,Gonodactylus smithii,,,,,,17.0,,536.0
200,Gonodactylus smithii,,,,,,17.0,,552.0
201,Gonodactylus smithii,,,,,,17.0,,436.0
202,Gonodactylus smithii,,,,,,17.0,,469.0
203,Gonodactylus smithii,,,,,,17.0,,512.0
204,Gymnothorax favagineus,,19.0,,,,,,487.0
205,Daphnia magna,,,18.0,,,,,348.0
206,Clibanarius vittatus,,,,18.0,,,,257.5
207,Searsia koefoedi,,,,,18.0,,,476.0
208,Gonodactylopsis spongicola,,,,,,18.0,,506.0
209,Gonodactylopsis spongicola,,,,,,18.0,,401.0
210,Gonodactylopsis spongicola,,,,,,18.0,,444.0
211,Gonodactylopsis spongicola,,,,,,18.0,,505.0
212,Gonodactylopsis spongicola,,,,,,18.0,,525.0
213,Gonodactylopsis spongicola,,,,,,18.0,,536.0
214,Gonodactylopsis spongicola,,,,,,18.0,,474.0
215,Gonodactylopsis spongicola,,,,,,18.0,,507.0
216,Gonodactylopsis spongicola,,,,,,18.0,,448.0
217,Gymnothorax favagineus,,20.0,,,,,,501.0
218,Daphnia magna,,,19.0,,,,,434.0
219,Coenobita clypeatus,,,,19.0,,,,254.0
220,Searsia koefoedi,,,,,19.0,,,480.0
221,Neogonodactylus curacaoensis,,,,,,19.0,,467.0
222,Neogonodactylus curacaoensis,,,,,,19.0,,400.0
223,Gymnothorax reticularis,,21.0,,,,,,486.0
224,Daphnia magna,,,20.0,,,,,525.0
225,Coenobita rugosa,,,,20.0,,,,247.0
226,Neogonodactylus oertstedii,,,,,,20.0,,528.0
227,Neogonodactylus oertstedii,,,,,,20.0,,400.0
228,Neogonodactylus oertstedii,,,,,,20.0,,525.0
229,Neogonodactylus oertstedii,,,,,,20.0,,520.0
230,Neogonodactylus oertstedii,,,,,,20.0,,551.0
231,Neogonodactylus oertstedii,,,,,,20.0,,429.0
232,Neogonodactylus oertstedii,,,,,,20.0,,460.0
233,Neogonodactylus oertstedii,,,,,,20.0,,489.0
234,Gymnothorax reticularis,,22.0,,,,,,494.0
235,Daphnia magna,,,21.0,,,,,608.0
236,Colias erate,,,,21.0,,,,352.0
237,Anguilla anguilla,,,,,21.0,,,482.0
238,Hemisquilla ensigera,,,,,,21.0,,501.0
239,Hemisquilla ensigera,,,,,,21.0,,414.0
240,Hemisquilla ensigera,,,,,,21.0,,451.0
241,Hemisquilla ensigera,,,,,,21.0,,499.0
242,Hemisquilla ensigera,,,,,,21.0,,510.0
243,Hemisquilla ensigera,,,,,,21.0,,535.0
244,Hemisquilla ensigera,,,,,,21.0,,443.0
245,Hemisquilla ensigera,,,,,,21.0,,473.0
246,Hemisquilla ensigera,,,,,,21.0,,500.0
247,Rhinomuraena quaesita,,23.0,,,,,,498.0
248,Periplaneta americana,,,22.0,,,,,365.0
249,Deilephila elpenor,,,,22.0,,,,440.0
250,Anguilla bicolor,,,,,22.0,,,494.0
251,Haptosquilla trispinosa,,,,,,22.0,,499.0
252,Haptosquilla trispinosa,,,,,,22.0,,400.0
253,Haptosquilla trispinosa,,,,,,22.0,,433.0
254,Haptosquilla trispinosa,,,,,,22.0,,508.0
255,Haptosquilla trispinosa,,,,,,22.0,,537.0
256,Haptosquilla trispinosa,,,,,,22.0,,539.0
257,Haptosquilla trispinosa,,,,,,22.0,,558.0
258,Haptosquilla trispinosa,,,,,,22.0,,422.0
259,Haptosquilla trispinosa,,,,,,22.0,,462.0
260,Haptosquilla trispinosa,,,,,,22.0,,510.0
261,Rhinomuraena quaesita,,24.0,,,,,,493.0
262,Periplaneta americana,,,23.0,,,,,505.0
263,Engaeus cunicularius,,,,23.0,,,,526.0
264,Anguilla japonica,,,,,23.0,,,497.0
265,Pseudosquilla ciliata,,,,,,23.0,,498.0
266,Pseudosquilla ciliata,,,,,,23.0,,400.0
267,Pseudosquilla ciliata,,,,,,23.0,,433.0
268,Pseudosquilla ciliata,,,,,,23.0,,498.0
269,Pseudosquilla ciliata,,,,,,23.0,,517.0
270,Pseudosquilla ciliata,,,,,,23.0,,535.0
271,Pseudosquilla ciliata,,,,,,23.0,,539.0
272,Pseudosquilla ciliata,,,,,,23.0,,425.0
273,Pseudosquilla ciliata,,,,,,23.0,,452.0
274,Pseudosquilla ciliata,,,,,,23.0,,510.0
275,Strophidon sathete,,25.0,,,,,,487.0
276,Carabus auratus,,,24.0,,,,,348.0
277,Euphausia superba,,,,24.0,,,,485.0
278,Derichthys serpentinus,,,,,24.0,,,489.0
279,Odontodactylus brevirostris,,,,,,24.0,,490.0
280,Odontodactylus brevirostris,,,,,,24.0,,402.0
281,Odontodactylus brevirostris,,,,,,24.0,,457.0
282,Odontodactylus brevirostris,,,,,,24.0,,495.0
283,Odontodactylus brevirostris,,,,,,24.0,,524.0
284,Odontodactylus brevirostris,,,,,,24.0,,511.0
285,Odontodactylus brevirostris,,,,,,24.0,,535.0
286,Odontodactylus brevirostris,,,,,,24.0,,452.0
287,Odontodactylus brevirostris,,,,,,24.0,,460.0
288,Odontodactylus brevirostris,,,,,,24.0,,589.0
289,Strophidon sathete,,26.0,,,,,,509.0
290,Carabus auratus,,,25.0,,,,,430.0
291,Euphydryas chalcedona,,,,25.0,,,,370.0
292,Odontodactylus havanensis,,,,,,25.0,,475.0
293,Odontodactylus havanensis,,,,,,25.0,,407.0
294,Atherina boyeri,,27.0,,,,,,511.0
295,Carabus auratus,,,26.0,,,,,500.0
296,Eurypanopeus depressus,,,,26.0,,,,245.5
297,Odontodactylus scyllarus,,,,,,26.0,,503.0
298,Odontodactylus scyllarus,,,,,,26.0,,400.0
299,Odontodactylus scyllarus,,,,,,26.0,,430.0
300,Odontodactylus scyllarus,,,,,,26.0,,487.0
301,Odontodactylus scyllarus,,,,,,26.0,,509.0
302,Odontodactylus scyllarus,,,,,,26.0,,528.0
303,Odontodactylus scyllarus,,,,,,26.0,,546.0
304,Odontodactylus scyllarus,,,,,,26.0,,429.0
305,Odontodactylus scyllarus,,,,,,26.0,,451.0
306,Odontodactylus scyllarus,,,,,,26.0,,506.0
307,Atherina boyeri,,28.0,,,,,,570.0
308,Carabus auratus,,,27.0,,,,,620.0
309,Funchalia villosa,,,,27.0,,,,489.0
310,Squilla empusa,,,,,,27.0,,517.0
311,Atherina boyeri,,29.0,,,,,,435.0
312,Carabus nemoralis,,,28.0,,,,,348.0
313,Gecarcinus lateralis,,,,28.0,,,,243.5
314,Squilla empusa,,,,,,28.0,,507.0
315,Atherina boyeri,,30.0,,,,,,530.0
316,Carabus nemoralis,,,29.0,,,,,430.0
317,Gonodactylellus affinis,,,,29.0,,,,445.0
318,Histiobranchus bathybius,,,,,29.0,,,477.0
319,Squilla empusa,,,,,,29.0,,509.0
320,Melanotaenia maccullochi,,31.0,,,,,,509.0
321,Carabus nemoralis,,,30.0,,,,,500.0
322,Gonodactylus oerstedii,,,,30.0,,,,345.0
323,Histiobranchus bathybius,,,,,30.0,,,476.0
324,Cloridopsis dubia,,,,,,30.0,,510.0
325,Melanotaenia maccullochi,,32.0,,,,,,377.0
326,Carabus nemoralis,,,31.0,,,,,620.0
327,Gonostoma bathyphilum,,,,31.0,,,,481.0
328,Gnathophausia ingens,,,,,,31.0,,490.0
329,Gnathophausia ingens,,,,,,31.0,,520.0
330,Melanotaenia maccullochi,,33.0,,,,,,409.0
331,Coccinella septempunctata,,,32.0,,,,,360.0
332,Gonostoma elongatum,,,,32.0,,,,483.0
333,Synaphobranchus kaupii,,,,,32.0,,,478.0
334,Melanotaenia maccullochi,,34.0,,,,,,443.0
335,Coccinella septempunctata,,,33.0,,,,,520.0
336,Gryllus bimaculatus,,,,33.0,,,,348.0
337,Argentina silus,,,,,33.0,,,483.0
338,Bowmaniella sp.,,,,,,33.0,,502.0
339,Melanotaenia maccullochi,,35.0,,,,,,495.0
340,Coccinella septempunctata,,,34.0,,,,,420.0
341,Heliconius charithonia,,,,34.0,,,,549.0
342,Opisthoproctus grimaldii,,,,,34.0,,,480.0
343,Hemimysis anomala,,,,,,34.0,,393.0
344,Hemimysis anomala,,,,,,34.0,,500.0
345,Melanotaenia maccullochi,,36.0,,,,,,528.0
346,Bicellonycha wickershamorum,,,35.0,,,,,400.0
347,Heliconius erato,,,,35.0,,,,551.0
348,Heteromysis formosa,,,,,,35.0,,499.0
349,Bicellonycha wickershamorum,,,36.0,,,,,560.0
350,Heliconius hecale,,,,36.0,,,,396.0
351,Atherina boyeri,,,,,36.0,,,509.0
352,Photinus collustrans,,,37.0,,,,,425.0
353,Heliconius melpomene,,,,37.0,,,,557.0
354,Melanotaenia maccullochi,,39.0,,,,,,578.0
355,Photinus collustrans,,,38.0,,,,,560.0
356,Heliconius numata,,,,38.0,,,,400.0
357,Marosatherina ladigesi,,,,,38.0,,,507.0
358,Neomysis integer,,,,,,38.0,,530.0
359,Photinus macdermotti,,,39.0,,,,,400.0
360,Hemicordulia tau,,,,39.0,,,,220.0
361,Bathysaurus ferox,,,,,39.0,,,478.0
362,Neomysis mercedis,,,,,,39.0,,521.0
363,Marosatherina ladigesi,,41.0,,,,,,368.0
364,Photinus macdermotti,,,40.0,,,,,575.0
365,Hemigraspus edwardsi,,,,40.0,,,,513.0
366,Bathysaurus mollis,,,,,40.0,,,477.0
367,Mysis mixta,,,,,,40.0,,512.5
368,Marosatherina ladigesi,,42.0,,,,,,452.0
369,Photinus marginellus,,,41.0,,,,,375.0
370,Hemigraspus sanguineus,,,,41.0,,,,480.0
371,Ahliesaurus berryi,,,,,41.0,,,487.0
372,Mysis relicta sp.I,,,,,,41.0,,560.0
373,Marosatherina ladigesi,,43.0,,,,,,461.0
374,Photinus marginellus,,,42.0,,,,,565.0
375,Hemisquilla ensigera,,,,42.0,,,,414.0
376,Benthalbella  infans,,,,,42.0,,,451.0
377,Mysis relicta sp.II,,,,,,42.0,,512.5
378,Marosatherina ladigesi,,44.0,,,,,,481.0
379,Photinus pyralis,,,43.0,,,,,375.0
380,Hepatus epheliticus,,,,43.0,,,,246.0
381,Scopelarchus analis,,,,,43.0,,,507.0
382,Mysis relicta sp.IV,,,,,,43.0,,520.0
383,Marosatherina ladigesi,,45.0,,,,,,531.0
384,Photinus pyralis,,,44.0,,,,,570.0
385,Hermeuptychia hermes,,,,44.0,,,,515.0
386,Scopelarchus analis,,,,,44.0,,,445.0
387,Mysis relicta sp.IV,,,,,,44.0,,505.0
388,Mysis relicta sp.IV,,,,,,44.0,,520.0
389,Marosatherina ladigesi,,46.0,,,,,,557.0
390,Photinus scintillans,,,45.0,,,,,450.0
391,Holmesimysis costata,,,,45.0,,,,512.0
392,Scopelarchus analis,,,,,45.0,,,503.0
393,Praunus inermis,,,,,,45.0,,525.0
394,Photinus scintillans,,,46.0,,,,,580.0
395,Homarus americanus,,,,46.0,,,,515.0
396,Scopelarchus analis,,,,,46.0,,,479.0
397,Praunus flexuosus,,,,,,46.0,,510.0
398,Photuris frontalis,,,47.0,,,,,350.0
399,Inachis io,,,,47.0,,,,530.0
400,Synodus variegatus,,,,,47.0,,,493.0
401,Phronima sedenteria,,,,,,47.0,,470.0
402,Photuris frontalis,,,48.0,,,,,560.0
403,Ischnura heterosticta,,,,48.0,,,,360.0
404,Opsanus tau,,,,,48.0,,,503.0
405,Ligia exotica,,,,,,48.0,,340.0
406,Ligia exotica,,,,,,48.0,,460.0
407,Ligia exotica,,,,,,48.0,,520.0
408,Photuris lucicrescens,,,49.0,,,,,350.0
409,Janicella spinacauda,,,,49.0,,,,500.0
410,Belone belone,,,,,49.0,,,509.0
411,Talitrus saltator,,,,,,49.0,,450.0
412,Photuris lucicrescens,,,50.0,,,,,440.0
413,Junonia coenia,,,,50.0,,,,510.0
414,Melamphaes suborbitalis,,,,,50.0,,,482.0
415,Synodus variegatus,,52.0,,,,,,368.0
416,Photuris lucicrescens,,,51.0,,,,,550.0
417,Leptograspus variegatus,,,,51.0,,,,513.0
418,Poromitra capito,,,,,51.0,,,481.0
419,Euphausia superba,,,,,,51.0,,485.0
420,Synodus variegatus,,53.0,,,,,,482.0
421,Photuris potomaca,,,52.0,,,,,375.0
422,Libinia dubia,,,,52.0,,,,247.5
423,Poromitra megalops,,,,,52.0,,,487.0
424,Euphausia pacifica,,,,,,52.0,,462.0
425,Synodus variegatus,,54.0,,,,,,503.0
426,Photuris potomaca,,,53.0,,,,,560.0
427,Libinia emarginata,,,,53.0,,,,493.0
428,Scopelogadus beanii,,,,,53.0,,,482.0
429,Meganyctiphanes norvegica,,,,,,53.0,,490.0
430,Drosophila melanogaster,,,54.0,,,,,345.0
431,Limenitis archippus,,,,54.0,,,,514.0
432,Lipophrys pholis,,,,,54.0,,,515.0
433,Meganyctiphanes norvegica,,,,,,54.0,,462.5
434,Belone belone,,56.0,,,,,,422.0
435,Drosophila melanogaster,,,55.0,,,,,370.0
436,Limenitis lorquini,,,,55.0,,,,530.0
437,Lepomis macrochirus,,,,,55.0,,,538.0
438,Meganyctiphanes norvegica,,,,,,55.0,,462.0
439,Belone belone,,57.0,,,,,,508.0
440,Drosophila melanogaster,,,56.0,,,,,440.0
441,Limenitis weidemeyerii,,,,56.0,,,,530.0
442,Astyanax fasciatus,,,,,56.0,,,520.0
443,Meganyctiphanes norvegica,,,,,,56.0,,460.0
444,Meganyctiphanes norvegica,,,,,,56.0,,490.0
445,Meganyctiphanes norvegica,,,,,,56.0,,515.0
446,Drosophila melanogaster,,,57.0,,,,,480.0
447,Limulus polyphemus,,,,57.0,,,,520.0
448,Paracheirodon innesi,,,,,57.0,,,523.0
449,Meganyctiphanes norvegica,,,,,,57.0,,488.0
450,Dermogenys pusilla,,59.0,,,,,,507.0
451,Drosophila melanogaster,,,58.0,,,,,520.0
452,Lycaena rubidus,,,,58.0,,,,360.0
453,Metynnis argenteus,,,,,58.0,,,533.0
454,Nematobrachion boopis,,,,,,58.0,,488.0
455,Dermogenys pusilla,,60.0,,,,,,377.0
456,Musca domestica,,,59.0,,,,,335.0
457,Lysiosquillina maculate,,,,59.0,,,,501.0
458,Aequidens pulcher,,,,,59.0,,,507.0
459,Nematobrachion sexspinosus,,,,,,59.0,,478.0
460,Dermogenys pusilla,,61.0,,,,,,526.0
461,Musca domestica,,,60.0,,,,,355.0
462,Malacosteus niger,,,,60.0,,,,425.0
463,Aequidens pulcher,,,,,60.0,,,501.0
464,Stylocheiron maximum,,,,,,60.0,,479.0
465,Dermogenys pusilla,,62.0,,,,,,572.0
466,Musca domestica,,,61.0,,,,,460.0
467,Mamestra brassicae,,,,61.0,,,,350.0
468,Amphilophus longimanus,,,,,61.0,,,525.0
469,Stylocheiron maximum,,,,,,61.0,,470.0
470,Dermogenys pusilla,,63.0,,,,,,483.0
471,Musca domestica,,,62.0,,,,,490.0
472,Meganyctiphanes norvegica,,,,62.0,,,,488.0
473,Astatotilapia burtoni,,,,,62.0,,,500.0
474,Nematoscelis megalops,,,,,,62.0,,465.0
475,Musca domestica,,,63.0,,,,,530.0
476,Aulonocara hueseri,,,,,63.0,,,496.0
477,Thysanopoda acutifrons,,,,,,63.0,,480.0
478,Eristalis tenax,,,64.0,,,,,350.0
479,Myrmecia croslandi,,,,64.0,,,,370.0
480,Copadichromis borleyi,,,,,64.0,,,494.0
481,Thysanopoda orientalis,,,,,,64.0,,478.0
482,Dermogenys pusilla,,66.0,,,,,,545.0
483,Eristalis tenax,,,65.0,,,,,450.0
484,Myrmecia vindex,,,,65.0,,,,370.0
485,Crenicichla frenata,,,,,65.0,,,520.0
486,Thysanoessa raschii,,,,,,65.0,,462.5
487,Myripristis berndti,,67.0,,,,,,495.0
488,Eristalis tenax,,,66.0,,,,,520.0
489,Mysis diluviana,,,,66.0,,,,503.0
490,Cynotilapia afra,,,,,66.0,,,496.0
491,Plesiopenaeus armatus,,,,,,66.0,,493.0
492,Myripristis berndti,,68.0,,,,,,514.0
493,Notonecta glauca,,,67.0,,,,,350.0
494,Mysis relicta,,,,67.0,,,,520.0
495,Dimidiochromis compressiceps,,,,,67.0,,,498.0
496,Bentheogennema intermedia,,,,,,67.0,,494.0
497,Myripristis berndti,,69.0,,,,,,506.0
498,Notonecta glauca,,,68.0,,,,,420.0
499,Mysis salemaai,,,,68.0,,,,261.5
500,Haplochromis azurea,,,,,68.0,,,503.0
501,Bentheogennema pasithea,,,,,,68.0,,500.0
502,Neoniphon sammara,,70.0,,,,,,502.0
503,Notonecta glauca,,,69.0,,,,,567.0
504,Nematobrachion boopis,,,,69.0,,,,487.0
505,Haplochromis ishmaeli,,,,,69.0,,,507.0
506,Gennadas sp.,,,,,,69.0,,495.0
