	Lambda_Max	Species	Opsin_Family	Phylum	Accession
S187	464.00000	Danio_rerio	Rh2	Chordata	AB087805.2_L46F
S188	463.00000	Danio_rerio	Rh2	Chordata	AB087805.2_I49C
S189	465.00000	Danio_rerio	Rh2	Chordata	AB087805.2_V60L
S190	467.00000	Danio_rerio	Rh2	Chordata	AB087805.2_S94T
S191	465.00000	Danio_rerio	Rh2	Chordata	AB087805.2_L108T
S192	468.00000	Danio_rerio	Rh2	Chordata	AB087805.2_V111A
S193	466.00000	Danio_rerio	Rh2	Chordata	AB087805.2_M112I
S194	470.00000	Danio_rerio	Rh2	Chordata	AB087805.2_V111A_M112I
S195	471.00000	Danio_rerio	Rh2	Chordata	AB087805.2_S94T_V111A_M112I
S196	472.00000	Danio_rerio	Rh2	Chordata	AB087805.2_L46F_I49C_S94T_V111A_M112I
S197	536.00000	Petromyzon_marinus	Rh1	Chordata	EU571209.1
S198	501.00000	Petromyzon_marinus	LWS	Chordata	AH005459.2
S199	554.00000	Petromyzon_marinus	Rh1	Chordata	EU571209.1_P164S
S200	562.80000	Carassius_auratus	LWS	Chordata	L11867.1
S201	544.00000	Carassius_auratus	LWS	Chordata	L11867.1_S164P
S202	463.00000	Cottus_gobio	SWS2	Chordata	AJ430489.1
S203	458.00000	Cottus_gobio	SWS2	Chordata	AJ430489.1_T118A
S204	452.00000	Cottus_gobio	SWS2	Chordata	AJ430489.1_T118G
S205	465.00000	Cottus_gobio	SWS2	Chordata	AJ430489.1_P215G
S206	453.00000	Cottus_gobio	SWS2	Chordata	AJ430489.1_T269A
S207	499.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181A
S208	500.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181N
S209	497.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181D
S210	499.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181C
S211	508.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181Q
S212	500.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181G
S213	497.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181H
S214	501.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181I
S215	502.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181L
S216	500.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181M
S217	501.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181F
S218	500.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181S
S219	502.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181T
S220	502.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181W
S221	501.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181Y
S222	498.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E181V
S223	499.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E113Q
S224	500.00000	Bos_taurus	Rh1	Chordata	NM_001014890_E113Q_E181D
S225	359.00000	Carassius_auratus	SWS1	Chordata	D85863.1
S226	355.00000	Danio_rerio	SWS1	Chordata	AB087810.1
S227	423.00000	Xenopus_laevis	SWS1	Chordata	NM_001085652.1
S228	356.00000	Ambystoma_tigrinum	SWS1	Chordata	AF038948.1
S229	358.00000	Anolis_carolinensis	SWS1	Chordata	AH007736.2
S230	360.00000	Gekko_gecko	SWS1	Chordata	AY024356.1
S231	393.00000	Columba_livia	SWS1	Chordata	AH007798.2
S232	359.00000	Taeniopygia_guttata	SWS1	Chordata	AF222331.1
S233	415.00000	Gallus_gallus	SWS1	Chordata	M92039.1
S234	365.00000	Melopsittacus_undulatus	SWS1	Chordata	Y11787.1
S235	414.00000	Homo_sapiens	SWS1	Chordata	AH003620.2
S236	359.00000	Mus_musculus	SWS1	Chordata	NP_031564.1
S237	358.00000	Rattus_norvegicus	SWS1	Chordata	U63972.1
S238	420.00000	Cavia_porcellus	SWS1	Chordata	AY552608.1
S239	419.00000	Loxodonta_africana	SWS1	Chordata	AY686753.1
S240	420.00000	Notamacropus_eugenii	SWS1	Chordata	AY286017.1
S241	489.00000	Delphinus_delphis	Rh1	Chordata	AF055314
S242	488.00000	Globicephala_melas	Rh1	Chordata	AF055315
S243	484.00000	Mesoplodon_bidens	Rh1	Chordata	AF055316
S244	501.00000	Phoca_vitulina	Rh1	Chordata	AF055317
S245	498.00000	Phoca_groenlandicus	Rh1	Chordata	AF055318
S246	502.00000	Trichechus_manatus	Rh1	Chordata	AF055319
S247	465.00000	Cottus_gobio	SWS2	Chordata	AJ430489_P215G
S248	453.00000	Cottus_gobio	SWS2	Chordata	AJ430489_T269A
S249	452.00000	Cottus_gobio	SWS2	Chordata	AJ430489_T118G
S250	458.00000	Cottus_gobio	SWS2	Chordata	AJ430489_T118A
S251	463.00000	Cottus_gobio	SWS2	Chordata	AJ430489
S252	502.00000	Bos_taurus	Rh1	Chordata	NM_001014890.2_A164S
S253	510.00000	Bos_taurus	Rh1	Chordata	NM_001014890.2_F261Y
S254	514.00000	Bos_taurus	Rh1	Chordata	NM_001014890.2_A269T
S255	520.00000	Bos_taurus	Rh1	Chordata	NM_001014890.2_F261Y_A269T
S256	512.00000	Bos_taurus	Rh1	Chordata	NM_001014890.2_A164S_F261Y
S257	514.00000	Bos_taurus	Rh1	Chordata	NM_001014890.2_A164S_A269T
S258	492.00000	Carassius_auratus	Rh1	Chordata	L11863.1
S259	505.00000	Gambusia_holbrooki	Rh1	Chordata	Y11146.1
S260	502.00000	Xenopus_laevis	Rh1	Chordata	L07770.1
S261	502.00000	Lithobates_pipiens	Rh1	Chordata	S49004
S262	500.00000	Lithobates_catesbeianus	Rh1	Chordata	S79840
S263	506.00000	Ambystoma_tigrinum	Rh1	Chordata	U36574
S264	502.00000	Columba_livia	Rh1	Chordata	AH007730.2
S265	502.00000	Taeniopygia_guttata	Rh1	Chordata	AF222329
S266	503.00000	Gallus_gallus	Rh1	Chordata	D00702
S267	511.00000	Carassius_auratus	Rh2	Chordata	L11865
S268	506.00000	Carassius_auratus	Rh2	Chordata	L11866
S269	495.00000	Anolis_carolinensis	Rh2	Chordata	AH007735.2
S270	467.00000	Gekko_gecko	Rh2	Chordata	M92035.1
S271	503.00000	Columba_livia	Rh2	Chordata	AH007731.2
S272	505.00000	Taeniopygia_guttata	Rh2	Chordata	AF222330
S273	508.00000	Gallus_gallus	Rh2	Chordata	M92038
S274	359.00000	Carassius_auratus	SWS1	Chordata	D85863
S275	415.00000	Gallus_gallus	SWS1	Chordata	M92039
S276	443.00000	Carassius_auratus	SWS2	Chordata	L11864
S277	437.00000	Anolis_carolinensis	SWS2	Chordata	AF133907
S278	448.00000	Columba_livia	SWS2	Chordata	AH007799.2
S279	441.00000	Taeniopygia_guttata	SWS2	Chordata	AF222332
S280	455.00000	Gallus_gallus	SWS2	Chordata	M92037
S281	559.00000	Carassius_auratus	LWS	Chordata	L11867
S282	561.00000	Anolis_carolinensis	LWS	Chordata	U08131
S283	558.00000	Columba_livia	LWS	Chordata	AH007800.2
S284	560.00000	Taeniopygia_guttata	LWS	Chordata	AF222333.1
S285	571.00000	Gallus_gallus	LWS	Chordata	M62903.1
S286	532.00000	Homo_sapiens	LWS	Chordata	AH005296.2
S287	563.00000	Homo_sapiens	LWS	Chordata	AH005298.2
S288	553.00000	Capra_hircus	LWS	Chordata	AH006594.2
S289	509.00000	Oryctolagus_cuniculus	MWS	Chordata	AH006945.2
S290	508.00000	Mus_musculus	MWS	Chordata	AF011389.1
S291	509.00000	Rattus_norvegicus	MWS	Chordata	AH006946.2
S292	524.00000	Tursiops_truncatus	LWS	Chordata	AF055457
S293	553.00000	Felis_catus	LWS	Chordata	AF132040
S294	545.00000	Equus_caballus	LWS	Chordata	AF132043
S295	531.00000	Odocoileus_virginianus	LWS	Chordata	AF132041
S296	516.00000	Cavia_porcellus	MWS	Chordata	AF132042.1
S297	532.00000	Neosciurus_carolinensis	LWS	Chordata	AF132044
S298	482.00000	Anolis_carolinensis	MWS	Chordata	AH007737.2
S299	481.00000	Columba_livia	MWS	Chordata	U50598.1
S300	359.00000	Taeniopygia_guttata	SWS	Chordata	AF222331
S301	359.00000	Taeniopygia_guttata	SWS	Chordata	AF222331_I85V
S302	397.00000	Taeniopygia_guttata	SWS	Chordata	AF222331_C84S
S303	397.00000	Taeniopygia_guttata	SWS	Chordata	AF222331_C84S_I85V
S304	382.00000	Taeniopygia_guttata	SWS	Chordata	AF222331_C84G
S305	363.00000	Taeniopygia_guttata	SWS	Chordata	AF222331_C84G_I85F
S306	405.00000	Gallus_gallus	SWS	Chordata	M92039_V85I
S307	369.00000	Gallus_gallus	SWS	Chordata	M92039_S84C
S308	371.00000	Gallus_gallus	SWS	Chordata	M92039_S84C_V85I
S309	389.00000	Columba_livia	SWS1	Chordata	AH007798.2_V85I
S310	358.00000	Columba_livia	SWS1	Chordata	AH007798.2_S84C
S311	359.00000	Columba_livia	SWS1	Chordata	AH007798.2_S84C_V85I
S312	571.00000	Poecilia_reticulata	LWS1	Chordata	AB748985.1
S313	562.00000	Poecilia_reticulata	LWS1	Chordata	AB748984
S314	516.00000	Poecilia_reticulata	LWS2	Chordata	LC127183
S315	519.00000	Poecilia_reticulata	LWS3	Chordata	LC127184
S316	516.00000	Poecilia_reticulata	RH2-1	Chordata	LC127186
S317	476.00000	Poecilia_reticulata	RH2-2	Chordata	LC127187
S318	438.00000	Poecilia_reticulata	SWS2-A	Chordata	LC127188
S319	408.00000	Poecilia_reticulata	SWS2-B	Chordata	LC127189
S320	353.00000	Poecilia_reticulata	SWS1	Chordata	LC127190
S321	503.00000	Poecilia_reticulata	RH1	Chordata	LC127191
S322	358.00000	Geotria_australis	SWS1	Chordata	KT749677
S323	439.00000	Geotria_australis	SWS2	Chordata	AY366492
S324	497.00000	Geotria_australis	RhA	Chordata	AY366493
S325	492.00000	Geotria_australis	RhB	Chordata	AY366494
S326	420.00000	Cavia_porcellus	SWS1	Chordata	AY552608
S327	388.00000	Columba_livia	SWS1	Chordata	AJ238856
S328	419.00000	Gallus_gallus	SWS1	Chordata	NM_205438.1
S329	360.00000	Melopsittacus_undulatus	SWS1	Chordata	NM_001311081
S330	360.00000	Anolis_carolinensis	SWS1	Chordata	AH007736
S331	363.00000	Carassius_auratus	SWS1	Chordata	D85863_F86S
S332	357.00000	Columba_livia	SWS1	Chordata	AJ238856_S86F
S333	366.00000	Columba_livia	SWS1	Chordata	AJ238856_V116L
S334	380.00000	Columba_livia	SWS1	Chordata	AJ238856_V116M
S335	372.00000	Gallus_gallus	SWS1	Chordata	NM_205438.1_S86F
S336	419.00000	Gallus_gallus	SWS1	Chordata	NM_205438.1_V116L
S337	420.00000	Melopsittacus_undulatus	SWS1	Chordata	NM_001311081_C90S
S338	361.00000	Melopsittacus_undulatus	SWS1	Chordata	NM_001311081_A86S
S339	508.00000	Phreatichthys_andruzzii	Rh1	Chordata	JQ413240
S340	505.00000	Phreatichthys_andruzzii	exoRh	Chordata	GQ404491.1
S341	502.00000	Danio_rerio	Rh1	Chordata	AF109368
S342	498.00000	Danio_rerio	exoRh	Chordata	NM131212.2
S343	414.00000	Homo_sapiens	OPN1SW	Chordata	DQ822478.1
