	Lambda_Max	Species	Opsin_Family	Phylum	Class	Accession	Mutations	RefId
S31	490.00000	Perissodus_elaviae	Rh1	Chordata	Actinopteri	AB185230.1		163
S32	498.00000	Pseudotropheus_sp.	Rh1	Chordata	Actinopteri	GQ422475.1		163
S33	502.00000	Spathodus_erythrodon	Rh1	Chordata	Actinopteri	AB084941.1		163
S34	484.00000	Trematocara_unimaculatum	Rh1	Chordata	Actinopteri	AB185238.1		163
S35	488.00000	Trematocara_macrostoma	Rh1	Chordata	Actinopteri	AB084945.1		163
S36	501.00000	Tropheus_duboisi	Rh1	Chordata	Actinopteri	AB084946.1		163
S37	488.00000	Xenotilapia_nigrolabiata	Rh1	Chordata	Actinopteri	AB458130.1		163
S38	491.00000	Xenotilapia_caudafasciata	Rh1	Chordata	Actinopteri	AB458131.1		163
S39	503.00000	Xenotilapia_ochrogenys	Rh1	Chordata	Actinopteri	AB084947.1		163
S40	497.90000	Tachyglossus_aculeatus	Rh1	Chordata	Mammalia	JX103830		116
S41	500.00000	Cyprichromis_leptosoma	Rh1	Chordata	Actinopteri	AB458118.1		164
S42	491.00000	Paracyprichromis_brieni	Rh1	Chordata	Actinopteri	AB458120.1		164
S43	497.00000	Xenotilapia_papilio	Rh1	Chordata	Actinopteri	AB457996.1		164
S44	494.00000	Paracyprichromis_brieni	Rh1	Chordata	Actinopteri	AB458121.1		164
S45	493.00000	Neolamprologus_ventralis	Rh1	Chordata	Actinopteri	AB458138.1		164
S46	492.00000	Paracyprichromis_nigripinnis	Rh1	Chordata	Actinopteri	AB458122.1		164
S47	489.00000	Cyprichromis_pavo	Rh1	Chordata	Actinopteri	AB458119.1		164
S48	501.00000	Rod_ancestor_pigmenta	Rh1	Chordata	Ancestor	pigmenta		127
S49	501.00000	Rod_ancestor_pigmentb	Rh1	Chordata	Ancestor	pigmentb		127
S50	501.00000	Rod_ancestor_pigmentc	Rh1	Chordata	Ancestor	pigmentc		127
S51	501.00000	Rod_ancestor_pigmentd	Rh1	Chordata	Ancestor	pigmentd		127
S52	482.00000	Rod_ancestor_pigmente	Rh1	Chordata	Ancestor	pigmente		127
S53	502.00000	Rod_ancestor_pigmentf	Rh1	Chordata	Ancestor	pigmentf		127
S54	501.00000	Rod_ancestor_pigmentg	Rh1	Chordata	Ancestor	pigmentg		127
S55	502.00000	Rod_ancestor_pigmenth	Rh1	Chordata	Ancestor	pigmenth		127
S56	496.00000	Rod_ancestor_pigmenti	Rh1	Chordata	Ancestor	pigmenti		127
S57	485.00000	Rod_ancestor_pigmentj	Rh1	Chordata	Ancestor	pigmentj		127
S58	486.00000	Rod_ancestor_pigmenti	Rh1	Chordata	Ancestor	pigmentk		127
S59	486.00000	Conger_myriaster	Rh1	Chordata	Actinopteri	AB043817.1		127
S60	485.00000	Latimeria_chalumnae	Rh1	Chordata	Sarcopterygii	AH007712.2		127
S61	496.00000	Loxodonta_africana	Rh1	Chordata	Mammalia	AY686752.1		127
S62	483.00000	Sebastolobus_altivelis	Rh1	Chordata	Actinopteri	DQ490124		127
S63	526.00000	Aristostomias_scintillans	Rh1	Chordata	Actinopteri	EU407248.1		127
S64	489.00000	Chauliodus_macouni	Rh1	Chordata	Actinopteri	EU407250.1		127
S65	492.00000	Stenobrachius_leucopsarus	Rh1	Chordata	Actinopteri	EU407251.1		127
S66	507.00000	Lepidopus_fitchi	Rh1	Chordata	Actinopteri	EU407252.1		127
S67	486.00000	Lepidopus_fitchi	Rh1	Chordata	Actinopteri	EU407253.1		127
S68	491.00000	Anolis_carolinensis	Rh1	Chordata	Lepidosauria	L31503		127
S69	479.00000	Anguilla_japonica	Rh1	Chordata	Actinopteri	LC464070.1		127
S70	504.00000	Astyanax_mexicanus	Rh1	Chordata	Actinopteri	U12328.1		127
S71	489.00000	Tursiops_truncatus	Rh1	Chordata	Mammalia	NM_001280659.1		286
S72	524.00000	Tursiops_truncatus	LWS	Chordata	Mammalia	XM_019933644.2		286
S73	467.00000	Gekko_gecko	Rh2	Chordata	Lepidosauria	M92035		121
S74	452.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223053.1		121
S75	496.00000	Anolis_carolinensis	Rh2	Chordata	Lepidosauria	NM_001291394.1		121
S76	467.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087805.2		138
S77	476.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087806.2		138
S78	488.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087807.1		138
S79	505.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087808.2		138
S80	536.00000	Petromyzon_marinus	LWS	Chordata	Hyperoartia	EU571209.1		133
S81	501.00000	Petromyzon_marinus	Rh1	Chordata	Hyperoartia	AH005459.2		133
S82	562.80000	Carassius_auratus	LWS	Chordata	Actinopteri	L11867.1		133
S83	463.00000	Cottus_gobio	SWS2	Chordata	Actinopteri	AJ430489.1		129
S84	359.00000	Carassius_auratus	SWS1	Chordata	Actinopteri	D85863.1		132
S85	355.00000	Danio_rerio	SWS1	Chordata	Actinopteri	AB087810.1		132
S86	423.00000	Xenopus_laevis	SWS1	Chordata	Amphibia	NM_001085652.1		132
S87	356.00000	Ambystoma_tigrinum	SWS1	Chordata	Amphibia	AF038948.1		132
S88	358.00000	Anolis_carolinensis	SWS1	Chordata	Lepidosauria	AH007736.2		132
S89	360.00000	Gekko_gecko	SWS1	Chordata	Lepidosauria	AY024356.1		132
S90	393.00000	Columba_livia	SWS1	Chordata	Aves	AH007798.2		132
S91	359.00000	Taeniopygia_guttata	SWS1	Chordata	Aves	AF222331.1		132
S92	419.00000	Gallus_gallus	SWS1	Chordata	Aves	M92039.1		132
S93	360.00000	Melopsittacus_undulatus	SWS1	Chordata	Aves	Y11787.1		132
S94	414.00000	Homo_sapiens	SWS1	Chordata	Mammalia	AH003620.2		132
S95	359.00000	Mus_musculus	SWS1	Chordata	Mammalia	NP_031564.1		132
S96	358.00000	Rattus_norvegicus	SWS1	Chordata	Mammalia	U63972.1		132
S97	420.00000	Cavia_porcellus	SWS1	Chordata	Mammalia	AY552608.1		132
S98	419.00000	Loxodonta_africana	SWS1	Chordata	Mammalia	AY686753.1		132
S99	420.00000	Notamacropus_eugenii	SWS1	Chordata	Mammalia	AY286017.1		132
S100	489.00000	Delphinus_delphis	Rh1	Chordata	Mammalia	AF055314		144
S101	488.00000	Globicephala_melas	Rh1	Chordata	Mammalia	AF055315		144
S102	484.00000	Mesoplodon_bidens	Rh1	Chordata	Mammalia	AF055316		144
S103	501.00000	Phoca_vitulina	Rh1	Chordata	Mammalia	AF055317		144
S104	498.00000	Phoca_groenlandicus	Rh1	Chordata	Mammalia	AF055318		144
S105	502.00000	Trichechus_manatus	Rh1	Chordata	Mammalia	AF055319		144
S106	571.00000	Papilio_xuthus	IV-Rh3	Arthropoda	Insecta	AB007425.1		347
S107	540.00000	Papilio_xuthus	IV-Rh1	Arthropoda	Insecta	AB007423.1		347
S108	492.00000	Carassius_auratus	Rh1	Chordata	Actinopteri	L11863.1		155
S109	505.00000	Gambusia_holbrooki	Rh1	Chordata	Actinopteri	Y11146.1		155
S110	502.00000	Xenopus_laevis	Rh1	Chordata	Amphibia	L07770.1		155
S111	502.00000	Lithobates_pipiens	Rh1	Chordata	Amphibia	S49004		155
S112	500.00000	Lithobates_catesbeianus	Rh1	Chordata	Amphibia	S79840		155
S113	506.00000	Ambystoma_tigrinum	Rh1	Chordata	Amphibia	U36574		155
S114	502.00000	Columba_livia	Rh1	Chordata	Aves	AH007730.2		155
S115	502.00000	Taeniopygia_guttata	Rh1	Chordata	Aves	AF222329		155
S116	503.00000	Gallus_gallus	Rh1	Chordata	Aves	D00702		155
S117	511.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11865		155
S118	506.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11866		155
S119	503.00000	Columba_livia	Rh2	Chordata	Aves	AH007731.2		155
S120	505.00000	Taeniopygia_guttata	Rh2	Chordata	Aves	AF222330		155
S121	511.00000	Gallus_gallus	Rh2	Chordata	Aves	M92038		155
S122	443.00000	Carassius_auratus	SWS2	Chordata	Actinopteri	L11864		155
S123	437.00000	Anolis_carolinensis	SWS2	Chordata	Lepidosauria	AF133907		155
S124	448.00000	Columba_livia	SWS2	Chordata	Aves	AH007799.2		155
S125	441.00000	Taeniopygia_guttata	SWS2	Chordata	Aves	AF222332		155
S126	455.00000	Gallus_gallus	SWS2	Chordata	Aves	M92037		155
S127	561.00000	Anolis_carolinensis	LWS	Chordata	Lepidosauria	U08131		155
S128	558.00000	Columba_livia	LWS	Chordata	Aves	AH007800.2		155
S129	560.00000	Taeniopygia_guttata	LWS	Chordata	Aves	AF222333.1		155
S130	571.00000	Gallus_gallus	LWS	Chordata	Aves	M62903.1		155
S131	532.00000	Homo_sapiens	LWS	Chordata	Mammalia	AH005296.2		155
S132	563.00000	Homo_sapiens	LWS	Chordata	Mammalia	AH005298.2		155
S133	553.00000	Capra_hircus	LWS	Chordata	Mammalia	AH006594.2		155
S134	509.00000	Oryctolagus_cuniculus	MWS	Chordata	Mammalia	AH006945.2		155
S135	508.00000	Mus_musculus	MWS	Chordata	Mammalia	AF011389.1		155
S136	509.00000	Rattus_norvegicus	MWS	Chordata	Mammalia	AH006946.2		155
S137	553.00000	Felis_catus	LWS	Chordata	Mammalia	AF132040		155
S138	545.00000	Equus_caballus	LWS	Chordata	Mammalia	AF132043		155
S139	531.00000	Odocoileus_virginianus	LWS	Chordata	Mammalia	AF132041		155
S140	516.00000	Cavia_porcellus	MWS	Chordata	Mammalia	AF132042.1		155
S141	532.00000	Neosciurus_carolinensis	LWS	Chordata	Mammalia	AF132044		155
S142	435.00000	Eumaeus_atala	BRh1	Arthropoda	Insecta	MN831881.1		350
S143	500.00000	Eumaeus_atala	BRh2	Arthropoda	Insecta	MN831882.1		350
S144	569.00000	Eumaeus_atala	LWRh	Arthropoda	Insecta	MN831883.1		350
S145	352.00000	Eumaeus_atala	UVRh	Arthropoda	Insecta	MN831884.1		350
S146	578.00000	Arhopala_japonica	LWRh	Arthropoda	Insecta	MN831885.1		350
S147	571.00000	Poecilia_reticulata	LWS1	Chordata	Actinopteri	AB748985.1		353
S148	562.00000	Poecilia_reticulata	LWS1	Chordata	Actinopteri	AB748984		353
S149	516.00000	Poecilia_reticulata	LWS2	Chordata	Actinopteri	LC127183		353
S150	519.00000	Poecilia_reticulata	LWS3	Chordata	Actinopteri	LC127184		353
S151	516.00000	Poecilia_reticulata	RH2-1	Chordata	Actinopteri	LC127186		353
S152	476.00000	Poecilia_reticulata	RH2-2	Chordata	Actinopteri	LC127187		353
S153	438.00000	Poecilia_reticulata	SWS2-A	Chordata	Actinopteri	LC127188		353
S154	408.00000	Poecilia_reticulata	SWS2-B	Chordata	Actinopteri	LC127189		353
S155	353.00000	Poecilia_reticulata	SWS1	Chordata	Actinopteri	LC127190		353
S156	503.00000	Poecilia_reticulata	RH1	Chordata	Actinopteri	LC127191		353
S157	358.00000	Geotria_australis	SWS1	Chordata	Hyperoartia	KT749677		137
S158	439.00000	Geotria_australis	SWS2	Chordata	Hyperoartia	AY366492		137
S159	497.00000	Geotria_australis	RhA	Chordata	Hyperoartia	AY366493		137
S160	492.00000	Geotria_australis	RhB	Chordata	Hyperoartia	AY366494		137
S161	508.00000	Phreatichthys_andruzzii	Rh1	Chordata	Actinopteri	JQ413240		361
S162	505.00000	Phreatichthys_andruzzii	exoRh	Chordata	Actinopteri	GQ404491.1		361
S163	502.00000	Danio_rerio	Rh1	Chordata	Actinopteri	AF109368		361
S164	498.00000	Danio_rerio	exoRh	Chordata	Actinopteri	NM131212.2		361
S165	483.00000	Platynereis_dumerilii	IV-Opn3	Annelida	Polychaeta	AY692353.1		359
S166	480.00000	Drosophila_melanogaster	Inv-Rh1	Arthropoda	Insecta	NM_079683.3		357
S167	450.00000	Pieris_rapae	PrB	Streptophyta	Magnoliopsida	AB208675.1		360
S168	420.00000	Pieris_rapae	PrV	Streptophyta	Magnoliopsida	AB208674.1		360
S169	561.00000	Grus_americana	LWS	Chordata	Aves	KM508487		362
S170	500.00000	Grus_americana	Rh1	Chordata	Aves	KM508488		362
S171	499.00000	Grus_americana	Rh2	Chordata	Aves	KM508489		362
S172	404.00000	Grus_americana	SWS1	Chordata	Aves	KM508490		362
S173	450.00000	Grus_americana	SWS2	Chordata	Aves	KM508491		362
S174	486.00000	Scopelarchus_analis	Rh1	Chordata	Actinopteri	EF517404.1		363
S175	479.00000	Scopelarchus_analis	Rh1	Chordata	Actinopteri	EF517405.1		363
S176	539.00000	Otolemur_crassicaudatus	LWS	Chordata	Mammalia	AB112590.1		364
S177	502.00000	Otolemur_crassicaudatus	Rh1	Chordata	Mammalia	AB112591.1		364
S178	525.00000	Argopecten_irradians	Rtc	Mollusca	Bivalvia	KX550908.1		376
S179	496.00000	Pecten_maximus	Rtc	Mollusca	Bivalvia	XM_033877948.1		376
S180	435.00000	Bos_taurus	SWS1	Chordata	Mammalia	U92557.1		378
S181	431.00000	Limenitis_a.astyanax	IV-Rh1	Arthropoda	Insecta	AY918902.2		380
S182	439.00000	Danaus_plexippus	IV-Rh1	Arthropoda	Insecta	AY605544		380
S183	431.00000	Limenitis_a.archippus	IV-Rh1	Arthropoda	Insecta	EU358777		380
S184	516.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223054		367
S185	492.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223055		367
S186	448.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(400681-404250)		367
S187	494.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(376983-378663)		367
S188	447.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260048		367
S189	517.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260049		367
S190	486.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260050		367
S191	469.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260051		367
S192	516.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260052		367
S193	491.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260053		367
S194	460.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260054		367
S195	519.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260055		367
S196	491.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260056		367
S197	462.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260057		367
S198	517.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260058		367
S199	493.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260059		367
S200	485.00000	Verasper_variegatus	SWS2	Chordata	Actinopteri	A0A1L7P076		368
S201	416.00000	Verasper_variegatus	SWS2	Chordata	Actinopteri	A0A1L7P082		368
S202	452.00000	Microstomus_achne	SWS2	Chordata	Actinopteri	A0A1L7P074		368
S203	466.00000	Paralichthys_olivaceus	SWS2	Chordata	Actinopteri	D7RP09		368
S204	439.00000	Oryzias_latipes	SWS2	Chordata	Actinopteri	Q2L6A3		368
S205	405.00000	Oryzias_latipes	SWS2	Chordata	Actinopteri	Q2L6A2		368
S206	448.00000	Lucania_goodei	SWS2	Chordata	Actinopteri	Q7T2U6		368
S207	397.00000	Lucania_goodei	SWS2	Chordata	Actinopteri	Q7T2U7		368
S208	416.00000	Danio_rerio	SWS2	Chordata	Actinopteri	Q9W6A8		368
S209	505.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_131254.1		371
S210	528.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088651		387
S211	519.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088650		387
S212	484.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088652		387
S213	423.00000	Metriaclima_zebra	SWS2	Chordata	Actinopteri	DQ088649		387
S214	368.00000	Metriaclima_zebra	SWS1	Chordata	Actinopteri	DQ088648		387
S215	507.00000	Gallus_gallus	Rh1	Chordata	Aves	NM_001397497.1		170
S216	508.00000	Archosaur_sp.	Rh1	Chordata	Ancestor	AF310191.1		167
S217	503.00000	AncAgnatha_sp.	Rh2	Chordata	Ancestor	AncAgnatha		159
S218	488.00000	AncActino_sp.	Rh2	Chordata	Ancestor	AncActino		159
S219	491.00000	AncTeleost_sp.	Rh2	Chordata	Ancestor	AncTeleost		159
S220	491.00000	AncClupeoc_sp.	Rh2	Chordata	Ancestor	AncClupeoc		159
S221	489.00000	AncCyprin1_sp.	Rh2	Chordata	Ancestor	AncCyprin1		159
S222	505.00000	AncCyprin2_sp.	Rh2	Chordata	Ancestor	AncCyprin2		159
S223	488.00000	AncEutelo1_sp.	Rh2	Chordata	Ancestor	AncEutelo1		159
S224	489.00000	AncEutelo2_sp.	Rh2	Chordata	Ancestor	AncEutelo2		159
S225	474.00000	AncEutelo3_sp.	Rh2	Chordata	Ancestor	AncEutelo3		159
S226	524.00000	AncEutelo4_sp.	Rh2	Chordata	Ancestor	AncEutelo4		159
S227	488.00000	AncTetrapod_sp.	Rh2	Chordata	Ancestor	AncTetrapod		159
S228	499.00000	AncSaurops_sp.	Rh2	Chordata	Ancestor	AncSaurops		159
S229	497.00000	AncSquamat_sp.	Rh2	Chordata	Ancestor	AncSquamat		159
S230	500.00000	Lethenteron_camtschaticum	Rh1	Chordata	Hyperoartia	M63632.1		155
S231	478.00000	Latimeria_chalumnae	Rh2	Chordata	Sarcopterygii	AH007713.2		389
S232	361.00000	swsanc1_sp.	UVS	Chordata	Ancestor	swsanc1		410
S233	360.00000	swsanc2_sp.	UVS	Chordata	Ancestor	swsanc2		410
S234	359.00000	swsanc3_sp.	UVS	Chordata	Ancestor	swsanc3		410
S235	360.00000	swsanc4_sp.	UVS	Chordata	Ancestor	swsanc4		410
S236	360.00000	swsanc5_sp.	UVS	Chordata	Ancestor	swsanc5		410
S237	393.00000	swsanc6_sp.	SWS	Chordata	Ancestor	swsanc6		410
S238	359.00000	swsanc7_sp.	UVS	Chordata	Ancestor	swsanc7		410
S239	393.00000	swsanc5'_sp.	UVS	Chordata	Ancestor	swsanc5'		410
S240	552.00000	Loxodonta_africana	LWS	Chordata	Mammalia	AY686754.1		415
S241	363.00000	Callosobruchus_maculatus	IV-UVS	Arthropoda	Insecta	OP722929.1		418
S242	511.00000	Callosobruchus_maculatus	IV-LWS	Arthropoda	Insecta	OP722946.1		418
S243	431.00000	Chrysochroa_rajah	inv-UVS	Arthropoda	Insecta	OP722930.1		418
S244	356.00000	Chrysochroa_rajah	IV-UVS	Arthropoda	Insecta	OP722931.1		418
S245	357.00000	Chrysochroa_mniszechii	IV-UVS	Arthropoda	Insecta	OP722932.1		418
S246	442.00000	Chrysochroa_mniszechii	IV-UVS	Arthropoda	Insecta	OP722933.1		418
S247	584.00000	Chrysochroa_rajah	IV-LWS	Arthropoda	Insecta	OP722947.1		418
S248	509.00000	Chrysochroa_rajah	IV-LWS	Arthropoda	Insecta	OP722948.1		418
S249	572.00000	Chrysochroa_mniszechii	IV-LWS	Arthropoda	Insecta	OP722949.1		418
S250	507.00000	Chrysochroa_mniszechii	IV-LWS	Arthropoda	Insecta	OP722950.1		418
S251	563.00000	lwsanc_pigmenta_sp.	LWS	Chordata	Ancestor	lwsanc_pigmenta		414
S252	563.00000	lwsanc_pigmentb_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentb		414
S253	561.00000	lwsanc_pigmentc_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentc		414
S254	558.00000	lwsanc_pigmentd_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentd		414
S255	558.00000	lwsanc_pigmente_sp.	LWS	Chordata	Ancestor	lwsanc_pigmente		414
S256	536.00000	lwsanc_pigmentf_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentf		414
S257	561.00000	lwsanc_pigmentg_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentg		414
S258	564.00000	lwsanc_pigmenti_sp.	LWS	Chordata	Ancestor	lwsanc_pigmenti		414
S259	532.00000	lwsanc_pigmentx_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentx		414
S260	553.00000	lwsanc_pigmenty_sp.	LWS	Chordata	Ancestor	lwsanc_pigmenty		414
S261	532.00000	lwsanc_pigmentz_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentz		414
S262	359.00000	Phodopus_sungorus	SWS1	Chordata	Mammalia	JQ036217		421
S263	403.00000	Chlamydera_nuchalis	SWS1	Chordata	Aves	CNUCHCUSTOM		354
S264	539.00000	Neogonodactylus_oerstedii	IV-LWS	Arthropoda	Malacostraca	MT112877		416
S265	611.00000	Neogonodactylus_oerstedii	IV-LWS	Arthropoda	Malacostraca	MT112883		416
S266	542.00000	Sympetrum_frequens	IV-LWS	Arthropoda	Insecta	LC009064		416
S267	557.00000	Sympetrum_frequens	IV-LWS	Arthropoda	Insecta	LC009061		416
S268	577.00000	Epargyreus_clarus	IV-LWS	Arthropoda	Insecta	OK930070.1		416
S269	532.00000	Macroglossum_stellatarum	IV-LWS	Arthropoda	Insecta	KF539444		416
S270	532.00000	Automeris_io	IV-LWS	Arthropoda	Insecta	OK930069.1		416
S271	537.00000	Anisota_stigma	IV-LWS	Arthropoda	Insecta	OK930068.1		416
S272	518.00000	Callophrys_sheridanii	IV-LWS	Arthropoda	Insecta	MN831887.1		416
S273	482.00000	Physeter_catodon	Rh1	Chordata	Mammalia	XM_007126220		419
S274	431.00000	Ochotona_princeps	SWS1	Chordata	Mammalia	XM_004592516		419
S275	485.00000	Sinomicrurus_japonicusboettgeri	Rh1	Chordata	Lepidosauria	LC543598		424
S276	482.00000	Laticauda_semifasciata	Rh1	Chordata	Lepidosauria	LC543599		424
S277	494.00000	Emydocephalus_ijimae	Rh1	Chordata	Lepidosauria	LC543603		424
S278	490.00000	Hydrophis_ornatus	Rh1	Chordata	Lepidosauria	LC543606		424
S279	551.00000	Hydrophis_ornatus	LWS	Chordata	Lepidosauria	LC543597		424
S280	539.00000	Aotus_azaraiboliviensis	LWS	Chordata	Lepidosauria	AB081277.2		384
S281	532.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006283		384
S282	545.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006282		384
S283	558.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006281		384
S284	430.00000	Anopheles_stephensi	IV-SWS	Arthropoda	Insecta	LC710140		441
S285	430.00000	Apis_cerana		Arthropoda	Insecta	AB355817		472
S286	340.00000	Apis_cerana		Arthropoda	Insecta	AB355816		472
S287	500.00000	Anopheles_stephensi	IV-Opn3	Arthropoda	Insecta	AB753162		442
S288	347.00000	Drosophila_melanogaster	IV-RH	Arthropoda	Insecta	NM_079687.3		483
S289	436.00000	Drosophilia_melanogaster	Rh-MWS	Arthropoda	Insecta	U67905.1		483
S290	350.00000	Drosophila_melanogaster	IV-RH	Arthropoda	Insecta	AY060299		500
S291	513.00000	Limulus_polyphemus	IV-RH	Arthropoda	Merostomata	L03782.1		504
S292	357.00000	AncBoreotheria_sp.	SWS1	Chordata	Ancestor	AncBoreotheria		510
S293	364.00000	AncEuteleost_sp.	SWS1	Chordata	Ancestor	AncEuteleost		521
S294	359.00000	AncMammal_sp.	SWS1	Chordata	Ancestor	AncMammal		521
S295	360.00000	AncEutheria_sp.	SWS1	Chordata	Ancestor	AncEutheria		521
S296	371.00000	Stenobrachius_leucopsarus	SWS1	Chordata	Actinopteri	FJ443127		523
S297	355.00000	Lucania_goodei	SWS1	Chordata	Actinopteri	AY296735.1		523
S298	423.00000	Lepidopus_fitchi	SWS1	Chordata	Actinopteri	FJ443126		523
S299	360.00000	Oreochromis_niloticus	SWS1	Chordata	Actinopteri	DQ235678.1		524
S300	425.00000	Oreochromis_niloticus	SWS2	Chordata	Actinopteri	DQ235679.1		524
S301	456.00000	Oreochromis_niloticus	SWS2	Chordata	Actinopteri	DQ235680.1		524
S302	472.00000	Oreochromis_niloticus	Rh2B	Chordata	Actinopteri	DQ235681.1		524
S303	517.00000	Oreochromis_niloticus	RH2A	Chordata	Actinopteri	DQ235682.1		524
S304	528.00000	Oreochromis_niloticus	RH2A	Chordata	Actinopteri	DQ235683.1		524
S305	560.00000	Oreochromis_niloticus	LWS	Chordata	Actinopteri	DQ235684.1		524
S306	356.00000	latipes_latipes	SWS1	Chordata	Oryzias	AB223058		527
S307	561.00000	latipes_latipes	LWS	Chordata	Oryzias	AB223051.1		527
S308	562.00000	latipes_latipes	LWS	Chordata	Oryzias	AB223052.1		527
S309	502.00000	latipes_latipes	RH1	Chordata	Oryzias	AB180742.1		527
S310	369.00000	Dissostichus_mawsoni	SWS1	Chordata	Actinopteri	AY927651.1		528
