	Lambda_Max	Species	Opsin_Family	Phylum	Class	Accession	Mutations	RefId
S31	490.00000	Perissodus_elaviae	Rh1	Chordata	Actinopteri	AB185230.1		163
S32	498.00000	Pseudotropheus_sp.	Rh1	Chordata	Actinopteri	GQ422475.1		163
S33	502.00000	Spathodus_erythrodon	Rh1	Chordata	Actinopteri	AB084941.1		163
S34	484.00000	Trematocara_unimaculatum	Rh1	Chordata	Actinopteri	AB185238.1		163
S35	488.00000	Trematocara_macrostoma	Rh1	Chordata	Actinopteri	AB084945.1		163
S36	501.00000	Tropheus_duboisi	Rh1	Chordata	Actinopteri	AB084946.1		163
S37	488.00000	Xenotilapia_nigrolabiata	Rh1	Chordata	Actinopteri	AB458130.1		163
S38	491.00000	Xenotilapia_caudafasciata	Rh1	Chordata	Actinopteri	AB458131.1		163
S39	503.00000	Xenotilapia_ochrogenys	Rh1	Chordata	Actinopteri	AB084947.1		163
S40	497.90000	Tachyglossus_aculeatus	Rh1	Chordata	Mammalia	JX103830		116
S41	500.00000	Cyprichromis_leptosoma	Rh1	Chordata	Actinopteri	AB458118.1		164
S42	491.00000	Paracyprichromis_brieni	Rh1	Chordata	Actinopteri	AB458120.1		164
S43	497.00000	Xenotilapia_papilio	Rh1	Chordata	Actinopteri	AB457996.1		164
S44	494.00000	Paracyprichromis_brieni	Rh1	Chordata	Actinopteri	AB458121.1		164
S45	493.00000	Neolamprologus_ventralis	Rh1	Chordata	Actinopteri	AB458138.1		164
S46	492.00000	Paracyprichromis_nigripinnis	Rh1	Chordata	Actinopteri	AB458122.1		164
S47	489.00000	Cyprichromis_pavo	Rh1	Chordata	Actinopteri	AB458119.1		164
S48	501.00000	Rod_ancestor_pigmenta	Rh1	Chordata	Ancestor	pigmenta		127
S49	501.00000	Rod_ancestor_pigmentb	Rh1	Chordata	Ancestor	pigmentb		127
S50	501.00000	Rod_ancestor_pigmentc	Rh1	Chordata	Ancestor	pigmentc		127
S51	501.00000	Rod_ancestor_pigmentd	Rh1	Chordata	Ancestor	pigmentd		127
S52	482.00000	Rod_ancestor_pigmente	Rh1	Chordata	Ancestor	pigmente		127
S53	502.00000	Rod_ancestor_pigmentf	Rh1	Chordata	Ancestor	pigmentf		127
S54	501.00000	Rod_ancestor_pigmentg	Rh1	Chordata	Ancestor	pigmentg		127
S55	502.00000	Rod_ancestor_pigmenth	Rh1	Chordata	Ancestor	pigmenth		127
S56	496.00000	Rod_ancestor_pigmenti	Rh1	Chordata	Ancestor	pigmenti		127
S57	485.00000	Rod_ancestor_pigmentj	Rh1	Chordata	Ancestor	pigmentj		127
S58	486.00000	Rod_ancestor_pigmenti	Rh1	Chordata	Ancestor	pigmentk		127
S59	486.00000	Conger_myriaster	Rh1	Chordata	Actinopteri	AB043817.1		127
S60	485.00000	Latimeria_chalumnae	Rh1	Chordata	Sarcopterygii	AH007712.2		127
S61	496.00000	Loxodonta_africana	Rh1	Chordata	Mammalia	AY686752.1		127
S62	483.00000	Sebastolobus_altivelis	Rh1	Chordata	Actinopteri	DQ490124		127
S63	526.00000	Aristostomias_scintillans	Rh1	Chordata	Actinopteri	EU407248.1		127
S64	489.00000	Chauliodus_macouni	Rh1	Chordata	Actinopteri	EU407250.1		127
S65	492.00000	Stenobrachius_leucopsarus	Rh1	Chordata	Actinopteri	EU407251.1		127
S66	507.00000	Lepidopus_fitchi	Rh1	Chordata	Actinopteri	EU407252.1		127
S67	486.00000	Lepidopus_fitchi	Rh1	Chordata	Actinopteri	EU407253.1		127
S68	491.00000	Anolis_carolinensis	Rh1	Chordata	Lepidosauria	L31503		127
S69	479.00000	Anguilla_japonica	Rh1	Chordata	Actinopteri	LC464070.1		127
S70	504.00000	Astyanax_mexicanus	Rh1	Chordata	Actinopteri	U12328.1		127
S71	489.00000	Tursiops_truncatus	Rh1	Chordata	Mammalia	NM_001280659.1		286
S72	524.00000	Tursiops_truncatus	LWS	Chordata	Mammalia	XM_019933644.2		286
S73	467.00000	Gekko_gecko	Rh2	Chordata	Lepidosauria	M92035		121
S74	452.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223053.1		121
S75	496.00000	Anolis_carolinensis	Rh2	Chordata	Lepidosauria	NM_001291394.1		121
S76	467.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087805.2		138
S77	476.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087806.2		138
S78	488.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087807.1		138
S79	505.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087808.2		138
S80	536.00000	Petromyzon_marinus	LWS	Chordata	Hyperoartia	EU571209.1		133
S81	501.00000	Petromyzon_marinus	Rh1	Chordata	Hyperoartia	AH005459.2		133
S82	562.80000	Carassius_auratus	LWS	Chordata	Actinopteri	L11867.1		133
S83	463.00000	Cottus_gobio	SWS2	Chordata	Actinopteri	AJ430489.1		129
S84	359.00000	Carassius_auratus	SWS1	Chordata	Actinopteri	D85863.1		132
S85	355.00000	Danio_rerio	SWS1	Chordata	Actinopteri	AB087810.1		132
S86	423.00000	Xenopus_laevis	SWS1	Chordata	Amphibia	NM_001085652.1		132
S87	356.00000	Ambystoma_tigrinum	SWS1	Chordata	Amphibia	AF038948.1		132
S88	358.00000	Anolis_carolinensis	SWS1	Chordata	Lepidosauria	AH007736.2		132
S89	360.00000	Gekko_gecko	SWS1	Chordata	Lepidosauria	AY024356.1		132
S90	393.00000	Columba_livia	SWS1	Chordata	Aves	AH007798.2		132
S91	359.00000	Taeniopygia_guttata	SWS1	Chordata	Aves	AF222331.1		132
S92	419.00000	Gallus_gallus	SWS1	Chordata	Aves	M92039.1		132
S93	360.00000	Melopsittacus_undulatus	SWS1	Chordata	Aves	Y11787.1		132
S94	414.00000	Homo_sapiens	SWS1	Chordata	Mammalia	AH003620.2		132
S95	359.00000	Mus_musculus	SWS1	Chordata	Mammalia	NP_031564.1		132
S96	358.00000	Rattus_norvegicus	SWS1	Chordata	Mammalia	U63972.1		132
S97	420.00000	Cavia_porcellus	SWS1	Chordata	Mammalia	AY552608.1		132
S98	419.00000	Loxodonta_africana	SWS1	Chordata	Mammalia	AY686753.1		132
S99	420.00000	Notamacropus_eugenii	SWS1	Chordata	Mammalia	AY286017.1		132
S100	489.00000	Delphinus_delphis	Rh1	Chordata	Mammalia	AF055314		144
S101	488.00000	Globicephala_melas	Rh1	Chordata	Mammalia	AF055315		144
S102	484.00000	Mesoplodon_bidens	Rh1	Chordata	Mammalia	AF055316		144
S103	501.00000	Phoca_vitulina	Rh1	Chordata	Mammalia	AF055317		144
S104	498.00000	Phoca_groenlandicus	Rh1	Chordata	Mammalia	AF055318		144
S105	502.00000	Trichechus_manatus	Rh1	Chordata	Mammalia	AF055319		144
S106	492.00000	Carassius_auratus	Rh1	Chordata	Actinopteri	L11863.1		155
S107	505.00000	Gambusia_holbrooki	Rh1	Chordata	Actinopteri	Y11146.1		155
S108	502.00000	Xenopus_laevis	Rh1	Chordata	Amphibia	L07770.1		155
S109	502.00000	Lithobates_pipiens	Rh1	Chordata	Amphibia	S49004		155
S110	500.00000	Lithobates_catesbeianus	Rh1	Chordata	Amphibia	S79840		155
S111	506.00000	Ambystoma_tigrinum	Rh1	Chordata	Amphibia	U36574		155
S112	502.00000	Columba_livia	Rh1	Chordata	Aves	AH007730.2		155
S113	502.00000	Taeniopygia_guttata	Rh1	Chordata	Aves	AF222329		155
S114	503.00000	Gallus_gallus	Rh1	Chordata	Aves	D00702		155
S115	511.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11865		155
S116	506.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11866		155
S117	503.00000	Columba_livia	Rh2	Chordata	Aves	AH007731.2		155
S118	505.00000	Taeniopygia_guttata	Rh2	Chordata	Aves	AF222330		155
S119	511.00000	Gallus_gallus	Rh2	Chordata	Aves	M92038		155
S120	443.00000	Carassius_auratus	SWS2	Chordata	Actinopteri	L11864		155
S121	437.00000	Anolis_carolinensis	SWS2	Chordata	Lepidosauria	AF133907		155
S122	448.00000	Columba_livia	SWS2	Chordata	Aves	AH007799.2		155
S123	441.00000	Taeniopygia_guttata	SWS2	Chordata	Aves	AF222332		155
S124	455.00000	Gallus_gallus	SWS2	Chordata	Aves	M92037		155
S125	561.00000	Anolis_carolinensis	LWS	Chordata	Lepidosauria	U08131		155
S126	558.00000	Columba_livia	LWS	Chordata	Aves	AH007800.2		155
S127	560.00000	Taeniopygia_guttata	LWS	Chordata	Aves	AF222333.1		155
S128	571.00000	Gallus_gallus	LWS	Chordata	Aves	M62903.1		155
S129	532.00000	Homo_sapiens	LWS	Chordata	Mammalia	AH005296.2		155
S130	563.00000	Homo_sapiens	LWS	Chordata	Mammalia	AH005298.2		155
S131	553.00000	Capra_hircus	LWS	Chordata	Mammalia	AH006594.2		155
S132	509.00000	Oryctolagus_cuniculus	MWS	Chordata	Mammalia	AH006945.2		155
S133	508.00000	Mus_musculus	MWS	Chordata	Mammalia	AF011389.1		155
S134	509.00000	Rattus_norvegicus	MWS	Chordata	Mammalia	AH006946.2		155
S135	553.00000	Felis_catus	LWS	Chordata	Mammalia	AF132040		155
S136	545.00000	Equus_caballus	LWS	Chordata	Mammalia	AF132043		155
S137	531.00000	Odocoileus_virginianus	LWS	Chordata	Mammalia	AF132041		155
S138	516.00000	Cavia_porcellus	MWS	Chordata	Mammalia	AF132042.1		155
S139	532.00000	Neosciurus_carolinensis	LWS	Chordata	Mammalia	AF132044		155
S140	571.00000	Poecilia_reticulata	LWS1	Chordata	Actinopteri	AB748985.1		353
S141	562.00000	Poecilia_reticulata	LWS1	Chordata	Actinopteri	AB748984		353
S142	516.00000	Poecilia_reticulata	LWS2	Chordata	Actinopteri	LC127183		353
S143	519.00000	Poecilia_reticulata	LWS3	Chordata	Actinopteri	LC127184		353
S144	516.00000	Poecilia_reticulata	RH2-1	Chordata	Actinopteri	LC127186		353
S145	476.00000	Poecilia_reticulata	RH2-2	Chordata	Actinopteri	LC127187		353
S146	438.00000	Poecilia_reticulata	SWS2-A	Chordata	Actinopteri	LC127188		353
S147	408.00000	Poecilia_reticulata	SWS2-B	Chordata	Actinopteri	LC127189		353
S148	353.00000	Poecilia_reticulata	SWS1	Chordata	Actinopteri	LC127190		353
S149	503.00000	Poecilia_reticulata	RH1	Chordata	Actinopteri	LC127191		353
S150	358.00000	Geotria_australis	SWS1	Chordata	Hyperoartia	KT749677		137
S151	439.00000	Geotria_australis	SWS2	Chordata	Hyperoartia	AY366492		137
S152	497.00000	Geotria_australis	RhA	Chordata	Hyperoartia	AY366493		137
S153	492.00000	Geotria_australis	RhB	Chordata	Hyperoartia	AY366494		137
S154	508.00000	Phreatichthys_andruzzii	Rh1	Chordata	Actinopteri	JQ413240		361
S155	505.00000	Phreatichthys_andruzzii	exoRh	Chordata	Actinopteri	GQ404491.1		361
S156	502.00000	Danio_rerio	Rh1	Chordata	Actinopteri	AF109368		361
S157	498.00000	Danio_rerio	exoRh	Chordata	Actinopteri	NM131212.2		361
S158	561.00000	Grus_americana	LWS	Chordata	Aves	KM508487		362
S159	500.00000	Grus_americana	Rh1	Chordata	Aves	KM508488		362
S160	499.00000	Grus_americana	Rh2	Chordata	Aves	KM508489		362
S161	404.00000	Grus_americana	SWS1	Chordata	Aves	KM508490		362
S162	450.00000	Grus_americana	SWS2	Chordata	Aves	KM508491		362
S163	486.00000	Scopelarchus_analis	Rh1	Chordata	Actinopteri	EF517404.1		363
S164	479.00000	Scopelarchus_analis	Rh1	Chordata	Actinopteri	EF517405.1		363
S165	539.00000	Otolemur_crassicaudatus	LWS	Chordata	Mammalia	AB112590.1		364
S166	502.00000	Otolemur_crassicaudatus	Rh1	Chordata	Mammalia	AB112591.1		364
S167	435.00000	Bos_taurus	SWS1	Chordata	Mammalia	U92557.1		378
S168	516.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223054		367
S169	492.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223055		367
S170	448.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(400681-404250)		367
S171	494.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(376983-378663)		367
S172	447.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260048		367
S173	517.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260049		367
S174	486.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260050		367
S175	469.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260051		367
S176	516.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260052		367
S177	491.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260053		367
S178	460.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260054		367
S179	519.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260055		367
S180	491.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260056		367
S181	462.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260057		367
S182	517.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260058		367
S183	493.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260059		367
S184	485.00000	Verasper_variegatus	SWS2	Chordata	Actinopteri	A0A1L7P076		368
S185	416.00000	Verasper_variegatus	SWS2	Chordata	Actinopteri	A0A1L7P082		368
S186	452.00000	Microstomus_achne	SWS2	Chordata	Actinopteri	A0A1L7P074		368
S187	466.00000	Paralichthys_olivaceus	SWS2	Chordata	Actinopteri	D7RP09		368
S188	439.00000	Oryzias_latipes	SWS2	Chordata	Actinopteri	Q2L6A3		368
S189	405.00000	Oryzias_latipes	SWS2	Chordata	Actinopteri	Q2L6A2		368
S190	448.00000	Lucania_goodei	SWS2	Chordata	Actinopteri	Q7T2U6		368
S191	397.00000	Lucania_goodei	SWS2	Chordata	Actinopteri	Q7T2U7		368
S192	416.00000	Danio_rerio	SWS2	Chordata	Actinopteri	Q9W6A8		368
S193	505.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_131254.1		371
S194	528.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088651		387
S195	519.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088650		387
S196	484.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088652		387
S197	423.00000	Metriaclima_zebra	SWS2	Chordata	Actinopteri	DQ088649		387
S198	368.00000	Metriaclima_zebra	SWS1	Chordata	Actinopteri	DQ088648		387
S199	507.00000	Gallus_gallus	Rh1	Chordata	Aves	NM_001397497.1		170
S200	508.00000	Archosaur_sp.	Rh1	Chordata	Ancestor	AF310191.1		167
S201	503.00000	AncAgnatha_sp.	Rh2	Chordata	Ancestor	AncAgnatha		159
S202	488.00000	AncActino_sp.	Rh2	Chordata	Ancestor	AncActino		159
S203	491.00000	AncTeleost_sp.	Rh2	Chordata	Ancestor	AncTeleost		159
S204	491.00000	AncClupeoc_sp.	Rh2	Chordata	Ancestor	AncClupeoc		159
S205	489.00000	AncCyprin1_sp.	Rh2	Chordata	Ancestor	AncCyprin1		159
S206	505.00000	AncCyprin2_sp.	Rh2	Chordata	Ancestor	AncCyprin2		159
S207	488.00000	AncEutelo1_sp.	Rh2	Chordata	Ancestor	AncEutelo1		159
S208	489.00000	AncEutelo2_sp.	Rh2	Chordata	Ancestor	AncEutelo2		159
S209	474.00000	AncEutelo3_sp.	Rh2	Chordata	Ancestor	AncEutelo3		159
S210	524.00000	AncEutelo4_sp.	Rh2	Chordata	Ancestor	AncEutelo4		159
S211	488.00000	AncTetrapod_sp.	Rh2	Chordata	Ancestor	AncTetrapod		159
S212	499.00000	AncSaurops_sp.	Rh2	Chordata	Ancestor	AncSaurops		159
S213	497.00000	AncSquamat_sp.	Rh2	Chordata	Ancestor	AncSquamat		159
S214	500.00000	Lethenteron_camtschaticum	Rh1	Chordata	Hyperoartia	M63632.1		155
S215	478.00000	Latimeria_chalumnae	Rh2	Chordata	Sarcopterygii	AH007713.2		389
S216	361.00000	swsanc1_sp.	UVS	Chordata	Ancestor	swsanc1		410
S217	360.00000	swsanc2_sp.	UVS	Chordata	Ancestor	swsanc2		410
S218	359.00000	swsanc3_sp.	UVS	Chordata	Ancestor	swsanc3		410
S219	360.00000	swsanc4_sp.	UVS	Chordata	Ancestor	swsanc4		410
S220	360.00000	swsanc5_sp.	UVS	Chordata	Ancestor	swsanc5		410
S221	393.00000	swsanc6_sp.	SWS	Chordata	Ancestor	swsanc6		410
S222	359.00000	swsanc7_sp.	UVS	Chordata	Ancestor	swsanc7		410
S223	393.00000	swsanc5'_sp.	UVS	Chordata	Ancestor	swsanc5'		410
S224	552.00000	Loxodonta_africana	LWS	Chordata	Mammalia	AY686754.1		415
S225	563.00000	lwsanc_pigmenta_sp.	LWS	Chordata	Ancestor	lwsanc_pigmenta		414
S226	563.00000	lwsanc_pigmentb_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentb		414
S227	561.00000	lwsanc_pigmentc_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentc		414
S228	558.00000	lwsanc_pigmentd_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentd		414
S229	558.00000	lwsanc_pigmente_sp.	LWS	Chordata	Ancestor	lwsanc_pigmente		414
S230	536.00000	lwsanc_pigmentf_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentf		414
S231	561.00000	lwsanc_pigmentg_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentg		414
S232	564.00000	lwsanc_pigmenti_sp.	LWS	Chordata	Ancestor	lwsanc_pigmenti		414
S233	532.00000	lwsanc_pigmentx_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentx		414
S234	553.00000	lwsanc_pigmenty_sp.	LWS	Chordata	Ancestor	lwsanc_pigmenty		414
S235	532.00000	lwsanc_pigmentz_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentz		414
S236	359.00000	Phodopus_sungorus	SWS1	Chordata	Mammalia	JQ036217		421
S237	403.00000	Chlamydera_nuchalis	SWS1	Chordata	Aves	CNUCHCUSTOM		354
S238	482.00000	Physeter_catodon	Rh1	Chordata	Mammalia	XM_007126220		419
S239	431.00000	Ochotona_princeps	SWS1	Chordata	Mammalia	XM_004592516		419
S240	485.00000	Sinomicrurus_japonicusboettgeri	Rh1	Chordata	Lepidosauria	LC543598		424
S241	482.00000	Laticauda_semifasciata	Rh1	Chordata	Lepidosauria	LC543599		424
S242	494.00000	Emydocephalus_ijimae	Rh1	Chordata	Lepidosauria	LC543603		424
S243	490.00000	Hydrophis_ornatus	Rh1	Chordata	Lepidosauria	LC543606		424
S244	551.00000	Hydrophis_ornatus	LWS	Chordata	Lepidosauria	LC543597		424
S245	539.00000	Aotus_azaraiboliviensis	LWS	Chordata	Lepidosauria	AB081277.2		384
S246	532.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006283		384
S247	545.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006282		384
S248	558.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006281		384
S249	357.00000	AncBoreotheria_sp.	SWS1	Chordata	Ancestor	AncBoreotheria		510
S250	364.00000	AncEuteleost_sp.	SWS1	Chordata	Ancestor	AncEuteleost		521
S251	359.00000	AncMammal_sp.	SWS1	Chordata	Ancestor	AncMammal		521
S252	360.00000	AncEutheria_sp.	SWS1	Chordata	Ancestor	AncEutheria		521
S253	371.00000	Stenobrachius_leucopsarus	SWS1	Chordata	Actinopteri	FJ443127		523
S254	355.00000	Lucania_goodei	SWS1	Chordata	Actinopteri	AY296735.1		523
S255	423.00000	Lepidopus_fitchi	SWS1	Chordata	Actinopteri	FJ443126		523
S256	360.00000	Oreochromis_niloticus	SWS1	Chordata	Actinopteri	DQ235678.1		524
S257	425.00000	Oreochromis_niloticus	SWS2	Chordata	Actinopteri	DQ235679.1		524
S258	456.00000	Oreochromis_niloticus	SWS2	Chordata	Actinopteri	DQ235680.1		524
S259	472.00000	Oreochromis_niloticus	Rh2B	Chordata	Actinopteri	DQ235681.1		524
S260	517.00000	Oreochromis_niloticus	RH2A	Chordata	Actinopteri	DQ235682.1		524
S261	528.00000	Oreochromis_niloticus	RH2A	Chordata	Actinopteri	DQ235683.1		524
S262	560.00000	Oreochromis_niloticus	LWS	Chordata	Actinopteri	DQ235684.1		524
S263	356.00000	latipes_latipes	SWS1	Chordata	Oryzias	AB223058		527
S264	561.00000	latipes_latipes	LWS	Chordata	Oryzias	AB223051.1		527
S265	562.00000	latipes_latipes	LWS	Chordata	Oryzias	AB223052.1		527
S266	502.00000	latipes_latipes	RH1	Chordata	Oryzias	AB180742.1		527
S267	369.00000	Dissostichus_mawsoni	SWS1	Chordata	Actinopteri	AY927651.1		528
S268	488.00000	Dissostichus_mawsoni	Rh2	Chordata	Actinopteri	AY771352.1		528
S269	550.00000	Xenopeltis_unicolor	LWS	Chordata	Lepidosauria	FJ497235.1		529
S270	497.00000	Xenopeltis_unicolor	Rh1	Chordata	Lepidosauria	FJ497233.1		529
S271	361.00000	Xenopeltis_unicolor	SWS1	Chordata	Lepidosauria	FJ497234		529
S272	440.00000	Sciurus_carolinensis	SWS1	Chordata	Mammalia	DQ302163		529
S273	363.00000	Sminthopsis_crassicaudata	SWS1	Chordata	Mammalia	AY442173		100
S274	533.00000	Sminthopsis_crassicaudata	LWS	Chordata	Mammalia	EU232013		100
S275	486.00000	AncCetacea_sp.	Rh1	Chordata	Ancestor	AncCetacea		514
S276	500.00000	AncWhippomorpha_sp.	Rh1	Chordata	Ancestor	AncWhippomorpha		514
S277	478.00000	Rhincodon_typus	Rh1	Chordata	Chondrichthyes	XM_048606470.1		538
S278	500.00000	Stegostoma_fasciatum	Rh1	Chordata	Chondrichthyes	MT625929.1		538
S279	504.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_Lc		517
S280	449.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_Fb		517
S281	448.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_D		517
S282	460.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_C		517
S283	455.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_B		517
S284	457.00000	Diretmus_argenteus	Rh1	Chordata	Actinopteri	Diretmus_argenteus_Rh1_A		517
S285	500.00000	Chlamydera_nuchalis	Rh1	Chordata	Aves	CNUCHROD		573
S286	480.00000	Careproctus_rhodomelas	Rh1	Chordata	Actinopteri	LC050194		576
S287	498.70000	Hippopotamus_amphibius	Rh1	Chordata	Mammalia	HIPPOROD		578
S288	486.80000	Orcinus_orca	Rh1	Chordata	Mammalia	ORCAROD		578
S289	481.00000	Thamnophis_proximus	Rh1	Chordata	Lepidosauria	KU306726.1		582
S290	474.00000	Cynops_pyrrhogaster	SWS	Chordata	Amphibia	AB040148.1		585
S291	430.00000	Rana_catesbeiana	SWS	Chordata	Amphibia	AB010085.1		585
S292	499.00000	Aptenodytes_forsteri	Rh1	Chordata	Aves	XM_009283802		586
S293	497.00000	Pygoscelis_adeliae	Rh1	Chordata	Aves	XM_009320102		586
S294	499.00000	Spheniscus_demersus	Rh1	Chordata	Aves	MW288702.1		586
S295	503.00000	Nipponia_nippon	Rh1	Chordata	Aves	XM_009469932		586
S296	495.00000	Dermochelys_coriacea	Rh1	Chordata	Testudines	XM_038408468.2		586
S297	497.00000	Chelonia_mydas	Rh1	Chordata	Testudines	XM_007059947		586
S298	496.00000	Chrysemys_picta	Rh1	Chordata	Testudines	XM_008168043		586
S299	497.00000	Gopherus_evgoodei	Rh1	Chordata	Testudines	XM_030570330		586
S300	485.00000	Mirounga_angustirostris	Rh1	Chordata	Mammalia	AY228452		586
S301	496.00000	Leptonychotes_weddellii	Rh1	Chordata	Mammalia	XM_006740235		586
S302	496.00000	Zalophus_califomianus	Rh1	Chordata	Mammalia	XM_027584573		586
S303	496.00000	Odobenus_rosmarus	Rh1	Chordata	Mammalia	XM_004395657		586
S304	487.00000	Balaenoptera_acutorostrata	Rh1	Chordata	Mammalia	XM_007192608		586
S305	496.00000	Eubalaena_glacialis	Rh1	Chordata	Mammalia	JQ730751		586
S306	499.00000	SauriaAnc_sp.	Rh1	Chordata	Ancestor	SauriaAncRh1		587
S307	502.00000	ArchosauriaAnc_sp.	Rh1	Chordata	Ancestor	ArchosauriaAncRh1		587
S308	501.00000	AvesAnc_sp.	Rh1	Chordata	Ancestor	AvesAncRh1		587
S309	499.00000	AmniotaAnc_sp.	Rh1	Chordata	Ancestor	AmniotaAncRh1		587
S310	499.00000	MammaliaAnc_sp.	Rh1	Chordata	Ancestor	MammaliaAncRh1		587
