	Lambda_Max	Species	Opsin_Family	Phylum	Class	Accession	Mutations	RefId
Bovine	500.0000	Bos_tarus	Rh1	Chordata	Mammalia	NM_001014890
S87	423.00000	Xenopus_laevis	SWS1	Chordata	Amphibia	NM_001085652.1	132
S88	356.00000	Ambystoma_tigrinum	SWS1	Chordata	Amphibia	AF038948.1	132
S89	358.00000	Anolis_carolinensis	SWS1	Chordata	Lepidosauria	AH007736.2	132
S90	360.00000	Gekko_gecko	SWS1	Chordata	Lepidosauria	AY024356.1	132
S91	393.00000	Columba_livia	SWS1	Chordata	Aves	AH007798.2	132
S92	359.00000	Taeniopygia_guttata	SWS1	Chordata	Aves	AF222331.1	132
S93	419.00000	Gallus_gallus	SWS1	Chordata	Aves	M92039.1	132
S94	360.00000	Melopsittacus_undulatus	SWS1	Chordata	Aves	Y11787.1	132
S95	414.00000	Homo_sapiens	SWS1	Chordata	Mammalia	AH003620.2	132
S96	359.00000	Mus_musculus	SWS1	Chordata	Mammalia	NP_031564.1	132
S97	358.00000	Rattus_norvegicus	SWS1	Chordata	Mammalia	U63972.1	132
S98	420.00000	Cavia_porcellus	SWS1	Chordata	Mammalia	AY552608.1	132
S99	419.00000	Loxodonta_africana	SWS1	Chordata	Mammalia	AY686753.1	132
S100	420.00000	Notamacropus_eugenii	SWS1	Chordata	Mammalia	AY286017.1	132
S101	489.00000	Delphinus_delphis	Rh1	Chordata	Mammalia	AF055314	144
S102	488.00000	Globicephala_melas	Rh1	Chordata	Mammalia	AF055315	144
S103	484.00000	Mesoplodon_bidens	Rh1	Chordata	Mammalia	AF055316	144
S104	501.00000	Phoca_vitulina	Rh1	Chordata	Mammalia	AF055317	144
S105	498.00000	Phoca_groenlandicus	Rh1	Chordata	Mammalia	AF055318	144
S106	502.00000	Trichechus_manatus	Rh1	Chordata	Mammalia	AF055319	144
S107	571.00000	Papilio_xuthus	IV-Rh3	Arthropoda	Insecta	AB007425.1	347
S108	540.00000	Papilio_xuthus	IV-Rh1	Arthropoda	Insecta	AB007423.1	347
S109	463.00000	Cottus_gobio	SWS2	Chordata	Actinopteri	AJ430489	129
S110	492.00000	Carassius_auratus	Rh1	Chordata	Actinopteri	L11863.1	155
S111	505.00000	Gambusia_holbrooki	Rh1	Chordata	Actinopteri	Y11146.1	155
S112	502.00000	Xenopus_laevis	Rh1	Chordata	Amphibia	L07770.1	155
S113	502.00000	Lithobates_pipiens	Rh1	Chordata	Amphibia	S49004	155
S114	500.00000	Lithobates_catesbeianus	Rh1	Chordata	Amphibia	S79840	155
S115	506.00000	Ambystoma_tigrinum	Rh1	Chordata	Amphibia	U36574	155
S116	502.00000	Columba_livia	Rh1	Chordata	Aves	AH007730.2	155
S117	502.00000	Taeniopygia_guttata	Rh1	Chordata	Aves	AF222329	155
S118	503.00000	Gallus_gallus	Rh1	Chordata	Aves	D00702	155
S119	511.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11865	155
S120	506.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11866	155
S121	496.00000	Anolis_carolinensis	Rh2	Chordata	Lepidosauria	AH007735.2	155
S122	467.00000	Gekko_gecko	Rh2	Chordata	Lepidosauria	M92035.1	155
S123	503.00000	Columba_livia	Rh2	Chordata	Aves	AH007731.2	155
S124	505.00000	Taeniopygia_guttata	Rh2	Chordata	Aves	AF222330	155
S125	511.00000	Gallus_gallus	Rh2	Chordata	Aves	M92038	155
S126	359.00000	Carassius_auratus	SWS1	Chordata	Actinopteri	D85863	155
S127	415.00000	Gallus_gallus	SWS1	Chordata	Aves	M92039	155
S128	443.00000	Carassius_auratus	SWS2	Chordata	Actinopteri	L11864	155
S129	437.00000	Anolis_carolinensis	SWS2	Chordata	Lepidosauria	AF133907	155
S130	448.00000	Columba_livia	SWS2	Chordata	Aves	AH007799.2	155
S131	441.00000	Taeniopygia_guttata	SWS2	Chordata	Aves	AF222332	155
S132	455.00000	Gallus_gallus	SWS2	Chordata	Aves	M92037	155
S133	559.00000	Carassius_auratus	LWS	Chordata	Actinopteri	L11867	155
S134	561.00000	Anolis_carolinensis	LWS	Chordata	Lepidosauria	U08131	155
S135	558.00000	Columba_livia	LWS	Chordata	Aves	AH007800.2	155
S136	560.00000	Taeniopygia_guttata	LWS	Chordata	Aves	AF222333.1	155
S137	571.00000	Gallus_gallus	LWS	Chordata	Aves	M62903.1	155
S138	532.00000	Homo_sapiens	LWS	Chordata	Mammalia	AH005296.2	155
S139	563.00000	Homo_sapiens	LWS	Chordata	Mammalia	AH005298.2	155
S140	553.00000	Capra_hircus	LWS	Chordata	Mammalia	AH006594.2	155
S141	509.00000	Oryctolagus_cuniculus	MWS	Chordata	Mammalia	AH006945.2	155
S142	508.00000	Mus_musculus	MWS	Chordata	Mammalia	AF011389.1	155
S143	509.00000	Rattus_norvegicus	MWS	Chordata	Mammalia	AH006946.2	155
S144	524.00000	Tursiops_truncatus	LWS	Chordata	Mammalia	AF055457	155
S145	553.00000	Felis_catus	LWS	Chordata	Mammalia	AF132040	155
S146	545.00000	Equus_caballus	LWS	Chordata	Mammalia	AF132043	155
S147	531.00000	Odocoileus_virginianus	LWS	Chordata	Mammalia	AF132041	155
S148	516.00000	Cavia_porcellus	MWS	Chordata	Mammalia	AF132042.1	155
S149	532.00000	Neosciurus_carolinensis	LWS	Chordata	Mammalia	AF132044	155
S150	482.00000	Anolis_carolinensis	POps	Chordata	Lepidosauria	AH007737.2	155
S151	481.00000	Columba_livia	POps	Chordata	Aves	U50598.1	155
S152	359.00000	Taeniopygia_guttata	SWS1	Chordata	Aves	AF222331	155
S153	435.00000	Eumaeus_atala	BRh1	Arthropoda	Insecta	MN831881.1	350
S154	500.00000	Eumaeus_atala	BRh2	Arthropoda	Insecta	MN831882.1	350
S155	569.00000	Eumaeus_atala	LWRh	Arthropoda	Insecta	MN831883.1	350
S156	352.00000	Eumaeus_atala	UVRh	Arthropoda	Insecta	MN831884.1	350
S157	578.00000	Arhopala_japonica	LWRh	Arthropoda	Insecta	MN831885.1	350
S158	571.00000	Poecilia_reticulata	LWS1	Chordata	Actinopteri	AB748985.1	353
S159	562.00000	Poecilia_reticulata	LWS1	Chordata	Actinopteri	AB748984	353
S160	516.00000	Poecilia_reticulata	LWS2	Chordata	Actinopteri	LC127183	353
S161	519.00000	Poecilia_reticulata	LWS3	Chordata	Actinopteri	LC127184	353
S162	516.00000	Poecilia_reticulata	RH2-1	Chordata	Actinopteri	LC127186	353
S163	476.00000	Poecilia_reticulata	RH2-2	Chordata	Actinopteri	LC127187	353
S164	438.00000	Poecilia_reticulata	SWS2-A	Chordata	Actinopteri	LC127188	353
S165	408.00000	Poecilia_reticulata	SWS2-B	Chordata	Actinopteri	LC127189	353
S166	353.00000	Poecilia_reticulata	SWS1	Chordata	Actinopteri	LC127190	353
S167	503.00000	Poecilia_reticulata	RH1	Chordata	Actinopteri	LC127191	353
S168	358.00000	Geotria_australis	SWS1	Chordata	Hyperoartia	KT749677	137
S169	439.00000	Geotria_australis	SWS2	Chordata	Hyperoartia	AY366492	137
S170	497.00000	Geotria_australis	RhA	Chordata	Hyperoartia	AY366493	137
S171	492.00000	Geotria_australis	RhB	Chordata	Hyperoartia	AY366494	137
S172	420.00000	Cavia_porcellus	SWS1	Chordata	Mammalia	AY552608	355
S173	393.00000	Columba_livia	SWS1	Chordata	Aves	AJ238856	379
S174	419.00000	Gallus_gallus	SWS1	Chordata	Aves	NM_205438.1	379
S175	360.00000	Melopsittacus_undulatus	SWS1	Chordata	Aves	NM_001311081	379
S176	358.00000	Anolis_carolinensis	SWS1	Chordata	Lepidosauria	AH007736	379
S177	508.00000	Phreatichthys_andruzzii	Rh1	Chordata	Actinopteri	JQ413240	361
S178	505.00000	Phreatichthys_andruzzii	exoRh	Chordata	Actinopteri	GQ404491.1	361
S179	502.00000	Danio_rerio	Rh1	Chordata	Actinopteri	AF109368	361
S180	498.00000	Danio_rerio	exoRh	Chordata	Actinopteri	NM131212.2	361
S181	414.00000	Homo_sapiens	OPN1SW	Chordata	Mammalia	DQ822478.1	358
S182	483.00000	Platynereis_dumerilii	IV-Opn3	Annelida	Polychaeta	AY692353.1	359
S183	480.00000	Drosophila_melanogaster	Inv-Rh1	Arthropoda	Insecta	NM_079683.3	357
S184	450.00000	Pieris_rapae	PrB	Streptophyta	Magnoliopsida	AB208675.1	360
S185	420.00000	Pieris_rapae	PrV	Streptophyta	Magnoliopsida	AB208674.1	360
S186	561.00000	Grus_americana	LWS	Chordata	Aves	KM508487	362
S187	500.00000	Grus_americana	Rh1	Chordata	Aves	KM508488	362
S188	499.00000	Grus_americana	Rh2	Chordata	Aves	KM508489	362
S189	404.00000	Grus_americana	SWS1	Chordata	Aves	KM508490	362
S190	450.00000	Grus_americana	SWS2	Chordata	Aves	KM508491	362
S191	486.00000	Scopelarchus_analis	Rh1	Chordata	Actinopteri	EF517404.1	363
S192	479.00000	Scopelarchus_analis	Rh1	Chordata	Actinopteri	EF517405.1	363
S193	539.00000	Otolemur_crassicaudatus	LWS	Chordata	Mammalia	AB112590.1	364
S194	502.00000	Otolemur_crassicaudatus	Rh1	Chordata	Mammalia	AB112591.1	364
S195	525.00000	Argopecten_irradians	Rtc	Mollusca	Bivalvia	KX550908.1	376
S196	496.00000	Pecten_maximus	Rtc	Mollusca	Bivalvia	XM_033877948.1	376
S197	435.00000	Bos_taurus	SWS1	Chordata	Mammalia	U92557.1	378
S198	431.00000	Limenitis_a.astyanax	IV-Rh1	Arthropoda	Insecta	AY918902.2	380
S199	439.00000	Danaus_plexippus	IV-Rh1	Arthropoda	Insecta	AY605544	380
S200	431.00000	Limenitis_a.archippus	IV-Rh1	Arthropoda	Insecta	EU358777	380
S201	452.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223053	367
S202	516.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223054	367
S203	492.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223055	367
S204	448.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(400681-404250)	367
S205	516.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(390932-392688)	367
S206	494.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(376983-378663)	367
S207	447.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260048	367
S208	517.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260049	367
S209	486.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260050	367
S210	469.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260051	367
S211	516.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260052	367
S212	491.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260053	367
S213	460.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260054	367
S214	519.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260055	367
S215	491.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260056	367
S216	462.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260057	367
S217	517.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260058	367
S218	493.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260059	367
S219	485.00000	Verasper_variegatus	SWS2	Chordata	Actinopteri	A0A1L7P076	368
S220	416.00000	Verasper_variegatus	SWS2	Chordata	Actinopteri	A0A1L7P082	368
S221	452.00000	Microstomus_achne	SWS2	Chordata	Actinopteri	A0A1L7P074	368
S222	466.00000	Paralichthys_olivaceus	SWS2	Chordata	Actinopteri	D7RP09	368
S223	438.00000	Poecilia_reticulata	SWS2	Chordata	Actinopteri	A0A140JTJ4	368
S224	408.00000	Poecilia_reticulata	SWS2	Chordata	Actinopteri	A0A140JTJ5	368
S225	439.00000	Oryzias_latipes	SWS2	Chordata	Actinopteri	Q2L6A3	368
S226	405.00000	Oryzias_latipes	SWS2	Chordata	Actinopteri	Q2L6A2	368
S227	448.00000	Lucania_goodei	SWS2	Chordata	Actinopteri	Q7T2U6	368
S228	397.00000	Lucania_goodei	SWS2	Chordata	Actinopteri	Q7T2U7	368
S229	416.00000	Danio_rerio	SWS2	Chordata	Actinopteri	Q9W6A8	368
S230	443.00000	Carassius_auratus	SWS2	Chordata	Actinopteri	L11864.1	373
S231	416.00000	Danio_rerio	SWS2	Chordata	Actinopteri	AB087809.1	373
S232	467.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_131253.2	371
S233	476.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_182891.2	371
S234	488.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_182892.2	371
S235	505.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_131254.1	371
S236	528.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088651	387
S237	519.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088650	387
S238	484.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088652	387
S239	423.00000	Metriaclima_zebra	SWS2	Chordata	Actinopteri	DQ088649	387
S240	368.00000	Metriaclima_zebra	SWS1	Chordata	Actinopteri	DQ088648	387
S241	511.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11865.1	54
S242	506.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11866.1	54
S243	507.00000	Gallus_gallus	Rh1	Chordata	Aves	NM_001397497.1	170
S244	511.00000	Gallus_gallus	Rh2	Chordata	Aves	NM_205490.1	170
S245	508.00000	Archosaur_sp.	Rh1	Chordata	Ancestor	AF310191.1	167
S246	503.00000	AncAgnatha_sp.	Rh2	Chordata	Ancestor	AncAgnatha	159
S247	488.00000	AncActino_sp.	Rh2	Chordata	Ancestor	AncActino	159
S248	491.00000	AncTeleost_sp.	Rh2	Chordata	Ancestor	AncTeleost	159
S249	491.00000	AncClupeoc_sp.	Rh2	Chordata	Ancestor	AncClupeoc	159
S250	489.00000	AncCyprin1_sp.	Rh2	Chordata	Ancestor	AncCyprin1	159
S251	505.00000	AncCyprin2_sp.	Rh2	Chordata	Ancestor	AncCyprin2	159
S252	488.00000	AncEutelo1_sp.	Rh2	Chordata	Ancestor	AncEutelo1	159
S253	489.00000	AncEutelo2_sp.	Rh2	Chordata	Ancestor	AncEutelo2	159
S254	474.00000	AncEutelo3_sp.	Rh2	Chordata	Ancestor	AncEutelo3	159
S255	524.00000	AncEutelo4_sp.	Rh2	Chordata	Ancestor	AncEutelo4	159
S256	488.00000	AncTetrapo_sp.	Rh2	Chordata	Ancestor	AncTetrapo	159
S257	499.00000	AncSaurops_sp.	Rh2	Chordata	Ancestor	AncSaurops	159
S258	497.00000	AncSquamat_sp.	Rh2	Chordata	Ancestor	AncSquamat	159
S259	500.00000	Lethenteron_camtschaticum	Rh1	Chordata	Hyperoartia	M63632.1	155
S260	478.00000	Latimeria_chalumnae	Rh2	Chordata	Sarcopterygii	AH007713.2	389
S261	361.00000	swsanc1_sp.	UVS	Chordata	Ancestor	swsanc1	410
S262	360.00000	swsanc2_sp.	UVS	Chordata	Ancestor	swsanc2	410
S263	359.00000	swsanc3_sp.	UVS	Chordata	Ancestor	swsanc3	410
S264	360.00000	swsanc4_sp.	UVS	Chordata	Ancestor	swsanc4	410
S265	360.00000	swsanc5_sp.	UVS	Chordata	Ancestor	swsanc5	410
S266	393.00000	swsanc6_sp.	SWS	Chordata	Ancestor	swsanc6	410
S267	359.00000	swsanc7_sp.	UVS	Chordata	Ancestor	swsanc7	410
S268	393.00000	swsanc5'_sp.	UVS	Chordata	Ancestor	swsanc5'	410
S269	552.00000	Loxodonta_africana	LWS	Chordata	Mammalia	AY686754.1	415
S270	363.00000	Callosobruchus_maculatus	IV-UVS	Arthropoda	Insecta	OP722929.1	418
S271	511.00000	Callosobruchus_maculatus	IV-LWS	Arthropoda	Insecta	OP722946.1	418
S272	431.00000	Chrysochroa_rajah	inv-UVS	Arthropoda	Insecta	OP722930.1	418
S273	356.00000	Chrysochroa_rajah	IV-UVS	Arthropoda	Insecta	OP722931.1	418
S274	357.00000	Chrysochroa_mniszechii	IV-UVS	Arthropoda	Insecta	OP722932.1	418
S275	442.00000	Chrysochroa_mniszechii	IV-UVS	Arthropoda	Insecta	OP722933.1	418
S276	584.00000	Chrysochroa_rajah	IV-LWS	Arthropoda	Insecta	OP722947.1	418
S277	509.00000	Chrysochroa_rajah	IV-LWS	Arthropoda	Insecta	OP722948.1	418
S278	572.00000	Chrysochroa_mniszechii	IV-LWS	Arthropoda	Insecta	OP722949.1	418
S279	507.00000	Chrysochroa_mniszechii	IV-LWS	Arthropoda	Insecta	OP722950.1	418
S280	563.00000	lwsanc_pigmenta_sp.	LWS	Chordata	Ancestor	lwsanc_pigmenta	414
S281	563.00000	lwsanc_pigmentb_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentb	414
S282	561.00000	lwsanc_pigmentc_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentc	414
S283	558.00000	lwsanc_pigmentd_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentd	414
S284	558.00000	lwsanc_pigmente_sp.	LWS	Chordata	Ancestor	lwsanc_pigmente	414
S285	536.00000	lwsanc_pigmentf_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentf	414
S286	561.00000	lwsanc_pigmentg_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentg	414
S287	564.00000	lwsanc_pigmenti_sp.	LWS	Chordata	Ancestor	lwsanc_pigmenti	414
S288	532.00000	lwsanc_pigmentx_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentx	414
S289	553.00000	lwsanc_pigmenty_sp.	LWS	Chordata	Ancestor	lwsanc_pigmenty	414
S290	532.00000	lwsanc_pigmentz_sp.	LWS	Chordata	Ancestor	lwsanc_pigmentz	414
S291	359.00000	Phodopus_sungorus	SWS1	Chordata	Mammalia	JQ036217	421
S292	403.00000	Chlamydera_nuchalis	SWS1	Chordata	Aves	CNUCHCUSTOM	354
S293	539.00000	Neogonodactylus_oerstedii	IV-LWS	Arthropoda	Malacostraca	MT112877	416
S294	611.00000	Neogonodactylus_oerstedii	IV-LWS	Arthropoda	Malacostraca	MT112883	416
S295	542.00000	Sympetrum_frequens	IV-LWS	Arthropoda	Insecta	LC009064	416
S296	557.00000	Sympetrum_frequens	IV-LWS	Arthropoda	Insecta	LC009061	416
S297	577.00000	Epargyreus_clarus	IV-LWS	Arthropoda	Insecta	OK930070.1	416
S298	532.00000	Macroglossum_stellatarum	IV-LWS	Arthropoda	Insecta	KF539444	416
S299	532.00000	Automeris_io	IV-LWS	Arthropoda	Insecta	OK930069.1	416
S300	537.00000	Anisota_stigma	IV-LWS	Arthropoda	Insecta	OK930068.1	416
S301	518.00000	Callophrys_sheridanii	IV-LWS	Arthropoda	Insecta	MN831887.1	416
S302	482.00000	Physeter_catodon	Rh1	Chordata	Mammalia	XM_007126220	419
S303	431.00000	Ochotona_princeps	SWS1	Chordata	Mammalia	XM_004592516	419
S304	485.00000	Sinomicrurus_japonicusboettgeri	Rh1	Chordata	Lepidosauria	LC543598	424
S305	482.00000	Laticauda_semifasciata	Rh1	Chordata	Lepidosauria	LC543599	424
S306	494.00000	Emydocephalus_ijimae	Rh1	Chordata	Lepidosauria	LC543603	424
S307	490.00000	Hydrophis_ornatus	Rh1	Chordata	Lepidosauria	LC543606	424
S308	551.00000	Hydrophis_ornatus	LWS	Chordata	Lepidosauria	LC543597	424
S309	539.00000	Aotus_azaraiboliviensis	LWS	Chordata	Lepidosauria	AB081277.2	384
S310	532.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006283	384
S311	545.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006282	384
