,Dataset,Props_Used,Model,R2,MAE,MAPE,MSE,RMSE,Ranked_By
21,vert,H1_H2_H3_NCI_PKB_,gbr,0.9804761352230132,4.944569453309927,0.0109478118480499,73.98061092846405,8.479772411084046,R2
22,vert,H2_H3_NCI_PKB_,xgb,0.980445078327041,5.037149930366179,0.0111756105952647,74.25391006260868,8.484705626045447,R2
23,vert,H1_H2_NCI_PKB_,gbr,0.9803792172060593,5.002461495874682,0.01107478403672,74.38362367775942,8.490553195656156,R2
24,vert,H1_H2_H3_P1_NCI_,rf,0.9803717162412872,5.116075159996276,0.0114137123764604,74.19139333236255,8.494845310014808,R2
25,vert,H2_H3_P2_NCI_SASA_SCT_,gbr,0.97803493949404,4.91430205042632,0.0108857414755922,82.07853818861255,8.898818291254107,MAE
26,vert,H1_P2_V_SASA_SCT_,gbr,0.9797435073463514,4.930993504468347,0.0109139933713728,76.25379015364527,8.595900835590596,MAE
27,vert,H1_P1_V_SASA_PKA_,gbr,0.9798174303651088,4.935149500620845,0.0109244849813057,76.14247308156258,8.567762206144065,MAE
28,vert,H2_H3_NCI_SCT_PKB_,xgb,0.9808077460575076,4.935294847404431,0.0109160094844498,73.0041310148437,8.39203921563066,MAE
29,vert,H2_H3_P2_SASA_,gbr,0.978249515530759,4.935345724500011,0.0109281288820519,81.3828564813221,8.862316315972498,MAE
30,wt_vert,H2_P2_V_MASS_,gbr,0.9796299806214502,4.625349419084045,0.0098159233099069,55.39198844814515,7.065266452654434,R2
31,wt_vert,H2_H3_V_,gbr,0.9795539305556386,4.609258666992494,0.0097932885305305,55.35815077498614,7.065029484758775,R2
32,wt_vert,H2_P2_V_,gbr,0.9794464172774038,4.6193459013080185,0.0098019267648824,55.29440635053834,7.085094830436034,R2
33,wt_vert,H1_H2_H3_,gbr,0.979307928183616,4.502662613892408,0.0096697222395839,56.275579804135496,7.135008040438561,R2
34,wt_vert,H1_H2_P2_,gbr,0.9792621650224304,4.551335424183681,0.0097136095037927,54.88010841568462,7.14308839360111,R2
35,wt_vert,H1_H2_H3_PKB_,gbr,0.9786176210940988,4.462230238779645,0.0094737032059532,55.74116013364458,7.222893410764291,MAE
36,wt_vert,H1_H2_H3_,gbr,0.979307928183616,4.502662613892408,0.0096697222395839,56.275579804135496,7.135008040438561,MAE
37,wt_vert,H1_H2_H3_P2_,gbr,0.9789948537794436,4.507243774078677,0.0096213006617387,55.71244099608915,7.201110736039664,MAE
38,wt_vert,H1_H2_SCT_PKB_,gbr,0.978772557154832,4.548813118227497,0.009647931535932,55.54380329049326,7.21189975416272,MAE
39,wt_vert,H1_H2_PKB_,gbr,0.9784939708974416,4.549819206318515,0.0096980594970757,56.87203424980818,7.263242620675234,MAE
40,inv,H1_H3_,gbr,0.8390230316215483,13.10993696534959,0.0281112851731968,497.6318914619048,20.69209996497372,R2
41,inv,H1_H2_P1_P2_V_MASS_SASA_SCT_,gbr,0.838573254637782,12.82912665573337,0.0275633943375054,515.4057075919688,20.98975705652476,R2
42,inv,H2_H3_P2_MASS_SCT_,gbr,0.8382514621685531,12.75971359170418,0.0275449234591264,521.7205786026635,21.130177789122136,R2
43,inv,H2_P1_P2_MASS_SCT_,gbr,0.8381437643817184,12.866206919826404,0.0276062056710682,517.4689565225428,21.01209149000644,R2
44,inv,H1_P1_MASS_SCT_,gbr,0.838142564168512,13.042820563293152,0.0281990747558858,525.5767061188993,20.96555548918678,R2
45,inv,H2_H3_P2_MASS_SCT_,gbr,0.8382514621685531,12.75971359170418,0.0275449234591264,521.7205786026635,21.130177789122136,MAE
46,inv,H2_P2_MASS_,gbr,0.8351803696892439,12.783172192285104,0.0274869594541101,527.0246276300411,21.25455717581644,MAE
47,inv,H1_H2_P2_V_MASS_,gbr,0.8372066772325084,12.798861194831996,0.0275509046020386,517.7614892309294,21.187475726284795,MAE
48,inv,H2_P1_P2_MASS_SASA_,gbr,0.8361753870216664,12.801303479088563,0.027538787797572,521.2568356867622,21.20829444951648,MAE
49,inv,H1_H2_P1_P2_V_MASS_SASA_SCT_,gbr,0.838573254637782,12.82912665573337,0.0275633943375054,515.4057075919688,20.98975705652476,MAE
50,t1,H3_P1_PKB_,xgb,0.8670979678630829,7.711729257757014,0.0143811925411002,122.90282840371724,11.033554556199103,R2
51,t1,P1_SASA_PKA_PKB_,xgb,0.8669054925441741,7.508190380642532,0.0140058605612992,122.64958368434635,11.012272784438364,R2
52,t1,H1_H2_H3_SASA_SCT_PKB_,xgb,0.8666019260883331,7.602643477979001,0.0141634115604241,123.21475771621706,11.026520608694335,R2
53,t1,H1_P1_SASA_PKA_PKB_,xgb,0.8649823606014252,7.612980672583186,0.0141899630870346,124.54072949636392,11.107243931021088,R2
54,t1,H1_P1_V_SASA_PKB_,xgb,0.8649083614349365,7.5943162194613745,0.0141585748181646,124.16368574894446,11.070839675312277,R2
55,t1,P1_SASA_PKA_PKB_,xgb,0.8669054925441741,7.508190380642532,0.0140058605612992,122.64958368434635,11.012272784438364,MAE
56,t1,H1_H2_P1_NCI_MASS_SASA_PKB_,xgb,0.8635817170143127,7.536786597798984,0.0140652046847148,125.593133480396,11.13788334140662,MAE
57,t1,H1_H2_H3_V_MASS_PKB_,xgb,0.8615790724754333,7.549904375464939,0.0140804816455789,127.38377917895582,11.208814434145312,MAE
58,t1,H2_P2_V_SASA_PKB_,xgb,0.8596897900104523,7.551449988354212,0.0140957575256641,128.78573145273168,11.253854040558595,MAE
59,t1,P2_MASS_SASA_PKB_,xgb,0.8605019927024842,7.561928882419503,0.0141193826233576,128.44437694553372,11.258262109097384,MAE
