	Lambda_Max	Species	Opsin_Family	Phylum	Class	Accession	Mutations
S33	502.00000	Spathodus_erythrodon	Rh1	Chordata	Actinopteri	AB084941.1	
S34	484.00000	Trematocara_unimaculatum	Rh1	Chordata	Actinopteri	AB185238.1	
S35	488.00000	Trematocara_macrostoma	Rh1	Chordata	Actinopteri	AB084945.1	
S36	501.00000	Tropheus_duboisi	Rh1	Chordata	Actinopteri	AB084946.1	
S37	488.00000	Xenotilapia_nigrolabiata	Rh1	Chordata	Actinopteri	AB458130.1	
S38	491.00000	Xenotilapia_caudafasciata	Rh1	Chordata	Actinopteri	AB458131.1	
S39	503.00000	Xenotilapia_ochrogenys	Rh1	Chordata	Actinopteri	AB084947.1	
S40	497.90000	Tachyglossus_aculeatus	Rh1	Chordata	Mammalia	JX103830	
S41	500.00000	Cyprichromis_leptosoma	Rh1	Chordata	Actinopteri	AB458118.1	
S42	491.00000	Paracyprichromis_brieni	Rh1	Chordata	Actinopteri	AB458120.1	
S43	497.00000	Xenotilapia_papilio	Rh1	Chordata	Actinopteri	AB457996.1	
S44	494.00000	Paracyprichromis_brieni	Rh1	Chordata	Actinopteri	AB458121.1	
S45	493.00000	Neolamprologus_ventralis	Rh1	Chordata	Actinopteri	AB458138.1	
S46	492.00000	Paracyprichromis_nigripinnis	Rh1	Chordata	Actinopteri	AB458122.1	
S47	489.00000	Cyprichromis_pavo	Rh1	Chordata	Actinopteri	AB458119.1	
S48	501.00000	Rod_ancestor_pigmenta	Rh1	Chordata	na	pigmenta	
S49	501.00000	Rod_ancestor_pigmentb	Rh1	Chordata	na	pigmentb	
S50	501.00000	Rod_ancestor_pigmentc	Rh1	Chordata	na	pigmentc	
S51	501.00000	Rod_ancestor_pigmentd	Rh1	Chordata	na	pigmentd	
S52	482.00000	Rod_ancestor_pigmente	Rh1	Chordata	na	pigmente	
S53	502.00000	Rod_ancestor_pigmentf	Rh1	Chordata	na	pigmentf	
S54	501.00000	Rod_ancestor_pigmentg	Rh1	Chordata	na	pigmentg	
S55	502.00000	Rod_ancestor_pigmenth	Rh1	Chordata	na	pigmenth	
S56	496.00000	Rod_ancestor_pigmenti	Rh1	Chordata	na	pigmenti	
S57	485.00000	Rod_ancestor_pigmentj	Rh1	Chordata	na	pigmentj	
S58	486.00000	Rod_ancestor_pigmenti	Rh1	Chordata	na	pigmentk	
S59	486.00000	Conger_myriaster	Rh1	Chordata	Actinopteri	AB043817.1	
S60	485.00000	Latimeria_chalumnae	Rh1	Chordata		AH007712.2	
S61	496.00000	Loxodonta_africana	Rh1	Chordata	Mammalia	AY686752.1	
S62	483.00000	Sebastolobus_altivelis	Rh1	Chordata	Actinopteri	DQ490124	
S63	526.00000	Aristostomias_scintillans	Rh1	Chordata	Actinopteri	EU407248.1	
S64	489.00000	Chauliodus_macouni	Rh1	Chordata	Actinopteri	EU407250.1	
S65	492.00000	Stenobrachius_leucopsarus	Rh1	Chordata	Actinopteri	EU407251.1	
S66	507.00000	Lepidopus_fitchi	Rh1	Chordata	Actinopteri	EU407252.1	
S67	486.00000	Lepidopus_fitchi	Rh1	Chordata	Actinopteri	EU407253.1	
S68	491.00000	Anolis_carolinensis	Rh1	Chordata	Lepidosauria	L31503	
S69	479.00000	Anguilla_japonica	Rh1	Chordata	Actinopteri	LC464070.1	
S70	504.00000	Astyanax_mexicanus	Rh1	Chordata	Actinopteri	U12328.1	
S71	483.00000	Sebastolobus_altivelis	Rh1	Chordata	Actinopteri	DQ490124.1	
S72	489.00000	Tursiops_truncatus	Rh1	Chordata	Mammalia	NM_001280659.1	
S73	524.00000	Tursiops_truncatus	LWS	Chordata	Mammalia	XM_019933644.2	
S74	467.00000	Gekko_gekko	Rh2	Chordata	Lepidosauria	M92035	
S75	452.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223053.1	
S76	496.00000	Anolis_carolinensis	Rh2	Chordata	Lepidosauria	NM_001291394.1	
S77	467.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087805.2	
S78	467.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087806.2	
S79	488.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087807.1	
S80	505.00000	Danio_rerio	Rh2	Chordata	Actinopteri	AB087808.2	
S81	536.00000	Petromyzon_marinus	LWS	Chordata	Hyperoartia	EU571209.1	
S82	501.00000	Petromyzon_marinus	Rh1	Chordata	Hyperoartia	AH005459.2	
S83	562.80000	Carassius_auratus	LWS	Chordata	Actinopteri	L11867.1	
S84	463.00000	Cottus_gobio	SWS2	Chordata	Actinopteri	AJ430489.1	
S85	359.00000	Carassius_auratus	SWS1	Chordata	Actinopteri	D85863.1	
S86	355.00000	Danio_rerio	SWS1	Chordata	Actinopteri	AB087810.1	
S87	423.00000	Xenopus_laevis	SWS1	Chordata	Amphibia	NM_001085652.1	
S88	356.00000	Ambystoma_tigrinum	SWS1	Chordata	Amphibia	AF038948.1	
S89	358.00000	Anolis_carolinensis	SWS1	Chordata	Lepidosauria	AH007736.2	
S90	360.00000	Gekko_gecko	SWS1	Chordata	Lepidosauria	AY024356.1	
S91	393.00000	Columba_livia	SWS1	Chordata	Aves	AH007798.2	
S92	359.00000	Taeniopygia_guttata	SWS1	Chordata	Aves	AF222331.1	
S93	415.00000	Gallus_gallus	SWS1	Chordata	Aves	M92039.1	
S94	365.00000	Melopsittacus_undulatus	SWS1	Chordata	Aves	Y11787.1	
S95	414.00000	Homo_sapiens	SWS1	Chordata	Mammalia	AH003620.2	
S96	359.00000	Mus_musculus	SWS1	Chordata	Mammalia	NP_031564.1	
S97	358.00000	Rattus_norvegicus	SWS1	Chordata	Mammalia	U63972.1	
S98	420.00000	Cavia_porcellus	SWS1	Chordata	Mammalia	AY552608.1	
S99	419.00000	Loxodonta_africana	SWS1	Chordata	Mammalia	AY686753.1	
S100	420.00000	Notamacropus_eugenii	SWS1	Chordata	Mammalia	AY286017.1	
S101	489.00000	Delphinus_delphis	Rh1	Chordata	Mammalia	AF055314	
S102	488.00000	Globicephala_melas	Rh1	Chordata	Mammalia	AF055315	
S103	484.00000	Mesoplodon_bidens	Rh1	Chordata	Mammalia	AF055316	
S104	501.00000	Phoca_vitulina	Rh1	Chordata	Mammalia	AF055317	
S105	498.00000	Phoca_groenlandicus	Rh1	Chordata	Mammalia	AF055318	
S106	502.00000	Trichechus_manatus	Rh1	Chordata	Mammalia	AF055319	
S107	571.00000	Papilio_xuthus	IV-Rh3	Arthropoda	Insecta	AB007425.1	
S108	540.00000	Papilio_xuthus	IV-Rh1	Arthropoda	Insecta	AB007423.1	
S109	463.00000	Cottus_gobio	SWS2	Chordata	Actinopteri	AJ430489	
S110	492.00000	Carassius_auratus	Rh1	Chordata	Actinopteri	L11863.1	
S111	505.00000	Gambusia_holbrooki	Rh1	Chordata	Actinopteri	Y11146.1	
S112	502.00000	Xenopus_laevis	Rh1	Chordata	Amphibia	L07770.1	
S113	502.00000	Lithobates_pipiens	Rh1	Chordata	Amphibia	S49004	
S114	500.00000	Lithobates_catesbeianus	Rh1	Chordata	Amphibia	S79840	
S115	506.00000	Ambystoma_tigrinum	Rh1	Chordata	Amphibia	U36574	
S116	502.00000	Columba_livia	Rh1	Chordata	Aves	AH007730.2	
S117	502.00000	Taeniopygia_guttata	Rh1	Chordata	Aves	AF222329	
S118	503.00000	Gallus_gallus	Rh1	Chordata	Aves	D00702	
S119	511.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11865	
S120	506.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11866	
S121	495.00000	Anolis_carolinensis	Rh2	Chordata	Lepidosauria	AH007735.2	
S122	467.00000	Gekko_gecko	Rh2	Chordata	Lepidosauria	M92035.1	
S123	503.00000	Columba_livia	Rh2	Chordata	Aves	AH007731.2	
S124	505.00000	Taeniopygia_guttata	Rh2	Chordata	Aves	AF222330	
S125	508.00000	Gallus_gallus	Rh2	Chordata	Aves	M92038	
S126	359.00000	Carassius_auratus	SWS1	Chordata	Actinopteri	D85863	
S127	415.00000	Gallus_gallus	SWS1	Chordata	Aves	M92039	
S128	443.00000	Carassius_auratus	SWS2	Chordata	Actinopteri	L11864	
S129	437.00000	Anolis_carolinensis	SWS2	Chordata	Lepidosauria	AF133907	
S130	448.00000	Columba_livia	SWS2	Chordata	Aves	AH007799.2	
S131	441.00000	Taeniopygia_guttata	SWS2	Chordata	Aves	AF222332	
S132	455.00000	Gallus_gallus	SWS2	Chordata	Aves	M92037	
S133	559.00000	Carassius_auratus	LWS	Chordata	Actinopteri	L11867	
S134	561.00000	Anolis_carolinensis	LWS	Chordata	Lepidosauria	U08131	
S135	558.00000	Columba_livia	LWS	Chordata	Aves	AH007800.2	
S136	560.00000	Taeniopygia_guttata	LWS	Chordata	Aves	AF222333.1	
S137	571.00000	Gallus_gallus	LWS	Chordata	Aves	M62903.1	
S138	532.00000	Homo_sapiens	LWS	Chordata	Mammalia	AH005296.2	
S139	563.00000	Homo_sapiens	LWS	Chordata	Mammalia	AH005298.2	
S140	553.00000	Capra_hircus	LWS	Chordata	Mammalia	AH006594.2	
S141	509.00000	Oryctolagus_cuniculus	MWS	Chordata	Mammalia	AH006945.2	
S142	508.00000	Mus_musculus	MWS	Chordata	Mammalia	AF011389.1	
S143	509.00000	Rattus_norvegicus	MWS	Chordata	Mammalia	AH006946.2	
S144	524.00000	Tursiops_truncatus	LWS	Chordata	Mammalia	AF055457	
S145	553.00000	Felis_catus	LWS	Chordata	Mammalia	AF132040	
S146	545.00000	Equus_caballus	LWS	Chordata	Mammalia	AF132043	
S147	531.00000	Odocoileus_virginianus	LWS	Chordata	Mammalia	AF132041	
S148	516.00000	Cavia_porcellus	MWS	Chordata	Mammalia	AF132042.1	
S149	532.00000	Neosciurus_carolinensis	LWS	Chordata	Mammalia	AF132044	
S150	482.00000	Anolis_carolinensis	POps	Chordata	Lepidosauria	AH007737.2	
S151	481.00000	Columba_livia	POps	Chordata	Aves	U50598.1	
S152	359.00000	Taeniopygia_guttata	SWS	Chordata	Aves	AF222331	
S153	435.00000	Eumaeus_atala	BRh1	Arthropoda	Insecta	MN831881.1	
S154	500.00000	Eumaeus_atala	BRh2	Arthropoda	Insecta	MN831882.1	
S155	569.00000	Eumaeus_atala	LWRh	Arthropoda	Insecta	MN831883.1	
S156	352.00000	Eumaeus_atala	UVRh	Arthropoda	Insecta	MN831884.1	
S157	578.00000	Arhopala_japonica	LWRh	Arthropoda	Insecta	MN831885.1	
S158	571.00000	Poecilia_reticulata	LWS1	Chordata	Actinopteri	AB748985.1	
S159	562.00000	Poecilia_reticulata	LWS1	Chordata	Actinopteri	AB748984	
S160	516.00000	Poecilia_reticulata	LWS2	Chordata	Actinopteri	LC127183	
S161	519.00000	Poecilia_reticulata	LWS3	Chordata	Actinopteri	LC127184	
S162	516.00000	Poecilia_reticulata	RH2-1	Chordata	Actinopteri	LC127186	
S163	476.00000	Poecilia_reticulata	RH2-2	Chordata	Actinopteri	LC127187	
S164	438.00000	Poecilia_reticulata	SWS2-A	Chordata	Actinopteri	LC127188	
S165	408.00000	Poecilia_reticulata	SWS2-B	Chordata	Actinopteri	LC127189	
S166	353.00000	Poecilia_reticulata	SWS1	Chordata	Actinopteri	LC127190	
S167	503.00000	Poecilia_reticulata	RH1	Chordata	Actinopteri	LC127191	
S168	358.00000	Geotria_australis	SWS1	Chordata	Hyperoartia	KT749677	
S169	439.00000	Geotria_australis	SWS2	Chordata	Hyperoartia	AY366492	
S170	497.00000	Geotria_australis	RhA	Chordata	Hyperoartia	AY366493	
S171	492.00000	Geotria_australis	RhB	Chordata	Hyperoartia	AY366494	
S172	420.00000	Cavia_porcellus	SWS1	Chordata	Mammalia	AY552608	
S173	388.00000	Columba_livia	SWS1	Chordata	Aves	AJ238856	
S174	419.00000	Gallus_gallus	SWS1	Chordata	Aves	NM_205438.1	
S175	360.00000	Melopsittacus_undulatus	SWS1	Chordata	Aves	NM_001311081	
S176	360.00000	Anolis_carolinensis	SWS1	Chordata	Lepidosauria	AH007736	
S177	508.00000	Phreatichthys_andruzzii	Rh1	Chordata	Actinopteri	JQ413240	
S178	505.00000	Phreatichthys_andruzzii	exoRh	Chordata	Actinopteri	GQ404491.1	
S179	502.00000	Danio_rerio	Rh1	Chordata	Actinopteri	AF109368	
S180	498.00000	Danio_rerio	exoRh	Chordata	Actinopteri	NM131212.2	
S181	414.00000	Homo_sapiens	OPN1SW	Chordata	Mammalia	DQ822478.1	
S182	483.00000	Platynereis_dumerilii	Inv-NeurOps	Annelida	Polychaeta	AY692353.1	
S183	480.00000	Drosophila_melanogaster	Inv-Rh1	Basidiomycota	Agaricomycetes	NM_079683.3	
S184	450.00000	Pieris_rapae	PrB	Streptophyta	Magnoliopsida	AB208675.1	
S185	420.00000	Pieris_rapae	PrV	Streptophyta	Magnoliopsida	AB208674.1	
S186	561.00000	Grus_americana	LWS	Chordata	Aves	KM508487	
S187	500.00000	Grus_americana	Rh1	Chordata	Aves	KM508488	
S188	499.00000	Grus_americana	Rh2	Chordata	Aves	KM508489	
S189	404.00000	Grus_americana	SWS1	Chordata	Aves	KM508490	
S190	450.00000	Grus_americana	SWS2	Chordata	Aves	KM508491	
S191	486.00000	Scopelarchus_analis	Rh1	Chordata	Actinopteri	EF517404.1	
S192	479.00000	Scopelarchus_analis	Rh1	Chordata	Actinopteri	EF517405.1	
S193	539.00000	Otolemur_crassicaudatus	LWS	Chordata	Mammalia	AB112590.1	
S194	502.00000	Otolemur_crassicaudatus	Rh1	Chordata	Mammalia	AB112591.1	
S195	525.00000	Argopecten_irradians	Rtc	Mollusca	Bivalvia	KX550908.1	
S196	496.00000	Pecten_maximus	Rtc	Mollusca	Bivalvia	XM_033877948.1	
S197	435.00000	Bos_taurus	SWS1	Chordata	Mammalia	U92557.1	
S198	431.00000	Limenitis_a.astyanax	IV-Rh1	Arthropoda	Insecta	AY918902.2	
S199	439.00000	Danaus_plexippus	IV-Rh1	Arthropoda	Insecta	AY605544	
S200	431.00000	Limenitis_a.archippus	IV-Rh1	Arthropoda	Insecta	EU358777	
S201	452.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223053	
S202	516.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223054	
S203	492.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	AB223055	
S204	448.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(400681-404250)	
S205	516.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(390932-392688)	
S206	494.00000	Oryzias_latipes	Rh2	Chordata	Actinopteri	CP020669.1_(376983-378663)	
S207	447.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260048	
S208	517.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260049	
S209	486.00000	Oryzias_luzonensis	Rh2	Chordata	Actinopteri	LC260050	
S210	469.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260051	
S211	516.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260052	
S212	491.00000	Oryzias_celebensis	Rh2	Chordata	Actinopteri	LC260053	
S213	460.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260054	
S214	519.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260055	
S215	491.00000	Oryzias_melastigma	Rh2	Chordata	Actinopteri	LC260056	
S216	462.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260057	
S217	517.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260058	
S218	493.00000	Oryzias_minutillus	Rh2	Chordata	Actinopteri	LC260059	
S219	485.00000	Verasper_variegatus	SWS2	Chordata	Actinopteri	A0A1L7P076	
S220	416.00000	Verasper_variegatus	SWS2	Chordata	Actinopteri	A0A1L7P082	
S221	452.00000	Microstomus_achne	SWS2	Chordata	Actinopteri	A0A1L7P074	
S222	466.00000	Paralichthys_olivaceus	SWS2	Chordata	Actinopteri	D7RP09	
S223	438.00000	Poecilia_reticulata	SWS2	Chordata	Actinopteri	A0A140JTJ4	
S224	408.00000	Poecilia_reticulata	SWS2	Chordata	Actinopteri	A0A140JTJ5	
S225	439.00000	Oryzias_latipes	SWS2	Chordata	Actinopteri	Q2L6A3	
S226	405.00000	Oryzias_latipes	SWS2	Chordata	Actinopteri	Q2L6A2	
S227	448.00000	Lucania_goodei	SWS2	Chordata	Actinopteri	Q7T2U6	
S228	397.00000	Lucania_goodei	SWS2	Chordata	Actinopteri	Q7T2U7	
S229	416.00000	Danio_rerio	SWS2	Chordata	Actinopteri	Q9W6A8	
S230	443.00000	Carassius_auratus	SWS2	Chordata	Actinopteri	L11864.1	
S231	416.00000	Danio_rerio	SWS2	Chordata	Actinopteri	AB087809.1	
S232	467.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_131253.2	
S233	476.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_182891.2	
S234	488.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_182892.2	
S235	505.00000	Danio_rerio	Rh2	Chordata	Actinopteri	NM_131254.1	
S236	528.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088651	
S237	519.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088650	
S238	484.00000	Metriaclima_zebra	Rh2	Chordata	Actinopteri	DQ088652	
S239	423.00000	Metriaclima_zebra	SWS2	Chordata	Actinopteri	DQ088649	
S240	368.00000	Metriaclima_zebra	SWS1	Chordata	Actinopteri	DQ088648	
S241	511.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11865.1	
S242	505.00000	Carassius_auratus	Rh2	Chordata	Actinopteri	L11866.1	
S243	507.00000	Gallus_gallus	Rh1	Chordata	Aves	NM_001397497.1	
S244	511.00000	Gallus_gallus	Rh2	Chordata	Aves	NM_205490.1	
S245	508.00000	Archosaur_sp.	Rh1	Chordata		AF310191.1	
S246	503.00000	AncAgnatha_sp.	Rh2	Chordata		AncAgnatha	
S247	488.00000	AncActino_sp.	Rh2	Chordata		AncActino	
S248	491.00000	AncTeleost_sp.	Rh2	Chordata		AncTeleost	
S249	491.00000	AncClupeoc_sp.	Rh2	Chordata		AncClupeoc	
S250	489.00000	AncCyprin1_sp.	Rh2	Chordata		AncCyprin1	
S251	505.00000	AncCyprin2_sp.	Rh2	Chordata		AncCyprin2	
S252	488.00000	AncEutelo1_sp.	Rh2	Chordata		AncEutelo1	
S253	489.00000	AncEutelo2_sp.	Rh2	Chordata		AncEutelo2	
S254	474.00000	AncEutelo3_sp.	Rh2	Chordata		AncEutelo3	
S255	524.00000	AncEutelo4_sp.	Rh2	Chordata		AncEutelo4	
S256	488.00000	AncTetrapo_sp.	Rh2	Chordata		AncTetrapo	
S257	499.00000	AncSaurops_sp.	Rh2	Chordata		AncSaurops	
S258	497.00000	AncSquamat_sp.	Rh2	Chordata		AncSquamat	
S259	500.00000	Lethenteron_camtschaticum	Rh1	Chordata	Hyperoartia	M63632.1	
S260	478.00000	Latimeria_chalumnae	Rh2	Chordata		AH007713.2	
S261	361.00000	swsanc1_sp.	UVS	Chordata	na	swsanc1	
S262	360.00000	swsanc2_sp.	UVS	Chordata	na	swsanc2	
S263	359.00000	swsanc3_sp.	UVS	Chordata	na	swsanc3	
S264	360.00000	swsanc4_sp.	UVS	Chordata	na	swsanc4	
S265	360.00000	swsanc5_sp.	UVS	Chordata	na	swsanc5	
S266	393.00000	swsanc6_sp.	SWS	Chordata	na	swsanc6	
S267	359.00000	swsanc7_sp.	UVS	Chordata	na	swsanc7	
S268	393.00000	swsanc5'_sp.	UVS	Chordata	na	swsanc5'	
S269	552.00000	Loxodonta_africana	LWS	Chordata	Mammalia	AY686754.1	
S270	363.00000	Callosobruchus_maculatus	IV-UVS	Arthropoda	Insecta	OP722929.1	
S271	511.00000	Callosobruchus_maculatus	IV-LWS	Arthropoda	Insecta	OP722946.1	
S272	431.00000	Chrysochroa_rajah	inv-UVS	Arthropoda	Insecta	OP722930.1	
S273	356.00000	Chrysochroa_rajah	IV-UVS	Arthropoda	Insecta	OP722931.1	
S274	357.00000	Chrysochroa_mniszechii	IV-UVS	Arthropoda	Insecta	OP722932.1	
S275	442.00000	Chrysochroa_mniszechii	IV-UVS	Arthropoda	Insecta	OP722933.1	
S276	584.00000	Chrysochroa_rajah	IV-LWS	Arthropoda	Insecta	OP722947.1	
S277	509.00000	Chrysochroa_rajah	IV-LWS	Arthropoda	Insecta	OP722948.1	
S278	572.00000	Chrysochroa_mniszechii	IV-LWS	Arthropoda	Insecta	OP722949.1	
S279	507.00000	Chrysochroa_mniszechii	IV-LWS	Arthropoda	Insecta	OP722950.1	
S280	563.00000	lwsanc_pigmenta_sp.	LWS	Chordata	na	lwsanc_pigmenta	
S281	563.00000	lwsanc_pigmentb_sp.	LWS	Chordata	na	lwsanc_pigmentb	
S282	561.00000	lwsanc_pigmentc_sp.	LWS	Chordata	na	lwsanc_pigmentc	
S283	558.00000	lwsanc_pigmentd_sp.	LWS	Chordata	na	lwsanc_pigmentd	
S284	558.00000	lwsanc_pigmente_sp.	LWS	Chordata	na	lwsanc_pigmente	
S285	536.00000	lwsanc_pigmentf_sp.	LWS	Chordata	na	lwsanc_pigmentf	
S286	561.00000	lwsanc_pigmentg_sp.	LWS	Chordata	na	lwsanc_pigmentg	
S287	564.00000	lwsanc_pigmenti_sp.	LWS	Chordata	na	lwsanc_pigmenti	
S288	532.00000	lwsanc_pigmentx_sp.	LWS	Chordata	na	lwsanc_pigmentx	
S289	553.00000	lwsanc_pigmenty_sp.	LWS	Chordata	na	lwsanc_pigmenty	
S290	532.00000	lwsanc_pigmentz_sp.	LWS	Chordata	na	lwsanc_pigmentz	
S291	359.00000	Phodopus_sungorus	SWS1	Chordata	Mammalia	JQ036217	
S292	403.00000	Chlamydera_nuchalis	SWS1	Chordata	Aves	CNUCHCUSTOM	
S293	539.00000	Neogonodactylus_oerstedii	IV-LWS	Arthropoda	Malacostraca	MT112877	
S294	611.00000	Neogonodactylus_oerstedii	IV-LWS	Arthropoda	Malacostraca	MT112883	
S295	542.00000	Sympetrum_frequens	IV-LWS	Arthropoda	Insecta	LC009064	
S296	557.00000	Sympetrum_frequens	IV-LWS	Arthropoda	Insecta	LC009061	
S297	577.00000	Epargyreus_clarus	IV-LWS	Arthropoda	Insecta	OK930070.1	
S298	532.00000	Macroglossum_stellatarum	IV-LWS	Arthropoda	Insecta	KF539444	
S299	532.00000	Automeris_io	IV-LWS	Arthropoda	Insecta	OK930069.1	
S300	537.00000	Anisota_stigma	IV-LWS	Arthropoda	Insecta	OK930068.1	
S301	518.00000	Callophrys_sheridanii	IV-LWS	Arthropoda	Insecta	MN831887.1	
S302	482.00000	Physeter_catodon	Rh1	Chordata	Mammalia	XM_007126220	
S303	431.00000	Ochotona_princeps	SWS1	Chordata	Mammalia	XM_004592516	
S304	485.00000	Sinomicrurus_japonicusboettgeri	Rh1	Chordata	Lepidosauria	LC543598	
S305	482.00000	Laticauda_semifasciata	Rh1	Chordata	Lepidosauria	LC543599	
S306	494.00000	Emydocephalus_ijimae	Rh1	Chordata	Lepidosauria	LC543603	
S307	490.00000	Hydrophis_ornatus	Rh1	Chordata	Lepidosauria	LC543606	
S308	551.00000	Hydrophis_ornatus	LWS	Chordata	Lepidosauria	LC543597	
S309	539.00000	Aotus_azaraiboliviensis	LWS	Chordata	Lepidosauria	AB081277.2	
S310	532.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006283	
S311	545.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006282	
S312	558.00000	Saimiri_sciureus	LWS	Chordata	Mammalia	AH006281	
S313	430.00000	Anopheles_stephensi	IV-SWS	Arthropoda	Insecta	LC710140	
S314	500.00000	Anopheles_stephensi	IV-POps	Arthropoda	Insecta	AB753162	
S315	347.00000	Drosophila_melanogaster	IV-RH	Arthropoda	Insecta	NM_079687.3	
S316	436.00000	Drosophilia_melanogaster	Rh-MWS	Arthropoda	Insecta	U67905.1	
S317	345.00000	Drosophila_melanogaster	IV-RH	Arthropoda	Insecta	AF184224	
S318	350.00000	Drosophila_melanogaster	IV-RH	Arthropoda	Insecta	AY060299	
S319	513.00000	Limulus_polyphemus	IV-RH	Arthropoda	Merostomata	L03782.1	
S320	357.00000	AncBoreotheria_sp.	SWS1	Chordata		AncBoreotheria	
S321	364.00000	AncEuteleost_sp.	SWS1	Chordata		AncEuteleost	
S322	359.00000	AncMammal_sp.	SWS1	Chordata		AncMammal	
S323	360.00000	AncEutheria_sp.	SWS1	Chordata		AncEutheria	
S324	371.00000	Stenobrachius_leucepsarus	SWS1	Chordata		FJ443127	
