,Species,Opsin_Family,Accession,Lambda_Max,Prediction,Difference
S116,Ambystoma_tigrinum,Rh1,U36574,506.0,504.8345438466263,-1.165456153373725
S171,Geotria_australis,RhA,AY366493,497.0,496.84793675426073,-0.15206324573927077
S221,Poecilia_reticulata,SWS2,A0A140JTJ4,438.0,438.58451816038314,0.5845181603831406
S297,Automeris_io,IV-LWS,OK930069.1,532.0,532.7575182873888,0.757518287388848
S199,Limenitis_a.astyanax,IV-Rh1,AY918902.2,431.0,430.702704064761,-0.2972959352389921
S245,AncActino_sp.,Rh2,AncActino,488.0,490.33526234249274,2.33526234249274
S286,lwsanc_pigmentx_sp.,LWS,lwsanc_pigmentx,532.0,530.7853671270806,-1.2146328729194238
S258,Latimeria_chalumnae,Rh2,AH007713.2,478.0,477.94167603432794,-0.05832396567205933
S226,Lucania_goodei,SWS2,Q7T2U7,397.0,397.7120883370553,0.7120883370553202
S227,Danio_rerio,SWS2,Q9W6A8,416.0,416.04681408123264,0.04681408123263964
S220,Paralichthys_olivaceus,SWS2,D7RP09,466.0,465.627714389159,-0.3722856108410042
S6,Sargocentron_diadema,Rh1,U57537.1,491.0,492.20867516622707,1.2086751662270672
S225,Lucania_goodei,SWS2,Q7T2U6,448.0,446.2584445780019,-1.7415554219981004
S143,Mus_musculus,MWS,AF011389.1,508.0,510.2499720517633,2.2499720517632795
S130,Anolis_carolinensis,SWS2,AF133907,437.0,436.86868868621264,-0.13131131378736427
S310,Saimiri_sciureus,LWS,AH006281,558.0,557.5872710913725,-0.4127289086275141
S122,Anolis_carolinensis,Rh2,AH007735.2,495.0,495.8764093565295,0.876409356529507
S316,Drosophila_melanogaster,IV-RH,AY060299,350.0,350.0935314372658,0.09353143726582402
S229,Danio_rerio,SWS2,AB087809.1,416.0,416.04681408123264,0.04681408123263964
S64,Chauliodus_macouni,Rh1,EU407250.1,489.0,489.3310563141928,0.3310563141927787
S309,Saimiri_sciureus,LWS,AH006282,545.0,543.9504975432145,-1.0495024567854898
S113,Xenopus_laevis,Rh1,L07770.1,502.0,501.8068036198784,-0.19319638012160567
S223,Oryzias_latipes,SWS2,Q2L6A3,439.0,439.0479642882958,0.047964288295816004
S213,Oryzias_melastigma,Rh2,LC260056,491.0,490.88916096159835,-0.11083903840165021
S262,swsanc4_sp.,UVS,swsanc4,360.0,360.85743156955414,0.8574315695541372
S54,Rod_ancestor_pigmentg,Rh1,pigmentg,501.0,499.8870284357088,-1.112971564291172
S91,Gekko_gecko,SWS1,AY024356.1,360.0,360.46161577684165,0.4616157768416542
S108,Papilio_xuthus,Rh3,AB007425.1,571.0,570.5519173479564,-0.4480826520435812
S224,Oryzias_latipes,SWS2,Q2L6A2,405.0,405.16590244507023,0.16590244507023044
S47,Cyprichromis_pavo,Rh1,AB458119.1,489.0,489.69508036345815,0.6950803634581462
S300,Physeter_catodon,Rh1,XM_007126220,482.0,485.0118555184132,3.011855518413199
S31,Perissodus_elaviae,Rh1,AB185230.1,490.0,494.72163336898353,4.721633368983532
S195,Otolemur_crassicaudatus,Rh1,AB112591.1,502.0,501.3128580813252,-0.6871419186747971
S127,Carassius_auratus,SWS1,D85863,359.0,358.8436129361145,-0.15638706388551782
S117,Columba_livia,Rh1,AH007730.2,502.0,502.3552764756123,0.3552764756122997
S118,Taeniopygia_guttata,Rh1,AF222329,502.0,501.93928400113634,-0.06071599886365675
S81,Danio_rerio,Rh2,AB087808.2,505.0,504.8219255874322,-0.17807441256780976
S207,Oryzias_luzonensis,Rh2,LC260050,486.0,487.53298194459956,1.5329819445995554
S174,Columba_livia,SWS1,AJ238856,388.0,390.9567757204585,2.956775720458495
S19,Cyprichromis_leptosoma,Rh1,AB084930.1,498.0,496.26867726890725,-1.731322731092746
S248,AncCyprin1_sp.,Rh2,AncCyprin1,489.0,489.3829527661988,0.38295276619879814
S162,Poecilia_reticulata,LWS3,LC127184,519.0,521.688048657104,2.688048657103991
S178,Phreatichthys_andruzzii,Rh1,JQ413240,508.0,506.80411833636623,-1.1958816636337701
S13,Aulonocara_sp.,Rh1,AB185214.1,495.0,496.560305676157,1.560305676156986
S176,Melopsittacus_undulatus,SWS1,NM_001311081,360.0,363.06365045062734,3.0636504506273354
S211,Oryzias_melastigma,Rh2,LC260054,460.0,459.2255554970644,-0.7744445029355802
S104,Mesoplodon_bidens,Rh1,AF055316,484.0,484.3467192514811,0.3467192514810904
S295,Epargyreus_clarus,IV-LWS,OK930070.1,577.0,576.4180861730023,-0.5819138269977202
S266,swsanc5'_sp.,UVS,swsanc5',393.0,387.9158759376201,-5.084124062379885
S124,Columba_livia,Rh2,AH007731.2,503.0,501.3377740184965,-1.662225981503525
S139,Homo_sapiens,LWS,AH005296.2,530.0,530.7542703385312,0.7542703385312279
S167,Poecilia_reticulata,SWS1,LC127190,353.0,353.10774839343077,0.10774839343076792
S231,Danio_rerio,Rh2,NM_182891.2,476.0,471.67348776044423,-4.326512239555768
S36,Tropheus_duboisi,Rh1,AB084946.1,501.0,500.92978985181526,-0.07021014818474214
S80,Danio_rerio,Rh2,AB087807.1,488.0,488.81627983116056,0.816279831160557
S12,Altolamprologus_calvus,Rh1,AB458132.1,498.0,497.08438084122383,-0.9156191587761668
S281,lwsanc_pigmentd_sp.,LWS,lwsanc_pigmentd,558.0,556.3891985882925,-1.6108014117074845
S190,Grus_americana,SWS1,KM508490,404.0,403.91783046534357,-0.08216953465642973
S233,Danio_rerio,Rh2,NM_131254.1,505.0,504.8219255874322,-0.17807441256780976
S208,Oryzias_celebensis,Rh2,LC260051,469.0,468.76713203889153,-0.23286796110846808
S101,Notamacropus_eugenii,SWS1,AY286017.1,420.0,418.8828253646975,-1.11717463530249
S70,Astyanax_mexicanus,Rh1,U12328.1,504.0,503.67428529655825,-0.32571470344174713
S275,Chrysochroa_rajah,IV-LWS,OP722948.1,509.0,508.71704712424287,-0.28295287575713246
S77,Anolis_carolinensis,Rh2,NM_001291394.1,496.0,495.8764093565295,-0.12359064347049298
S141,Capra_hircus,LWS,AH006594.2,553.0,549.9760796739846,-3.0239203260154
S180,Danio_rerio,Rh1,AF109368,502.0,501.8638928358974,-0.13610716410261148
S234,Metriaclima_zebra,Rh2,DQ088651,528.0,526.9653753716997,-1.034624628300321
S72,Bos_taurus,Rh1,P02699.1,500.0,500.81444965190633,0.8144496519063296
