,Accession,full_species,prediction_value,closest_measurement,abs_diff,max_id,%Identity_Nearest_VPOD_Sequence
51,AF425074.1,Oncorhynchus_mykiss,384.0,386.0,2.0,1207,80.24
52,MW219687.1,Sargocentron_spiniferum,492.1,490.0,2.1000000000000227,1289,99.424
53,AF190671.2,Mus_musculus,362.1,360.0,2.1000000000000227,1461,95.376
54,LC127183.1,Poecilia_reticulata,522.9,525.0,2.1000000000000227,1272,89.888
55,JF823560.1,Poecilia_mexicana,534.9,537.0,2.1000000000000227,197,89.607
56,AY673763.1,Pundamilia_nyererei,453.1,451.0,2.1000000000000227,437,81.481
57,AY660539.1,Haplochromis_burtoni,520.7,523.0,2.2999999999999545,364,96.591
58,DQ088646.1,Melanochromis_vermivorus,482.7,485.0,2.3000000000000114,390,94.783
59,GQ422476.1,Mylochromis_lateristriga,524.5,522.0,2.5,416,96.875
60,MF035580.1,Heliconius_erato,392.5,390.0,2.5,1563,65.0
61,AY366493.1,Geotria_australis,496.4,499.0,2.6000000000000227,738,89.235
62,JX867429.1,Cheirogaleus_major,406.4,409.0,2.6000000000000227,1438,88.047
63,AY214139.1,Oncorhynchus_tshawytscha,443.7,441.0,2.6999999999999886,806,74.074
64,GQ422480.1,Aulonocara_hueseri,523.1,526.0,2.8999999999999773,344,96.023
65,AY214144.1,Oncorhynchus_keta,441.9,439.0,2.8999999999999773,798,74.359
66,MN519143.1,Neotrygon_kuhlii,494.0,497.0,3.0,1146,92.09
67,AY771352.1,Dissostichus_mawsoni,487.0,490.0,3.0,576,84.348
68,JF823569.1,Poecilia_formosa,556.9,560.0,3.1000000000000227,203,97.753
69,AY631039.1,Pseudopleuronectes_americanus,550.1,547.0,3.1000000000000227,796,91.317
70,MW219675.1,Neoniphon_sammara,498.7,502.0,3.3000000000000114,70,98.851
71,AY775119.1,Mylochromis_lateristriga,499.3,496.0,3.3000000000000114,413,98.023
72,HQ260679.1,Poecilia_reticulata,546.5,543.0,3.5,1280,99.029
73,GQ422472.1,Melanochromis_vermivorus,499.5,503.0,3.5,1260,97.458
74,AB731900.1,Engraulis_japonicus,495.9,492.0,3.8999999999999773,112,81.375
75,MN519154.1,Carcharhinus_amblyrhynchos,500.0,504.0,4.0,1190,81.127
76,AY775085.1,Mylochromis_lateristriga,423.1,419.0,4.100000000000023,414,95.157
77,LC127190.1,Poecilia_reticulata,354.9,359.0,4.100000000000023,1269,94.328
78,MN519167.1,Amia_calva,551.9,556.0,4.100000000000023,15,86.301
79,EU329470.1,Poecilia_parae,530.2,526.0,4.2000000000000455,183,92.958
80,MN519142.1,Aptychotrema_vincentiana,495.7,500.0,4.300000000000011,1163,90.96
81,JF823557.1,Poecilia_mexicana,558.6,563.0,4.399999999999977,198,97.472
82,AY631038.1,Pseudopleuronectes_americanus,461.6,457.0,4.600000000000023,794,94.618
83,AB731902.1,Engraulis_japonicus,497.3,502.0,4.699999999999989,111,85.714
84,GQ422490.1,Pundamilia_pundamilia,524.3,529.0,4.7000000000000455,448,97.159
85,DQ088640.1,Melanochromis_vermivorus,423.1,418.0,5.100000000000023,387,95.157
86,AF247113.1,Dimidiochromis_compressiceps,452.3,447.0,5.300000000000011,359,81.766
87,MW219663.1,Myripristis_berndti,500.6,506.0,5.399999999999977,69,83.478
88,AY775121.1,Copadichromis_borleyi,499.5,494.0,5.5,345,98.023
89,AF000947.1,Sepia_officinalis,486.5,492.0,5.5,1327,40.708
90,JF823553.1,Poecilia_latipinna,556.9,551.0,5.899999999999977,189,97.753
91,AY296737.2,Lucania_goodei,447.9,454.0,6.100000000000023,174,86.325
92,ON817126.1,Sargocentron_punctatissimum,487.9,494.0,6.100000000000023,1285,85.797
93,DQ088632.1,Tramitichromis_intermedius,524.5,531.0,6.5,453,96.875
94,MF434474.1,Acyrthosiphon_pisum,524.7,518.0,6.7000000000000455,1558,67.867
95,MN519147.1,Carcharhinus_melanopterus,497.8,505.0,7.199999999999989,1195,87.853
96,AF425073.1,Oncorhynchus_mykiss,555.8,563.0,7.2000000000000455,1209,84.874
97,MN519144.1,Chiloscyllium_punctatum,492.3,499.6,7.300000000000011,1201,94.915
98,MN519146.1,Glaucostegus_typus,496.7,504.0,7.300000000000011,1167,88.983
99,GQ422473.1,Tramitichromis_intermedius,497.6,505.0,7.399999999999977,451,98.023
100,MW681821.1,Lutjanus_erythropterus,453.4,446.0,7.399999999999977,533,85.47
101,AY780519.1,Lethrinops_parvidens,555.4,563.0,7.600000000000023,381,93.838
102,AH005930.2,Galago_senegalensis,537.3,545.0,7.7000000000000455,1450,94.505
103,AH005931.2,Otolemur_garnettii,537.3,545.0,7.7000000000000455,1449,94.505
104,AY631036.1,Pseudopleuronectes_americanus,498.2,506.0,7.800000000000011,793,91.243
105,KT008398.1,Danio_rerio,424.8,417.0,7.800000000000011,1232,81.429
106,KC594702.1,Gasterosteus_aculeatus,510.1,502.0,8.100000000000023,237,86.364
107,AY673768.1,Pundamilia_nyererei,496.8,505.0,8.199999999999989,436,95.763
108,AY214146.1,Oncorhynchus_kisutch,498.7,507.0,8.300000000000011,803,85.876
109,L11864.1,Carassius_auratus,443.6,452.0,8.399999999999977,138,81.429
110,GQ422517.1,Cynotilapia_afra,480.6,472.0,8.600000000000023,356,95.17
111,MN519157.1,Glaucostegus_typus,485.6,477.0,8.600000000000023,1169,79.155
112,EF526297.1,Neoceratodus_forsteri,549.3,558.0,8.700000000000045,79,85.753
113,MN519165.1,Chiloscyllium_punctatum,523.0,531.8,8.799999999999955,1202,78.962
114,AF425075.1,Oncorhynchus_mykiss,442.9,434.0,8.899999999999977,1223,74.359
115,AY775084.1,Melanochromis_auratus,423.1,414.0,9.100000000000023,383,94.872
116,AY673767.1,Pundamilia_pundamilia,496.8,506.0,9.199999999999989,446,95.48
117,AF132042.1,Cavia_porcellus,520.8,530.0,9.200000000000045,1132,93.681
118,AY660540.1,Haplochromis_burtoni,552.6,562.0,9.399999999999977,365,93.557
119,AY673688.1,Pundamilia_nyererei,552.5,562.0,9.5,439,93.838
120,DQ088634.1,Melanochromis_vermivorus,515.8,506.0,9.799999999999955,388,96.307
121,DQ088631.1,Melanochromis_vermivorus,524.2,534.0,9.799999999999955,391,96.307
122,EU090913.1,Acanthopagrus_butcheri,518.9,509.0,9.899999999999977,655,90.202
123,MF035579.1,Heliconius_erato,378.9,389.0,10.100000000000023,1559,66.765
124,DQ352179.1,Monodelphis_domestica,544.6,555.0,10.399999999999977,1469,87.115
125,KC594701.1,Gasterosteus_aculeatus,513.4,524.0,10.600000000000023,240,87.784
126,GQ422482.1,Pundamilia_nyererei,524.3,535.0,10.700000000000045,438,97.159
127,KT008400.1,Danio_rerio,555.3,566.0,10.700000000000045,1234,88.796
128,JN990732.1,Crenicichla_frenata,557.8,547.0,10.799999999999955,351,90.756
129,MW681826.1,Lutjanus_erythropterus,515.9,527.0,11.100000000000023,534,88.184
130,AY296741.1,Lucania_goodei,549.2,538.0,11.200000000000045,175,90.373
131,DQ352180.1,Didelphis_aurita,543.1,555.0,11.899999999999977,1471,86.555
