,Species,Opsin_Family,Accession,Lambda_Max,Prediction,Difference
S83,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_S180A_H197Y,533.0,536.1128729639508,3.1128729639508492
S16,Rattus_norvegicus,MWS,AH006946.2,509.0,485.8771087101756,-23.122891289824395
S75,Saimiri_sciureus,LWS,AH006281_F232I,559.0,557.2646285373729,-1.7353714626270857
S66,Saimiri_sciureus,LWS,AH006283,532.0,532.7230522805381,0.723052280538127
S46,lwsanc_pigmenta_sp.,LWS,lwsanc_pigmenta,563.0,562.6494304431611,-0.35056955683887736
S60,lwsanc_pigmenty_sp.,LWS,lwsanc_pigmenty_I320V,553.0,553.7789201104191,0.7789201104191079
S79,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_H197Y,536.0,537.9009112374116,1.9009112374116057
S21,Cavia_porcellus,MWS,AF132042.1,516.0,526.7405599653644,10.740559965364355
S38,Grus_americana,LWS,KM508487,561.0,571.7676216131002,10.767621613100232
S47,lwsanc_pigmentb_sp.,LWS,lwsanc_pigmentb,563.0,559.9901240625027,-3.009875937497327
S90,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_S180A_H197Y_A308S,512.0,510.23857723944064,-1.7614227605593555
S5,Carassius_auratus,LWS,L11867.1_S164P,544.0,556.3459153411596,12.345915341159639
S14,Oryctolagus_cuniculus,MWS,AH006945.2,509.0,514.0698670223467,5.069867022346671
S11,Homo_sapiens,LWS,AH005296.2,530.0,531.9925707803603,1.9925707803603245
S72,Saimiri_sciureus,LWS,AH006282_S236G,546.0,546.4578691115357,0.45786911153572873
S17,Tursiops_truncatus,LWS,AF055457,524.0,536.8712965234384,12.871296523438446
S39,Otolemur_crassicaudatus,LWS,AB112590.1,539.0,545.343479183342,6.3434791833419695
S58,lwsanc_pigmentx_sp.,LWS,lwsanc_pigmentx_A58T_V76A_H294N,532.0,531.5261181464723,-0.4738818535277005
S42,Gallus_gallus,MWS,NM_205490.1,511.0,524.2475310156256,13.247531015625555
S24,Columba_livia,MWS,U50598.1,481.0,491.3692786309354,10.369278630935412
S55,lwsanc_pigmenty_sp.,LWS,lwsanc_pigmenty,553.0,553.3140590689566,0.314059068956567
S85,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_S180A_T285A,536.0,537.8719849529459,1.8719849529459225
S57,lwsanc_pigmentx_sp.,LWS,lwsanc_pigmentx_A180S,533.0,539.2754392070187,6.275439207018735
S53,lwsanc_pigmenti_sp.,LWS,lwsanc_pigmenti,564.0,560.4563303636259,-3.5436696363741476
S1,Tursiops_truncatus,LWS,XM_019933644.2,524.0,535.5541549380207,11.554154938020702
S54,lwsanc_pigmentx_sp.,LWS,lwsanc_pigmentx,532.0,534.9818438319788,2.9818438319788356
S10,Gallus_gallus,LWS,M62903.1,571.0,556.9996609257879,-14.000339074212093
S67,Saimiri_sciureus,LWS,AH006283_I232F,532.0,531.7053286918756,-0.294671308124407
S80,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_Y277F,550.0,548.7694370600465,-1.2305629399535292
S26,Poecilia_reticulata,LWS1,AB748984,562.0,548.4637032506664,-13.536296749333587
S51,lwsanc_pigmentf_sp.,LWS,lwsanc_pigmentf,536.0,539.2754392070187,3.275439207018735
S68,Saimiri_sciureus,LWS,AH006283_S236G,533.0,531.7053286918756,-1.294671308124407
S63,lwsanc_pigmentz_sp.,LWS,lwsanc_pigmentz_V76A,532.0,530.3015663288536,-1.6984336711464039
S91,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_S180A_Y277F_T285A,532.0,530.2443860917172,-1.7556139082828395
S15,Mus_musculus,MWS,AF011389.1,508.0,501.70874344676355,-6.291256553236451
S52,lwsanc_pigmentg_sp.,LWS,lwsanc_pigmentg,561.0,565.6256413293527,4.625641329352675
S7,Anolis_carolinensis,LWS,U08131,561.0,568.7499796828611,7.749979682861067
S23,Anolis_carolinensis,MWS,AH007737.2,482.0,482.63978899980054,0.6397889998005439
S77,Saimiri_sciureus,LWS,AH006281_F232I_G236S,559.0,556.9512012479063,-2.0487987520937168
S73,Saimiri_sciureus,LWS,AH006282_I232F_S236G,546.0,546.3264600397182,0.32646003971819937
S71,Saimiri_sciureus,LWS,AH006282_I232F,545.0,545.013539960282,0.01353996028194615
S12,Homo_sapiens,LWS,AH005298.2,560.0,557.1745586513393,-2.825441348660661
Bovine,Bos_taurus,Rh1,NM_001014890,500.0,501.3496041237759,1.3496041237759187
S78,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_S180A,555.0,550.7791528942171,-4.220847105782923
S43,Gallus_gallus,MWS,NM_205490.1_Q122E,525.0,511.34,-13.660000000000025
S61,lwsanc_pigmentz_sp.,LWS,lwsanc_pigmentz_T58A,532.0,531.9656865718048,-0.034313428195218876
S13,Capra_hircus,LWS,AH006594.2,553.0,555.9728015260041,2.9728015260041047
S8,Columba_livia,LWS,AH007800.2,558.0,570.9093850023536,12.909385002353588
S69,Saimiri_sciureus,LWS,AH006283_I232F_S236G,533.0,533.2093880301958,0.20938803019578245
S64,Hydrophis_ornatus,LWS,LC543597,551.0,557.7088863771329,6.708886377132899
S56,lwsanc_pigmentz_sp.,LWS,lwsanc_pigmentz,532.0,531.9656865718048,-0.034313428195218876
S3,Petromyzon_marinus,LWS,AH005459.2,501.0,501.80465258627356,0.8046525862735621
S49,lwsanc_pigmentd_sp.,LWS,lwsanc_pigmentd,558.0,555.808331768277,-2.1916682317230425
S41,Carassius_auratus,LWS,L11866.1,505.0,524.27275183674,19.272751836739985
S9,Taeniopygia_guttata,LWS,AF222333.1,560.0,555.4273048513279,-4.572695148672096
S48,lwsanc_pigmentc_sp.,LWS,lwsanc_pigmentc,561.0,575.5796717025676,14.579671702567566
S6,Carassius_auratus,LWS,L11867,559.0,555.542106578838,-3.457893421161998
S20,Odocoileus_virginianus,LWS,AF132041,531.0,532.3868540332586,1.3868540332586008
S88,lwsancestor_pigmentd,LWS,lwsanc_pigmentd_H197Y_A308S,516.0,512.9040666659284,-3.0959333340715602
