,Accession,full_species,prediction_value,closest_measurement,abs_diff,max_id,%Identity_Nearest_VPOD_Sequence,Gene_Description
50,AY673761.1,Pundamilia_pundamilia,453.1,455.0,1.8999999999999773,447,81.481,"Pundamilia pundamilia isolate MSP #9 putative blue sensitive visual pigment (SWS2a) gene, complete cds"
51,AF425074.1,Oncorhynchus_mykiss,384.0,386.0,2.0,1207,80.24,"Oncorhynchus mykiss SWS1 opsin mRNA, complete cds"
52,MW219687.1,Sargocentron_spiniferum,492.1,490.0,2.1000000000000227,1289,99.424,"Sargocentron spiniferum isolate F2 rhodopsin RH1 mRNA, complete cds"
53,AF190671.2,Mus_musculus,362.1,360.0,2.1000000000000227,1461,95.376,"Mus musculus blue opsin gene, complete cds"
54,LC127183.1,Poecilia_reticulata,522.9,525.0,2.1000000000000227,1272,89.888,"Poecilia reticulata Opn1lw-2 mRNA for LWS-2 opsin, complete cds"
55,JF823560.1,Poecilia_mexicana,534.9,537.0,2.1000000000000227,197,89.607,"Poecilia mexicana opsin locus R long-wave sensitive opsin (LWS) gene, complete cds"
56,AY673763.1,Pundamilia_nyererei,453.1,451.0,2.1000000000000227,437,81.481,"Pundamilia nyererei isolate MSP #8 putative blue sensitive visual pigment (SWS2a) gene, complete cds"
57,AY660539.1,Haplochromis_burtoni,520.7,523.0,2.2999999999999545,364,96.591,"Astatotilapia burtoni putative green-sensitive opsin mRNA, complete cds"
58,DQ088646.1,Melanochromis_vermivorus,482.7,485.0,2.300000000000012,390,94.783,"Melanochromis vermivorus putative green sensitive visual pigment gene, complete cds"
59,GQ422476.1,Mylochromis_lateristriga,524.5,522.0,2.5,416,96.875,"Maravichromis lateristriga green sensitive visual pigment Rh2A alpha gene, complete cds"
60,MF035580.1,Heliconius_erato,392.5,390.0,2.5,1563,65.0,"Heliconius erato petiverana isolate HER200UVRh2 opsin (UVRh2) mRNA, complete cds"
61,AY366493.1,Geotria_australis,496.4,499.0,2.6000000000000227,738,89.235,"Geotria australis retinal rod pigment RhA mRNA, complete cds"
62,JX867429.1,Cheirogaleus_major,406.4,409.0,2.6000000000000227,1438,88.047,"Cheirogaleus major isolate ANJZ2 short-wavelength-sensitive opsin protein (SWS1) gene, complete cds"
63,AY214139.1,Oncorhynchus_tshawytscha,443.7,441.0,2.6999999999999886,806,74.074,"Oncorhynchus tshawytscha SWS2 opsin mRNA, complete cds"
64,GQ422480.1,Aulonocara_hueseri,523.1,526.0,2.8999999999999773,344,96.023,"Aulonocara hueseri green sensitive visual pigment Rh2A alpha gene, complete cds"
65,AY214144.1,Oncorhynchus_keta,441.9,439.0,2.8999999999999773,798,74.359,"Oncorhynchus keta SWS2 opsin mRNA, complete cds"
66,MN519143.1,Neotrygon_kuhlii,494.0,497.0,3.0,1146,92.09,"Neotrygon kuhlii isolate 23396-1-1 rhodopsin mRNA, complete cds"
67,AY771352.1,Dissostichus_mawsoni,487.0,490.0,3.0,576,84.348,"Dissostichus mawsoni green-sensitive pigment (RH2) mRNA, complete cds"
68,JF823569.1,Poecilia_formosa,556.9,560.0,3.1000000000000227,203,97.753,"Poecilia formosa opsin locus 1-L long-wave sensitive opsin (LWS) gene, complete cds"
69,AY631039.1,Pseudopleuronectes_americanus,550.1,547.0,3.1000000000000227,796,91.317,"Pseudopleuronectes americanus red cone opsin (LWS) mRNA, complete cds"
70,MW219675.1,Neoniphon_sammara,498.7,502.0,3.300000000000012,70,98.851,"Neoniphon sammara isolate F3 rhodopsin RH1 mRNA, complete cds"
71,AY775119.1,Mylochromis_lateristriga,499.3,496.0,3.300000000000012,413,98.023,"Mylochromis lateristriga rod opsin (RH1) gene, complete cds"
72,HQ260679.1,Poecilia_reticulata,546.5,543.0,3.5,1280,99.029,"Poecilia reticulata LWS A180 opsin mRNA, partial cds"
73,GQ422472.1,Melanochromis_vermivorus,499.5,503.0,3.5,1260,97.458,"Melanochromis vermivorus rod visual pigment Rh1 gene, complete cds"
74,AB731900.1,Engraulis_japonicus,495.9,492.0,3.899999999999977,112,81.375,"Engraulis japonicus RH2-2 mRNA for green opsin, complete cds"
75,MN519154.1,Carcharhinus_amblyrhynchos,500.0,504.0,4.0,1190,81.127,"Carcharhinus amblyrhynchos isolate 45084-1-2 green-sensitive opsin mRNA, complete cds"
76,AY775085.1,Mylochromis_lateristriga,423.1,419.0,4.100000000000023,414,95.157,"Mylochromis lateristriga short wavelength sensitive 2b (SWS2b) gene, complete cds"
77,LC127190.1,Poecilia_reticulata,354.9,359.0,4.100000000000023,1269,94.328,"Poecilia reticulata Opn1sw1 mRNA for SWS1 opsin, complete cds"
78,MN519167.1,Amia_calva,551.9,556.0,4.100000000000023,15,86.301,"Amia calva isolate 20401-1-2 long-wavelength-sensitive opsin mRNA, complete cds"
79,EU329470.1,Poecilia_parae,530.2,526.0,4.2000000000000455,183,92.958,"Micropoecilia parae isolate 1 long wave-sensitive opsin P180 gene, complete cds"
80,MN519142.1,Aptychotrema_vincentiana,495.7,500.0,4.300000000000011,1163,90.96,"Aptychotrema vincentiana isolate 46583-1-1 rhodopsin mRNA, complete cds"
81,JF823557.1,Poecilia_mexicana,558.6,563.0,4.399999999999977,198,97.472,"Poecilia mexicana opsin locus 1 long-wave sensitive opsin (LWS) gene, complete cds"
82,AY631038.1,Pseudopleuronectes_americanus,461.6,457.0,4.600000000000023,794,94.618,"Pseudopleuronectes americanus blue cone opsin (SWS2) mRNA, complete cds"
83,AB731902.1,Engraulis_japonicus,497.3,502.0,4.699999999999989,111,85.714,"Engraulis japonicus RH1 mRNA for rhodopsin, complete cds"
84,GQ422490.1,Pundamilia_pundamilia,524.3,529.0,4.7000000000000455,448,97.159,"Pundamilia pundamilia green sensitive visual pigment Rh2A alpha gene, complete cds"
85,DQ088640.1,Melanochromis_vermivorus,423.1,418.0,5.100000000000023,387,95.157,"Melanochromis vermivorus putative violet sensitive visual pigment (SWS2b) gene, complete cds"
86,AF247113.1,Dimidiochromis_compressiceps,452.3,447.0,5.300000000000011,359,81.766,"Dimidiochromis compressiceps putative blue sensitive opsin SWS-2A gene, complete cds"
87,MW219663.1,Myripristis_berndti,500.6,506.0,5.399999999999977,69,83.478,"Myripristis berndti rhodopsin-like RH2B-1 opsin mRNA, complete cds"
88,AY775121.1,Copadichromis_borleyi,499.5,494.0,5.5,345,98.023,"Copadichromis borleyi rod opsin (RH1) gene, complete cds"
89,AF000947.1,Sepia_officinalis,486.5,492.0,5.5,1327,40.708,"Sepia officinalis rhodopsin (RHODOPS) mRNA, complete cds"
90,JF823553.1,Poecilia_latipinna,556.9,551.0,5.899999999999977,189,97.753,"Poecilia latipinna opsin locus 3 long-wave sensitive opsin (LWS) gene, complete cds"
91,AY296737.2,Lucania_goodei,447.9,454.0,6.100000000000023,174,86.325,"Lucania goodei SWS2A opsin (SWS2A) mRNA, complete cds"
92,ON817126.1,Sargocentron_punctatissimum,487.9,494.0,6.100000000000023,1285,85.797,"Sargocentron punctatissimum isolate THCR7 rhodopsin-like middle wavelength-sensitive opsin 2 (rh2-3) mRNA, complete cds"
93,DQ088632.1,Tramitichromis_intermedius,524.5,531.0,6.5,453,96.875,"Tramitichromis intermedius putative green sensitive visual pigment gene, complete cds"
94,MF434474.1,Acyrthosiphon_pisum,524.7,518.0,6.7000000000000455,1558,67.867,"Acyrthosiphon pisum isolate YR2 long wavelength sensitive opsin mRNA, complete cds"
95,MN519147.1,Carcharhinus_melanopterus,497.8,505.0,7.199999999999989,1195,87.853,"Carcharhinus melanopterus isolate CL4386 rhodopsin mRNA, complete cds"
96,AF425073.1,Oncorhynchus_mykiss,555.8,563.0,7.2000000000000455,1209,84.874,"Oncorhynchus mykiss LWS opsin mRNA, complete cds"
97,MN519144.1,Chiloscyllium_punctatum,492.3,499.6,7.300000000000011,1201,94.915,"Chiloscyllium punctatum isolate 63210-1-1 rhodopsin mRNA, complete cds"
98,MN519146.1,Glaucostegus_typus,496.7,504.0,7.300000000000011,1167,88.983,"Glaucostegus typus isolate CL599 rhodopsin mRNA, complete cds"
99,GQ422473.1,Tramitichromis_intermedius,497.6,505.0,7.399999999999977,451,98.023,"Tramitichromis intermedius rod visual pigment Rh1 mRNA, complete cds"
100,MW681821.1,Lutjanus_erythropterus,453.4,446.0,7.399999999999977,533,85.47,"Lutjanus erythropterus sws2.2 mRNA, complete cds"
101,AY780519.1,Lethrinops_parvidens,555.4,563.0,7.600000000000023,381,93.838,"Lethrinops parvidens long wavelength sensitive cone opsin (LWS) gene, complete cds"
102,AH005931.2,Otolemur_garnettii,537.3,545.0,7.700000000000045,1449,94.505,"Otolemur garnettii color vision opsin gene, complete cds"
103,AH005930.2,Galago_senegalensis,537.3,545.0,7.700000000000045,1450,94.505,"Galago senegalensis color vision opsin gene, complete cds"
104,AY631036.1,Pseudopleuronectes_americanus,498.2,506.0,7.800000000000011,793,91.243,"Pseudopleuronectes americanus rhodopsin (RH1) mRNA, complete cds"
105,KT008398.1,Danio_rerio,424.8,417.0,7.800000000000011,1232,81.429,"Danio rerio short-wavelength-sensitive-2 cone opsin (sws2) mRNA, complete cds"
106,KC594702.1,Gasterosteus_aculeatus,510.1,502.0,8.100000000000023,237,86.364,"Gasterosteus aculeatus isolate Swan Lake RH2 opsin mRNA, complete cds"
107,AY673768.1,Pundamilia_nyererei,496.8,505.0,8.199999999999989,436,95.763,"Pundamilia nyererei isolate MSP #3 rhodopsin (RH) gene, complete cds"
108,AY214146.1,Oncorhynchus_kisutch,498.7,507.0,8.300000000000011,803,85.876,"Oncorhynchus kisutch RH1 opsin mRNA, complete cds"
109,L11864.1,Carassius_auratus,443.6,452.0,8.399999999999977,138,81.429,"Carassius auratus blue cone opsin mRNA, complete cds"
110,GQ422517.1,Cynotilapia_afra,480.6,472.0,8.600000000000023,356,95.17,"Cynotilapia afra blue-green sensitive visual pigment Rh2B gene, complete cds"
111,MN519157.1,Glaucostegus_typus,485.6,477.0,8.600000000000023,1169,79.155,"Glaucostegus typus isolate C418 green-sensitive opsin mRNA, complete cds"
112,EF526297.1,Neoceratodus_forsteri,549.3,558.0,8.700000000000045,79,85.753,"Neoceratodus forsteri LWS opsin mRNA, complete cds"
113,MN519165.1,Chiloscyllium_punctatum,523.0,531.8,8.799999999999955,1202,78.962,"Chiloscyllium punctatum isolate 16730-1-1 long-wavelength-sensitive opsin mRNA, complete cds"
114,AF425075.1,Oncorhynchus_mykiss,442.9,434.0,8.899999999999977,1223,74.359,"Oncorhynchus mykiss SWS2 opsin mRNA, complete cds"
115,AY775084.1,Melanochromis_auratus,423.1,414.0,9.100000000000025,383,94.872,"Melanochromis auratus short wavelength sensitive 2b (SWS2b) gene, complete cds"
116,AY673767.1,Pundamilia_pundamilia,496.8,506.0,9.199999999999989,446,95.48,"Pundamilia pundamilia isolate MSP #4 rhodopsin (RH) gene, complete cds"
117,AF132042.1,Cavia_porcellus,520.8,530.0,9.200000000000044,1132,93.681,"Cavia porcellus green opsin mRNA, complete cds"
118,AY660540.1,Haplochromis_burtoni,552.6,562.0,9.399999999999975,365,93.557,"Astatotilapia burtoni putative red-sensitive opsin mRNA, complete cds"
119,AY673688.1,Pundamilia_nyererei,552.5,562.0,9.5,439,93.838,"Pundamilia nyererei putative red sensitive visual pigment (LWS) gene, complete cds"
120,DQ088634.1,Melanochromis_vermivorus,515.8,506.0,9.799999999999956,388,96.307,"Melanochromis vermivorus putative green sensitive pigment gene, complete cds"
121,DQ088631.1,Melanochromis_vermivorus,524.2,534.0,9.799999999999956,391,96.307,"Melanochromis vermivorus putative green sensitive visual pigment gene, complete cds"
122,EU090913.1,Acanthopagrus_butcheri,518.9,509.0,9.899999999999975,655,90.202,"Acanthopagrus butcheri middle-wavelength-sensitive retinal pigment Rh2A alpha mRNA, complete cds"
123,MF035579.1,Heliconius_erato,378.9,389.0,10.100000000000025,1559,66.765,"Heliconius erato petiverana isolate HER200UVRh1 opsin (UVRh1) mRNA, complete cds"
124,DQ352179.1,Monodelphis_domestica,544.6,555.0,10.399999999999975,1469,87.115,"Monodelphis domestica long-wave sensitive opsin (LWS) mRNA, complete cds"
125,KC594701.1,Gasterosteus_aculeatus,513.4,524.0,10.600000000000025,240,87.784,"Gasterosteus aculeatus isolate Mayer Lake RH2 opsin mRNA, complete cds"
126,GQ422482.1,Pundamilia_nyererei,524.3,535.0,10.700000000000044,438,97.159,"Pundamilia nyererei green sensitive visual pigment Rh2A alpha gene, complete cds"
127,KT008400.1,Danio_rerio,555.3,566.0,10.700000000000044,1234,88.796,"Danio rerio long-wavelength-sensitive-1 cone opsin (lws1) mRNA, complete cds"
128,JN990732.1,Crenicichla_frenata,557.8,547.0,10.799999999999956,351,90.756,"Crenicichla frenata long-wavelength sensitive opsin (LWS) mRNA, complete cds"
129,MW681826.1,Lutjanus_erythropterus,515.9,527.0,11.100000000000025,534,88.184,"Lutjanus erythropterus rh2.3 mRNA, complete cds"
130,AY296741.1,Lucania_goodei,549.2,538.0,11.200000000000044,175,90.373,"Lucania goodei LWSB opsin mRNA, complete cds"
131,DQ352180.1,Didelphis_aurita,543.1,555.0,11.899999999999975,1471,86.555,"Didelphis aurita long-wave sensitive opsin (LWS) mRNA, complete cds"
132,AF247130.1,Dimidiochromis_compressiceps,519.7,533.0,13.299999999999956,360,96.875,"Dimidiochromis compressiceps putative green sensitive opsin RH2 mRNA, complete cds"
133,MN519164.1,Neotrygon_kuhlii,538.7,552.0,13.299999999999956,1149,82.466,"Neotrygon kuhlii isolate 28822-1-1 long-wavelength-sensitive opsin mRNA, complete cds"
134,KC594697.1,Gasterosteus_aculeatus,562.0,576.0,14.0,241,92.157,"Gasterosteus aculeatus isolate Mayer Lake long wave-sensitive opsin mRNA, complete cds"
135,JN990733.1,Crenicichla_frenata,494.3,480.0,14.300000000000011,350,90.96,"Crenicichla frenata rod opsin (RH1) mRNA, complete cds"
136,AY552608.1,Cavia_porcellus,414.3,400.0,14.300000000000011,1133,88.439,"Cavia porcellus violet-sensitive visual pigment (SWS1) mRNA, complete cds"
137,MN519168.1,Glaucostegus_typus,546.5,561.0,14.5,1170,83.562,"Glaucostegus typus isolate 292w69 long-wavelength-sensitive opsin mRNA, complete cds"
138,AF247131.1,Dimidiochromis_compressiceps,552.4,567.0,14.600000000000025,361,93.838,"Dimidiochromis compressiceps putative red sensitive opsin LWS mRNA, complete cds"
139,MN519172.1,Neotrygon_kuhlii,461.4,476.0,14.600000000000025,1148,44.136,"Neotrygon kuhlii isolate 36301-12-5 vertebrate ancient long opsin mRNA, complete cds"
140,AY775114.1,Maylandia_zebra,496.8,482.0,14.800000000000011,393,98.023,"Metriaclima zebra rod opsin (RH1) gene, complete cds"
141,MT850055.1,Lucania_goodei,558.0,573.0,15.0,178,95.518,"Lucania goodei short wavelength sensitive 2a (SWS2A), short wavelength sensitive 2b (SWS2B), long wavelength sensitive 1 (LWS-1), long wavelength sensitive 2 (LWS-2), and long wavelength sensitive 3 (LWS-3) genes, complete cds"
142,AY673690.1,Pundamilia_azurea,548.0,563.0,15.0,435,93.277,"Pundamilia azurea putative red sensitive visual pigment (LWS) gene, complete cds"
143,AY673689.1,Pundamilia_pundamilia,548.0,563.0,15.0,449,92.997,"Pundamilia pundamilia putative red sensitive visual pigment (LWS) gene, complete cds"
